id,name,floorID,buildingID,tenantID,is_active,device_count
182,Reception,106,74,2,True,2
184,Lounge ,105,74,2,True,1
180,Comms,107,74,2,True,0
181,Gym ,107,74,2,True,0
183,Terrace,108,74,2,True,0
112,Gym,77,54,2,True,1
111,Reception,76,54,2,True,1
109,Hospitality,74,54,2,True,1
110,Roofbar,75,54,2,True,1
63,Lounge,42,29,2,True,1
167,Gym + Showers,98,71,2,True,1
169,Reception + Lounge,99,71,2,True,1
176,Shower & Vanity,95,68,2,True,1
179,Comms Room,95,68,2,True,2
164,Reception + Lounge,95,68,2,True,1
177,Gym,95,68,2,True,1
21,Reception,6,4,2,True,1
22,Lounge,7,4,2,True,1
68,Reception,47,34,2,True,1
101,Changing Room + Bike Store,68,51,2,True,2
103,Middle Lounge,68,51,2,True,1
104,Reception + Cafe,68,51,2,True,2
102,Lower Lounge,68,51,2,True,1
100,Studio,68,51,2,True,1
99,Comms Room,67,51,2,True,1
98,Service Space,69,51,2,True,1
166,Reception,97,70,2,True,1
115,Kitchen,71,52,2,True,1
114,Lounge + Cafe,71,52,2,True,1
113,Ground Floor - Comms Room,71,52,2,True,2
108,Gym,70,52,2,True,1
105,Basement - Comms Room,70,52,2,True,1
107,Lockers + Common Space,70,52,2,True,1
116,Roof - Roof Bar,72,52,2,True,3
163,Reception,94,67,2,True,1
158,Entrance,89,63,2,True,1
157,Comms Room,89,63,2,True,2
156,Cafe,88,63,2,True,1
29,Reception,13,10,2,True,1
70,Lounge,48,35,2,True,1
69,Reception,48,35,2,True,1
89,Restaurant,60,45,2,True,1
25,Reception,9,6,2,True,1
74,Reception,52,39,2,True,1
165,Reception,96,69,2,True,1
71,Reception,49,36,2,True,1
65,Lounge,44,31,2,True,1
97,Gym,66,50,2,True,1
95,"Reception, Lounge and Vanity Area",65,50,2,True,1
145,Reception,83,60,2,True,1
33,Reception,17,14,2,True,1
162,Reception,93,66,2,True,1
54,Reception,33,22,2,True,1
53,Reception,32,22,2,True,1
144,Reception,82,59,2,True,1
32,Reception,16,13,2,True,1
161,Reception,92,65,2,True,1
3,Reception,3,2,2,True,2
2,Gym,2,2,2,True,1
41,Main Entrance,21,16,2,True,1
40,Vanity,20,16,2,True,1
39,Gym,20,16,2,True,1
38,Gym Entrance,20,16,2,True,1
43,3rd Floor Lounge,23,16,2,True,1
42,2nd Floor Lounge,22,16,2,True,1
153,Comms,87,62,2,True,2
155,Terrace,87,62,2,True,1
152,Reception,86,62,2,True,1
185,Reception,110,75,2,True,1
172,Reception,103,73,2,True,1
88,Reception,59,44,2,True,1
30,Kitchen,14,11,2,True,1
178,Loft,104,42,2,True,1
85,Reception,56,42,2,True,1
86,Comms,56,42,2,True,2
84,Vanity + Showers,57,42,2,True,1
174,Gym,57,42,2,True,1
83,Reception,55,41,2,True,1
90,Conference-Centre,61,46,2,True,1
82,Gym + Studio,54,40,2,True,2
81,Corridor,54,40,2,True,1
80,Reception,53,40,2,True,1
79,Lift Lobby,53,40,2,True,1
77,Atrium,53,40,2,True,1
75,Comms,53,40,2,True,3
78,Lounge,53,40,2,True,1
76,Co-Working,53,40,2,True,1
87,Reception,58,43,2,True,1
106,Reception,73,53,2,True,1
66,Lounge,45,32,2,True,1
28,Kitchen,12,9,2,True,1
26,Reception,10,7,2,True,1
73,Basement - Co-Working + Vanity,51,38,2,True,1
34,Reception,18,15,2,True,1
37,Comms Room,19,15,2,True,2
35,Gym,19,15,2,True,1
36,Showers + Lounge,19,15,2,True,1
92,Reception,63,48,2,True,1
60,Lounge,39,26,2,True,1
59,Reception,38,26,2,True,1
31,Reception,15,12,2,True,1
173,Gym,101,72,2,True,1
