ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,950,781,7.86,4.20,27.27,40,3185.33,79.63,51,Solstice Ceramic Set,2025-12-12,539.97,272,1.99,5.90
1765564531700,941,849,8.60,4.19,36.40,39,2920.07,74.87,51,Solstice Ceramic Set,2025-12-12,500.20,229,2.18,5.84
1765568131700,929,880,9.76,3.95,37.60,37,2903.67,78.48,48,Solstice Ceramic Set,2025-12-12,539.33,217,2.49,5.38
1765571731700,1003,893,8.87,5.09,39.08,51,4037.88,79.17,94,Solstice Ceramic Set,2025-12-12,448.26,181,2.48,9.01
1765575331700,1071,978,10.41,4.43,38.00,47,3708.65,78.91,62,Solstice Ceramic Set,2025-12-12,551.11,297,1.86,6.73
1765578931700,1184,1078,9.42,5.42,26.44,64,5324.27,83.19,117,Solstice Ceramic Set,2025-12-12,471.35,158,2.98,11.30
1765582531700,1301,1227,9.94,5.57,41.10,73,5428.50,74.36,120,Solstice Ceramic Set,2025-12-12,468.73,191,2.45,11.58
1765586131700,1425,1162,10.87,5.77,32.39,82,6563.06,80.04,114,Solstice Ceramic Set,2025-12-13,520.92,207,2.52,12.60
1765589731700,1531,1315,9.98,4.91,32.11,75,5824.53,77.66,122,Solstice Ceramic Set,2025-12-13,508.41,223,2.28,11.46
1765593331700,1657,1365,11.65,4.87,33.17,81,5936.92,73.30,130,Solstice Ceramic Set,2025-12-13,479.23,162,2.96,12.39
1765596931700,1736,1443,13.60,5.02,40.26,87,6638.44,76.30,141,Solstice Ceramic Set,2025-12-13,584.57,217,2.69,11.36
1765600531700,1835,1661,11.58,5.46,44.39,100,8135.73,81.36,180,Solstice Ceramic Set,2025-12-13,556.70,210,2.65,14.61
1765604131700,1893,1668,11.64,6.32,33.20,120,10400.31,86.67,162,Solstice Ceramic Set,2025-12-13,509.61,277,1.84,20.41
1765607731700,1880,1655,12.07,4.91,41.13,92,7306.52,79.42,112,Solstice Ceramic Set,2025-12-13,495.10,248,2.00,14.76
1765611331700,1877,1675,12.49,5.27,37.39,99,6995.42,70.66,148,Solstice Ceramic Set,2025-12-13,599.09,254,2.36,11.68
1765614931700,1823,1654,13.18,5.07,38.09,93,6769.51,72.79,174,Solstice Ceramic Set,2025-12-13,591.85,217,2.73,11.44
1765618531700,1740,1452,11.52,6.29,38.30,109,7634.87,70.04,151,Solstice Ceramic Set,2025-12-13,576.64,201,2.87,13.24
1765622131700,1643,1549,12.77,6.27,34.03,103,8866.87,86.09,180,Solstice Ceramic Set,2025-12-13,575.29,283,2.03,15.41
1765625731700,1538,1442,11.86,6.08,28.46,94,8057.26,85.72,149,Solstice Ceramic Set,2025-12-13,470.02,251,1.87,17.14
1765629331700,1393,1150,10.40,5.38,41.00,75,6319.77,84.26,127,Solstice Ceramic Set,2025-12-13,523.76,290,1.81,12.07
1765632931700,1298,1075,9.17,5.08,33.08,66,5562.09,84.27,106,Solstice Ceramic Set,2025-12-13,461.24,169,2.73,12.06
1765636531700,1159,1003,11.31,5.23,34.91,61,4599.10,75.40,100,Solstice Ceramic Set,2025-12-13,514.94,262,1.97,8.93
1765640131700,1052,988,9.72,5.26,32.06,55,4014.18,72.99,92,Solstice Ceramic Set,2025-12-13,519.72,190,2.74,7.72
1765643731700,988,834,8.00,4.36,25.28,43,3288.89,76.49,54,Solstice Ceramic Set,2025-12-13,479.15,210,2.28,6.86
1765647331700,1034,977,10.25,5.01,31.02,52,4330.02,83.27,79,Solstice Ceramic Set,2025-12-13,549.76,197,2.79,7.88
1765650931700,999,914,7.67,3.69,34.57,37,2811.21,75.98,47,Solstice Ceramic Set,2025-12-13,525.00,237,2.22,5.35
1765654531700,1030,905,8.32,4.02,40.63,41,3047.82,74.34,72,Solstice Ceramic Set,2025-12-13,513.67,284,1.81,5.93
1765658131700,1088,931,9.62,4.39,38.77,48,4118.54,85.80,89,Solstice Ceramic Set,2025-12-13,530.22,278,1.91,7.77
1765661731700,1156,926,10.58,4.40,28.29,51,4302.20,84.36,67,Solstice Ceramic Set,2025-12-13,448.27,154,2.91,9.60
1765665331700,1286,1063,9.44,5.22,37.19,67,5448.97,81.33,101,Solstice Ceramic Set,2025-12-13,547.62,211,2.60,9.95
1765668931700,1422,1272,10.44,5.53,26.50,79,5606.95,70.97,129,Solstice Ceramic Set,2025-12-13,554.15,275,2.02,10.12
1765672531700,1534,1305,12.03,4.44,31.85,68,5471.36,80.46,92,Solstice Ceramic Set,2025-12-14,517.88,248,2.09,10.56
1765676131700,1693,1576,12.09,4.53,29.96,77,5349.02,69.47,133,Solstice Ceramic Set,2025-12-14,540.86,201,2.69,9.89
1765679731700,1789,1662,13.39,5.13,29.70,92,7279.91,79.13,118,Solstice Ceramic Set,2025-12-14,549.86,300,1.83,13.24
1765683331700,1910,1789,12.27,6.37,36.08,122,8814.80,72.25,182,Solstice Ceramic Set,2025-12-14,498.44,180,2.77,17.68
1765686931700,2011,1655,12.02,5.38,36.97,108,9032.83,83.64,161,Solstice Ceramic Set,2025-12-14,541.00,212,2.55,16.70
1765690531700,2037,1679,12.32,5.63,44.01,115,8543.29,74.29,202,Solstice Ceramic Set,2025-12-14,589.52,203,2.90,14.49
1765694131700,2054,1755,14.31,5.92,29.61,122,8962.36,73.46,196,Solstice Ceramic Set,2025-12-14,602.80,313,1.93,14.87
1765697731700,2067,1752,14.19,5.93,41.43,123,10352.11,84.16,148,Solstice Ceramic Set,2025-12-14,527.18,277,1.90,19.64
1765701331700,2000,1703,12.06,4.92,39.37,98,7476.58,76.29,143,Solstice Ceramic Set,2025-12-14,517.84,287,1.80,14.44
1765704931700,1925,1802,13.64,5.40,39.54,104,8477.64,81.52,197,Solstice Ceramic Set,2025-12-14,491.38,185,2.66,17.25
1765708531700,1789,1487,10.47,6.29,43.67,112,7910.54,70.63,161,Solstice Ceramic Set,2025-12-14,526.84,254,2.07,15.02
1765712131700,1664,1372,12.19,4.43,29.96,74,5894.82,79.66,103,Solstice Ceramic Set,2025-12-14,525.77,272,1.93,11.21
1765715731700,1536,1426,9.60,4.39,39.82,67,5250.09,78.36,87,Solstice Ceramic Set,2025-12-14,472.65,228,2.07,11.11
1765719331700,1418,1137,9.10,4.79,38.60,68,5021.83,73.85,110,Solstice Ceramic Set,2025-12-14,555.68,253,2.20,9.04
1765722931700,1263,1178,9.59,4.09,31.82,52,3638.68,69.97,97,Solstice Ceramic Set,2025-12-14,480.10,249,1.93,7.58
1765726531700,1174,1048,8.46,5.05,32.43,59,4599.29,77.95,87,Solstice Ceramic Set,2025-12-14,462.70,193,2.40,9.94
1765730131700,1070,1007,9.62,4.03,40.31,43,3221.73,74.92,67,Solstice Ceramic Set,2025-12-14,461.20,239,1.93,6.99
1765733731700,1054,916,7.99,4.39,25.35,46,3650.68,79.36,73,Solstice Ceramic Set,2025-12-14,508.67,185,2.75,7.18
1765737331700,1043,956,10.19,4.78,28.68,50,4132.61,82.65,78,Solstice Ceramic Set,2025-12-14,538.54,203,2.65,7.67
1765740931700,1048,920,10.14,5.22,25.08,55,4481.05,81.47,87,Solstice Ceramic Set,2025-12-14,498.32,261,1.91,8.99
1765744531700,1112,960,7.93,4.70,30.57,52,3788.95,72.86,66,Solstice Ceramic Set,2025-12-14,503.39,278,1.81,7.53
1765748131700,1184,1021,9.29,5.57,31.57,66,5724.53,86.74,118,Solstice Ceramic Set,2025-12-14,485.42,178,2.73,11.79
1765751731700,1314,1206,10.92,4.21,41.35,55,4414.19,80.26,79,Solstice Ceramic Set,2025-12-14,514.34,249,2.07,8.58
1765755331700,1416,1325,9.57,5.47,36.69,77,6175.02,80.20,131,Solstice Ceramic Set,2025-12-14,488.69,251,1.95,12.64
