ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,944,860,9.64,3.95,38.31,37,3228.84,87.27,54,Lumen Glassware,2025-12-12,533.43,253,2.11,6.05
1765564531700,938,801,8.61,5.26,36.65,49,3992.86,81.49,68,Lumen Glassware,2025-12-12,537.10,252,2.13,7.43
1765568131700,961,810,10.00,4.87,30.55,47,3860.54,82.14,85,Lumen Glassware,2025-12-12,532.93,223,2.39,7.24
1765571731700,1010,854,8.05,4.69,40.90,47,3602.41,76.65,65,Lumen Glassware,2025-12-12,502.95,230,2.19,7.16
1765575331700,1068,900,9.66,4.70,27.62,50,4102.94,82.06,65,Lumen Glassware,2025-12-12,536.11,233,2.30,7.65
1765578931700,1175,991,11.38,5.30,28.22,62,4525.21,72.99,117,Lumen Glassware,2025-12-12,517.06,255,2.03,8.75
1765582531700,1284,1093,11.00,4.58,40.79,59,5149.20,87.27,89,Lumen Glassware,2025-12-12,564.67,195,2.90,9.12
1765586131700,1433,1322,9.58,5.17,36.91,74,6256.59,84.55,106,Lumen Glassware,2025-12-13,476.19,173,2.75,13.14
1765589731700,1562,1406,12.57,4.77,32.27,74,6631.55,89.62,130,Lumen Glassware,2025-12-13,551.55,280,1.97,12.02
1765593331700,1674,1564,13.17,6.01,43.00,101,8981.99,88.93,179,Lumen Glassware,2025-12-13,526.62,252,2.09,17.06
1765596931700,1786,1644,12.94,5.66,34.20,101,7782.18,77.05,161,Lumen Glassware,2025-12-13,479.95,183,2.62,16.21
1765600531700,1870,1668,12.41,6.03,37.54,113,8381.91,74.18,151,Lumen Glassware,2025-12-13,541.04,208,2.60,15.49
1765604131700,1915,1740,12.70,5.66,31.03,108,7944.15,73.56,184,Lumen Glassware,2025-12-13,509.67,273,1.87,15.59
1765607731700,1919,1737,12.59,6.24,41.62,120,10173.13,84.78,165,Lumen Glassware,2025-12-13,544.91,213,2.56,18.67
1765611331700,1906,1688,13.55,5.26,40.13,100,7620.90,76.21,186,Lumen Glassware,2025-12-13,588.26,203,2.90,12.96
1765614931700,1841,1714,11.51,5.06,34.34,93,6943.93,74.67,171,Lumen Glassware,2025-12-13,545.05,225,2.42,12.74
1765618531700,1776,1648,10.83,5.10,43.86,90,7028.24,78.09,131,Lumen Glassware,2025-12-13,514.38,183,2.81,13.66
1765622131700,1684,1556,12.53,6.19,36.00,104,7908.87,76.05,197,Lumen Glassware,2025-12-13,533.60,285,1.87,14.82
1765625731700,1568,1371,12.61,4.80,37.82,75,5517.88,73.57,111,Lumen Glassware,2025-12-13,488.57,217,2.25,11.29
1765629331700,1417,1170,11.84,5.59,40.84,79,5925.15,75.00,103,Lumen Glassware,2025-12-13,464.73,248,1.87,12.75
1765632931700,1290,1094,10.94,4.48,39.41,58,4202.71,72.46,85,Lumen Glassware,2025-12-13,489.15,230,2.13,8.59
1765636531700,1177,1110,8.82,5.63,40.79,66,5244.78,79.47,88,Lumen Glassware,2025-12-13,557.65,308,1.81,9.41
1765640131700,1091,1003,9.03,4.09,31.23,45,3744.62,83.21,74,Lumen Glassware,2025-12-13,521.42,264,1.98,7.18
