ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,960,813,8.62,4.07,38.84,39,3593.19,92.13,65,Juniper Hydrating Mask,2025-12-12,455.94,212,2.15,7.88
1765564531700,957,813,10.17,5.24,33.96,50,4641.27,92.83,75,Juniper Hydrating Mask,2025-12-12,452.56,222,2.04,10.26
1765568131700,991,808,8.75,5.25,36.21,52,4880.29,93.85,77,Juniper Hydrating Mask,2025-12-12,460.72,239,1.93,10.59
1765571731700,1016,939,8.54,5.23,25.48,53,4728.80,89.22,84,Juniper Hydrating Mask,2025-12-12,488.60,165,2.96,9.68
1765575331700,1129,1054,8.52,4.22,29.04,48,4027.47,83.91,86,Juniper Hydrating Mask,2025-12-12,515.97,207,2.49,7.81
1765578931700,1224,1156,9.97,5.65,36.12,69,6795.73,98.49,129,Juniper Hydrating Mask,2025-12-12,523.41,192,2.73,12.98
1765582531700,1335,1174,10.88,5.38,35.53,72,7009.45,97.35,95,Juniper Hydrating Mask,2025-12-12,544.11,206,2.64,12.88
1765586131700,1453,1180,12.32,5.20,29.38,76,7340.48,96.59,137,Juniper Hydrating Mask,2025-12-13,462.34,162,2.85,15.88
1765589731700,1589,1457,12.30,4.47,39.64,71,6086.92,85.73,88,Juniper Hydrating Mask,2025-12-13,492.67,241,2.04,12.35
1765593331700,1739,1623,12.15,6.01,42.58,104,9263.63,89.07,194,Juniper Hydrating Mask,2025-12-13,486.64,226,2.15,19.04
1765596931700,1825,1462,10.95,4.90,43.98,89,7757.05,87.16,159,Juniper Hydrating Mask,2025-12-13,539.37,239,2.26,14.38
1765600531700,1927,1714,11.64,5.89,39.20,113,10731.18,94.97,149,Juniper Hydrating Mask,2025-12-13,583.29,208,2.80,18.40
1765604131700,1966,1669,14.00,5.37,42.82,106,10441.96,98.51,175,Juniper Hydrating Mask,2025-12-13,547.54,226,2.42,19.07
1765607731700,1978,1738,12.68,6.58,38.79,130,11395.60,87.66,219,Juniper Hydrating Mask,2025-12-13,488.31,170,2.87,23.34
1765611331700,1950,1576,14.07,6.26,29.97,122,11864.61,97.25,176,Juniper Hydrating Mask,2025-12-13,551.49,251,2.20,21.51
1765614931700,1920,1734,11.71,5.13,35.83,98,8724.31,89.02,169,Juniper Hydrating Mask,2025-12-13,541.48,267,2.03,16.11
1765618531700,1825,1543,11.16,6.32,31.99,115,9785.52,85.09,179,Juniper Hydrating Mask,2025-12-13,569.26,281,2.03,17.19
1765622131700,1735,1468,12.50,4.92,33.71,85,8370.63,98.48,145,Juniper Hydrating Mask,2025-12-13,554.49,244,2.27,15.10
1765625731700,1600,1294,10.15,4.96,33.00,79,7737.23,97.94,138,Juniper Hydrating Mask,2025-12-13,538.22,234,2.30,14.38
1765629331700,1474,1236,12.29,4.61,38.64,68,6408.77,94.25,104,Juniper Hydrating Mask,2025-12-13,562.85,240,2.35,11.39
1765632931700,1358,1148,11.03,5.49,38.36,75,6579.23,87.72,128,Juniper Hydrating Mask,2025-12-13,546.80,289,1.89,12.03
1765636531700,1218,1087,10.59,5.12,40.15,62,5373.97,86.68,109,Juniper Hydrating Mask,2025-12-13,472.70,249,1.90,11.37
1765640131700,1117,944,9.70,5.43,36.64,61,5545.21,90.91,78,Juniper Hydrating Mask,2025-12-13,526.06,278,1.89,10.54
1765643731700,1042,971,8.87,3.83,35.69,40,3475.66,86.89,52,Juniper Hydrating Mask,2025-12-13,553.91,244,2.27,6.27
1765647331700,1069,926,8.66,4.95,32.59,53,4399.80,83.02,94,Juniper Hydrating Mask,2025-12-13,520.11,257,2.02,8.46
1765650931700,1037,911,9.27,4.45,31.00,46,4100.75,89.15,85,Juniper Hydrating Mask,2025-12-13,547.78,268,2.04,7.49
1765654531700,1053,982,8.92,4.12,27.95,43,3831.94,89.11,61,Juniper Hydrating Mask,2025-12-13,521.48,200,2.61,7.35
1765658131700,1140,1060,8.06,5.35,32.99,61,5544.16,90.89,82,Juniper Hydrating Mask,2025-12-13,457.56,225,2.03,12.12
1765661731700,1209,994,10.50,5.48,29.71,66,6505.72,98.57,106,Juniper Hydrating Mask,2025-12-13,454.41,177,2.57,14.32
1765665331700,1331,1116,9.19,5.60,36.90,74,6342.07,85.70,139,Juniper Hydrating Mask,2025-12-13,507.17,180,2.82,12.50
1765668931700,1466,1387,9.05,5.45,27.51,80,7734.61,96.68,135,Juniper Hydrating Mask,2025-12-13,569.51,296,1.92,13.58
1765672531700,1602,1292,11.24,4.30,36.26,69,6137.19,88.94,90,Juniper Hydrating Mask,2025-12-14,533.20,186,2.87,11.51
1765676131700,1746,1639,10.57,4.85,42.40,85,7984.44,93.93,126,Juniper Hydrating Mask,2025-12-14,487.89,248,1.97,16.37
1765679731700,1889,1772,12.95,4.52,41.23,85,8082.90,95.09,116,Juniper Hydrating Mask,2025-12-14,534.40,244,2.19,15.13
