ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,978,808,7.49,4.65,26.97,45,3484.28,77.43,75,Velvet Bay Candle,2025-12-12,510.39,250,2.04,6.83
1765564531700,943,811,10.08,5.35,40.75,50,4145.18,82.90,70,Velvet Bay Candle,2025-12-12,445.61,213,2.09,9.30
1765568131700,979,860,8.44,5.07,32.11,50,4395.22,87.90,67,Velvet Bay Candle,2025-12-12,481.61,216,2.23,9.13
1765571731700,997,923,9.43,4.13,28.43,41,3762.37,91.77,56,Velvet Bay Candle,2025-12-12,536.67,223,2.41,7.01
1765575331700,1070,915,8.03,5.10,39.75,55,4661.28,84.75,98,Velvet Bay Candle,2025-12-12,511.45,270,1.89,9.11
1765578931700,1196,1096,11.12,4.37,34.29,52,4538.00,87.27,72,Velvet Bay Candle,2025-12-12,544.74,276,1.97,8.33
1765582531700,1311,1060,9.44,4.76,40.60,62,5174.59,83.46,86,Velvet Bay Candle,2025-12-12,548.39,287,1.91,9.44
1765586131700,1432,1275,10.46,4.49,42.10,64,5057.33,79.02,82,Velvet Bay Candle,2025-12-13,570.91,217,2.63,8.86
1765589731700,1575,1359,10.54,5.58,34.52,88,7602.68,86.39,130,Velvet Bay Candle,2025-12-13,568.20,298,1.91,13.38
1765593331700,1689,1409,11.02,5.57,35.15,94,7895.50,83.99,121,Velvet Bay Candle,2025-12-13,568.25,315,1.80,13.89
1765596931700,1790,1572,11.00,5.63,30.54,101,9097.42,90.07,130,Velvet Bay Candle,2025-12-13,507.69,177,2.87,17.92
1765600531700,1889,1645,12.67,6.11,37.97,115,8929.78,77.65,188,Velvet Bay Candle,2025-12-13,589.82,259,2.28,15.14
1765604131700,1901,1795,13.06,5.70,43.06,108,9475.46,87.74,192,Velvet Bay Candle,2025-12-13,546.70,276,1.98,17.33
1765607731700,1954,1609,12.74,6.51,29.19,127,10926.75,86.04,178,Velvet Bay Candle,2025-12-13,575.02,295,1.95,19.00
1765611331700,1923,1676,14.22,4.84,41.26,93,8503.29,91.43,115,Velvet Bay Candle,2025-12-13,492.40,219,2.25,17.27
1765614931700,1860,1621,11.68,6.21,41.40,116,9310.27,80.26,180,Velvet Bay Candle,2025-12-13,507.25,198,2.56,18.35
