ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,990,921,9.06,4.65,25.71,46,3660.65,79.58,83,Lumen Glow Serum,2025-12-12,544.51,299,1.82,6.72
1765564531700,951,810,8.23,3.94,32.31,37,3377.26,91.28,62,Lumen Glow Serum,2025-12-12,442.05,161,2.75,7.64
1765568131700,989,914,8.41,5.27,28.89,52,4258.74,81.90,95,Lumen Glow Serum,2025-12-12,486.08,221,2.20,8.76
1765571731700,1001,869,8.13,4.89,28.36,49,4252.40,86.78,85,Lumen Glow Serum,2025-12-12,528.23,184,2.87,8.05
1765575331700,1102,966,8.81,3.78,36.71,42,3913.99,93.19,61,Lumen Glow Serum,2025-12-12,479.49,231,2.08,8.16
1765578931700,1214,1152,10.37,4.31,27.36,52,4331.01,83.29,91,Lumen Glow Serum,2025-12-12,525.25,185,2.84,8.25
1765582531700,1312,1177,11.01,5.84,40.93,77,7146.68,92.81,136,Lumen Glow Serum,2025-12-12,546.08,269,2.03,13.09
1765586131700,1436,1268,11.05,4.21,41.77,61,5739.69,94.09,91,Lumen Glow Serum,2025-12-13,481.25,222,2.17,11.93
1765589731700,1570,1397,11.69,5.38,34.20,84,7772.64,92.53,155,Lumen Glow Serum,2025-12-13,561.96,188,2.99,13.83
1765593331700,1721,1531,11.94,4.87,42.35,84,7883.31,93.85,122,Lumen Glow Serum,2025-12-13,524.93,206,2.55,15.02
1765596931700,1799,1456,11.33,5.37,39.39,97,7824.05,80.66,141,Lumen Glow Serum,2025-12-13,483.05,203,2.38,16.20
1765600531700,1893,1589,12.96,6.10,39.54,116,9830.73,84.75,187,Lumen Glow Serum,2025-12-13,588.05,317,1.86,16.72
1765604131700,1938,1713,12.35,6.43,33.08,125,11816.18,94.53,191,Lumen Glow Serum,2025-12-13,499.67,188,2.66,23.65
1765607731700,1943,1819,11.40,5.47,33.49,106,8425.48,79.49,176,Lumen Glow Serum,2025-12-13,536.61,220,2.44,15.70
1765611331700,1946,1573,13.41,5.15,42.13,100,9342.37,93.42,175,Lumen Glow Serum,2025-12-13,495.95,211,2.35,18.84
1765614931700,1906,1636,12.86,5.13,35.61,98,8873.26,90.54,120,Lumen Glow Serum,2025-12-13,485.09,251,1.93,18.29
1765618531700,1804,1523,12.89,5.76,40.68,104,9205.96,88.52,158,Lumen Glow Serum,2025-12-13,525.25,237,2.22,17.53
1765622131700,1726,1540,11.94,5.46,37.14,94,9008.39,95.83,147,Lumen Glow Serum,2025-12-13,574.09,231,2.49,15.69
1765625731700,1572,1484,11.61,5.38,34.37,85,7695.40,90.53,119,Lumen Glow Serum,2025-12-13,562.64,256,2.20,13.68
