ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,822,681,5.37,4.20,31.78,35,2623.17,74.95,51,Solstice Ceramic Set,2025-12-12,532.01,197,2.70,4.93
1765564531700,811,682,6.93,3.05,30.47,25,1788.62,71.54,47,Solstice Ceramic Set,2025-12-12,540.38,235,2.30,3.31
1765568131700,828,702,8.04,3.12,36.05,26,1815.45,69.83,46,Solstice Ceramic Set,2025-12-12,485.37,254,1.91,3.74
1765571731700,858,744,8.06,3.51,36.21,30,2110.35,70.35,43,Solstice Ceramic Set,2025-12-12,519.25,253,2.05,4.06
1765575331700,946,858,6.07,3.04,40.02,29,2383.16,82.18,36,Solstice Ceramic Set,2025-12-12,540.14,275,1.96,4.41
1765578931700,1020,922,8.22,4.12,33.63,42,3228.48,76.87,56,Solstice Ceramic Set,2025-12-12,553.94,239,2.32,5.83
1765582531700,1119,1009,7.54,3.46,37.95,39,2758.45,70.73,48,Solstice Ceramic Set,2025-12-12,505.65,234,2.16,5.46
1765586131700,1248,1094,7.41,4.60,46.85,57,4394.44,77.10,82,Solstice Ceramic Set,2025-12-13,493.56,265,1.86,8.90
1765589731700,1355,1215,10.47,3.68,40.86,50,3459.19,69.18,93,Solstice Ceramic Set,2025-12-13,513.63,199,2.58,6.73
1765593331700,1442,1367,10.45,4.36,33.01,63,5051.62,80.18,93,Solstice Ceramic Set,2025-12-13,513.48,258,1.99,9.84
1765596931700,1543,1296,9.36,4.91,39.12,76,6304.71,82.96,99,Solstice Ceramic Set,2025-12-13,524.84,269,1.95,12.01
1765600531700,1593,1439,9.73,5.28,42.21,84,5948.76,70.82,135,Solstice Ceramic Set,2025-12-13,487.94,167,2.92,12.19
1765604131700,1632,1511,10.29,3.76,34.08,61,4502.36,73.81,104,Solstice Ceramic Set,2025-12-13,523.23,254,2.06,8.60
1765607731700,1646,1352,11.66,3.70,33.49,61,4249.20,69.66,92,Solstice Ceramic Set,2025-12-13,523.23,218,2.40,8.12
1765611331700,1627,1382,11.62,4.22,39.20,69,4952.70,71.78,90,Solstice Ceramic Set,2025-12-13,499.98,227,2.20,9.91
1765614931700,1595,1293,9.52,4.96,44.53,79,6584.52,83.35,117,Solstice Ceramic Set,2025-12-13,502.83,188,2.67,13.09
1765618531700,1523,1246,8.62,4.54,37.76,69,5978.58,86.65,116,Solstice Ceramic Set,2025-12-13,487.53,223,2.19,12.26
1765622131700,1452,1322,9.29,4.93,43.13,72,6218.40,86.37,96,Solstice Ceramic Set,2025-12-13,531.87,212,2.51,11.69
1765625731700,1332,1216,10.70,4.55,37.61,61,4650.68,76.24,85,Solstice Ceramic Set,2025-12-13,549.49,196,2.80,8.46
1765629331700,1236,1154,7.87,4.25,38.55,53,3933.74,74.22,66,Solstice Ceramic Set,2025-12-13,504.64,252,2.00,7.80
1765632931700,1116,1014,6.95,4.58,34.30,51,4021.64,78.86,92,Solstice Ceramic Set,2025-12-13,499.69,251,1.99,8.05
