ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,813,683,5.68,3.48,41.09,28,2120.82,75.74,41,Lumen Glassware,2025-12-12,485.84,200,2.43,4.37
1765564531700,810,655,6.61,3.72,38.82,30,2551.55,85.05,47,Lumen Glassware,2025-12-12,551.14,237,2.33,4.63
1765568131700,845,708,6.44,3.21,38.49,27,1996.87,73.96,33,Lumen Glassware,2025-12-12,481.55,245,1.97,4.15
1765571731700,889,788,5.90,3.84,31.74,34,2620.56,77.08,43,Lumen Glassware,2025-12-12,541.00,190,2.85,4.84
1765575331700,948,812,6.82,3.66,43.57,35,2720.26,77.72,54,Lumen Glassware,2025-12-12,453.87,167,2.72,5.99
1765578931700,1021,961,6.78,3.37,43.52,34,2847.27,83.74,52,Lumen Glassware,2025-12-12,480.54,213,2.26,5.93
1765582531700,1136,909,9.17,3.02,44.36,34,2794.75,82.20,63,Lumen Glassware,2025-12-12,454.51,188,2.42,6.15
1765586131700,1225,1116,9.56,3.28,33.91,40,3317.50,82.94,67,Lumen Glassware,2025-12-13,552.40,292,1.89,6.01
1765589731700,1348,1110,10.34,4.91,45.12,66,5679.44,86.05,116,Lumen Glassware,2025-12-13,557.79,216,2.58,10.18
1765593331700,1469,1175,10.10,4.79,41.99,70,6276.05,89.66,125,Lumen Glassware,2025-12-13,495.04,233,2.12,12.68
1765596931700,1545,1425,9.52,3.69,37.00,57,5076.34,89.06,87,Lumen Glassware,2025-12-13,525.12,236,2.23,9.67
1765600531700,1624,1381,9.54,4.42,43.34,72,5697.16,79.13,122,Lumen Glassware,2025-12-13,495.61,221,2.24,11.50
1765604131700,1656,1410,11.36,5.35,34.22,89,7667.53,86.15,109,Lumen Glassware,2025-12-13,492.83,174,2.83,15.56
1765607731700,1685,1427,11.22,5.20,46.51,88,7306.42,83.03,138,Lumen Glassware,2025-12-13,536.59,258,2.08,13.62
1765611331700,1645,1499,11.66,4.35,38.99,72,5622.23,78.09,114,Lumen Glassware,2025-12-13,577.15,299,1.93,9.74
1765614931700,1610,1457,11.50,4.38,38.75,71,6332.53,89.19,108,Lumen Glassware,2025-12-13,559.56,275,2.03,11.32
1765618531700,1561,1412,9.63,4.95,45.68,77,6632.58,86.14,107,Lumen Glassware,2025-12-13,551.93,241,2.29,12.02
1765622131700,1473,1223,9.14,4.09,32.72,60,4880.13,81.34,82,Lumen Glassware,2025-12-13,528.11,208,2.54,9.24
1765625731700,1342,1233,7.96,4.54,37.77,61,5394.28,88.43,86,Lumen Glassware,2025-12-13,473.30,218,2.17,11.40
1765629331700,1245,1005,7.50,3.62,33.09,45,3245.80,72.13,78,Lumen Glassware,2025-12-13,547.27,204,2.68,5.93
1765632931700,1120,1048,6.97,2.97,35.91,33,2957.19,89.61,62,Lumen Glassware,2025-12-13,490.54,181,2.71,6.03
