ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,872,742,7.01,3.99,32.98,35,3273.42,93.53,53,Juniper Hydrating Mask,2025-12-12,490.35,215,2.28,6.68
1765564531700,847,799,6.94,2.54,42.22,22,2174.55,98.84,29,Juniper Hydrating Mask,2025-12-12,502.72,242,2.08,4.33
1765568131700,869,713,7.97,3.79,29.11,33,2905.55,88.05,59,Juniper Hydrating Mask,2025-12-12,551.22,251,2.20,5.27
1765571731700,903,797,8.13,3.31,36.76,30,2516.41,83.88,36,Juniper Hydrating Mask,2025-12-12,480.73,170,2.83,5.23
1765575331700,983,867,6.80,3.02,30.72,30,2553.47,85.12,40,Juniper Hydrating Mask,2025-12-12,546.35,251,2.18,4.67
1765578931700,1072,920,9.19,3.22,44.37,34,2775.81,81.64,50,Juniper Hydrating Mask,2025-12-12,512.04,215,2.38,5.42
1765582531700,1165,1066,9.11,4.30,35.01,50,4682.12,93.64,82,Juniper Hydrating Mask,2025-12-12,518.47,260,1.99,9.03
1765586131700,1286,1170,8.20,4.65,43.94,60,5346.81,89.11,107,Juniper Hydrating Mask,2025-12-13,539.88,255,2.12,9.90
1765589731700,1423,1197,10.57,4.27,43.29,61,5782.69,94.80,98,Juniper Hydrating Mask,2025-12-13,516.23,261,1.98,11.20
1765593331700,1497,1306,9.03,3.31,36.28,50,4130.58,82.61,70,Juniper Hydrating Mask,2025-12-13,574.01,264,2.17,7.20
1765596931700,1591,1415,9.15,3.44,36.17,55,4975.02,90.45,102,Juniper Hydrating Mask,2025-12-13,585.15,250,2.34,8.50
1765600531700,1662,1574,9.74,4.80,38.15,80,6698.66,83.73,125,Juniper Hydrating Mask,2025-12-13,483.74,225,2.15,13.85
1765604131700,1717,1421,11.32,4.85,42.56,83,7057.88,85.03,157,Juniper Hydrating Mask,2025-12-13,531.86,260,2.05,13.27
1765607731700,1753,1639,11.47,4.60,36.29,81,7186.29,88.72,130,Juniper Hydrating Mask,2025-12-13,533.98,285,1.87,13.46
1765611331700,1714,1522,12.06,3.65,38.77,63,6092.23,96.70,108,Juniper Hydrating Mask,2025-12-13,505.61,274,1.85,12.05
1765614931700,1669,1568,10.33,5.26,42.19,88,7798.56,88.62,166,Juniper Hydrating Mask,2025-12-13,525.21,195,2.69,14.85
1765618531700,1604,1465,10.74,3.85,37.57,62,5790.75,93.40,79,Juniper Hydrating Mask,2025-12-13,595.87,319,1.87,9.72
1765622131700,1499,1242,11.07,3.70,43.86,55,5298.21,96.33,89,Juniper Hydrating Mask,2025-12-13,483.17,192,2.52,10.97
1765625731700,1407,1231,9.68,4.66,38.66,66,6491.45,98.36,108,Juniper Hydrating Mask,2025-12-13,469.24,222,2.11,13.83
1765629331700,1309,1159,9.23,3.98,39.28,52,4217.63,81.11,82,Juniper Hydrating Mask,2025-12-13,518.36,195,2.66,8.14
1765632931700,1174,1100,7.32,3.41,33.44,40,3763.89,94.10,75,Juniper Hydrating Mask,2025-12-13,497.87,201,2.48,7.56
1765636531700,1056,977,6.54,4.41,45.29,47,3973.25,84.54,63,Juniper Hydrating Mask,2025-12-13,485.75,226,2.15,8.18
1765640131700,975,883,7.43,2.67,30.61,26,2542.10,97.77,32,Juniper Hydrating Mask,2025-12-13,513.19,236,2.17,4.95
1765643731700,918,815,8.03,2.68,36.80,25,2184.97,87.40,39,Juniper Hydrating Mask,2025-12-13,473.08,235,2.01,4.62
1765647331700,934,858,6.44,3.46,36.28,32,2949.55,92.17,54,Juniper Hydrating Mask,2025-12-13,481.19,173,2.78,6.13
1765650931700,924,781,6.37,3.97,33.22,37,3195.50,86.36,68,Juniper Hydrating Mask,2025-12-13,514.39,193,2.67,6.21
1765654531700,947,852,5.81,3.38,38.38,32,3063.40,95.73,50,Juniper Hydrating Mask,2025-12-13,472.54,222,2.13,6.48
1765658131700,978,796,6.37,3.73,42.43,36,3200.80,88.91,66,Juniper Hydrating Mask,2025-12-13,443.53,186,2.38,7.22
1765661731700,1082,941,7.70,3.63,38.96,39,3854.27,98.83,63,Juniper Hydrating Mask,2025-12-13,545.01,217,2.51,7.07
1765665331700,1151,941,8.99,3.15,37.31,36,3275.28,90.98,66,Juniper Hydrating Mask,2025-12-13,455.49,169,2.70,7.19
1765668931700,1265,1130,7.14,3.43,46.33,43,3684.05,85.68,75,Juniper Hydrating Mask,2025-12-13,459.30,184,2.50,8.02
1765672531700,1428,1256,9.33,4.77,31.05,68,6116.72,89.95,83,Juniper Hydrating Mask,2025-12-14,510.63,182,2.81,11.98
1765676131700,1538,1330,9.18,4.87,38.28,75,6998.86,93.32,117,Juniper Hydrating Mask,2025-12-14,530.60,286,1.86,13.19
1765679731700,1664,1516,8.74,3.78,37.52,63,5139.23,81.58,98,Juniper Hydrating Mask,2025-12-14,548.84,267,2.06,9.36
1765683331700,1737,1605,9.94,4.40,34.76,76,7226.75,95.09,140,Juniper Hydrating Mask,2025-12-14,526.61,180,2.93,13.72
1765686931700,1829,1655,9.58,5.06,47.87,93,8735.84,93.93,128,Juniper Hydrating Mask,2025-12-14,483.94,188,2.57,18.05
1765690531700,1889,1636,9.56,4.31,40.31,81,7683.05,94.85,150,Juniper Hydrating Mask,2025-12-14,585.49,264,2.22,13.12
1765694131700,1886,1686,9.25,4.49,37.31,85,7935.34,93.36,141,Juniper Hydrating Mask,2025-12-14,557.62,215,2.59,14.23
1765697731700,1864,1585,11.72,4.23,36.38,79,6965.48,88.17,120,Juniper Hydrating Mask,2025-12-14,544.26,209,2.60,12.80
1765701331700,1834,1561,10.78,4.65,33.82,85,8383.55,98.63,156,Juniper Hydrating Mask,2025-12-14,520.05,286,1.82,16.12
1765704931700,1736,1403,9.62,4.86,33.66,84,8297.81,98.78,132,Juniper Hydrating Mask,2025-12-14,577.35,272,2.12,14.37
1765708531700,1668,1558,9.90,4.76,47.74,79,7476.48,94.64,144,Juniper Hydrating Mask,2025-12-14,511.14,192,2.66,14.63
1765712131700,1545,1257,10.01,4.23,34.38,65,6020.29,92.62,123,Juniper Hydrating Mask,2025-12-14,585.69,304,1.93,10.28
1765715731700,1427,1304,8.73,4.78,31.33,68,6006.68,88.33,94,Juniper Hydrating Mask,2025-12-14,517.25,178,2.91,11.61
1765719331700,1288,1171,6.72,3.79,34.21,49,4023.78,82.12,75,Juniper Hydrating Mask,2025-12-14,561.03,283,1.98,7.17
1765722931700,1172,1070,8.99,4.17,40.58,49,4477.27,91.37,60,Juniper Hydrating Mask,2025-12-14,540.79,202,2.68,8.28
1765726531700,1058,1000,7.30,2.60,43.95,28,2397.33,85.62,53,Juniper Hydrating Mask,2025-12-14,522.34,266,1.96,4.59
1765730131700,1006,945,5.48,3.94,29.95,40,3880.14,97.00,71,Juniper Hydrating Mask,2025-12-14,555.79,267,2.08,6.98
1765733731700,975,925,7.40,2.89,32.62,28,2386.87,85.25,44,Juniper Hydrating Mask,2025-12-14,509.36,230,2.21,4.69
1765737331700,957,855,7.88,3.59,42.01,34,3080.48,90.60,54,Juniper Hydrating Mask,2025-12-14,454.68,214,2.12,6.78
1765740931700,945,864,6.61,2.76,30.54,26,2465.31,94.82,46,Juniper Hydrating Mask,2025-12-14,466.48,225,2.07,5.28
1765744531700,995,835,6.88,2.60,34.59,26,2533.32,97.44,32,Juniper Hydrating Mask,2025-12-14,546.01,274,1.99,4.64
1765748131700,1097,961,7.17,3.92,30.41,43,3849.45,89.52,55,Juniper Hydrating Mask,2025-12-14,487.67,217,2.25,7.89
1765751731700,1190,1060,6.38,2.95,34.96,35,3109.85,88.85,66,Juniper Hydrating Mask,2025-12-14,469.32,229,2.05,6.63
1765755331700,1316,1138,9.55,2.95,41.29,39,3456.88,88.64,59,Juniper Hydrating Mask,2025-12-14,566.59,220,2.58,6.10
1765758931700,1439,1367,8.09,3.19,46.06,46,3996.49,86.88,74,Juniper Hydrating Mask,2025-12-15,476.84,217,2.20,8.38
1765762531700,1553,1408,8.57,4.07,44.40,63,5257.58,83.45,78,Juniper Hydrating Mask,2025-12-15,506.85,197,2.57,10.37
1765766131700,1681,1578,10.68,3.94,44.29,66,5481.91,83.06,106,Juniper Hydrating Mask,2025-12-15,510.83,261,1.96,10.73
1765769731700,1796,1538,9.27,4.92,48.29,88,8267.35,93.95,129,Juniper Hydrating Mask,2025-12-15,573.90,225,2.55,14.41
1765773331700,1851,1746,10.67,4.90,48.31,91,8735.95,96.00,113,Juniper Hydrating Mask,2025-12-15,494.42,224,2.21,17.67
1765776931700,1923,1827,11.62,4.67,39.43,90,7420.76,82.45,153,Juniper Hydrating Mask,2025-12-15,599.17,278,2.16,12.39
