ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,824,699,6.50,3.08,44.91,25,2035.90,81.44,41,Velvet Bay Candle,2025-12-12,512.77,199,2.58,3.97
1765564531700,834,754,5.79,2.86,35.06,24,2218.07,92.42,34,Velvet Bay Candle,2025-12-12,471.09,190,2.48,4.71
1765568131700,832,676,6.95,2.63,33.77,22,1872.68,85.12,42,Velvet Bay Candle,2025-12-12,505.97,253,2.00,3.70
1765571731700,882,728,8.00,3.66,33.57,32,2620.11,81.88,42,Velvet Bay Candle,2025-12-12,553.52,234,2.37,4.73
1765575331700,948,847,6.02,2.75,45.38,26,2154.24,82.86,36,Velvet Bay Candle,2025-12-12,559.68,274,2.04,3.85
1765578931700,1030,861,6.39,3.04,38.37,31,2764.11,89.16,45,Velvet Bay Candle,2025-12-12,518.71,282,1.84,5.33
1765582531700,1138,962,8.19,3.10,35.06,35,2770.85,79.17,59,Velvet Bay Candle,2025-12-12,522.27,215,2.43,5.31
1765586131700,1260,1139,8.53,3.64,43.05,46,3496.07,76.00,74,Velvet Bay Candle,2025-12-13,471.06,157,3.00,7.42
1765589731700,1368,1206,8.13,3.71,46.64,51,4564.24,89.49,85,Velvet Bay Candle,2025-12-13,495.36,167,2.97,9.21
1765593331700,1474,1210,8.69,4.93,42.62,73,6085.90,83.37,91,Velvet Bay Candle,2025-12-13,513.81,213,2.41,11.84
1765596931700,1570,1470,10.70,3.97,36.66,62,4874.79,78.63,100,Velvet Bay Candle,2025-12-13,563.69,224,2.52,8.65
1765600531700,1633,1509,11.75,4.13,45.24,67,5694.56,84.99,93,Velvet Bay Candle,2025-12-13,512.31,284,1.80,11.12
1765604131700,1693,1499,11.44,5.12,33.05,87,7771.28,89.33,110,Velvet Bay Candle,2025-12-13,549.01,237,2.32,14.16
1765607731700,1707,1540,9.75,4.88,39.54,83,6329.49,76.26,125,Velvet Bay Candle,2025-12-13,539.33,193,2.79,11.74
1765611331700,1677,1385,10.86,4.28,44.47,72,6341.33,88.07,88,Velvet Bay Candle,2025-12-13,509.30,262,1.94,12.45
1765614931700,1644,1478,11.72,4.63,43.27,76,6309.72,83.02,118,Velvet Bay Candle,2025-12-13,571.96,308,1.86,11.03
1765618531700,1562,1473,10.97,4.88,33.44,76,7044.70,92.69,104,Velvet Bay Candle,2025-12-13,500.10,224,2.23,14.09
1765622131700,1476,1253,8.79,3.71,39.65,55,4203.73,76.43,69,Velvet Bay Candle,2025-12-13,550.27,265,2.08,7.64
1765625731700,1353,1139,8.75,4.35,36.26,59,4827.43,81.82,76,Velvet Bay Candle,2025-12-13,541.08,288,1.88,8.92
1765629331700,1261,1051,9.26,4.46,35.71,56,4473.68,79.89,95,Velvet Bay Candle,2025-12-13,477.26,210,2.27,9.37
1765632931700,1145,1071,9.36,3.19,38.95,36,3033.50,84.26,54,Velvet Bay Candle,2025-12-13,561.51,311,1.81,5.40
1765636531700,1041,934,6.78,3.54,35.23,37,2845.36,76.90,68,Velvet Bay Candle,2025-12-13,453.39,232,1.95,6.28
1765640131700,939,796,5.92,3.74,43.58,35,3157.00,90.20,43,Velvet Bay Candle,2025-12-13,534.16,217,2.46,5.91
1765643731700,872,741,6.23,3.99,32.48,35,3211.64,91.76,51,Velvet Bay Candle,2025-12-13,467.74,158,2.96,6.87
1765647331700,936,865,6.71,3.48,31.77,33,2723.43,82.53,58,Velvet Bay Candle,2025-12-13,551.74,223,2.47,4.94
1765650931700,921,751,7.34,2.71,29.61,25,2083.90,83.36,46,Velvet Bay Candle,2025-12-13,550.66,245,2.25,3.78
1765654531700,910,864,5.98,2.44,32.59,22,1936.45,88.02,34,Velvet Bay Candle,2025-12-13,524.27,192,2.73,3.69
1765658131700,952,882,7.00,3.55,37.13,34,2685.94,79.00,53,Velvet Bay Candle,2025-12-13,473.99,163,2.91,5.67
1765661731700,1054,898,7.14,3.31,35.40,35,2938.02,83.94,52,Velvet Bay Candle,2025-12-13,468.60,206,2.27,6.27
1765665331700,1123,967,8.91,3.21,38.82,36,3338.27,92.73,59,Velvet Bay Candle,2025-12-13,460.80,232,1.99,7.24
1765668931700,1238,1017,6.80,3.79,36.27,47,3783.03,80.49,71,Velvet Bay Candle,2025-12-13,541.85,195,2.78,6.98
1765672531700,1368,1193,7.69,4.30,31.87,59,5402.13,91.56,73,Velvet Bay Candle,2025-12-14,472.36,159,2.97,11.44
1765676131700,1514,1313,7.84,3.37,44.19,51,3833.96,75.18,93,Velvet Bay Candle,2025-12-14,549.03,206,2.67,6.98
1765679731700,1600,1453,10.72,4.18,47.76,67,5666.76,84.58,97,Velvet Bay Candle,2025-12-14,516.70,285,1.81,10.97
1765683331700,1721,1466,9.76,4.29,34.25,74,6843.43,92.48,109,Velvet Bay Candle,2025-12-14,526.16,206,2.55,13.01
1765686931700,1796,1609,10.28,4.55,39.71,82,6367.49,77.65,117,Velvet Bay Candle,2025-12-14,525.80,226,2.33,12.11
1765690531700,1824,1690,10.35,4.52,34.83,82,7068.93,86.21,154,Velvet Bay Candle,2025-12-14,537.05,265,2.03,13.16
1765694131700,1848,1737,11.36,4.57,47.82,84,7107.59,84.61,127,Velvet Bay Candle,2025-12-14,585.46,239,2.45,12.14
1765697731700,1851,1525,11.46,4.82,42.88,89,7761.22,87.20,140,Velvet Bay Candle,2025-12-14,562.88,250,2.25,13.79
1765701331700,1783,1568,11.12,4.03,33.27,72,5440.09,75.56,116,Velvet Bay Candle,2025-12-14,501.71,209,2.40,10.84
1765704931700,1700,1562,8.69,5.18,40.81,88,6803.22,77.31,149,Velvet Bay Candle,2025-12-14,565.67,266,2.13,12.03
