ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,861,777,6.09,3.42,33.21,29,2337.82,80.61,36,Lumen Glow Serum,2025-12-12,508.51,256,1.99,4.60
1765564531700,836,766,7.53,3.12,30.80,26,2192.55,84.33,32,Lumen Glow Serum,2025-12-12,548.05,240,2.28,4.00
1765568131700,862,799,7.94,4.15,30.99,36,3370.30,93.62,58,Lumen Glow Serum,2025-12-12,505.03,182,2.77,6.67
1765571731700,886,767,5.64,3.77,45.16,33,3163.16,95.85,44,Lumen Glow Serum,2025-12-12,556.55,213,2.61,5.68
1765575331700,971,897,6.48,2.59,32.98,25,2225.20,89.01,31,Lumen Glow Serum,2025-12-12,549.61,199,2.76,4.05
1765578931700,1054,892,7.36,4.17,32.54,44,3942.94,89.61,57,Lumen Glow Serum,2025-12-12,493.48,232,2.13,7.99
1765582531700,1179,1083,8.47,3.22,41.71,38,3123.13,82.19,69,Lumen Glow Serum,2025-12-12,567.68,234,2.43,5.50
1765586131700,1280,1085,7.30,3.80,35.64,49,4403.73,89.87,66,Lumen Glow Serum,2025-12-13,554.62,302,1.84,7.94
1765589731700,1395,1324,8.70,4.19,39.05,58,5357.01,92.36,78,Lumen Glow Serum,2025-12-13,523.93,249,2.10,10.22
1765593331700,1512,1261,9.29,4.07,45.86,62,4991.84,80.51,107,Lumen Glow Serum,2025-12-13,505.06,181,2.79,9.88
1765596931700,1589,1345,10.56,3.69,43.34,59,5197.96,88.10,92,Lumen Glow Serum,2025-12-13,554.99,242,2.29,9.37
1765600531700,1674,1539,10.28,4.90,48.57,82,6500.32,79.27,100,Lumen Glow Serum,2025-12-13,526.59,222,2.37,12.34
1765604131700,1691,1585,10.51,4.07,47.25,69,5840.79,84.65,104,Lumen Glow Serum,2025-12-13,492.43,168,2.93,11.86
1765607731700,1725,1638,10.95,4.62,42.61,80,7669.74,95.87,117,Lumen Glow Serum,2025-12-13,498.09,273,1.82,15.40
1765611331700,1715,1539,11.82,5.25,43.91,90,8106.09,90.07,167,Lumen Glow Serum,2025-12-13,562.38,255,2.21,14.41
1765614931700,1641,1486,9.22,3.81,38.46,62,5440.98,87.76,115,Lumen Glow Serum,2025-12-13,501.78,252,1.99,10.84
1765618531700,1603,1381,10.60,3.75,43.00,60,5316.06,88.60,96,Lumen Glow Serum,2025-12-13,503.80,237,2.13,10.55
1765622131700,1503,1238,10.16,3.82,32.57,57,5241.11,91.95,94,Lumen Glow Serum,2025-12-13,586.42,297,1.97,8.94
1765625731700,1407,1148,7.74,4.32,37.11,61,4916.24,80.59,94,Lumen Glow Serum,2025-12-13,475.39,259,1.84,10.34
1765629331700,1282,1158,9.31,3.17,42.01,41,3791.32,92.47,72,Lumen Glow Serum,2025-12-13,574.94,254,2.26,6.59
1765632931700,1167,950,9.45,3.61,35.32,42,3308.79,78.78,71,Lumen Glow Serum,2025-12-13,474.87,179,2.65,6.97
1765636531700,1070,883,7.35,3.67,30.71,39,3131.63,80.30,59,Lumen Glow Serum,2025-12-13,460.24,181,2.54,6.80
1765640131700,982,864,6.37,4.11,42.55,40,3284.02,82.10,57,Lumen Glow Serum,2025-12-13,503.61,197,2.56,6.52
1765643731700,910,837,5.70,2.84,39.78,26,2074.75,79.80,33,Lumen Glow Serum,2025-12-13,451.09,178,2.53,4.60
1765647331700,914,868,6.35,3.82,44.34,35,3221.75,92.05,60,Lumen Glow Serum,2025-12-13,450.33,173,2.60,7.15
1765650931700,929,786,7.95,2.80,40.66,26,2199.01,84.58,44,Lumen Glow Serum,2025-12-13,546.00,224,2.44,4.03
1765654531700,940,834,5.63,3.79,31.88,36,3176.96,88.25,58,Lumen Glow Serum,2025-12-13,548.90,292,1.88,5.79
1765658131700,978,793,6.18,3.23,35.33,32,2752.83,86.03,44,Lumen Glow Serum,2025-12-13,508.39,281,1.81,5.41
1765661731700,1046,925,7.96,3.54,39.50,37,3497.84,94.54,59,Lumen Glow Serum,2025-12-13,539.63,190,2.84,6.48
1765665331700,1160,956,8.28,2.82,36.15,33,2974.38,90.13,46,Lumen Glow Serum,2025-12-13,565.43,278,2.03,5.26
1765668931700,1262,1039,8.18,3.99,33.89,50,4453.32,89.07,74,Lumen Glow Serum,2025-12-13,498.25,246,2.03,8.94
1765672531700,1381,1170,8.82,4.16,32.27,57,4613.10,80.93,95,Lumen Glow Serum,2025-12-14,550.84,278,1.98,8.37
1765676131700,1500,1244,8.65,4.86,39.59,73,5796.97,79.41,116,Lumen Glow Serum,2025-12-14,580.75,223,2.60,9.98
1765679731700,1652,1393,8.23,3.73,41.52,62,4979.02,80.31,90,Lumen Glow Serum,2025-12-14,515.60,219,2.35,9.66
1765683331700,1745,1461,9.74,3.51,42.30,61,4818.90,79.00,97,Lumen Glow Serum,2025-12-14,576.51,200,2.88,8.36
1765686931700,1823,1562,9.39,3.90,36.99,71,5955.95,83.89,130,Lumen Glow Serum,2025-12-14,506.13,238,2.13,11.77
1765690531700,1849,1685,10.54,4.37,41.60,81,7201.75,88.91,97,Lumen Glow Serum,2025-12-14,517.59,202,2.56,13.91
1765694131700,1880,1613,12.03,4.66,39.27,88,7957.06,90.42,145,Lumen Glow Serum,2025-12-14,528.75,178,2.97,15.05
1765697731700,1869,1523,9.32,4.85,37.05,91,7238.92,79.55,110,Lumen Glow Serum,2025-12-14,586.01,278,2.11,12.35
1765701331700,1799,1579,9.00,4.11,34.21,74,6862.92,92.74,99,Lumen Glow Serum,2025-12-14,518.13,253,2.05,13.25
1765704931700,1751,1558,11.35,5.10,40.12,89,8339.51,93.70,125,Lumen Glow Serum,2025-12-14,519.28,223,2.33,16.06
1765708531700,1624,1524,10.66,4.87,42.93,79,6258.39,79.22,146,Lumen Glow Serum,2025-12-14,537.27,291,1.85,11.65
1765712131700,1512,1376,8.93,3.62,37.71,55,5015.89,91.20,80,Lumen Glow Serum,2025-12-14,484.86,265,1.83,10.34
1765715731700,1393,1192,9.39,3.35,44.40,47,3959.26,84.24,67,Lumen Glow Serum,2025-12-14,480.21,179,2.68,8.24
1765719331700,1269,1153,8.61,3.73,44.61,47,3695.71,78.63,74,Lumen Glow Serum,2025-12-14,504.10,186,2.71,7.33
1765722931700,1167,963,6.53,3.31,45.40,39,3732.60,95.71,69,Lumen Glow Serum,2025-12-14,496.92,188,2.64,7.51
1765726531700,1044,886,7.15,3.75,30.11,39,3355.14,86.03,66,Lumen Glow Serum,2025-12-14,543.74,273,1.99,6.17
1765730131700,973,875,7.77,2.71,35.48,26,2030.39,78.09,43,Lumen Glow Serum,2025-12-14,454.59,198,2.30,4.47
1765733731700,938,781,5.82,3.85,37.50,36,3054.80,84.86,57,Lumen Glow Serum,2025-12-14,502.33,277,1.81,6.08
1765737331700,927,750,7.76,4.16,44.64,39,3552.61,91.09,55,Lumen Glow Serum,2025-12-14,458.55,251,1.83,7.75
1765740931700,934,785,6.03,2.62,30.10,24,1922.44,80.10,34,Lumen Glow Serum,2025-12-14,500.19,183,2.73,3.84
1765744531700,1005,903,7.36,2.92,34.51,29,2367.87,81.65,44,Lumen Glow Serum,2025-12-14,443.10,227,1.95,5.34
1765748131700,1070,920,6.78,2.67,37.07,29,2739.19,94.45,49,Lumen Glow Serum,2025-12-14,554.22,187,2.96,4.94
1765751731700,1182,966,7.38,3.79,40.82,45,3542.78,78.73,73,Lumen Glow Serum,2025-12-14,474.24,221,2.15,7.47
1765755331700,1281,1035,7.77,4.50,36.49,58,4792.37,82.63,82,Lumen Glow Serum,2025-12-14,515.19,179,2.88,9.30
1765758931700,1422,1278,8.09,3.79,46.96,54,4513.99,83.59,72,Lumen Glow Serum,2025-12-15,460.35,221,2.08,9.81
1765762531700,1544,1382,8.49,4.71,41.04,73,6432.22,88.11,118,Lumen Glow Serum,2025-12-15,506.59,237,2.14,12.70
1765766131700,1649,1499,8.49,3.42,37.39,56,4871.28,86.99,68,Lumen Glow Serum,2025-12-15,555.37,268,2.07,8.77
1765769731700,1774,1645,9.68,5.11,39.41,91,7819.29,85.93,119,Lumen Glow Serum,2025-12-15,565.54,211,2.68,13.83
1765773331700,1856,1583,11.48,4.59,33.43,85,7409.34,87.17,126,Lumen Glow Serum,2025-12-15,533.70,207,2.58,13.88
1765776931700,1904,1695,11.57,3.94,33.42,75,6555.36,87.40,130,Lumen Glow Serum,2025-12-15,495.96,239,2.08,13.22
1765780531700,1912,1543,10.73,5.33,41.76,102,8685.42,85.15,160,Lumen Glow Serum,2025-12-15,549.41,259,2.12,15.81
1765784131700,1893,1575,11.86,3.61,39.96,68,5546.16,81.56,88,Lumen Glow Serum,2025-12-15,595.38,236,2.52,9.32
1765787731700,1839,1629,11.05,4.53,40.25,83,6885.80,82.96,143,Lumen Glow Serum,2025-12-15,528.95,201,2.63,13.02
1765791331700,1756,1599,9.65,4.87,39.84,85,6753.78,79.46,160,Lumen Glow Serum,2025-12-15,554.00,239,2.32,12.19
1765794931700,1672,1470,11.09,4.95,44.94,83,7320.84,88.20,119,Lumen Glow Serum,2025-12-15,503.57,263,1.91,14.54
1765798531700,1534,1257,8.42,3.17,41.31,49,4052.74,82.71,73,Lumen Glow Serum,2025-12-15,534.56,259,2.06,7.58
1765802131700,1420,1172,8.78,4.05,39.76,57,5168.55,90.68,94,Lumen Glow Serum,2025-12-15,501.85,248,2.02,10.30
1765805731700,1289,1098,7.83,4.17,35.30,54,4893.30,90.62,84,Lumen Glow Serum,2025-12-15,496.33,223,2.23,9.86
