ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,989,867,9.61,4.84,36.67,48,3587.88,74.75,80,Solstice Ceramic Set,2025-12-12,507.77,244,2.08,7.07
1765564531700,962,777,10.47,4.35,27.38,42,3411.99,81.24,63,Solstice Ceramic Set,2025-12-12,502.45,179,2.81,6.79
1765568131700,1010,835,11.35,6.00,26.04,61,5187.77,85.05,89,Solstice Ceramic Set,2025-12-12,465.27,238,1.95,11.15
1765571731700,1059,874,11.39,5.61,23.44,59,4530.87,76.79,97,Solstice Ceramic Set,2025-12-12,505.75,206,2.46,8.96
1765575331700,1120,929,10.72,4.89,27.14,55,4245.79,77.20,92,Solstice Ceramic Set,2025-12-12,541.96,284,1.91,7.83
1765578931700,1235,1047,10.83,6.29,39.79,78,6306.56,80.85,138,Solstice Ceramic Set,2025-12-12,471.58,164,2.88,13.37
1765582531700,1365,1150,10.18,5.59,38.65,76,5922.68,77.93,119,Solstice Ceramic Set,2025-12-12,469.73,172,2.73,12.61
1765586131700,1511,1214,12.15,5.85,28.00,88,6273.75,71.29,147,Solstice Ceramic Set,2025-12-13,496.99,223,2.23,12.62
1765589731700,1615,1451,12.39,5.42,28.78,88,7437.37,84.52,126,Solstice Ceramic Set,2025-12-13,524.31,238,2.20,14.19
1765593331700,1740,1615,12.56,6.49,29.04,113,8259.82,73.10,198,Solstice Ceramic Set,2025-12-13,481.89,207,2.33,17.14
1765596931700,1849,1685,12.97,5.65,30.68,104,8693.78,83.59,167,Solstice Ceramic Set,2025-12-13,584.67,264,2.21,14.87
1765600531700,1934,1700,12.45,5.74,33.44,111,7840.18,70.63,175,Solstice Ceramic Set,2025-12-13,552.19,199,2.77,14.20
1765604131700,2009,1671,13.56,6.00,27.65,120,9138.68,76.16,146,Solstice Ceramic Set,2025-12-13,603.36,294,2.05,15.15
1765607731700,2031,1732,13.32,6.69,37.91,136,11071.72,81.41,193,Solstice Ceramic Set,2025-12-13,533.89,233,2.29,20.74
1765611331700,2004,1821,13.87,6.06,41.96,121,9296.98,76.83,213,Solstice Ceramic Set,2025-12-13,552.47,250,2.21,16.83
1765614931700,1951,1647,12.33,5.35,34.93,104,8426.07,81.02,128,Solstice Ceramic Set,2025-12-13,527.23,234,2.25,15.98
1765618531700,1857,1750,12.56,6.21,38.32,115,8231.17,71.58,174,Solstice Ceramic Set,2025-12-13,489.72,262,1.87,16.81
1765622131700,1756,1533,12.89,5.67,30.98,100,8066.07,80.66,168,Solstice Ceramic Set,2025-12-13,479.86,261,1.84,16.81
1765625731700,1646,1522,12.74,5.23,39.00,86,6030.07,70.12,126,Solstice Ceramic Set,2025-12-13,568.60,217,2.62,10.61
1765629331700,1516,1218,10.76,6.33,32.79,96,6920.15,72.08,172,Solstice Ceramic Set,2025-12-13,548.00,295,1.86,12.63
1765632931700,1368,1236,10.40,5.28,37.48,72,6193.39,86.02,130,Solstice Ceramic Set,2025-12-13,522.04,180,2.90,11.86
1765636531700,1224,1075,11.82,6.07,34.64,74,6205.26,83.85,120,Solstice Ceramic Set,2025-12-13,565.70,282,2.01,10.97
1765640131700,1116,952,9.52,5.58,33.13,62,4411.99,71.16,84,Solstice Ceramic Set,2025-12-13,471.49,237,1.99,9.36
1765643731700,1032,928,9.84,5.59,36.57,58,4950.64,85.36,96,Solstice Ceramic Set,2025-12-13,503.45,232,2.17,9.83
1765647331700,1106,896,9.41,4.80,38.41,53,4127.91,77.89,95,Solstice Ceramic Set,2025-12-13,513.21,216,2.38,8.04
1765650931700,1071,881,11.22,5.93,28.07,63,5157.04,81.86,88,Solstice Ceramic Set,2025-12-13,480.59,191,2.52,10.73
1765654531700,1090,963,11.47,4.60,37.46,50,3975.52,79.51,67,Solstice Ceramic Set,2025-12-13,553.96,233,2.38,7.18
1765658131700,1159,1059,10.77,5.24,33.54,61,5111.24,83.79,89,Solstice Ceramic Set,2025-12-13,515.30,200,2.58,9.92
1765661731700,1221,1145,9.24,4.46,33.45,54,3823.57,70.81,70,Solstice Ceramic Set,2025-12-13,511.27,226,2.26,7.48
1765665331700,1350,1231,12.26,5.45,29.43,74,5240.17,70.81,112,Solstice Ceramic Set,2025-12-13,525.95,242,2.17,9.96
1765668931700,1482,1356,11.14,6.20,28.22,92,7098.70,77.16,158,Solstice Ceramic Set,2025-12-13,495.74,203,2.44,14.32
1765672531700,1629,1460,11.07,5.64,27.89,92,6554.43,71.24,155,Solstice Ceramic Set,2025-12-14,527.36,206,2.56,12.43
1765676131700,1773,1482,12.17,4.99,39.43,88,6483.00,73.67,147,Solstice Ceramic Set,2025-12-14,501.23,222,2.26,12.93
1765679731700,1915,1638,12.69,5.53,35.70,106,7718.49,72.82,159,Solstice Ceramic Set,2025-12-14,562.91,270,2.08,13.71
1765683331700,2051,1664,11.92,6.23,38.09,128,10391.51,81.18,184,Solstice Ceramic Set,2025-12-14,492.43,266,1.85,21.10
1765686931700,2121,1873,13.47,7.01,29.36,149,11650.32,78.19,212,Solstice Ceramic Set,2025-12-14,580.30,303,1.92,20.08
1765690531700,2168,1930,14.56,6.87,40.48,149,12562.38,84.31,263,Solstice Ceramic Set,2025-12-14,571.10,277,2.06,22.00
1765694131700,2220,1786,14.40,6.11,39.51,136,10316.26,75.85,245,Solstice Ceramic Set,2025-12-14,511.16,227,2.25,20.18
1765697731700,2193,2060,13.03,5.65,30.52,124,10617.52,85.63,203,Solstice Ceramic Set,2025-12-14,529.19,255,2.08,20.06
1765701331700,2143,1922,14.73,6.37,41.85,136,10392.00,76.41,199,Solstice Ceramic Set,2025-12-14,511.10,230,2.22,20.33
1765704931700,2051,1757,14.41,5.82,41.78,119,8978.23,75.45,167,Solstice Ceramic Set,2025-12-14,550.74,248,2.22,16.30
1765708531700,1930,1577,12.81,6.25,30.68,121,8799.69,72.72,198,Solstice Ceramic Set,2025-12-14,511.70,212,2.41,17.20
1765712131700,1776,1534,13.59,6.47,34.42,115,8860.72,77.05,200,Solstice Ceramic Set,2025-12-14,545.37,288,1.89,16.25
1765715731700,1629,1407,10.85,5.88,28.32,96,7791.83,81.16,123,Solstice Ceramic Set,2025-12-14,558.03,283,1.97,13.96
1765719331700,1486,1339,11.67,5.79,38.62,86,6151.19,71.53,143,Solstice Ceramic Set,2025-12-14,500.72,205,2.44,12.28
1765722931700,1340,1099,10.41,5.74,25.92,77,5373.33,69.78,119,Solstice Ceramic Set,2025-12-14,539.02,253,2.13,9.97
1765726531700,1246,1092,9.12,4.43,32.72,55,4114.63,74.81,67,Solstice Ceramic Set,2025-12-14,455.36,243,1.87,9.04
1765730131700,1155,928,9.92,4.50,34.50,52,4277.62,82.26,63,Solstice Ceramic Set,2025-12-14,495.23,173,2.86,8.64
1765733731700,1108,1022,9.34,4.68,24.42,52,3867.31,74.37,80,Solstice Ceramic Set,2025-12-14,479.66,179,2.68,8.06
1765737331700,1098,965,10.57,4.38,24.29,48,4023.17,83.82,62,Solstice Ceramic Set,2025-12-14,464.19,204,2.28,8.67
1765740931700,1122,1061,10.76,4.83,36.78,54,4697.63,86.99,94,Solstice Ceramic Set,2025-12-14,449.42,204,2.20,10.45
1765744531700,1162,990,10.08,5.30,28.35,62,4438.78,71.59,77,Solstice Ceramic Set,2025-12-14,451.55,173,2.61,9.83
1765748131700,1249,1029,9.40,5.06,31.96,63,5319.12,84.43,102,Solstice Ceramic Set,2025-12-14,553.63,242,2.29,9.61
1765751731700,1370,1128,11.85,4.52,25.98,62,4939.16,79.66,101,Solstice Ceramic Set,2025-12-14,448.64,214,2.10,11.01
1765755331700,1509,1395,10.97,4.70,29.09,71,5970.73,84.09,131,Solstice Ceramic Set,2025-12-14,559.45,246,2.27,10.67
1765758931700,1672,1393,12.12,6.43,26.28,107,8076.68,75.48,196,Solstice Ceramic Set,2025-12-15,544.18,264,2.06,14.84
1765762531700,1811,1647,13.71,6.67,39.52,121,8500.68,70.25,177,Solstice Ceramic Set,2025-12-15,496.36,168,2.95,17.13
1765766131700,1973,1616,13.22,6.21,34.10,123,9140.12,74.31,151,Solstice Ceramic Set,2025-12-15,556.92,198,2.81,16.41
