ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,996,939,10.46,5.11,34.95,51,4475.97,87.76,65,Lumen Glassware,2025-12-12,548.51,235,2.33,8.16
1765564531700,993,931,11.30,5.40,25.92,54,4818.59,89.23,96,Lumen Glassware,2025-12-12,443.15,228,1.94,10.87
1765568131700,1007,929,11.16,4.53,29.99,46,4136.08,89.91,70,Lumen Glassware,2025-12-12,488.15,171,2.85,8.47
1765571731700,1043,890,11.38,5.28,36.35,55,4804.87,87.36,77,Lumen Glassware,2025-12-12,480.03,238,2.02,10.01
1765575331700,1128,947,10.94,5.16,31.45,58,4464.36,76.97,96,Lumen Glassware,2025-12-12,541.99,277,1.96,8.24
1765578931700,1251,1179,11.57,5.61,31.62,70,5945.44,84.93,119,Lumen Glassware,2025-12-12,500.85,192,2.61,11.87
1765582531700,1383,1263,10.04,5.53,31.54,76,5701.90,75.02,127,Lumen Glassware,2025-12-12,551.89,214,2.58,10.33
1765586131700,1519,1342,10.97,6.20,25.77,94,7707.03,81.99,146,Lumen Glassware,2025-12-13,579.76,314,1.85,13.29
1765589731700,1651,1560,11.36,6.68,34.46,110,9610.38,87.37,177,Lumen Glassware,2025-12-13,503.33,230,2.19,19.09
1765593331700,1776,1522,14.23,5.83,32.94,104,7845.14,75.43,146,Lumen Glassware,2025-12-13,507.87,270,1.88,15.45
1765596931700,1892,1587,12.44,6.49,37.95,123,10289.73,83.66,226,Lumen Glassware,2025-12-13,591.57,260,2.28,17.39
1765600531700,1968,1613,12.24,5.36,28.60,106,8648.53,81.59,193,Lumen Glassware,2025-12-13,537.46,281,1.91,16.09
1765604131700,2021,1910,13.12,5.64,34.37,114,8226.92,72.17,205,Lumen Glassware,2025-12-13,595.07,298,2.00,13.83
1765607731700,2025,1668,14.34,6.97,32.69,141,11951.80,84.76,253,Lumen Glassware,2025-12-13,551.79,285,1.94,21.66
1765611331700,2035,1869,14.27,6.29,35.84,128,11106.27,86.77,160,Lumen Glassware,2025-12-13,597.21,223,2.68,18.60
1765614931700,1968,1596,14.54,6.12,38.11,120,8777.25,73.14,219,Lumen Glassware,2025-12-13,514.00,192,2.68,17.08
1765618531700,1881,1766,13.78,6.62,38.29,124,10240.43,82.58,231,Lumen Glassware,2025-12-13,516.11,184,2.80,19.84
1765622131700,1775,1634,13.17,5.89,30.17,105,7752.12,73.83,158,Lumen Glassware,2025-12-13,567.74,278,2.04,13.65
1765625731700,1646,1498,11.36,6.70,36.87,110,9501.07,86.37,144,Lumen Glassware,2025-12-13,526.80,183,2.88,18.04
1765629331700,1502,1306,10.84,5.54,30.41,83,6294.04,75.83,122,Lumen Glassware,2025-12-13,533.01,265,2.01,11.81
1765632931700,1374,1200,10.82,5.41,28.86,74,5852.69,79.09,102,Lumen Glassware,2025-12-13,487.73,220,2.22,12.00
1765636531700,1252,1076,11.41,4.67,39.52,59,5126.09,86.88,104,Lumen Glassware,2025-12-13,543.81,246,2.21,9.43
1765640131700,1137,980,9.41,5.05,26.76,57,4199.39,73.67,79,Lumen Glassware,2025-12-13,528.71,211,2.51,7.94
1765643731700,1047,944,9.65,4.49,25.28,47,3492.37,74.31,80,Lumen Glassware,2025-12-13,499.46,170,2.94,6.99
1765647331700,1116,947,10.05,5.86,36.21,65,4687.33,72.11,85,Lumen Glassware,2025-12-13,554.85,252,2.20,8.45
1765650931700,1074,1004,11.43,4.40,26.26,47,3805.81,80.97,75,Lumen Glassware,2025-12-13,543.45,201,2.70,7.00
1765654531700,1084,964,10.00,5.96,33.77,65,4930.70,75.86,89,Lumen Glassware,2025-12-13,507.23,228,2.22,9.72
1765658131700,1147,1077,11.11,5.84,29.82,67,5012.63,74.82,100,Lumen Glassware,2025-12-13,549.21,229,2.40,9.13
