ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1045,958,10.04,5.24,24.39,55,4783.59,86.97,78,Juniper Hydrating Mask,2025-12-12,489.69,213,2.30,9.77
1765564531700,1039,919,8.75,5.85,36.74,61,5531.74,90.68,104,Juniper Hydrating Mask,2025-12-12,478.52,173,2.77,11.56
1765568131700,1055,948,8.66,5.13,30.00,54,4908.26,90.89,65,Juniper Hydrating Mask,2025-12-12,467.02,231,2.02,10.51
1765571731700,1087,951,11.27,4.70,28.98,51,4698.24,92.12,76,Juniper Hydrating Mask,2025-12-12,492.60,212,2.32,9.54
1765575331700,1186,1014,10.96,5.22,23.67,62,5713.51,92.15,92,Juniper Hydrating Mask,2025-12-12,498.11,220,2.26,11.47
1765578931700,1307,1089,11.25,4.54,38.24,59,5161.34,87.48,86,Juniper Hydrating Mask,2025-12-12,521.84,252,2.07,9.89
1765582531700,1415,1270,12.56,5.56,26.82,79,7521.73,95.21,132,Juniper Hydrating Mask,2025-12-12,534.97,203,2.64,14.06
1765586131700,1573,1364,10.53,6.42,31.50,101,8299.03,82.17,167,Juniper Hydrating Mask,2025-12-13,535.51,183,2.93,15.50
1765589731700,1700,1364,11.41,5.93,28.74,101,9357.50,92.65,146,Juniper Hydrating Mask,2025-12-13,493.60,269,1.83,18.96
1765593331700,1843,1599,12.07,5.79,37.85,107,10366.85,96.89,194,Juniper Hydrating Mask,2025-12-13,500.57,169,2.96,20.71
1765596931700,1944,1603,12.86,6.58,41.48,128,10662.09,83.30,181,Juniper Hydrating Mask,2025-12-13,577.23,284,2.03,18.47
1765600531700,2027,1826,14.79,5.97,40.35,121,10841.69,89.60,189,Juniper Hydrating Mask,2025-12-13,542.92,229,2.37,19.97
1765604131700,2080,1837,12.84,6.60,35.20,137,11655.80,85.08,256,Juniper Hydrating Mask,2025-12-13,589.83,202,2.92,19.76
1765607731700,2094,1941,13.41,7.16,30.73,150,13139.99,87.60,246,Juniper Hydrating Mask,2025-12-13,600.63,217,2.77,21.88
1765611331700,2091,1772,13.67,5.90,36.89,123,10555.91,85.82,230,Juniper Hydrating Mask,2025-12-13,577.09,219,2.64,18.29
1765614931700,2037,1930,13.09,6.04,29.96,123,11257.39,91.52,222,Juniper Hydrating Mask,2025-12-13,496.60,199,2.50,22.67
1765618531700,1926,1676,14.46,6.01,35.12,116,10550.66,90.95,143,Juniper Hydrating Mask,2025-12-13,507.04,224,2.26,20.81
1765622131700,1821,1553,13.63,6.20,31.36,113,10708.81,94.77,157,Juniper Hydrating Mask,2025-12-13,514.62,265,1.94,20.81
1765625731700,1694,1443,13.56,5.63,33.73,95,8338.12,87.77,170,Juniper Hydrating Mask,2025-12-13,567.31,298,1.90,14.70
1765629331700,1578,1451,13.21,5.79,36.87,91,7923.06,87.07,156,Juniper Hydrating Mask,2025-12-13,467.23,229,2.04,16.96
1765632931700,1439,1301,10.99,4.76,26.54,68,6186.48,90.98,82,Juniper Hydrating Mask,2025-12-13,486.21,257,1.89,12.72
1765636531700,1300,1182,9.95,5.92,33.82,77,6329.13,82.20,133,Juniper Hydrating Mask,2025-12-13,459.69,180,2.55,13.77
1765640131700,1189,1007,11.40,5.37,23.60,64,5349.54,83.59,94,Juniper Hydrating Mask,2025-12-13,504.85,263,1.92,10.60
1765643731700,1100,955,11.64,5.19,33.14,57,5608.62,98.40,90,Juniper Hydrating Mask,2025-12-13,526.44,254,2.07,10.65
1765647331700,1154,1024,9.61,4.69,33.27,54,4898.61,90.72,101,Juniper Hydrating Mask,2025-12-13,552.78,222,2.49,8.86
1765650931700,1101,914,11.27,4.88,26.15,54,4645.64,86.03,78,Juniper Hydrating Mask,2025-12-13,491.23,222,2.21,9.46
1765654531700,1120,1030,10.72,5.56,26.34,62,5110.05,82.42,98,Juniper Hydrating Mask,2025-12-13,530.23,213,2.49,9.64
1765658131700,1183,1085,9.39,5.54,36.95,65,5590.05,86.00,119,Juniper Hydrating Mask,2025-12-13,539.90,198,2.73,10.35
1765661731700,1301,1224,11.58,4.97,34.36,65,5830.68,89.70,122,Juniper Hydrating Mask,2025-12-13,535.56,200,2.68,10.89
1765665331700,1412,1151,9.91,5.65,25.46,80,7614.53,95.18,106,Juniper Hydrating Mask,2025-12-13,483.08,218,2.22,15.76
1765668931700,1539,1291,12.66,5.38,38.48,83,6960.29,83.86,155,Juniper Hydrating Mask,2025-12-13,467.66,259,1.81,14.88
1765672531700,1689,1567,12.70,4.96,32.50,84,7174.76,85.41,152,Juniper Hydrating Mask,2025-12-14,553.66,203,2.73,12.96
1765676131700,1862,1491,11.92,5.99,36.64,112,9576.79,85.51,166,Juniper Hydrating Mask,2025-12-14,583.75,239,2.44,16.41
1765679731700,1997,1665,14.14,6.81,33.54,136,12998.39,95.58,182,Juniper Hydrating Mask,2025-12-14,590.94,245,2.41,22.00
1765683331700,2127,1966,14.79,6.70,29.16,143,14068.42,98.38,238,Juniper Hydrating Mask,2025-12-14,557.51,192,2.90,25.23
