ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1032,852,9.22,4.39,37.65,45,3645.85,81.02,67,Velvet Bay Candle,2025-12-12,461.17,198,2.33,7.91
1765564531700,1018,862,9.79,5.54,37.96,56,4761.93,85.03,72,Velvet Bay Candle,2025-12-12,519.90,207,2.51,9.16
1765568131700,1018,945,11.12,5.00,28.01,51,4603.82,90.27,80,Velvet Bay Candle,2025-12-12,454.59,192,2.37,10.13
1765571731700,1063,938,10.82,4.35,34.64,46,3487.83,75.82,60,Velvet Bay Candle,2025-12-12,441.57,177,2.49,7.90
1765575331700,1169,1001,10.06,4.49,29.72,52,4580.96,88.10,68,Velvet Bay Candle,2025-12-12,499.08,177,2.82,9.18
1765578931700,1255,1010,9.83,5.04,25.06,63,4739.32,75.23,115,Velvet Bay Candle,2025-12-12,452.35,213,2.12,10.48
1765582531700,1378,1191,11.40,4.71,32.88,65,5088.73,78.29,103,Velvet Bay Candle,2025-12-12,534.74,189,2.83,9.52
1765586131700,1514,1301,11.49,6.52,39.62,99,7857.39,79.37,129,Velvet Bay Candle,2025-12-13,566.49,315,1.80,13.87
1765589731700,1665,1506,11.15,5.61,35.27,93,8249.78,88.71,163,Velvet Bay Candle,2025-12-13,576.69,267,2.16,14.31
1765593331700,1812,1653,13.72,6.55,29.24,119,9671.12,81.27,156,Velvet Bay Candle,2025-12-13,577.58,208,2.78,16.74
1765596931700,1912,1811,13.42,6.25,30.24,119,9011.80,75.73,171,Velvet Bay Candle,2025-12-13,594.63,225,2.64,15.16
1765600531700,2006,1798,14.08,6.07,30.19,122,10589.61,86.80,232,Velvet Bay Candle,2025-12-13,541.60,280,1.93,19.55
1765604131700,2038,1639,13.87,6.60,40.38,135,12379.78,91.70,183,Velvet Bay Candle,2025-12-13,529.79,275,1.93,23.37
1765607731700,2045,1638,15.01,6.00,40.44,123,11417.69,92.83,169,Velvet Bay Candle,2025-12-13,522.50,184,2.84,21.85
1765611331700,2038,1708,13.35,7.06,28.47,144,12139.49,84.30,217,Velvet Bay Candle,2025-12-13,600.65,278,2.16,20.21
1765614931700,1983,1697,12.56,5.56,29.00,110,8733.46,79.40,202,Velvet Bay Candle,2025-12-13,576.68,203,2.84,15.14
1765618531700,1902,1672,13.62,6.62,32.02,126,11567.02,91.80,201,Velvet Bay Candle,2025-12-13,574.46,261,2.20,20.14
1765622131700,1791,1515,13.91,6.03,39.90,108,8527.49,78.96,172,Velvet Bay Candle,2025-12-13,572.82,241,2.38,14.89
1765625731700,1664,1434,13.11,6.69,27.20,111,10237.05,92.23,181,Velvet Bay Candle,2025-12-13,528.27,240,2.20,19.38
1765629331700,1524,1389,13.47,5.89,27.71,90,6946.03,77.18,122,Velvet Bay Candle,2025-12-13,563.26,229,2.46,12.33
1765632931700,1390,1138,12.85,5.68,29.02,79,7010.84,88.74,134,Velvet Bay Candle,2025-12-13,469.12,208,2.26,14.94
1765636531700,1284,1073,9.50,6.26,29.67,80,6105.90,76.32,97,Velvet Bay Candle,2025-12-13,506.37,257,1.97,12.06
1765640131700,1165,973,9.41,4.66,30.98,54,4221.73,78.18,74,Velvet Bay Candle,2025-12-13,523.07,239,2.19,8.07
1765643731700,1054,869,8.82,5.30,25.46,56,5109.13,91.23,72,Velvet Bay Candle,2025-12-13,477.76,241,1.98,10.69
1765647331700,1098,1006,11.13,5.53,27.23,61,4736.53,77.65,80,Velvet Bay Candle,2025-12-13,440.23,172,2.56,10.76
1765650931700,1087,921,11.20,5.51,37.64,60,5560.31,92.67,104,Velvet Bay Candle,2025-12-13,465.96,180,2.59,11.93
1765654531700,1099,934,10.09,5.89,28.71,65,5993.63,92.21,123,Velvet Bay Candle,2025-12-13,450.94,182,2.48,13.29
1765658131700,1174,974,10.50,5.54,31.78,65,5036.59,77.49,110,Velvet Bay Candle,2025-12-13,550.60,262,2.10,9.15
1765661731700,1245,1155,11.58,5.15,25.62,64,5949.58,92.96,116,Velvet Bay Candle,2025-12-13,537.12,267,2.01,11.08
1765665331700,1387,1313,12.23,5.53,34.24,77,6217.21,80.74,134,Velvet Bay Candle,2025-12-13,486.45,210,2.32,12.78
1765668931700,1515,1336,10.80,5.33,34.60,81,6742.62,83.24,133,Velvet Bay Candle,2025-12-13,522.49,275,1.90,12.90
1765672531700,1685,1521,11.75,5.49,28.10,92,8242.94,89.60,113,Velvet Bay Candle,2025-12-14,543.34,287,1.89,15.17
1765676131700,1818,1574,13.92,5.29,26.79,96,8292.20,86.38,156,Velvet Bay Candle,2025-12-14,522.54,209,2.50,15.87
1765679731700,1969,1796,13.51,6.64,35.88,131,11809.81,90.15,244,Velvet Bay Candle,2025-12-14,567.74,241,2.36,20.80
1765683331700,2084,1947,13.82,6.74,31.53,140,12121.79,86.58,221,Velvet Bay Candle,2025-12-14,529.68,223,2.38,22.88
1765686931700,2178,1958,13.00,6.81,27.50,148,13230.17,89.39,233,Velvet Bay Candle,2025-12-14,564.62,264,2.14,23.43
1765690531700,2240,1925,14.35,5.54,30.12,124,11267.87,90.87,221,Velvet Bay Candle,2025-12-14,567.95,294,1.93,19.84
1765694131700,2236,1925,14.77,5.91,34.09,132,10231.44,77.51,243,Velvet Bay Candle,2025-12-14,546.47,183,2.99,18.72
1765697731700,2244,2070,12.67,6.48,36.46,145,12754.86,87.96,272,Velvet Bay Candle,2025-12-14,557.04,285,1.95,22.90
1765701331700,2173,1917,13.06,6.97,29.77,152,12947.68,85.18,287,Velvet Bay Candle,2025-12-14,515.89,203,2.54,25.10
1765704931700,2068,1956,14.15,5.41,42.15,112,8836.52,78.90,212,Velvet Bay Candle,2025-12-14,537.54,197,2.73,16.44
1765708531700,1949,1680,12.24,5.42,34.90,106,8513.38,80.31,157,Velvet Bay Candle,2025-12-14,551.33,259,2.13,15.44
1765712131700,1832,1632,13.98,6.46,36.28,118,8877.44,75.23,193,Velvet Bay Candle,2025-12-14,538.52,233,2.31,16.48
1765715731700,1652,1481,12.23,5.03,39.41,83,7210.82,86.88,135,Velvet Bay Candle,2025-12-14,476.64,238,2.00,15.13
1765719331700,1517,1375,11.65,6.02,24.79,91,8162.76,89.70,173,Velvet Bay Candle,2025-12-14,542.65,211,2.57,15.04
1765722931700,1402,1278,12.02,4.81,25.19,67,6042.95,90.19,113,Velvet Bay Candle,2025-12-14,495.53,186,2.66,12.19
1765726531700,1266,1164,11.42,6.16,34.30,78,6363.94,81.59,116,Velvet Bay Candle,2025-12-14,558.67,194,2.88,11.39
1765730131700,1157,1051,11.35,5.15,26.04,60,5072.74,84.55,96,Velvet Bay Candle,2025-12-14,537.27,274,1.96,9.44
1765733731700,1135,1054,11.11,6.00,30.72,68,5691.18,83.69,91,Velvet Bay Candle,2025-12-14,449.06,212,2.12,12.67
1765737331700,1103,940,9.95,4.66,24.84,51,3871.99,75.92,88,Velvet Bay Candle,2025-12-14,498.88,230,2.17,7.76
1765740931700,1149,1009,8.78,5.35,28.34,61,4616.32,75.68,101,Velvet Bay Candle,2025-12-14,515.46,202,2.55,8.96
1765744531700,1178,961,9.17,4.46,28.57,53,4658.56,87.90,82,Velvet Bay Candle,2025-12-14,441.57,187,2.36,10.55
1765748131700,1293,1134,9.96,5.08,39.13,66,5149.35,78.02,79,Velvet Bay Candle,2025-12-14,511.82,198,2.58,10.06
1765751731700,1430,1147,11.74,5.03,39.23,72,5525.93,76.75,94,Velvet Bay Candle,2025-12-14,479.72,234,2.05,11.52
1765755331700,1541,1308,10.01,4.84,38.89,75,5731.30,76.42,136,Velvet Bay Candle,2025-12-14,466.72,208,2.24,12.28
1765758931700,1711,1414,13.25,4.92,40.01,84,7328.90,87.25,109,Velvet Bay Candle,2025-12-15,489.91,254,1.93,14.96
1765762531700,1867,1660,13.52,6.59,38.30,123,10545.75,85.74,217,Velvet Bay Candle,2025-12-15,537.68,192,2.80,19.61
1765766131700,2003,1707,13.10,5.33,39.90,107,8990.10,84.02,144,Velvet Bay Candle,2025-12-15,549.89,252,2.18,16.35
1765769731700,2143,1959,14.22,6.27,32.24,134,12091.47,90.23,166,Velvet Bay Candle,2025-12-15,511.47,238,2.15,23.64
1765773331700,2200,1823,13.73,6.71,31.32,148,12611.93,85.22,241,Velvet Bay Candle,2025-12-15,485.48,209,2.32,25.98
1765776931700,2273,2099,14.49,6.77,35.01,154,13731.72,89.17,237,Velvet Bay Candle,2025-12-15,558.63,280,2.00,24.58
1765780531700,2281,2146,15.08,6.39,31.64,146,12648.06,86.63,268,Velvet Bay Candle,2025-12-15,536.84,209,2.57,23.56
1765784131700,2295,1972,14.20,6.88,30.13,158,13881.28,87.86,247,Velvet Bay Candle,2025-12-15,521.89,287,1.82,26.60
1765787731700,2238,1991,12.73,6.92,28.66,155,13639.88,88.00,219,Velvet Bay Candle,2025-12-15,542.32,210,2.58,25.15
1765791331700,2141,1772,13.52,6.99,28.47,150,12971.35,86.48,183,Velvet Bay Candle,2025-12-15,485.24,251,1.93,26.73
1765794931700,2016,1626,12.54,6.69,29.54,135,12245.28,90.71,255,Velvet Bay Candle,2025-12-15,573.20,294,1.95,21.36
1765798531700,1878,1569,11.41,5.43,28.62,102,7839.66,76.86,169,Velvet Bay Candle,2025-12-15,570.04,244,2.34,13.75
1765802131700,1716,1412,12.28,5.42,30.06,93,7741.21,83.24,123,Velvet Bay Candle,2025-12-15,518.39,217,2.39,14.93
1765805731700,1543,1310,11.92,6.29,29.88,97,7956.95,82.03,174,Velvet Bay Candle,2025-12-15,559.74,231,2.42,14.22
1765809331700,1430,1356,10.46,5.01,28.19,72,5668.27,78.73,125,Velvet Bay Candle,2025-12-15,562.11,190,2.96,10.08
1765812931700,1298,1117,11.13,4.50,26.61,58,4625.62,79.75,72,Velvet Bay Candle,2025-12-15,497.62,201,2.48,9.30
1765816531700,1193,973,11.27,6.07,26.97,72,5843.00,81.15,103,Velvet Bay Candle,2025-12-15,502.95,269,1.87,11.62
1765820131700,1063,928,9.41,5.17,30.94,55,4948.12,89.97,67,Velvet Bay Candle,2025-12-15,462.21,198,2.33,10.71
1765823731700,1068,1003,11.32,4.85,33.52,52,4072.34,78.31,85,Velvet Bay Candle,2025-12-15,439.46,169,2.60,9.27
1765827331700,1091,936,11.20,5.14,28.70,56,4749.10,84.81,73,Velvet Bay Candle,2025-12-15,531.23,238,2.23,8.94
1765830931700,1110,970,9.26,6.05,30.22,67,5515.71,82.32,104,Velvet Bay Candle,2025-12-15,527.37,285,1.85,10.46
1765834531700,1219,1141,11.16,6.10,30.47,74,6376.90,86.17,131,Velvet Bay Candle,2025-12-15,498.38,222,2.24,12.80
1765838131700,1348,1230,10.42,5.65,26.73,76,5816.88,76.54,106,Velvet Bay Candle,2025-12-15,460.07,237,1.94,12.64
