ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1043,950,11.23,4.81,38.62,50,4214.69,84.29,71,Lumen Glow Serum,2025-12-12,494.67,256,1.93,8.52
1765564531700,995,849,8.93,5.80,29.50,58,5174.27,89.21,71,Lumen Glow Serum,2025-12-12,546.72,193,2.83,9.46
1765568131700,1012,959,9.58,5.05,35.18,51,4049.08,79.39,92,Lumen Glow Serum,2025-12-12,446.33,233,1.92,9.07
1765571731700,1086,1018,9.21,5.34,32.90,58,5140.83,88.63,107,Lumen Glow Serum,2025-12-12,539.48,281,1.92,9.53
1765575331700,1152,1043,10.44,4.88,25.32,56,5354.69,95.62,92,Lumen Glow Serum,2025-12-12,469.41,237,1.98,11.41
1765578931700,1264,1051,10.94,5.64,38.05,71,6348.29,89.41,106,Lumen Glow Serum,2025-12-12,497.14,255,1.95,12.77
1765582531700,1424,1292,12.09,5.69,34.15,81,6593.69,81.40,141,Lumen Glow Serum,2025-12-12,572.61,290,1.97,11.52
1765586131700,1564,1279,12.04,6.37,38.18,100,8893.69,88.94,120,Lumen Glow Serum,2025-12-13,517.94,229,2.26,17.17
1765589731700,1668,1502,13.47,6.33,26.61,106,9446.93,89.12,185,Lumen Glow Serum,2025-12-13,508.71,243,2.09,18.57
1765593331700,1826,1577,13.02,6.13,27.79,112,9792.61,87.43,205,Lumen Glow Serum,2025-12-13,542.01,269,2.01,18.07
1765596931700,1935,1838,11.97,5.91,36.19,114,9348.71,82.01,155,Lumen Glow Serum,2025-12-13,529.36,211,2.51,17.66
1765600531700,2025,1797,12.72,6.08,39.94,123,9981.43,81.15,150,Lumen Glow Serum,2025-12-13,485.10,199,2.44,20.58
1765604131700,2041,1846,15.22,6.37,32.34,130,11536.56,88.74,193,Lumen Glow Serum,2025-12-13,589.34,250,2.36,19.58
1765607731700,2080,1788,15.45,6.29,27.25,131,11525.13,87.98,200,Lumen Glow Serum,2025-12-13,575.13,291,1.98,20.04
1765611331700,2076,1911,12.95,6.58,33.00,137,12027.32,87.79,220,Lumen Glow Serum,2025-12-13,515.71,250,2.06,23.32
1765614931700,2026,1733,12.30,6.02,40.49,122,10244.02,83.97,160,Lumen Glow Serum,2025-12-13,581.28,282,2.06,17.62
1765618531700,1926,1582,13.67,5.90,39.16,114,10238.43,89.81,142,Lumen Glow Serum,2025-12-13,487.43,232,2.10,21.00
1765622131700,1820,1588,11.82,6.81,39.50,124,11871.22,95.74,165,Lumen Glow Serum,2025-12-13,539.86,196,2.75,21.99
1765625731700,1675,1425,12.42,6.42,26.20,108,8590.16,79.54,159,Lumen Glow Serum,2025-12-13,564.96,280,2.02,15.20
1765629331700,1547,1258,13.37,5.84,40.40,90,7703.92,85.60,134,Lumen Glow Serum,2025-12-13,556.67,228,2.44,13.84
1765632931700,1423,1257,10.88,4.66,28.43,66,5738.12,86.94,104,Lumen Glow Serum,2025-12-13,493.36,179,2.76,11.63
1765636531700,1292,1053,12.40,5.58,38.23,72,5824.56,80.90,91,Lumen Glow Serum,2025-12-13,557.36,309,1.80,10.45
1765640131700,1154,1057,9.14,4.82,34.86,56,4447.21,79.41,105,Lumen Glow Serum,2025-12-13,514.89,188,2.74,8.64
1765643731700,1069,1012,11.66,5.09,33.70,54,4669.33,86.47,68,Lumen Glow Serum,2025-12-13,487.04,192,2.54,9.59
1765647331700,1109,947,10.37,5.11,28.55,57,5004.50,87.80,86,Lumen Glow Serum,2025-12-13,531.90,204,2.61,9.41
1765650931700,1092,910,10.64,5.10,23.50,56,5363.94,95.78,94,Lumen Glow Serum,2025-12-13,511.88,204,2.51,10.48
1765654531700,1128,924,11.03,5.11,36.22,58,4642.61,80.05,104,Lumen Glow Serum,2025-12-13,494.35,219,2.26,9.39
1765658131700,1164,1009,10.57,5.16,26.81,60,5415.45,90.26,85,Lumen Glow Serum,2025-12-13,533.41,263,2.03,10.15
1765661731700,1262,1195,11.79,5.90,30.69,74,6653.85,89.92,89,Lumen Glow Serum,2025-12-13,536.48,228,2.35,12.40
1765665331700,1382,1177,9.58,4.66,31.44,64,6059.56,94.68,93,Lumen Glow Serum,2025-12-13,534.05,212,2.52,11.35
1765668931700,1530,1288,10.91,5.73,29.46,88,7341.46,83.43,165,Lumen Glow Serum,2025-12-13,491.94,174,2.83,14.92
1765672531700,1703,1417,13.38,5.66,29.90,96,8947.38,93.20,122,Lumen Glow Serum,2025-12-14,534.27,228,2.34,16.75
1765676131700,1841,1705,13.28,5.77,27.11,106,9575.01,90.33,194,Lumen Glow Serum,2025-12-14,530.12,278,1.91,18.06
1765679731700,1960,1805,13.42,5.79,39.10,113,9989.87,88.41,189,Lumen Glow Serum,2025-12-14,552.00,292,1.89,18.10
1765683331700,2106,1797,13.46,5.85,38.85,123,10842.97,88.15,166,Lumen Glow Serum,2025-12-14,485.29,231,2.10,22.34
1765686931700,2186,2058,12.77,6.14,39.58,134,11961.95,89.27,238,Lumen Glow Serum,2025-12-14,595.40,242,2.46,20.09
1765690531700,2253,2121,14.46,6.35,30.25,143,11856.17,82.91,257,Lumen Glow Serum,2025-12-14,568.01,303,1.87,20.87
1765694131700,2290,1926,12.64,6.65,41.85,152,13069.81,85.99,235,Lumen Glow Serum,2025-12-14,591.83,328,1.80,22.08
1765697731700,2263,2132,12.76,6.74,37.26,152,12799.09,84.20,226,Lumen Glow Serum,2025-12-14,558.40,231,2.42,22.92
1765701331700,2194,1955,14.99,6.96,30.92,153,12391.75,80.99,277,Lumen Glow Serum,2025-12-14,499.30,186,2.68,24.82
1765704931700,2118,1948,14.91,5.88,41.69,125,11391.98,91.14,228,Lumen Glow Serum,2025-12-14,508.62,271,1.88,22.40
1765708531700,1970,1585,13.80,6.63,34.55,131,11471.82,87.57,183,Lumen Glow Serum,2025-12-14,545.83,216,2.53,21.02
1765712131700,1846,1710,12.08,6.72,33.23,124,11030.06,88.95,200,Lumen Glow Serum,2025-12-14,585.89,222,2.64,18.83
1765715731700,1684,1583,12.82,5.36,27.38,90,8389.23,93.21,113,Lumen Glow Serum,2025-12-14,490.37,240,2.04,17.11
1765719331700,1549,1351,12.81,6.38,39.32,99,8662.55,87.50,184,Lumen Glow Serum,2025-12-14,530.60,277,1.92,16.33
1765722931700,1384,1313,11.40,5.44,34.69,75,6376.76,85.02,96,Lumen Glow Serum,2025-12-14,537.23,238,2.26,11.87
