ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,702,608,5.47,1.86,47.11,13,1079.80,83.06,19,Solstice Ceramic Set,2025-12-12,439.17,166,2.65,2.46
1765564531700,685,570,4.51,2.00,40.04,14,1163.70,83.12,18,Solstice Ceramic Set,2025-12-12,488.23,212,2.30,2.38
1765568131700,708,615,4.08,1.41,42.62,10,802.96,80.30,19,Solstice Ceramic Set,2025-12-12,518.98,261,1.99,1.55
1765571731700,734,645,5.68,2.02,41.73,15,1178.18,78.55,23,Solstice Ceramic Set,2025-12-12,529.80,188,2.82,2.22
1765575331700,780,704,3.98,2.03,42.73,16,1285.96,80.37,21,Solstice Ceramic Set,2025-12-12,448.88,219,2.05,2.86
1765578931700,858,703,6.16,3.09,36.58,26,2220.13,85.39,36,Solstice Ceramic Set,2025-12-12,487.81,175,2.79,4.55
1765582531700,976,905,4.69,2.61,47.31,25,2020.80,80.83,41,Solstice Ceramic Set,2025-12-12,468.74,180,2.60,4.31
1765586131700,1041,957,6.24,3.47,42.97,36,2575.06,71.53,67,Solstice Ceramic Set,2025-12-13,516.63,176,2.94,4.98
1765589731700,1162,949,6.38,2.31,38.46,27,2332.23,86.38,47,Solstice Ceramic Set,2025-12-13,520.68,180,2.89,4.48
1765593331700,1237,1017,8.55,3.48,39.92,43,3674.05,85.44,78,Solstice Ceramic Set,2025-12-13,473.71,207,2.29,7.76
1765596931700,1318,1142,6.62,3.23,41.36,43,2978.60,69.27,67,Solstice Ceramic Set,2025-12-13,485.14,179,2.71,6.14
1765600531700,1374,1261,9.17,3.86,39.96,53,4036.07,76.15,69,Solstice Ceramic Set,2025-12-13,542.08,220,2.46,7.45
1765604131700,1384,1183,9.90,4.09,39.47,57,4432.53,77.76,88,Solstice Ceramic Set,2025-12-13,495.36,187,2.65,8.95
1765607731700,1420,1307,9.89,3.56,40.53,50,3691.28,73.83,65,Solstice Ceramic Set,2025-12-13,573.96,296,1.94,6.43
1765611331700,1381,1209,9.88,3.21,48.89,44,3306.03,75.14,64,Solstice Ceramic Set,2025-12-13,521.90,222,2.35,6.33
1765614931700,1343,1143,8.00,3.71,37.13,50,3519.88,70.40,65,Solstice Ceramic Set,2025-12-13,584.65,255,2.29,6.02
1765618531700,1313,1053,8.93,3.57,47.25,47,3696.44,78.65,83,Solstice Ceramic Set,2025-12-13,578.66,237,2.44,6.39
1765622131700,1241,1147,6.85,3.89,51.03,48,4038.53,84.14,88,Solstice Ceramic Set,2025-12-13,572.82,276,2.08,7.05
1765625731700,1140,1078,8.06,2.90,50.20,33,2383.35,72.22,52,Solstice Ceramic Set,2025-12-13,485.82,213,2.28,4.91
1765629331700,1054,978,7.56,2.27,37.89,24,1767.54,73.65,33,Solstice Ceramic Set,2025-12-13,481.62,249,1.93,3.67
1765632931700,975,827,6.55,3.41,47.08,33,2682.39,81.28,60,Solstice Ceramic Set,2025-12-13,521.71,190,2.75,5.14
1765636531700,884,707,5.18,1.95,43.28,17,1270.52,74.74,28,Solstice Ceramic Set,2025-12-13,490.19,172,2.85,2.59
1765640131700,780,689,5.78,2.07,37.63,16,1193.18,74.57,30,Solstice Ceramic Set,2025-12-13,444.48,182,2.44,2.68
1765643731700,756,646,3.67,1.77,43.91,13,1107.09,85.16,18,Solstice Ceramic Set,2025-12-13,483.41,165,2.93,2.29
1765647331700,757,702,5.68,2.10,42.21,16,1175.91,73.49,24,Solstice Ceramic Set,2025-12-13,528.95,227,2.33,2.22
1765650931700,759,679,5.26,1.66,33.20,13,1019.65,78.43,23,Solstice Ceramic Set,2025-12-13,442.89,149,2.97,2.30
1765654531700,767,726,3.73,1.52,38.33,12,1009.93,84.16,16,Solstice Ceramic Set,2025-12-13,544.31,219,2.49,1.86
1765658131700,813,680,5.36,2.39,44.38,19,1564.33,82.33,24,Solstice Ceramic Set,2025-12-13,502.90,220,2.29,3.11
