ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,694,557,5.48,2.09,39.00,15,1261.35,84.09,20,Lumen Glassware,2025-12-12,463.97,172,2.70,2.72
1765564531700,703,643,4.91,1.45,34.35,10,725.43,72.54,13,Lumen Glassware,2025-12-12,461.10,253,1.82,1.57
1765568131700,729,677,3.65,2.61,36.28,19,1473.33,77.54,33,Lumen Glassware,2025-12-12,507.53,246,2.06,2.90
1765571731700,764,614,4.53,2.52,43.21,19,1451.19,76.38,26,Lumen Glassware,2025-12-12,472.29,166,2.85,3.07
1765575331700,803,754,3.91,3.01,36.44,24,1763.23,73.47,34,Lumen Glassware,2025-12-12,483.41,189,2.56,3.65
1765578931700,898,783,6.97,2.34,49.67,21,1748.72,83.27,36,Lumen Glassware,2025-12-12,491.53,187,2.63,3.56
1765582531700,958,783,5.59,2.91,35.25,28,2419.47,86.41,44,Lumen Glassware,2025-12-12,518.79,266,1.95,4.66
1765586131700,1082,896,6.52,2.73,38.31,30,2266.84,75.56,39,Lumen Glassware,2025-12-13,567.12,195,2.91,4.00
1765589731700,1145,931,6.72,3.41,45.04,39,3409.87,87.43,51,Lumen Glassware,2025-12-13,585.21,263,2.23,5.83
1765593331700,1242,1098,8.82,2.59,37.95,32,2798.89,87.47,48,Lumen Glassware,2025-12-13,512.52,224,2.29,5.46
1765596931700,1305,1113,8.95,3.22,48.53,42,3196.33,76.10,78,Lumen Glassware,2025-12-13,595.38,291,2.05,5.37
1765600531700,1389,1164,7.26,2.79,51.77,39,2980.48,76.42,68,Lumen Glassware,2025-12-13,555.95,260,2.14,5.36
1765604131700,1407,1166,8.95,2.53,46.37,36,2865.10,79.59,57,Lumen Glassware,2025-12-13,590.66,267,2.21,4.85
1765607731700,1424,1286,9.21,2.60,44.34,37,3140.83,84.89,47,Lumen Glassware,2025-12-13,530.40,238,2.23,5.92
1765611331700,1425,1163,7.50,2.82,46.14,40,3290.55,82.26,71,Lumen Glassware,2025-12-13,581.58,201,2.89,5.66
1765614931700,1399,1166,9.50,2.50,48.93,35,2975.54,85.02,48,Lumen Glassware,2025-12-13,530.47,220,2.41,5.61
1765618531700,1341,1139,8.17,2.49,42.09,33,2686.08,81.40,56,Lumen Glassware,2025-12-13,553.54,266,2.08,4.85
1765622131700,1247,1041,6.00,3.45,45.56,43,3572.19,83.07,56,Lumen Glassware,2025-12-13,476.84,235,2.03,7.49
1765625731700,1145,942,7.35,3.58,49.61,41,3076.68,75.04,63,Lumen Glassware,2025-12-13,525.35,270,1.95,5.86
1765629331700,1065,872,6.65,2.37,46.54,25,2248.03,89.92,41,Lumen Glassware,2025-12-13,564.80,226,2.50,3.98
1765632931700,985,869,5.62,2.28,47.20,22,1772.79,80.58,36,Lumen Glassware,2025-12-13,531.39,205,2.59,3.34
1765636531700,868,697,5.04,2.98,42.02,26,2053.59,78.98,36,Lumen Glassware,2025-12-13,545.53,249,2.19,3.76
