ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,751,712,5.76,1.68,38.37,13,1249.58,96.12,22,Juniper Hydrating Mask,2025-12-12,525.05,269,1.95,2.38
1765564531700,742,663,4.07,2.58,39.16,19,1655.53,87.13,25,Juniper Hydrating Mask,2025-12-12,495.60,249,1.99,3.34
1765568131700,735,679,3.78,1.43,39.63,11,1010.19,91.84,16,Juniper Hydrating Mask,2025-12-12,493.51,178,2.77,2.05
1765571731700,775,648,5.71,1.56,34.51,12,1184.22,98.68,20,Juniper Hydrating Mask,2025-12-12,492.66,170,2.90,2.40
1765575331700,828,694,4.32,1.64,44.35,14,1264.00,90.29,22,Juniper Hydrating Mask,2025-12-12,532.43,203,2.62,2.37
1765578931700,939,847,4.10,3.10,34.34,29,2412.05,83.17,40,Juniper Hydrating Mask,2025-12-12,542.18,272,1.99,4.45
1765582531700,1028,975,5.84,3.44,47.04,35,3169.10,90.55,63,Juniper Hydrating Mask,2025-12-12,467.22,163,2.87,6.78
1765586131700,1127,957,6.89,2.20,35.32,25,2221.29,88.85,35,Juniper Hydrating Mask,2025-12-13,528.41,228,2.32,4.20
1765589731700,1221,1132,5.87,2.83,46.52,35,3022.07,86.34,52,Juniper Hydrating Mask,2025-12-13,523.03,270,1.94,5.78
1765593331700,1282,1113,8.39,2.76,41.44,35,2990.79,85.45,55,Juniper Hydrating Mask,2025-12-13,531.13,225,2.36,5.63
1765596931700,1374,1175,6.68,2.25,36.93,31,2710.32,87.43,41,Juniper Hydrating Mask,2025-12-13,478.31,226,2.12,5.67
1765600531700,1433,1355,9.65,3.50,38.74,50,4787.87,95.76,70,Juniper Hydrating Mask,2025-12-13,538.71,203,2.65,8.89
1765604131700,1481,1209,9.61,2.48,46.36,37,3439.20,92.95,47,Juniper Hydrating Mask,2025-12-13,488.67,235,2.08,7.04
1765607731700,1477,1351,7.32,2.72,52.89,40,3844.64,96.12,56,Juniper Hydrating Mask,2025-12-13,597.40,240,2.49,6.44
1765611331700,1472,1230,8.00,3.29,49.45,48,4347.25,90.57,82,Juniper Hydrating Mask,2025-12-13,516.60,258,2.00,8.42
1765614931700,1455,1274,9.54,3.90,39.32,57,4799.58,84.20,104,Juniper Hydrating Mask,2025-12-13,535.09,197,2.72,8.97
1765618531700,1384,1142,9.00,2.96,45.12,41,3656.96,89.19,63,Juniper Hydrating Mask,2025-12-13,528.95,182,2.91,6.91
1765622131700,1314,1180,6.97,2.37,46.42,31,2972.86,95.90,54,Juniper Hydrating Mask,2025-12-13,586.79,315,1.86,5.07
1765625731700,1202,990,7.12,2.45,43.41,29,2364.12,81.52,46,Juniper Hydrating Mask,2025-12-13,537.15,276,1.95,4.40
1765629331700,1130,1062,6.88,2.12,47.65,24,2374.31,98.93,41,Juniper Hydrating Mask,2025-12-13,534.35,239,2.24,4.44
1765632931700,996,889,4.49,2.23,42.75,22,1794.12,81.55,28,Juniper Hydrating Mask,2025-12-13,458.60,238,1.93,3.91
1765636531700,900,850,6.75,3.24,36.22,29,2784.47,96.02,44,Juniper Hydrating Mask,2025-12-13,504.06,274,1.84,5.52
1765640131700,843,789,4.46,2.76,46.98,23,2217.69,96.42,40,Juniper Hydrating Mask,2025-12-13,487.80,238,2.05,4.55
1765643731700,784,628,6.14,1.53,40.83,12,997.52,83.13,17,Juniper Hydrating Mask,2025-12-13,526.64,184,2.86,1.89
