ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,722,598,4.62,2.17,44.30,16,1399.65,87.48,23,Velvet Bay Candle,2025-12-12,496.29,260,1.91,2.82
1765564531700,701,605,5.97,2.89,43.41,20,1612.42,80.62,29,Velvet Bay Candle,2025-12-12,484.40,230,2.11,3.33
1765568131700,706,631,3.08,1.99,42.87,14,1214.17,86.73,26,Velvet Bay Candle,2025-12-12,447.96,206,2.17,2.71
1765571731700,764,662,6.24,2.92,41.24,22,2031.11,92.32,37,Velvet Bay Candle,2025-12-12,535.03,241,2.22,3.80
1765575331700,799,705,4.54,2.50,37.40,20,1669.25,83.46,29,Velvet Bay Candle,2025-12-12,536.00,269,1.99,3.11
1765578931700,885,801,6.17,1.74,48.66,15,1234.16,82.28,23,Velvet Bay Candle,2025-12-12,479.06,228,2.10,2.58
1765582531700,978,926,5.52,2.44,41.98,24,2131.89,88.83,36,Velvet Bay Candle,2025-12-12,524.09,178,2.94,4.07
1765586131700,1071,888,6.50,2.48,46.42,27,2077.66,76.95,34,Velvet Bay Candle,2025-12-13,478.72,181,2.64,4.34
1765589731700,1195,1034,5.59,3.35,44.85,40,3236.27,80.91,68,Velvet Bay Candle,2025-12-13,580.43,308,1.88,5.58
1765593331700,1275,1192,6.04,3.45,47.59,44,3534.44,80.33,56,Velvet Bay Candle,2025-12-13,565.04,250,2.26,6.26
1765596931700,1335,1230,9.01,2.76,47.67,37,3387.01,91.54,54,Velvet Bay Candle,2025-12-13,530.90,229,2.32,6.38
1765600531700,1404,1135,8.85,2.67,45.13,38,3354.16,88.27,67,Velvet Bay Candle,2025-12-13,560.12,300,1.87,5.99
1765604131700,1451,1307,8.33,2.89,39.53,42,3321.12,79.07,58,Velvet Bay Candle,2025-12-13,549.01,240,2.29,6.05
1765607731700,1440,1246,8.33,3.59,40.12,52,4574.19,87.97,74,Velvet Bay Candle,2025-12-13,573.04,265,2.16,7.98
1765611331700,1458,1272,8.79,3.29,50.53,48,3900.33,81.26,71,Velvet Bay Candle,2025-12-13,489.26,218,2.24,7.97
1765614931700,1393,1301,8.70,2.45,45.73,34,3056.03,89.88,61,Velvet Bay Candle,2025-12-13,561.92,280,2.01,5.44
1765618531700,1341,1220,6.94,3.33,47.54,45,3971.61,88.26,69,Velvet Bay Candle,2025-12-13,553.20,218,2.54,7.18
1765622131700,1249,1029,7.81,3.04,46.02,38,3378.46,88.91,64,Velvet Bay Candle,2025-12-13,546.90,255,2.14,6.18
1765625731700,1162,1017,6.86,2.88,47.24,33,2980.33,90.31,49,Velvet Bay Candle,2025-12-13,470.51,185,2.54,6.33
1765629331700,1064,986,7.84,2.91,47.73,31,2858.00,92.19,53,Velvet Bay Candle,2025-12-13,541.04,272,1.99,5.28
1765632931700,996,852,6.41,3.05,39.99,30,2421.34,80.71,47,Velvet Bay Candle,2025-12-13,549.03,215,2.55,4.41
1765636531700,904,769,5.22,2.54,46.99,23,2134.72,92.81,38,Velvet Bay Candle,2025-12-13,532.33,294,1.81,4.01
1765640131700,804,661,4.35,2.95,48.15,24,2138.07,89.09,39,Velvet Bay Candle,2025-12-13,459.15,183,2.51,4.66
1765643731700,767,637,5.70,2.36,46.55,18,1505.09,83.62,31,Velvet Bay Candle,2025-12-13,448.65,175,2.56,3.35
1765647331700,801,649,5.68,2.34,47.20,19,1467.09,77.22,32,Velvet Bay Candle,2025-12-13,492.15,182,2.70,2.98
1765650931700,755,619,5.28,2.37,40.62,18,1462.55,81.25,23,Velvet Bay Candle,2025-12-13,454.31,166,2.74,3.22
1765654531700,780,685,4.01,1.41,48.30,11,901.49,81.95,19,Velvet Bay Candle,2025-12-13,458.87,183,2.51,1.96
1765658131700,831,682,5.22,2.30,43.66,19,1741.58,91.66,34,Velvet Bay Candle,2025-12-13,467.53,238,1.96,3.73
1765661731700,883,710,4.29,1.92,44.62,17,1560.09,91.77,26,Velvet Bay Candle,2025-12-13,512.61,230,2.23,3.04
1765665331700,984,928,6.75,1.84,38.00,18,1543.19,85.73,24,Velvet Bay Candle,2025-12-13,471.17,190,2.48,3.28
1765668931700,1078,866,7.15,2.16,41.90,23,1945.97,84.61,37,Velvet Bay Candle,2025-12-13,474.34,179,2.65,4.10
1765672531700,1169,1042,6.07,3.20,46.93,37,3188.89,86.19,59,Velvet Bay Candle,2025-12-14,578.68,297,1.95,5.51
1765676131700,1300,1135,6.26,3.39,50.90,44,3569.84,81.13,56,Velvet Bay Candle,2025-12-14,578.65,314,1.84,6.17
1765679731700,1381,1274,6.50,3.53,51.59,49,3713.97,75.80,85,Velvet Bay Candle,2025-12-14,495.71,265,1.87,7.49
1765683331700,1467,1292,8.81,3.81,42.78,56,4573.71,81.67,90,Velvet Bay Candle,2025-12-14,488.15,209,2.34,9.37
1765686931700,1518,1223,6.79,3.61,38.03,55,4757.79,86.51,72,Velvet Bay Candle,2025-12-14,527.02,250,2.11,9.03
1765690531700,1587,1351,9.30,2.80,52.74,44,3536.21,80.37,69,Velvet Bay Candle,2025-12-14,602.73,275,2.19,5.87
1765694131700,1565,1417,9.26,3.99,45.04,62,5155.58,83.15,83,Velvet Bay Candle,2025-12-14,549.89,196,2.81,9.38
1765697731700,1565,1477,9.74,3.39,48.45,53,4809.70,90.75,99,Velvet Bay Candle,2025-12-14,524.42,256,2.05,9.17
1765701331700,1529,1249,7.02,2.97,41.31,45,4127.75,91.73,85,Velvet Bay Candle,2025-12-14,590.66,251,2.35,6.99
1765704931700,1484,1340,7.94,3.56,44.87,53,4246.20,80.12,91,Velvet Bay Candle,2025-12-14,479.20,188,2.55,8.86
1765708531700,1371,1172,8.09,3.01,39.11,41,3149.89,76.83,55,Velvet Bay Candle,2025-12-14,544.82,232,2.35,5.78
1765712131700,1292,1202,8.38,2.73,39.80,35,2838.45,81.10,52,Velvet Bay Candle,2025-12-14,498.49,205,2.43,5.69
1765715731700,1162,1089,6.58,2.08,50.21,24,2181.50,90.90,33,Velvet Bay Candle,2025-12-14,578.87,194,2.98,3.77
1765719331700,1082,1001,7.46,2.52,39.25,27,2377.61,88.06,46,Velvet Bay Candle,2025-12-14,539.96,191,2.83,4.40
1765722931700,996,823,5.38,2.05,34.16,20,1800.67,90.03,31,Velvet Bay Candle,2025-12-14,481.07,183,2.63,3.74
1765726531700,899,741,4.53,1.55,41.55,14,1278.33,91.31,25,Velvet Bay Candle,2025-12-14,555.62,283,1.96,2.30
1765730131700,818,661,4.80,1.78,45.67,15,1390.37,92.69,27,Velvet Bay Candle,2025-12-14,447.61,216,2.07,3.11
1765733731700,805,744,4.09,1.33,42.10,11,891.84,81.08,20,Velvet Bay Candle,2025-12-14,468.73,188,2.49,1.90
1765737331700,809,718,3.95,1.53,36.80,12,1050.19,87.52,19,Velvet Bay Candle,2025-12-14,442.32,240,1.84,2.37
1765740931700,808,715,3.73,2.08,37.51,17,1418.31,83.43,25,Velvet Bay Candle,2025-12-14,481.23,239,2.01,2.95
1765744531700,845,759,3.29,2.97,45.64,25,2181.71,87.27,36,Velvet Bay Candle,2025-12-14,455.73,184,2.48,4.79
1765748131700,923,803,6.52,1.69,45.51,16,1227.04,76.69,22,Velvet Bay Candle,2025-12-14,520.88,250,2.08,2.36
1765751731700,1005,913,5.15,2.13,40.81,21,1830.02,87.14,32,Velvet Bay Candle,2025-12-14,493.80,181,2.73,3.71
1765755331700,1101,906,6.76,2.39,41.00,26,2381.97,91.61,35,Velvet Bay Candle,2025-12-14,482.69,260,1.86,4.93
1765758931700,1212,1038,5.70,2.46,37.28,30,2255.68,75.19,49,Velvet Bay Candle,2025-12-15,491.90,198,2.48,4.59
1765762531700,1292,1159,7.28,2.31,41.79,30,2666.47,88.88,43,Velvet Bay Candle,2025-12-15,545.79,250,2.18,4.89
1765766131700,1399,1140,6.06,2.98,39.16,42,3856.27,91.82,58,Velvet Bay Candle,2025-12-15,532.11,179,2.97,7.25
1765769731700,1495,1283,6.69,3.90,45.35,58,5144.93,88.71,96,Velvet Bay Candle,2025-12-15,503.74,266,1.89,10.21
1765773331700,1553,1319,8.25,2.72,40.55,42,3712.02,88.38,60,Velvet Bay Candle,2025-12-15,530.64,282,1.88,7.00
1765776931700,1606,1520,7.62,4.16,42.11,67,5761.32,85.99,111,Velvet Bay Candle,2025-12-15,588.66,241,2.44,9.79
1765780531700,1609,1363,9.94,2.47,48.31,40,3628.70,90.72,65,Velvet Bay Candle,2025-12-15,519.61,193,2.69,6.98
1765784131700,1613,1353,7.53,3.42,45.30,55,4337.08,78.86,81,Velvet Bay Candle,2025-12-15,496.27,181,2.74,8.74
1765787731700,1553,1321,7.19,4.01,40.65,62,5355.62,86.38,94,Velvet Bay Candle,2025-12-15,513.23,218,2.35,10.44
1765791331700,1503,1255,7.25,2.87,38.08,43,3573.08,83.09,67,Velvet Bay Candle,2025-12-15,582.84,233,2.50,6.13
1765794931700,1404,1284,7.34,2.29,43.28,32,2950.68,92.21,48,Velvet Bay Candle,2025-12-15,537.87,196,2.74,5.49
1765798531700,1324,1250,6.97,2.65,40.09,35,3067.22,87.63,56,Velvet Bay Candle,2025-12-15,581.10,212,2.74,5.28
1765802131700,1197,1043,5.75,2.42,35.40,29,2576.97,88.86,50,Velvet Bay Candle,2025-12-15,535.31,253,2.12,4.81
1765805731700,1082,867,7.20,1.90,36.02,21,1634.09,77.81,36,Velvet Bay Candle,2025-12-15,494.40,225,2.20,3.31
1765809331700,978,847,4.42,2.83,35.14,28,2341.41,83.62,46,Velvet Bay Candle,2025-12-15,564.58,194,2.91,4.15
1765812931700,927,799,4.72,2.10,37.93,19,1516.82,79.83,35,Velvet Bay Candle,2025-12-15,513.42,218,2.36,2.95
1765816531700,862,718,5.95,2.65,48.48,23,2019.34,87.80,35,Velvet Bay Candle,2025-12-15,445.89,238,1.87,4.53
1765820131700,757,688,3.53,2.25,47.45,17,1446.67,85.10,27,Velvet Bay Candle,2025-12-15,513.73,274,1.87,2.82
1765823731700,752,603,5.44,1.60,41.67,12,989.55,82.46,19,Velvet Bay Candle,2025-12-15,485.23,236,2.06,2.04
