ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,724,657,3.92,2.99,39.60,22,1807.34,82.15,32,Lumen Glow Serum,2025-12-12,437.91,211,2.08,4.13
1765564531700,724,666,5.78,1.38,37.65,10,860.14,86.01,16,Lumen Glow Serum,2025-12-12,467.17,217,2.15,1.84
1765568131700,744,665,4.76,1.61,33.79,12,968.37,80.70,15,Lumen Glow Serum,2025-12-12,465.00,251,1.85,2.08
1765571731700,764,621,5.36,2.10,43.20,16,1511.12,94.44,28,Lumen Glow Serum,2025-12-12,497.67,249,2.00,3.04
1765575331700,824,745,4.88,2.74,41.42,23,1960.99,85.26,29,Lumen Glow Serum,2025-12-12,525.08,253,2.08,3.73
1765578931700,901,849,4.91,1.88,47.35,17,1366.57,80.39,31,Lumen Glow Serum,2025-12-12,560.40,200,2.80,2.44
1765582531700,1002,846,5.44,2.35,45.19,24,2069.34,86.22,30,Lumen Glow Serum,2025-12-12,483.70,226,2.14,4.28
1765586131700,1085,874,7.36,3.54,47.08,38,3433.98,90.37,66,Lumen Glow Serum,2025-12-13,549.77,272,2.02,6.25
1765589731700,1174,1031,6.69,3.07,38.11,36,3433.91,95.39,53,Lumen Glow Serum,2025-12-13,577.77,206,2.80,5.94
1765593331700,1279,1156,7.76,2.41,42.54,31,2922.31,94.27,46,Lumen Glow Serum,2025-12-13,502.04,241,2.08,5.82
1765596931700,1373,1188,8.13,3.61,37.75,50,4259.42,85.19,85,Lumen Glow Serum,2025-12-13,541.61,246,2.20,7.86
1765600531700,1405,1243,6.75,3.48,43.91,49,4181.17,85.33,73,Lumen Glow Serum,2025-12-13,524.76,187,2.81,7.97
1765604131700,1470,1386,8.10,2.70,40.48,40,3774.62,94.37,63,Lumen Glow Serum,2025-12-13,516.96,205,2.52,7.30
1765607731700,1483,1206,7.86,4.12,46.56,61,5280.11,86.56,77,Lumen Glow Serum,2025-12-13,537.40,296,1.82,9.83
1765611331700,1443,1213,9.75,2.76,52.83,40,3306.25,82.66,73,Lumen Glow Serum,2025-12-13,527.47,188,2.81,6.27
1765614931700,1419,1197,9.67,3.35,42.38,47,4488.45,95.50,61,Lumen Glow Serum,2025-12-13,522.99,206,2.54,8.58
1765618531700,1371,1198,8.56,2.38,45.57,33,2678.30,81.16,43,Lumen Glow Serum,2025-12-13,581.98,230,2.53,4.60
