ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,15.14,7.17,93.09,297.03,4.28,100.07,112.07
1765564531700,15.27,4.41,93.79,297.63,4.31,99.58,112.48
1765568131700,15.49,6.22,92.41,297.53,4.35,99.93,112.95
1765571731700,15.95,4.13,93.13,297.24,4.26,99.03,113.26
1765575331700,15.66,3.61,92.23,297.53,4.28,99.22,112.27
1765578931700,15.75,4.06,92.89,297.55,4.24,99.42,112.39
1765582531700,15.91,6.04,92.46,297.27,4.29,99.66,112.25
1765586131700,15.44,6.12,93.97,297.04,4.22,99.39,113.24
1765589731700,15.69,5.06,93.30,297.72,4.20,99.68,113.02
1765593331700,16.95,3.67,93.32,297.10,4.30,99.18,112.37
1765596931700,16.56,4.78,93.16,297.31,4.31,99.58,112.05
1765600531700,16.36,4.96,93.84,297.15,4.33,99.60,113.21
1765604131700,16.68,4.13,92.36,297.05,4.33,99.23,112.21
1765607731700,15.75,5.25,93.33,297.56,4.30,99.26,112.88
1765611331700,15.97,6.90,93.71,297.59,4.35,99.72,112.55
1765614931700,15.31,7.42,93.94,297.24,4.36,99.60,113.40
1765618531700,16.17,7.64,92.49,297.53,4.33,100.06,112.64
1765622131700,16.19,8.76,92.52,297.49,4.21,99.87,112.62
1765625731700,16.44,8.98,92.36,297.32,4.30,99.88,113.33
1765629331700,16.74,6.16,93.33,297.61,4.32,100.16,112.74
1765632931700,16.72,9.10,92.05,297.80,4.38,100.00,113.29
1765636531700,16.38,5.79,92.82,297.22,4.33,99.42,112.82
1765640131700,15.17,7.01,92.38,297.43,4.37,99.68,112.02
1765643731700,16.05,4.69,92.11,297.12,4.37,100.19,112.75
1765647331700,16.99,7.77,92.84,297.33,4.22,99.89,112.63
1765650931700,16.43,4.36,94.25,297.15,4.40,100.40,113.19
1765654531700,16.76,3.31,94.40,297.38,4.32,100.28,113.74
1765658131700,16.95,5.42,92.64,297.13,4.24,100.51,113.13
1765661731700,16.27,7.65,94.11,297.08,4.27,99.59,113.44
1765665331700,15.45,5.17,93.57,297.24,4.40,99.52,113.69
1765668931700,16.41,4.53,93.77,297.80,4.30,99.77,113.67
1765672531700,15.61,7.35,93.33,297.08,4.36,100.13,113.71
1765676131700,15.24,6.03,94.19,297.42,4.36,99.71,113.24
1765679731700,16.49,5.37,92.98,297.83,4.22,100.29,113.38
1765683331700,16.02,7.22,93.70,297.26,4.38,99.46,113.12
1765686931700,15.36,6.69,93.62,297.71,4.38,99.60,112.76
1765690531700,16.18,8.66,93.11,297.33,4.25,99.81,112.55
1765694131700,16.03,8.34,92.51,297.61,4.26,100.20,113.47
1765697731700,15.71,7.53,92.48,297.65,4.39,99.99,112.39
1765701331700,15.93,6.20,93.25,297.64,4.22,100.06,112.53
1765704931700,16.48,6.88,94.37,297.15,4.38,99.55,113.10
1765708531700,16.20,5.28,92.76,297.08,4.22,99.88,112.48
1765712131700,15.66,8.72,93.34,297.41,4.22,99.44,113.78
1765715731700,16.56,7.51,92.79,297.15,4.31,99.75,112.99
1765719331700,15.84,8.15,93.87,297.82,4.35,100.15,112.71
1765722931700,16.24,8.14,92.98,297.79,4.33,99.53,113.15
1765726531700,16.19,7.04,93.06,297.65,4.26,99.36,112.38
1765730131700,16.19,8.79,93.57,297.77,4.29,100.49,113.27
1765733731700,15.43,3.38,93.68,297.57,4.33,100.50,113.53
1765737331700,15.25,4.56,93.79,297.29,4.38,99.92,113.25
1765740931700,17.12,6.18,94.39,297.77,4.37,99.96,114.14
1765744531700,16.69,2.79,93.37,297.17,4.40,100.06,114.00
1765748131700,16.34,6.91,93.73,297.70,4.24,99.88,114.07
1765751731700,16.92,4.38,94.77,297.44,4.40,100.43,113.63
1765755331700,16.85,6.93,94.35,297.30,4.40,100.32,113.88
1765758931700,15.93,6.12,93.50,297.86,4.25,99.96,113.96
1765762531700,15.87,6.32,94.58,297.19,4.28,100.49,112.71
1765766131700,17.05,4.19,93.02,297.81,4.26,99.96,112.68
1765769731700,15.33,7.54,93.91,297.51,4.29,100.41,113.38
1765773331700,16.98,1.84,93.55,297.39,4.26,99.84,113.93
1765776931700,16.84,3.22,93.78,297.90,4.28,100.19,113.03
1765780531700,16.12,6.51,94.35,297.73,4.31,99.76,112.89
1765784131700,16.79,6.73,93.18,297.93,4.22,100.56,113.43
1765787731700,15.44,4.46,94.28,297.33,4.23,100.44,113.89
1765791331700,15.42,5.58,93.06,297.40,4.42,100.22,114.10
1765794931700,15.30,6.04,94.62,297.48,4.42,99.77,113.83
1765798531700,15.46,7.53,93.55,297.64,4.42,99.83,112.82
1765802131700,17.24,4.56,94.11,297.29,4.30,100.34,113.04
1765805731700,17.03,1.98,94.02,297.15,4.34,99.98,113.81
1765809331700,15.69,5.10,94.58,297.35,4.23,100.72,114.01
1765812931700,16.57,4.12,93.61,297.88,4.41,100.65,113.33
1765816531700,17.07,1.95,94.72,297.69,4.41,100.04,112.81
1765820131700,16.50,3.65,93.61,297.41,4.31,100.93,113.26
1765823731700,15.84,3.94,94.47,297.28,4.29,100.07,114.29
1765827331700,16.80,1.99,94.93,297.73,4.39,100.72,113.71
1765830931700,15.45,6.26,93.37,297.73,4.34,100.68,114.02
1765834531700,15.81,3.45,94.22,297.48,4.37,100.56,113.16
1765838131700,16.93,5.96,93.29,297.75,4.32,100.48,113.34
1765841731700,16.40,6.24,93.47,297.72,4.25,100.68,114.09
1765845331700,16.71,0.79,93.94,297.24,4.39,100.14,113.50
1765848931700,16.15,1.31,93.53,297.99,4.33,100.79,113.57
1765852531700,16.91,3.47,93.91,297.68,4.25,100.70,114.02
1765856131700,17.27,2.46,94.18,297.42,4.30,100.34,114.08
1765859731700,15.56,2.80,94.18,297.73,4.33,101.07,114.15
1765863331700,17.23,6.28,93.78,297.25,4.29,100.14,114.45
1765866931700,15.59,1.39,94.41,297.50,4.36,100.37,113.91
1765870531700,16.32,4.09,94.37,297.75,4.42,100.10,113.41
1765874131700,16.74,1.68,94.77,297.91,4.34,100.24,113.96
1765877731700,16.93,6.49,93.61,297.50,4.32,100.36,113.33
1765881331700,16.05,5.26,93.38,297.89,4.35,100.40,113.66
1765884931700,16.98,4.09,94.66,297.78,4.32,100.48,113.10
1765888531700,15.72,1.27,94.30,297.85,4.43,100.47,114.36
1765892131700,16.40,1.34,94.04,297.25,4.41,100.80,113.69
1765895731700,16.44,4.13,93.87,297.45,4.24,100.65,113.97
1765899331700,17.28,3.88,94.14,297.29,4.32,100.30,113.55
1765902931700,16.87,6.64,94.16,297.84,4.26,100.91,113.80
1765906531700,16.27,4.03,94.06,297.89,4.40,100.49,114.35
1765910131700,15.83,5.64,93.99,297.66,4.31,100.37,114.33
1765913731700,17.18,5.32,95.65,297.30,4.38,100.34,114.73
1765917331700,16.18,3.18,95.15,298.08,4.25,100.53,114.18
1765920931700,16.59,3.04,93.70,297.52,4.31,100.44,113.41
1765924531700,16.50,3.79,95.24,297.69,4.41,100.67,113.92
1765928131700,16.77,3.73,94.59,297.92,4.40,101.21,114.35
1765931731700,16.51,2.37,95.54,297.46,4.29,100.86,114.43
1765935331700,17.05,4.27,94.23,297.37,4.27,100.77,114.24
1765938931700,17.06,3.99,94.90,297.86,4.32,100.84,114.24
1765942531700,16.14,3.08,95.30,297.80,4.38,101.22,113.71
1765946131700,16.38,4.67,95.33,297.69,4.28,100.84,114.60
1765949731700,17.38,4.15,94.28,297.28,4.36,100.73,113.35
1765953331700,16.09,3.03,94.42,297.75,4.38,100.37,113.62
1765956931700,15.87,1.07,93.85,297.58,4.42,100.99,114.64
1765960531700,17.10,4.05,93.89,297.46,4.45,101.07,114.27
1765964131700,16.06,6.25,94.79,297.39,4.35,100.45,114.42
1765967731700,16.23,4.22,95.62,297.71,4.42,100.99,113.43
1765971331700,17.46,6.50,94.48,297.89,4.42,101.40,114.28
1765974931700,16.11,1.55,95.26,298.04,4.41,100.26,114.79
1765978531700,16.45,4.56,95.12,298.03,4.44,101.01,113.76
1765982131700,16.73,2.58,94.18,297.47,4.30,100.28,114.57
1765985731700,17.08,4.79,94.41,297.93,4.29,100.32,113.96
1765989331700,16.14,6.16,95.10,297.73,4.36,100.94,113.71
1765992931700,16.65,3.37,94.22,297.58,4.29,100.98,114.84
1765996531700,17.02,2.16,95.56,297.59,4.45,100.62,115.09
1766000131700,16.74,2.53,94.56,297.86,4.40,101.19,113.65
1766003731700,16.63,5.04,94.44,297.80,4.37,100.73,114.44
1766007331700,17.44,2.77,95.71,297.66,4.36,101.00,114.58
1766010931700,16.55,4.75,95.79,297.47,4.32,101.25,114.03
1766014531700,16.51,4.40,95.76,297.43,4.30,101.47,114.60
1766018131700,15.63,5.86,94.13,297.89,4.39,100.51,113.91
1766021731700,17.49,4.69,95.73,298.02,4.33,100.56,113.84
1766025331700,16.37,6.84,95.13,297.67,4.37,100.60,114.28
1766028931700,17.47,7.49,94.15,297.63,4.39,100.69,114.87
1766032531700,16.14,5.69,95.26,298.09,4.43,101.63,114.88
1766036131700,16.72,1.68,94.82,297.40,4.28,100.53,114.18
1766039731700,17.26,6.38,94.83,298.05,4.44,101.54,113.88
1766043331700,17.53,6.85,95.07,298.11,4.34,101.66,114.96
1766046931700,17.07,3.34,94.91,297.73,4.40,101.34,114.93
1766050531700,17.27,3.03,94.43,297.79,4.45,101.33,113.91
1766054131700,17.13,2.97,94.73,297.89,4.30,100.87,114.82
1766057731700,17.31,4.95,95.27,297.77,4.26,100.79,114.05
1766061331700,16.83,3.98,94.24,297.78,4.30,101.63,114.09
1766064931700,17.25,2.49,95.49,297.47,4.29,101.46,113.96
1766068531700,16.05,5.92,95.74,298.03,4.36,100.61,113.69
1766072131700,15.89,5.86,95.50,298.10,4.41,100.51,114.57
1766075731700,15.65,4.92,96.02,297.67,4.28,100.87,113.90
1766079331700,16.85,3.81,95.15,297.42,4.27,100.96,114.57
1766082931700,16.32,5.52,94.75,298.21,4.27,101.15,114.87
1766086531700,16.64,6.22,95.15,297.99,4.35,101.38,114.86
1766090131700,17.34,3.86,94.61,297.47,4.44,101.54,114.12
1766093731700,16.51,6.18,95.46,297.63,4.31,100.84,114.59
1766097331700,16.89,4.19,95.40,297.70,4.30,100.96,114.09
1766100931700,16.72,5.75,94.83,297.47,4.46,101.21,114.99
1766104531700,17.39,3.81,94.89,297.68,4.39,101.43,114.59
1766108131700,16.65,2.95,94.63,297.69,4.39,101.52,114.70
1766111731700,17.54,3.24,95.56,297.61,4.37,100.78,114.57
1766115331700,16.02,7.59,95.45,297.95,4.41,100.78,114.52
1766118931700,16.78,5.56,94.61,297.73,4.27,101.17,114.58
1766122531700,16.12,3.01,94.63,297.97,4.38,101.56,114.40
1766126131700,16.22,7.74,95.06,297.93,4.33,101.35,114.08
1766129731700,15.77,4.43,95.69,297.77,4.44,101.00,114.43
1766133331700,16.69,5.11,95.19,298.18,4.37,100.98,114.60
1766136931700,16.11,8.26,96.29,298.11,4.47,101.67,114.28
1766140531700,16.24,8.73,95.50,297.89,4.39,101.93,114.98
1766144131700,16.79,4.80,95.28,297.83,4.27,101.92,115.09
1766147731700,16.35,6.00,95.09,297.80,4.36,101.03,114.54
1766151331700,17.61,8.26,94.44,297.76,4.47,101.86,114.80
1766154931700,16.06,6.81,95.08,297.83,4.33,101.15,114.24
1766158531700,17.61,3.91,96.36,297.48,4.33,100.87,114.64
1766162131700,17.01,5.24,95.00,298.09,4.40,101.45,114.87
1766165731700,17.57,7.70,96.29,298.16,4.31,102.18,115.29
1766169331700,16.68,8.19,96.47,297.90,4.42,101.82,114.85
1766172931700,16.21,7.91,95.53,298.27,4.46,101.93,114.84
1766176531700,17.05,7.67,95.23,297.93,4.47,101.94,114.47
1766180131700,17.63,6.27,95.30,297.97,4.43,101.33,115.64
1766183731700,17.56,6.74,96.57,297.49,4.37,101.50,114.36
1766187331700,16.52,6.77,95.81,298.18,4.44,101.79,115.29
1766190931700,17.20,6.73,95.57,297.75,4.30,101.06,114.51
1766194531700,17.55,6.24,96.10,298.15,4.33,101.55,115.35
1766198131700,16.78,5.34,94.83,298.18,4.46,102.12,115.49
1766201731700,17.37,4.23,94.90,297.53,4.29,101.95,114.99
1766205331700,16.65,4.55,96.39,297.96,4.45,101.46,114.29
1766208931700,16.69,7.60,95.48,297.58,4.31,101.63,114.67
1766212531700,16.69,4.77,96.23,297.82,4.35,101.35,115.71
1766216131700,17.16,3.97,95.70,297.72,4.40,101.34,115.43
1766219731700,16.98,9.39,96.75,298.21,4.46,101.43,114.96
1766223331700,17.06,8.90,95.01,297.63,4.48,101.36,115.10
1766226931700,15.92,4.03,95.75,298.21,4.30,101.03,115.35
1766230531700,16.23,5.22,95.06,297.55,4.45,101.38,114.48
1766234131700,17.74,7.65,96.02,297.95,4.29,101.25,114.50
1766237731700,17.33,4.54,95.48,298.08,4.35,101.85,114.54
1766241331700,16.61,5.83,95.77,298.24,4.44,101.04,114.92
1766244931700,16.27,6.11,96.46,297.66,4.31,101.71,115.31
1766248531700,17.42,5.12,95.07,297.79,4.48,102.20,115.49
1766252131700,16.78,5.57,97.00,297.76,4.31,102.20,115.94
1766255731700,16.53,3.34,95.94,297.83,4.39,101.85,115.42
1766259331700,16.63,3.31,95.35,298.18,4.37,101.93,115.06
1766262931700,17.82,6.00,96.70,298.20,4.38,101.30,115.30
1766266531700,16.57,8.23,96.99,297.78,4.39,102.43,114.68
1766270131700,16.51,5.95,96.64,298.33,4.30,101.30,114.60
1766273731700,17.48,7.13,96.69,298.28,4.49,101.84,115.16
1766277331700,17.14,8.13,96.46,298.22,4.42,101.86,115.15
1766280931700,17.62,6.11,96.65,297.58,4.47,101.32,114.79
1766284531700,17.12,3.73,97.03,297.59,4.40,101.47,115.37
1766288131700,17.55,8.73,95.64,298.01,4.36,101.84,115.17
1766291731700,16.44,5.42,96.81,298.29,4.49,101.73,114.53
1766295331700,17.07,5.53,96.10,297.61,4.38,101.89,115.36
1766298931700,16.32,8.31,96.50,297.86,4.35,101.92,115.07
1766302531700,17.67,6.16,95.62,298.16,4.33,101.78,115.46
1766306131700,17.05,7.59,95.27,297.77,4.46,101.32,115.37
1766309731700,17.74,7.98,95.40,298.22,4.46,101.75,114.70
1766313331700,17.95,4.42,95.84,298.03,4.35,101.27,115.15
1766316931700,16.19,8.74,96.16,297.94,4.47,101.92,114.60
1766320531700,16.96,4.96,95.79,297.85,4.40,102.00,114.92
1766324131700,16.73,8.14,95.95,298.31,4.36,101.70,115.12
1766327731700,16.90,3.09,96.11,298.25,4.48,101.90,114.78
1766331331700,17.77,4.01,96.52,298.15,4.37,101.66,115.56
1766334931700,16.69,6.63,96.26,298.33,4.42,101.87,115.67
1766338531700,17.96,3.16,96.76,297.76,4.36,101.70,115.35
1766342131700,17.88,5.03,97.51,298.05,4.36,102.32,115.26
1766345731700,16.47,2.61,95.77,297.88,4.42,102.31,115.80
1766349331700,17.31,4.47,96.23,298.31,4.40,101.77,115.39
1766352931700,16.33,6.71,96.80,297.98,4.42,102.40,115.32
1766356531700,17.32,4.49,97.07,297.84,4.39,101.70,115.00
1766360131700,17.49,5.39,96.48,298.35,4.48,101.57,115.50
1766363731700,16.72,6.57,95.89,297.64,4.49,102.13,114.92
1766367331700,17.78,2.88,96.69,297.93,4.34,102.21,115.04
1766370931700,16.95,1.72,97.29,297.63,4.39,102.21,115.81
1766374531700,17.81,3.40,96.00,297.82,4.44,101.70,115.85
1766378131700,17.64,5.33,96.74,297.98,4.38,102.40,115.68
1766381731700,16.32,5.74,96.50,298.29,4.34,102.20,115.31
1766385331700,17.46,6.27,96.59,298.09,4.31,102.61,115.48
1766388931700,16.95,2.55,95.95,297.67,4.33,101.76,116.04
1766392531700,16.10,2.36,96.10,297.78,4.31,102.05,114.96
1766396131700,16.38,2.77,97.08,298.09,4.31,101.78,115.07
1766399731700,17.17,2.33,96.92,297.89,4.44,102.57,115.16
1766403331700,16.37,2.44,96.08,297.64,4.50,102.38,114.93
1766406931700,17.24,6.69,97.09,298.00,4.48,102.49,115.46
1766410531700,16.23,7.50,96.48,298.37,4.38,102.18,115.49
1766414131700,17.12,7.45,96.40,297.79,4.41,101.56,115.08
1766417731700,17.15,7.08,96.34,297.90,4.34,102.38,115.91
1766421331700,17.97,2.54,97.04,298.38,4.44,102.47,115.68
1766424931700,17.14,2.49,96.13,298.31,4.35,101.79,116.03
1766428531700,16.57,0.69,96.43,298.33,4.51,101.90,115.67
1766432131700,16.85,1.25,96.53,298.10,4.49,102.17,115.22
1766435731700,17.52,5.34,97.18,298.21,4.49,102.04,115.17
1766439331700,17.92,3.26,96.70,297.89,4.47,102.27,116.03
1766442931700,18.15,1.62,96.96,297.91,4.34,102.75,116.05
1766446531700,17.81,3.09,97.62,297.84,4.44,101.81,115.74
1766450131700,17.19,3.72,97.85,298.43,4.41,101.81,115.46
1766453731700,17.45,5.24,97.77,298.24,4.49,102.30,116.24
1766457331700,16.57,5.67,96.23,297.94,4.37,102.14,115.86
1766460931700,17.39,4.32,96.67,298.14,4.36,102.47,115.70
1766464531700,16.44,6.00,96.07,298.43,4.39,102.23,115.59
1766468131700,16.91,2.79,97.63,298.26,4.34,102.37,116.36
1766471731700,17.44,6.15,96.62,297.98,4.39,101.99,115.09
1766475331700,16.22,2.92,96.30,297.72,4.50,102.07,115.16
1766478931700,16.69,2.94,96.94,297.88,4.45,102.09,115.83
1766482531700,17.81,2.79,97.19,297.88,4.38,101.71,115.42
1766486131700,16.36,4.28,95.90,298.10,4.45,101.60,116.40
