ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,16.95,6.32,93.15,297.40,4.37,99.57,113.13
1765564531700,15.92,7.55,92.16,297.39,4.26,99.89,113.27
1765568131700,15.23,6.02,93.89,297.58,4.22,99.77,112.30
1765571731700,16.32,8.16,92.23,297.61,4.32,99.57,112.46
1765575331700,16.59,9.02,92.13,297.44,4.34,99.85,112.31
1765578931700,16.75,4.71,93.40,297.57,4.40,99.48,112.55
1765582531700,15.90,5.54,92.43,297.14,4.33,99.12,112.35
1765586131700,16.12,3.62,92.99,297.63,4.39,99.99,113.06
1765589731700,16.58,7.04,92.20,297.04,4.33,99.77,112.99
1765593331700,15.05,4.69,93.05,297.29,4.32,99.07,113.35
1765596931700,16.23,7.36,92.13,297.79,4.40,100.17,112.07
1765600531700,16.45,4.56,92.71,297.32,4.33,99.97,112.67
1765604131700,16.43,9.32,92.32,297.76,4.38,99.94,113.37
1765607731700,16.00,5.78,92.25,297.72,4.31,100.11,113.05
1765611331700,16.64,8.65,92.35,297.01,4.24,99.39,112.50
1765614931700,15.33,7.12,93.81,297.03,4.21,99.12,113.04
1765618531700,16.33,4.66,93.63,297.43,4.34,99.68,112.31
1765622131700,16.90,5.79,93.93,297.18,4.32,99.95,112.33
1765625731700,16.55,9.48,92.93,297.23,4.27,100.08,113.13
1765629331700,15.43,8.81,92.53,297.24,4.33,100.09,112.57
1765632931700,15.09,4.82,93.06,297.63,4.25,99.71,112.92
1765636531700,16.77,7.09,93.18,297.07,4.35,100.18,112.76
1765640131700,15.57,3.51,93.48,297.68,4.29,99.65,113.50
1765643731700,16.61,3.67,92.40,297.63,4.40,99.42,112.32
1765647331700,16.09,7.06,93.06,297.23,4.26,100.11,113.81
1765650931700,16.38,7.21,93.75,297.45,4.40,99.89,112.86
1765654531700,16.01,7.53,92.42,297.22,4.25,99.63,113.29
1765658131700,15.48,4.19,93.20,297.36,4.33,100.29,113.55
1765661731700,15.25,3.29,93.49,297.75,4.33,99.54,113.36
1765665331700,16.96,5.62,93.29,297.46,4.29,99.63,112.84
1765668931700,15.93,7.02,92.74,297.27,4.22,100.31,112.68
1765672531700,16.74,7.21,92.80,297.75,4.26,100.14,113.32
1765676131700,16.33,3.86,93.07,297.20,4.32,99.73,112.64
1765679731700,15.19,5.96,92.63,297.45,4.27,100.29,113.28
1765683331700,16.70,3.40,94.37,297.77,4.32,99.80,113.82
1765686931700,15.38,7.06,92.87,297.27,4.37,100.51,112.63
1765690531700,16.72,3.23,93.49,297.61,4.24,100.01,112.70
1765694131700,15.13,7.00,92.78,297.18,4.31,100.47,112.67
1765697731700,15.75,7.18,92.99,297.30,4.39,100.07,112.78
1765701331700,15.62,3.22,94.34,297.74,4.27,99.83,112.80
1765704931700,16.30,6.41,93.96,297.25,4.33,100.06,113.35
1765708531700,15.68,4.36,93.62,297.19,4.40,100.11,112.39
1765712131700,15.55,7.01,94.14,297.50,4.23,99.50,113.46
1765715731700,16.17,3.64,92.53,297.65,4.39,99.60,112.84
1765719331700,15.38,6.32,94.32,297.54,4.37,100.32,113.09
1765722931700,15.66,3.88,94.28,297.29,4.22,100.10,112.40
1765726531700,15.84,6.27,92.50,297.61,4.28,100.00,113.09
1765730131700,16.87,7.06,93.22,297.31,4.25,100.33,113.26
1765733731700,16.40,1.80,93.30,297.25,4.29,100.76,114.01
1765737331700,15.49,6.74,94.63,297.16,4.28,99.97,113.97
1765740931700,15.89,5.30,94.09,297.81,4.24,100.11,113.96
1765744531700,17.24,5.35,93.30,297.24,4.38,100.75,114.10
1765748131700,16.60,3.25,93.52,297.58,4.33,100.67,113.48
1765751731700,16.62,3.21,94.59,297.63,4.33,100.64,113.91
1765755331700,15.96,5.54,93.63,297.19,4.39,100.07,113.17
1765758931700,16.97,5.65,94.23,297.19,4.32,100.55,112.85
1765762531700,16.95,6.91,93.04,297.40,4.39,100.63,112.88
1765766131700,16.80,5.59,93.58,297.58,4.41,100.52,113.56
1765769731700,15.41,3.26,93.39,297.82,4.24,100.51,112.72
1765773331700,15.30,4.56,93.73,297.20,4.35,99.67,113.29
1765776931700,15.60,5.10,93.95,297.51,4.23,99.94,113.50
1765780531700,16.02,7.64,93.95,297.65,4.39,100.29,112.94
1765784131700,15.98,4.51,94.40,297.71,4.23,100.42,113.22
1765787731700,17.06,2.59,93.99,297.91,4.32,99.64,112.76
1765791331700,16.96,2.12,94.57,297.21,4.33,100.42,113.69
1765794931700,15.69,2.50,93.02,297.37,4.26,100.15,113.68
1765798531700,16.19,4.59,93.34,297.80,4.29,100.64,114.00
1765802131700,15.67,2.41,93.17,297.89,4.31,99.66,113.54
1765805731700,16.18,5.19,93.32,297.41,4.40,100.05,113.60
1765809331700,16.00,2.43,93.83,297.86,4.40,99.71,112.90
1765812931700,15.35,5.89,94.23,297.76,4.26,100.33,113.54
1765816531700,16.91,2.84,94.29,297.59,4.28,100.53,113.78
1765820131700,16.89,3.54,93.52,297.67,4.43,100.73,113.47
1765823731700,16.43,1.11,93.66,297.97,4.28,101.05,114.23
1765827331700,16.80,6.14,94.80,297.44,4.24,100.25,113.95
1765830931700,15.67,4.17,94.23,297.56,4.30,100.85,114.21
1765834531700,16.12,4.12,94.81,297.31,4.31,100.15,114.42
1765838131700,17.34,2.47,93.99,297.61,4.26,100.12,113.48
1765841731700,17.17,1.68,95.24,297.88,4.33,100.16,113.82
1765845331700,16.95,3.28,93.93,297.85,4.28,101.01,113.10
1765848931700,17.24,2.16,93.40,297.99,4.37,100.81,114.36
1765852531700,15.95,3.78,94.03,297.50,4.24,101.11,114.20
1765856131700,16.11,3.13,94.73,297.44,4.29,100.79,113.39
1765859731700,16.35,1.80,93.74,297.94,4.38,101.11,113.46
1765863331700,16.96,1.47,94.97,298.00,4.38,100.57,113.12
1765866931700,16.38,3.32,93.83,297.34,4.27,100.91,113.77
1765870531700,15.57,5.03,95.03,297.65,4.28,100.93,113.73
1765874131700,16.04,0.74,93.76,297.97,4.25,100.13,113.61
1765877731700,16.41,6.57,95.16,297.88,4.43,100.05,114.17
