ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,893,740,7.54,4.09,33.35,37,2968.38,80.23,46,Solstice Ceramic Set,2025-12-12,454.35,155,2.93,6.53
1765564531700,863,814,8.06,4.79,42.39,41,2918.64,71.19,61,Solstice Ceramic Set,2025-12-12,464.34,244,1.90,6.29
1765568131700,884,717,8.64,4.30,31.13,38,3092.04,81.37,66,Solstice Ceramic Set,2025-12-12,465.56,161,2.89,6.64
1765571731700,929,797,8.49,4.58,35.72,43,3430.99,79.79,60,Solstice Ceramic Set,2025-12-12,494.95,233,2.12,6.93
1765575331700,986,802,7.58,3.88,28.25,38,3162.74,83.23,58,Solstice Ceramic Set,2025-12-12,463.08,202,2.29,6.83
1765578931700,1101,897,8.08,3.86,39.09,43,3119.54,72.55,80,Solstice Ceramic Set,2025-12-12,537.71,259,2.08,5.80
1765582531700,1213,1080,10.16,4.46,39.07,54,4570.87,84.65,75,Solstice Ceramic Set,2025-12-12,483.84,237,2.04,9.45
1765586131700,1306,1158,10.09,4.36,29.03,57,4193.36,73.57,76,Solstice Ceramic Set,2025-12-13,483.51,263,1.84,8.67
1765589731700,1437,1223,9.29,4.66,35.36,67,5323.76,79.46,98,Solstice Ceramic Set,2025-12-13,488.02,175,2.79,10.91
1765593331700,1531,1438,10.64,4.42,40.14,68,5832.80,85.78,91,Solstice Ceramic Set,2025-12-13,481.24,246,1.96,12.12
1765596931700,1642,1503,12.57,4.29,44.74,70,6046.90,86.38,106,Solstice Ceramic Set,2025-12-13,558.47,271,2.06,10.83
1765600531700,1696,1560,11.42,4.41,43.27,75,5201.25,69.35,91,Solstice Ceramic Set,2025-12-13,526.31,263,2.00,9.88
1765604131700,1777,1592,10.77,4.45,44.64,79,6012.02,76.10,146,Solstice Ceramic Set,2025-12-13,570.78,220,2.59,10.53
1765607731700,1784,1495,11.44,5.26,45.31,94,8073.28,85.89,133,Solstice Ceramic Set,2025-12-13,603.00,295,2.04,13.39
1765611331700,1758,1607,11.62,5.12,38.50,90,6711.01,74.57,170,Solstice Ceramic Set,2025-12-13,568.66,270,2.11,11.80
1765614931700,1699,1493,10.40,5.63,39.45,96,7593.42,79.10,142,Solstice Ceramic Set,2025-12-13,529.63,189,2.80,14.34
1765618531700,1632,1448,11.14,5.32,44.17,87,6680.23,76.78,147,Solstice Ceramic Set,2025-12-13,498.26,224,2.22,13.41
1765622131700,1551,1323,10.89,5.47,36.30,85,6548.05,77.04,124,Solstice Ceramic Set,2025-12-13,540.74,221,2.45,12.11
1765625731700,1454,1193,10.09,4.56,41.24,66,4785.16,72.50,100,Solstice Ceramic Set,2025-12-13,503.05,229,2.20,9.51
