ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,876,794,8.03,3.19,35.70,28,2086.06,74.50,44,Lumen Glassware,2025-12-12,528.08,247,2.14,3.95
1765564531700,864,794,6.79,4.29,33.18,37,3167.14,85.60,64,Lumen Glassware,2025-12-12,442.03,220,2.01,7.16
1765568131700,898,720,8.13,4.32,28.05,39,3327.04,85.31,52,Lumen Glassware,2025-12-12,520.49,266,1.96,6.39
1765571731700,935,777,9.21,3.20,28.65,30,2205.19,73.51,45,Lumen Glassware,2025-12-12,463.26,247,1.88,4.76
1765575331700,1018,843,7.96,3.82,36.71,39,2962.68,75.97,62,Lumen Glassware,2025-12-12,488.98,198,2.47,6.06
1765578931700,1098,945,9.98,4.72,28.14,52,4196.26,80.70,74,Lumen Glassware,2025-12-12,557.45,196,2.84,7.53
1765582531700,1233,1008,8.69,4.31,41.30,53,4177.05,78.81,89,Lumen Glassware,2025-12-12,568.58,294,1.93,7.35
1765586131700,1330,1233,10.15,5.33,37.68,71,5973.45,84.13,132,Lumen Glassware,2025-12-13,545.15,215,2.54,10.96
1765589731700,1463,1390,11.42,3.85,40.78,56,4226.87,75.48,78,Lumen Glassware,2025-12-13,526.32,200,2.63,8.03
1765593331700,1546,1412,11.72,4.11,34.92,64,5103.59,79.74,80,Lumen Glassware,2025-12-13,558.57,241,2.32,9.14
1765596931700,1641,1428,11.30,4.25,41.63,70,5184.20,74.06,124,Lumen Glassware,2025-12-13,517.74,232,2.23,10.01
1765600531700,1738,1619,12.00,5.06,35.21,88,7559.57,85.90,120,Lumen Glassware,2025-12-13,511.09,270,1.89,14.79
1765604131700,1776,1436,13.22,5.95,41.59,106,9216.39,86.95,168,Lumen Glassware,2025-12-13,522.58,284,1.84,17.64
1765607731700,1790,1451,11.53,5.40,36.72,97,8074.89,83.25,132,Lumen Glassware,2025-12-13,575.95,303,1.90,14.02
1765611331700,1787,1511,12.24,4.20,31.05,75,5552.65,74.04,101,Lumen Glassware,2025-12-13,598.24,322,1.86,9.28
1765614931700,1714,1521,10.38,5.54,32.30,95,7081.79,74.55,180,Lumen Glassware,2025-12-13,541.45,274,1.98,13.08
1765618531700,1674,1428,11.40,4.24,40.27,71,5999.55,84.50,116,Lumen Glassware,2025-12-13,536.63,217,2.47,11.18
1765622131700,1570,1435,11.32,4.31,35.54,68,5715.98,84.06,90,Lumen Glassware,2025-12-13,561.98,200,2.81,10.17
1765625731700,1472,1265,9.04,4.31,31.91,63,4977.11,79.00,112,Lumen Glassware,2025-12-13,513.53,176,2.92,9.69
1765629331700,1317,1107,9.40,3.87,34.58,51,4318.27,84.67,64,Lumen Glassware,2025-12-13,493.48,204,2.42,8.75
