ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,933,812,8.83,3.08,29.82,29,2720.45,93.81,35,Juniper Hydrating Mask,2025-12-12,440.46,199,2.21,6.18
1765564531700,890,819,6.36,3.60,37.72,32,2936.25,91.76,57,Juniper Hydrating Mask,2025-12-12,444.96,229,1.94,6.60
1765568131700,916,838,6.65,4.04,36.01,37,3247.70,87.78,46,Juniper Hydrating Mask,2025-12-12,478.21,262,1.83,6.79
1765571731700,961,870,9.16,4.14,33.49,40,3675.51,91.89,72,Juniper Hydrating Mask,2025-12-12,509.71,283,1.80,7.21
1765575331700,1035,832,8.96,4.48,29.64,46,4247.02,92.33,68,Juniper Hydrating Mask,2025-12-12,558.19,251,2.22,7.61
1765578931700,1145,1075,7.56,3.52,41.49,40,3954.22,98.86,52,Juniper Hydrating Mask,2025-12-12,484.42,268,1.81,8.16
1765582531700,1272,1134,9.64,4.65,43.25,59,5623.47,95.31,98,Juniper Hydrating Mask,2025-12-12,560.00,241,2.32,10.04
1765586131700,1367,1272,11.06,4.56,29.91,62,6081.56,98.09,108,Juniper Hydrating Mask,2025-12-13,517.58,265,1.95,11.75
1765589731700,1519,1255,11.30,4.55,43.63,69,6120.69,88.71,116,Juniper Hydrating Mask,2025-12-13,518.64,248,2.09,11.80
1765593331700,1624,1462,12.03,5.53,42.88,90,7628.69,84.76,128,Juniper Hydrating Mask,2025-12-13,542.08,226,2.40,14.07
1765596931700,1715,1376,11.63,4.04,39.99,69,6379.87,92.46,103,Juniper Hydrating Mask,2025-12-13,555.47,292,1.90,11.49
1765600531700,1789,1651,12.78,5.00,42.29,89,7909.00,88.87,137,Juniper Hydrating Mask,2025-12-13,497.45,223,2.23,15.90
1765604131700,1854,1736,12.50,5.44,34.45,101,9761.92,96.65,187,Juniper Hydrating Mask,2025-12-13,557.52,308,1.81,17.51
1765607731700,1848,1651,10.48,4.97,39.99,92,8158.41,88.68,151,Juniper Hydrating Mask,2025-12-13,552.09,193,2.86,14.78
1765611331700,1849,1691,11.08,5.28,38.33,98,8534.17,87.08,140,Juniper Hydrating Mask,2025-12-13,594.21,264,2.25,14.36
1765614931700,1794,1478,13.01,4.22,39.52,76,7380.94,97.12,126,Juniper Hydrating Mask,2025-12-13,576.59,313,1.84,12.80
1765618531700,1703,1532,11.78,5.00,43.37,85,7673.86,90.28,123,Juniper Hydrating Mask,2025-12-13,491.46,180,2.73,15.61
1765622131700,1637,1321,11.31,5.46,36.53,89,8808.32,98.97,169,Juniper Hydrating Mask,2025-12-13,510.72,227,2.25,17.25
1765625731700,1490,1238,11.16,5.14,34.16,77,7096.55,92.16,136,Juniper Hydrating Mask,2025-12-13,502.54,189,2.66,14.12
1765629331700,1371,1212,11.04,4.94,37.27,68,5918.78,87.04,116,Juniper Hydrating Mask,2025-12-13,569.63,226,2.52,10.39
1765632931700,1258,1130,9.34,4.31,31.21,54,5211.98,96.52,72,Juniper Hydrating Mask,2025-12-13,554.25,213,2.60,9.40
1765636531700,1155,1074,8.88,3.40,30.85,39,3246.62,83.25,56,Juniper Hydrating Mask,2025-12-13,514.10,250,2.06,6.32
1765640131700,1041,904,9.13,4.24,38.20,44,4048.32,92.01,58,Juniper Hydrating Mask,2025-12-13,511.12,204,2.51,7.92
1765643731700,954,877,7.62,4.04,28.48,38,3690.67,97.12,64,Juniper Hydrating Mask,2025-12-13,491.15,229,2.14,7.51
1765647331700,1005,908,8.40,3.84,32.56,39,3677.23,94.29,53,Juniper Hydrating Mask,2025-12-13,454.60,175,2.60,8.09
1765650931700,981,829,9.23,4.56,31.75,45,4389.20,97.54,62,Juniper Hydrating Mask,2025-12-13,472.15,175,2.70,9.30
1765654531700,1005,895,7.35,4.42,34.93,44,4352.97,98.93,78,Juniper Hydrating Mask,2025-12-13,537.55,212,2.54,8.10
1765658131700,1071,880,7.46,4.75,27.62,51,4657.73,91.33,68,Juniper Hydrating Mask,2025-12-13,447.34,227,1.97,10.41
1765661731700,1130,1005,7.31,3.53,30.33,40,3487.93,87.20,66,Juniper Hydrating Mask,2025-12-13,523.23,202,2.59,6.67
1765665331700,1229,1113,8.46,4.98,37.16,61,5924.85,97.13,76,Juniper Hydrating Mask,2025-12-13,468.24,184,2.54,12.65
