ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,911,863,6.66,4.60,35.79,42,3318.70,79.02,65,Velvet Bay Candle,2025-12-12,514.21,242,2.12,6.45
1765564531700,902,737,8.37,3.57,36.85,32,2485.72,77.68,45,Velvet Bay Candle,2025-12-12,442.65,204,2.17,5.62
1765568131700,917,832,9.34,4.36,39.81,40,3624.83,90.62,65,Velvet Bay Candle,2025-12-12,451.52,203,2.22,8.03
1765571731700,954,887,7.73,3.83,37.15,37,3159.01,85.38,56,Velvet Bay Candle,2025-12-12,473.62,236,2.01,6.67
1765575331700,1004,934,9.61,3.92,34.60,39,3285.57,84.25,48,Velvet Bay Candle,2025-12-12,461.00,176,2.62,7.13
1765578931700,1118,950,8.30,3.53,29.23,39,3267.39,83.78,65,Velvet Bay Candle,2025-12-12,520.75,224,2.32,6.27
1765582531700,1221,1134,8.73,3.48,40.95,42,3539.90,84.28,60,Velvet Bay Candle,2025-12-12,490.33,240,2.04,7.22
1765586131700,1351,1262,10.51,4.47,41.39,60,4537.99,75.63,78,Velvet Bay Candle,2025-12-13,575.49,311,1.85,7.89
1765589731700,1468,1321,9.96,5.44,39.07,80,6469.95,80.87,137,Velvet Bay Candle,2025-12-13,574.70,281,2.05,11.26
1765593331700,1565,1350,10.15,4.65,43.04,73,5616.62,76.94,111,Velvet Bay Candle,2025-12-13,489.17,165,2.96,11.48
1765596931700,1691,1533,11.58,4.42,33.81,75,5963.01,79.51,110,Velvet Bay Candle,2025-12-13,517.45,189,2.74,11.52
1765600531700,1764,1461,12.51,4.71,31.87,83,6358.22,76.61,115,Velvet Bay Candle,2025-12-13,541.86,235,2.31,11.73
1765604131700,1809,1483,12.46,5.41,36.32,98,8233.86,84.02,130,Velvet Bay Candle,2025-12-13,547.63,233,2.35,15.04
1765607731700,1801,1456,10.32,5.63,46.21,101,8557.84,84.73,188,Velvet Bay Candle,2025-12-13,570.28,256,2.23,15.01
1765611331700,1782,1666,10.59,5.78,37.13,103,9266.04,89.96,144,Velvet Bay Candle,2025-12-13,593.40,298,1.99,15.62
1765614931700,1745,1585,12.58,4.63,38.28,81,7319.01,90.36,98,Velvet Bay Candle,2025-12-13,530.02,207,2.56,13.81
1765618531700,1674,1418,11.74,5.55,42.21,93,7051.89,75.83,131,Velvet Bay Candle,2025-12-13,533.19,289,1.84,13.23
1765622131700,1575,1270,11.52,5.50,30.51,87,7683.04,88.31,143,Velvet Bay Candle,2025-12-13,557.14,190,2.93,13.79
1765625731700,1471,1395,11.40,4.29,33.14,63,5381.89,85.43,89,Velvet Bay Candle,2025-12-13,547.37,292,1.87,9.83
1765629331700,1354,1116,8.80,4.51,30.70,61,5430.28,89.02,101,Velvet Bay Candle,2025-12-13,544.21,287,1.90,9.98
1765632931700,1228,1095,10.53,4.51,36.19,55,5081.15,92.38,68,Velvet Bay Candle,2025-12-13,525.76,274,1.92,9.66
1765636531700,1109,931,7.37,4.60,29.67,51,3901.54,76.50,75,Velvet Bay Candle,2025-12-13,537.76,242,2.22,7.26
1765640131700,1036,864,8.80,4.52,35.04,47,3991.97,84.94,82,Velvet Bay Candle,2025-12-13,489.20,180,2.72,8.16
1765643731700,960,806,8.81,3.79,39.17,36,2841.38,78.93,44,Velvet Bay Candle,2025-12-13,486.48,207,2.35,5.84
1765647331700,989,895,9.14,4.22,34.05,42,3379.05,80.45,57,Velvet Bay Candle,2025-12-13,476.64,178,2.68,7.09
1765650931700,975,898,8.87,4.44,38.61,43,3352.01,77.95,73,Velvet Bay Candle,2025-12-13,438.44,221,1.98,7.65
1765654531700,983,873,9.27,3.21,29.87,32,2928.98,91.53,43,Velvet Bay Candle,2025-12-13,501.14,181,2.77,5.84
1765658131700,1042,886,7.55,4.00,31.03,42,3257.33,77.56,51,Velvet Bay Candle,2025-12-13,473.40,207,2.29,6.88
1765661731700,1111,994,8.22,4.59,29.37,51,4417.18,86.61,68,Velvet Bay Candle,2025-12-13,488.65,176,2.78,9.04
1765665331700,1220,1078,8.65,4.58,28.01,56,4521.15,80.73,78,Velvet Bay Candle,2025-12-13,560.12,310,1.81,8.07
1765668931700,1352,1214,10.32,4.60,42.33,62,4680.68,75.49,92,Velvet Bay Candle,2025-12-13,520.88,274,1.90,8.99
1765672531700,1465,1201,8.87,5.16,39.17,76,6366.77,83.77,93,Velvet Bay Candle,2025-12-14,494.66,264,1.87,12.87
1765676131700,1604,1449,8.98,3.87,35.29,62,4794.61,77.33,90,Velvet Bay Candle,2025-12-14,562.32,292,1.93,8.53
1765679731700,1715,1407,10.35,3.92,30.04,67,5686.17,84.87,117,Velvet Bay Candle,2025-12-14,569.25,253,2.25,9.99
1765683331700,1844,1746,12.55,4.64,33.02,86,7534.13,87.61,110,Velvet Bay Candle,2025-12-14,572.93,230,2.49,13.15
1765686931700,1910,1782,12.67,5.50,37.06,105,9396.29,89.49,189,Velvet Bay Candle,2025-12-14,591.71,200,2.96,15.88
1765690531700,1962,1733,10.93,5.53,34.02,109,9611.51,88.18,132,Velvet Bay Candle,2025-12-14,587.08,242,2.43,16.37
1765694131700,1969,1579,12.18,5.48,43.73,108,9823.75,90.96,151,Velvet Bay Candle,2025-12-14,524.74,227,2.31,18.72
1765697731700,1965,1662,12.59,4.48,34.82,88,8083.78,91.86,132,Velvet Bay Candle,2025-12-14,504.43,192,2.63,16.03
1765701331700,1929,1714,12.56,4.38,41.56,85,6726.67,79.14,124,Velvet Bay Candle,2025-12-14,531.82,226,2.35,12.65
1765704931700,1854,1760,10.52,5.24,36.22,97,8848.05,91.22,136,Velvet Bay Candle,2025-12-14,489.25,197,2.48,18.09
