ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,894,787,7.29,3.36,35.61,30,2384.78,79.49,41,Lumen Glow Serum,2025-12-12,464.87,188,2.47,5.13
1765564531700,884,746,9.24,3.38,37.00,30,2788.67,92.96,45,Lumen Glow Serum,2025-12-12,551.14,230,2.40,5.06
1765568131700,911,735,7.10,3.57,39.88,33,2676.05,81.09,45,Lumen Glow Serum,2025-12-12,542.78,272,2.00,4.93
1765571731700,943,865,6.80,4.15,33.05,39,3177.56,81.48,55,Lumen Glow Serum,2025-12-12,455.09,186,2.45,6.98
1765575331700,1045,969,7.52,3.99,39.83,42,3307.92,78.76,80,Lumen Glow Serum,2025-12-12,443.86,151,2.94,7.45
1765578931700,1133,997,7.46,3.59,29.35,41,3732.53,91.04,69,Lumen Glow Serum,2025-12-12,461.54,213,2.17,8.09
1765582531700,1257,1032,8.27,4.47,43.26,56,5266.23,94.04,94,Lumen Glow Serum,2025-12-12,461.00,203,2.27,11.42
1765586131700,1382,1234,10.65,4.44,30.80,61,5262.46,86.27,93,Lumen Glow Serum,2025-12-13,579.76,254,2.28,9.08
1765589731700,1484,1324,9.70,4.67,42.71,69,6508.85,94.33,108,Lumen Glow Serum,2025-12-13,556.93,287,1.94,11.69
1765593331700,1610,1356,10.48,4.07,31.57,66,6115.31,92.66,86,Lumen Glow Serum,2025-12-13,526.31,210,2.51,11.62
1765596931700,1694,1496,10.33,5.27,41.66,89,8032.60,90.25,127,Lumen Glow Serum,2025-12-13,541.05,212,2.55,14.85
1765600531700,1777,1437,12.11,4.18,39.87,74,6684.16,90.33,112,Lumen Glow Serum,2025-12-13,538.38,296,1.82,12.42
1765604131700,1807,1647,11.89,4.58,34.72,83,6873.04,82.81,117,Lumen Glow Serum,2025-12-13,596.43,214,2.79,11.52
1765607731700,1845,1751,13.15,5.20,37.45,96,8094.46,84.32,149,Lumen Glow Serum,2025-12-13,600.31,333,1.80,13.48
1765611331700,1829,1535,13.15,4.92,42.79,90,8056.15,89.51,122,Lumen Glow Serum,2025-12-13,551.42,190,2.90,14.61
1765614931700,1764,1571,11.90,4.60,43.21,81,7167.63,88.49,154,Lumen Glow Serum,2025-12-13,493.04,253,1.95,14.54
1765618531700,1694,1437,11.24,5.16,42.93,87,7677.43,88.25,135,Lumen Glow Serum,2025-12-13,486.27,192,2.53,15.79
1765622131700,1585,1280,9.65,4.35,31.18,69,6037.93,87.51,124,Lumen Glow Serum,2025-12-13,509.30,226,2.25,11.86
1765625731700,1505,1367,10.18,4.50,39.29,68,6237.13,91.72,123,Lumen Glow Serum,2025-12-13,559.09,190,2.94,11.16
1765629331700,1380,1139,11.16,4.32,29.33,60,4689.69,78.16,99,Lumen Glow Serum,2025-12-13,479.71,262,1.83,9.78
1765632931700,1258,1066,9.67,3.69,42.57,46,3756.36,81.66,78,Lumen Glow Serum,2025-12-13,484.10,246,1.97,7.76
1765636531700,1125,912,9.45,3.92,36.28,44,3454.90,78.52,78,Lumen Glow Serum,2025-12-13,545.69,221,2.47,6.33
1765640131700,1025,929,8.17,4.69,35.68,48,3762.15,78.38,89,Lumen Glow Serum,2025-12-13,525.65,274,1.92,7.16
1765643731700,941,861,9.07,3.65,29.07,34,3212.82,94.49,64,Lumen Glow Serum,2025-12-13,507.82,173,2.94,6.33
1765647331700,983,860,7.65,3.10,27.75,31,2817.22,90.88,58,Lumen Glow Serum,2025-12-13,484.27,231,2.10,5.82
1765650931700,986,892,9.12,3.60,32.26,36,2871.22,79.76,47,Lumen Glow Serum,2025-12-13,529.43,183,2.89,5.42
1765654531700,1007,868,7.80,4.46,33.76,45,3798.43,84.41,64,Lumen Glow Serum,2025-12-13,533.57,290,1.84,7.12
1765658131700,1056,954,9.20,4.64,37.46,49,4202.16,85.76,72,Lumen Glow Serum,2025-12-13,551.12,229,2.41,7.62
1765661731700,1129,1038,9.42,3.83,30.06,43,3937.05,91.56,61,Lumen Glow Serum,2025-12-13,561.58,279,2.01,7.01
1765665331700,1246,1104,9.70,4.68,39.95,58,4641.00,80.02,91,Lumen Glow Serum,2025-12-13,515.67,201,2.57,9.00
1765668931700,1342,1170,10.71,4.51,29.84,60,5492.31,91.54,77,Lumen Glow Serum,2025-12-13,521.40,271,1.92,10.53
1765672531700,1474,1276,11.29,4.91,44.94,72,6392.78,88.79,126,Lumen Glow Serum,2025-12-14,491.21,205,2.40,13.01
1765676131700,1625,1443,10.15,5.33,37.85,87,8255.76,94.89,134,Lumen Glow Serum,2025-12-14,580.61,306,1.90,14.22
1765679731700,1754,1569,9.48,5.41,43.93,95,7816.00,82.27,171,Lumen Glow Serum,2025-12-14,585.72,258,2.27,13.34
1765683331700,1859,1512,11.24,4.71,45.80,87,7742.46,88.99,112,Lumen Glow Serum,2025-12-14,554.20,279,1.99,13.97
1765686931700,1942,1598,12.97,4.25,31.92,83,7497.44,90.33,141,Lumen Glow Serum,2025-12-14,544.08,302,1.80,13.78
1765690531700,2003,1620,12.37,5.57,32.76,112,9564.64,85.40,142,Lumen Glow Serum,2025-12-14,602.83,245,2.46,15.87
1765694131700,1991,1821,10.37,4.57,43.53,91,7761.09,85.29,110,Lumen Glow Serum,2025-12-14,570.74,286,2.00,13.60
1765697731700,1987,1624,12.54,5.30,37.20,105,9200.68,87.63,171,Lumen Glow Serum,2025-12-14,592.09,272,2.18,15.54
1765701331700,1953,1568,10.70,4.93,45.40,96,7555.22,78.70,123,Lumen Glow Serum,2025-12-14,495.47,234,2.12,15.25
1765704931700,1865,1580,11.87,5.21,36.53,97,7784.15,80.25,119,Lumen Glow Serum,2025-12-14,493.84,256,1.93,15.76
1765708531700,1750,1406,10.56,4.82,34.52,84,7168.84,85.34,125,Lumen Glow Serum,2025-12-14,579.38,300,1.93,12.37
1765712131700,1643,1443,10.82,5.50,45.20,90,7786.04,86.51,125,Lumen Glow Serum,2025-12-14,481.85,249,1.94,16.16
1765715731700,1486,1384,9.41,3.93,29.16,58,4661.68,80.37,76,Lumen Glow Serum,2025-12-14,510.40,281,1.82,9.13
1765719331700,1344,1242,9.67,4.77,32.64,64,5691.44,88.93,108,Lumen Glow Serum,2025-12-14,518.92,198,2.62,10.97
