ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,746,657,6.57,1.94,44.00,14,1115.91,79.71,24,Solstice Ceramic Set,2025-12-12,438.21,157,2.79,2.55
1765564531700,754,708,5.86,3.25,42.00,24,1942.14,80.92,36,Solstice Ceramic Set,2025-12-12,550.06,294,1.87,3.53
1765568131700,757,712,4.46,3.36,42.62,25,1733.48,69.34,44,Solstice Ceramic Set,2025-12-12,526.47,274,1.92,3.29
1765571731700,805,725,6.73,3.56,36.71,29,2471.84,85.24,54,Solstice Ceramic Set,2025-12-12,460.22,170,2.71,5.37
1765575331700,868,802,7.61,2.68,43.99,23,1616.30,70.27,39,Solstice Ceramic Set,2025-12-12,501.11,192,2.61,3.23
1765578931700,925,835,6.45,2.98,33.32,28,2213.55,79.06,37,Solstice Ceramic Set,2025-12-12,461.05,241,1.91,4.80
1765582531700,1048,929,7.08,3.79,40.52,40,3057.67,76.44,73,Solstice Ceramic Set,2025-12-12,536.26,182,2.95,5.70
1765586131700,1145,917,9.01,3.86,35.49,44,3095.81,70.36,81,Solstice Ceramic Set,2025-12-13,547.12,187,2.93,5.66
1765589731700,1237,1008,6.87,4.14,41.39,51,4142.83,81.23,94,Solstice Ceramic Set,2025-12-13,568.19,278,2.04,7.29
1765593331700,1342,1181,7.11,3.25,39.35,44,3520.99,80.02,74,Solstice Ceramic Set,2025-12-13,498.76,240,2.08,7.06
1765596931700,1403,1233,10.17,3.94,35.16,55,3806.04,69.20,75,Solstice Ceramic Set,2025-12-13,556.81,288,1.93,6.84
1765600531700,1469,1390,8.60,4.59,41.21,67,5385.01,80.37,85,Solstice Ceramic Set,2025-12-13,532.64,264,2.02,10.11
1765604131700,1530,1388,10.62,3.65,40.37,56,4389.69,78.39,72,Solstice Ceramic Set,2025-12-13,523.25,238,2.20,8.39
1765607731700,1551,1447,9.21,3.32,43.01,51,3543.36,69.48,85,Solstice Ceramic Set,2025-12-13,493.95,244,2.02,7.17
1765611331700,1515,1331,9.39,3.40,50.85,52,4080.24,78.47,78,Solstice Ceramic Set,2025-12-13,515.05,268,1.92,7.92
1765614931700,1463,1173,7.86,4.02,47.60,59,4898.50,83.03,107,Solstice Ceramic Set,2025-12-13,596.49,236,2.53,8.21
1765618531700,1415,1285,9.42,3.88,42.41,55,4104.08,74.62,95,Solstice Ceramic Set,2025-12-13,530.85,256,2.07,7.73
1765622131700,1328,1116,9.38,3.71,42.24,49,3667.71,74.85,67,Solstice Ceramic Set,2025-12-13,512.37,262,1.96,7.16
1765625731700,1222,1029,6.88,3.78,38.02,46,3451.86,75.04,68,Solstice Ceramic Set,2025-12-13,544.18,287,1.90,6.34
1765629331700,1144,981,8.36,3.15,46.63,36,2533.93,70.39,54,Solstice Ceramic Set,2025-12-13,563.82,209,2.70,4.49
1765632931700,1050,922,5.67,3.84,44.02,40,3432.57,85.81,55,Solstice Ceramic Set,2025-12-13,527.52,179,2.95,6.51
