ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,780,688,4.50,3.30,37.52,26,1899.20,73.05,40,Lumen Glassware,2025-12-12,464.35,223,2.08,4.09
1765564531700,746,634,6.48,1.83,38.45,14,1138.92,81.35,24,Lumen Glassware,2025-12-12,456.32,204,2.24,2.50
1765568131700,765,709,4.20,3.46,32.16,26,2227.92,85.69,40,Lumen Glassware,2025-12-12,526.37,202,2.61,4.23
1765571731700,808,718,6.36,3.49,43.98,28,2021.78,72.21,36,Lumen Glassware,2025-12-12,548.45,261,2.10,3.69
1765575331700,892,833,7.65,3.44,39.95,31,2277.37,73.46,51,Lumen Glassware,2025-12-12,554.49,258,2.15,4.11
1765578931700,949,825,6.97,2.78,38.28,26,1924.11,74.00,46,Lumen Glassware,2025-12-12,497.32,257,1.94,3.87
1765582531700,1035,869,6.37,3.88,37.30,40,3248.66,81.22,64,Lumen Glassware,2025-12-12,504.74,263,1.92,6.44
1765586131700,1138,1008,7.02,4.20,37.94,48,3512.45,73.18,63,Lumen Glassware,2025-12-13,516.82,222,2.33,6.80
1765589731700,1248,1109,8.71,3.61,41.60,45,3524.48,78.32,67,Lumen Glassware,2025-12-13,471.16,164,2.87,7.48
1765593331700,1345,1265,7.53,2.91,42.47,39,3084.27,79.08,50,Lumen Glassware,2025-12-13,510.42,269,1.90,6.04
1765596931700,1433,1294,8.58,4.00,41.73,57,4711.85,82.66,90,Lumen Glassware,2025-12-13,507.27,187,2.71,9.29
1765600531700,1508,1210,8.83,3.91,48.78,59,5148.89,87.27,104,Lumen Glassware,2025-12-13,575.52,243,2.37,8.95
1765604131700,1535,1240,8.33,3.08,46.29,47,4090.91,87.04,76,Lumen Glassware,2025-12-13,596.14,330,1.81,6.86
1765607731700,1571,1281,8.45,3.53,37.96,55,4065.62,73.92,95,Lumen Glassware,2025-12-13,579.14,220,2.63,7.02
1765611331700,1549,1372,10.88,3.61,50.70,56,4307.96,76.93,101,Lumen Glassware,2025-12-13,507.18,254,2.00,8.49
1765614931700,1499,1286,10.74,4.27,43.06,64,4753.91,74.28,82,Lumen Glassware,2025-12-13,522.27,231,2.26,9.10
1765618531700,1425,1349,8.53,4.27,43.66,61,4629.25,75.89,77,Lumen Glassware,2025-12-13,488.78,237,2.06,9.47
1765622131700,1364,1140,9.25,3.38,42.81,46,3380.91,73.50,63,Lumen Glassware,2025-12-13,521.76,274,1.90,6.48
1765625731700,1270,1026,7.58,2.99,35.86,38,3180.61,83.70,62,Lumen Glassware,2025-12-13,506.14,187,2.71,6.28
1765629331700,1143,1015,8.22,4.11,44.28,47,3951.62,84.08,74,Lumen Glassware,2025-12-13,493.46,240,2.06,8.01
1765632931700,1036,833,6.50,2.82,45.23,29,2573.14,88.73,35,Lumen Glassware,2025-12-13,542.58,295,1.84,4.74
1765636531700,976,781,6.03,3.55,44.98,35,3098.83,88.54,56,Lumen Glassware,2025-12-13,553.59,290,1.91,5.60
1765640131700,860,794,6.12,3.73,34.89,32,2734.66,85.46,58,Lumen Glassware,2025-12-13,470.90,215,2.19,5.81
1765643731700,812,753,7.06,2.05,46.42,17,1349.92,79.41,29,Lumen Glassware,2025-12-13,503.02,228,2.21,2.68
1765647331700,857,806,7.10,1.91,43.70,16,1200.42,75.03,28,Lumen Glassware,2025-12-13,480.25,202,2.38,2.50
1765650931700,826,732,6.43,2.48,43.28,21,1842.16,87.72,33,Lumen Glassware,2025-12-13,509.10,206,2.47,3.62
1765654531700,829,747,7.16,2.00,38.13,17,1498.30,88.14,32,Lumen Glassware,2025-12-13,551.25,246,2.24,2.72
1765658131700,900,747,7.16,2.11,45.71,19,1409.24,74.17,31,Lumen Glassware,2025-12-13,482.51,174,2.77,2.92
1765661731700,962,808,4.75,2.89,42.75,28,2136.23,76.29,42,Lumen Glassware,2025-12-13,506.29,246,2.06,4.22
1765665331700,1060,935,6.93,3.14,40.93,33,2384.11,72.25,58,Lumen Glassware,2025-12-13,479.77,239,2.01,4.97
1765668931700,1161,949,6.57,3.64,46.39,42,3295.21,78.46,68,Lumen Glassware,2025-12-13,523.26,227,2.31,6.30
1765672531700,1244,1163,7.00,3.55,43.10,44,3687.88,83.82,57,Lumen Glassware,2025-12-14,576.09,287,2.01,6.40
1765676131700,1368,1281,7.25,3.86,47.78,53,4515.20,85.19,64,Lumen Glassware,2025-12-14,567.96,281,2.02,7.95
1765679731700,1477,1309,7.97,4.47,45.27,66,5901.26,89.41,116,Lumen Glassware,2025-12-14,527.21,205,2.57,11.19
1765683331700,1584,1494,9.29,4.43,34.56,70,5553.13,79.33,119,Lumen Glassware,2025-12-14,529.64,291,1.82,10.48
1765686931700,1637,1529,9.42,3.45,40.67,56,4279.39,76.42,90,Lumen Glassware,2025-12-14,589.60,199,2.96,7.26
1765690531700,1681,1348,8.45,3.61,45.06,61,5295.01,86.80,94,Lumen Glassware,2025-12-14,490.57,212,2.31,10.79
1765694131700,1677,1561,11.05,3.98,48.76,67,5896.75,88.01,110,Lumen Glassware,2025-12-14,508.08,218,2.33,11.61
1765697731700,1692,1420,10.98,4.09,42.13,69,6135.73,88.92,105,Lumen Glassware,2025-12-14,494.86,205,2.41,12.40
1765701331700,1640,1468,9.91,4.21,37.43,69,5634.16,81.65,87,Lumen Glassware,2025-12-14,523.20,242,2.16,10.77
1765704931700,1573,1463,9.28,4.24,43.67,67,5148.10,76.84,109,Lumen Glassware,2025-12-14,537.94,280,1.92,9.57
1765708531700,1496,1229,7.87,3.22,41.07,48,4229.39,88.11,75,Lumen Glassware,2025-12-14,526.74,195,2.70,8.03
1765712131700,1375,1144,7.44,3.93,44.99,54,4394.17,81.37,69,Lumen Glassware,2025-12-14,525.55,215,2.44,8.36
1765715731700,1242,1118,9.01,3.03,46.54,38,3130.95,82.39,69,Lumen Glassware,2025-12-14,566.03,313,1.81,5.53
1765719331700,1155,1052,6.38,3.58,46.31,41,3287.12,80.17,77,Lumen Glassware,2025-12-14,514.78,186,2.77,6.39
1765722931700,1030,929,8.09,2.29,40.07,24,2132.18,88.84,41,Lumen Glassware,2025-12-14,556.69,186,2.99,3.83
1765726531700,945,758,6.60,2.69,43.99,25,2221.37,88.85,44,Lumen Glassware,2025-12-14,528.51,246,2.15,4.20
1765730131700,881,813,6.83,3.47,36.04,31,2681.25,86.49,40,Lumen Glassware,2025-12-14,465.76,169,2.76,5.76
