ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,810,769,4.94,3.41,32.58,28,2321.27,82.90,47,Juniper Hydrating Mask,2025-12-12,436.57,173,2.52,5.32
1765564531700,785,721,6.43,2.54,34.42,20,1671.10,83.56,24,Juniper Hydrating Mask,2025-12-12,497.98,249,2.00,3.36
1765568131700,813,675,4.54,2.78,45.37,23,2228.56,96.89,28,Juniper Hydrating Mask,2025-12-12,470.53,207,2.27,4.74
1765571731700,840,776,5.56,2.53,35.60,21,2016.71,96.03,29,Juniper Hydrating Mask,2025-12-12,534.99,223,2.40,3.77
1765575331700,903,816,6.58,2.68,39.75,24,2148.07,89.50,36,Juniper Hydrating Mask,2025-12-12,537.53,277,1.94,4.00
1765578931700,1002,894,5.47,2.51,44.32,25,2235.07,89.40,35,Juniper Hydrating Mask,2025-12-12,525.27,277,1.90,4.26
1765582531700,1084,930,5.78,3.69,39.52,40,3747.48,93.69,72,Juniper Hydrating Mask,2025-12-12,461.85,208,2.22,8.11
1765586131700,1190,1080,8.61,3.91,40.62,47,4250.75,90.44,67,Juniper Hydrating Mask,2025-12-13,479.10,160,2.99,8.87
1765589731700,1311,1130,7.00,4.34,44.74,57,5472.17,96.00,70,Juniper Hydrating Mask,2025-12-13,491.28,201,2.44,11.14
1765593331700,1417,1279,8.84,3.71,36.90,53,4757.81,89.77,94,Juniper Hydrating Mask,2025-12-13,497.73,260,1.91,9.56
1765596931700,1481,1334,9.11,3.47,41.88,51,4350.69,85.31,65,Juniper Hydrating Mask,2025-12-13,597.66,228,2.62,7.28
1765600531700,1577,1434,8.47,3.75,43.04,59,4880.21,82.72,110,Juniper Hydrating Mask,2025-12-13,579.70,250,2.32,8.42
1765604131700,1595,1370,9.27,4.58,40.89,73,6754.50,92.53,96,Juniper Hydrating Mask,2025-12-13,486.17,218,2.23,13.89
1765607731700,1610,1344,8.37,4.32,49.51,70,6220.98,88.87,100,Juniper Hydrating Mask,2025-12-13,497.81,179,2.78,12.50
1765611331700,1604,1394,10.98,3.50,37.15,56,4673.01,83.45,77,Juniper Hydrating Mask,2025-12-13,516.37,260,1.99,9.05
1765614931700,1555,1392,9.84,4.54,40.89,71,5912.00,83.27,115,Juniper Hydrating Mask,2025-12-13,492.97,266,1.85,11.99
1765618531700,1493,1200,9.96,2.86,44.91,43,4000.21,93.03,65,Juniper Hydrating Mask,2025-12-13,578.01,225,2.57,6.92
1765622131700,1403,1241,7.64,3.94,46.81,55,5098.78,92.71,81,Juniper Hydrating Mask,2025-12-13,480.06,208,2.31,10.62
1765625731700,1315,1173,9.59,3.45,35.92,45,4201.25,93.36,80,Juniper Hydrating Mask,2025-12-13,557.79,272,2.05,7.53
1765629331700,1217,1017,6.86,2.78,34.23,34,3109.36,91.45,58,Juniper Hydrating Mask,2025-12-13,506.15,186,2.72,6.14
1765632931700,1095,1018,6.78,2.76,38.55,30,2594.37,86.48,42,Juniper Hydrating Mask,2025-12-13,514.20,232,2.22,5.05
1765636531700,1008,918,5.64,3.02,34.62,30,2792.94,93.10,40,Juniper Hydrating Mask,2025-12-13,562.79,304,1.85,4.96
1765640131700,904,795,5.84,3.77,41.67,34,2908.23,85.54,58,Juniper Hydrating Mask,2025-12-13,550.01,255,2.16,5.29
1765643731700,862,792,4.72,2.09,41.88,18,1550.38,86.13,24,Juniper Hydrating Mask,2025-12-13,516.74,191,2.71,3.00
1765647331700,860,705,6.85,3.45,44.12,30,2751.27,91.71,55,Juniper Hydrating Mask,2025-12-13,497.76,235,2.12,5.53
1765650931700,870,826,5.15,3.05,40.89,27,2666.65,98.76,48,Juniper Hydrating Mask,2025-12-13,498.93,227,2.20,5.34
1765654531700,884,709,4.85,2.11,32.28,19,1636.37,86.12,32,Juniper Hydrating Mask,2025-12-13,535.92,195,2.75,3.05
1765658131700,920,838,5.86,2.48,47.13,23,2134.75,92.82,30,Juniper Hydrating Mask,2025-12-13,485.18,247,1.96,4.40
1765661731700,999,894,6.68,2.33,37.36,23,1985.05,86.31,33,Juniper Hydrating Mask,2025-12-13,544.93,244,2.23,3.64
1765665331700,1083,912,6.43,2.94,35.71,32,2857.38,89.29,53,Juniper Hydrating Mask,2025-12-13,514.45,229,2.25,5.55
1765668931700,1210,1133,6.76,3.48,44.54,42,3871.83,92.19,63,Juniper Hydrating Mask,2025-12-13,503.27,268,1.88,7.69
1765672531700,1321,1140,7.26,3.89,41.37,51,4789.49,93.91,73,Juniper Hydrating Mask,2025-12-14,542.26,280,1.94,8.83
1765676131700,1444,1225,9.46,3.01,46.75,43,4071.52,94.69,78,Juniper Hydrating Mask,2025-12-14,544.85,191,2.85,7.47
1765679731700,1533,1360,8.56,4.20,34.12,64,5732.52,89.57,103,Juniper Hydrating Mask,2025-12-14,549.12,280,1.96,10.44
1765683331700,1647,1336,8.18,3.56,45.21,59,4887.30,82.84,101,Juniper Hydrating Mask,2025-12-14,514.61,209,2.46,9.50
1765686931700,1709,1420,8.38,3.38,49.51,58,5031.12,86.74,75,Juniper Hydrating Mask,2025-12-14,485.10,172,2.82,10.37
1765690531700,1734,1582,9.09,3.12,43.82,54,5207.87,96.44,78,Juniper Hydrating Mask,2025-12-14,534.53,296,1.81,9.74
1765694131700,1760,1621,9.36,3.11,45.61,55,4465.89,81.20,67,Juniper Hydrating Mask,2025-12-14,561.31,229,2.45,7.96
