ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,799,696,5.61,2.05,39.35,16,1414.55,88.41,29,Velvet Bay Candle,2025-12-12,507.79,281,1.81,2.79
1765564531700,761,723,5.41,3.55,45.33,27,2446.11,90.60,33,Velvet Bay Candle,2025-12-12,446.98,191,2.34,5.47
1765568131700,784,703,6.75,2.30,37.92,18,1442.71,80.15,24,Velvet Bay Candle,2025-12-12,508.68,228,2.23,2.84
1765571731700,825,699,6.66,2.42,39.26,20,1527.03,76.35,36,Velvet Bay Candle,2025-12-12,543.87,186,2.92,2.81
1765575331700,879,797,5.94,2.26,33.60,20,1558.66,77.93,28,Velvet Bay Candle,2025-12-12,516.46,269,1.92,3.02
1765578931700,980,854,5.73,3.83,32.25,37,3384.80,91.48,61,Velvet Bay Candle,2025-12-12,475.52,235,2.02,7.12
1765582531700,1049,873,6.60,3.00,47.29,31,2444.49,78.85,40,Velvet Bay Candle,2025-12-12,560.75,233,2.41,4.36
1765586131700,1172,970,8.10,3.54,44.67,42,3220.51,76.68,70,Velvet Bay Candle,2025-12-13,574.97,205,2.80,5.60
1765589731700,1292,1111,7.74,3.38,35.76,44,3835.44,87.17,54,Velvet Bay Candle,2025-12-13,489.87,235,2.08,7.83
1765593331700,1369,1253,8.27,4.02,38.15,55,4712.91,85.69,86,Velvet Bay Candle,2025-12-13,491.96,185,2.66,9.58
1765596931700,1436,1223,10.32,4.29,37.88,62,5058.73,81.59,113,Velvet Bay Candle,2025-12-13,494.98,239,2.07,10.22
1765600531700,1519,1340,10.13,4.49,47.91,68,5536.83,81.42,109,Velvet Bay Candle,2025-12-13,513.20,186,2.76,10.79
1765604131700,1548,1401,9.82,3.96,45.70,61,5144.96,84.34,84,Velvet Bay Candle,2025-12-13,553.96,216,2.56,9.29
1765607731700,1578,1326,8.87,4.02,37.85,63,5471.14,86.84,94,Velvet Bay Candle,2025-12-13,498.75,182,2.74,10.97
1765611331700,1551,1365,10.66,4.00,40.03,62,5013.92,80.87,80,Velvet Bay Candle,2025-12-13,518.98,224,2.32,9.66
1765614931700,1522,1342,8.93,3.20,37.72,49,4374.32,89.27,82,Velvet Bay Candle,2025-12-13,509.23,220,2.31,8.59
1765618531700,1443,1212,10.20,3.15,46.89,45,4047.72,89.95,77,Velvet Bay Candle,2025-12-13,565.65,251,2.25,7.16
1765622131700,1385,1240,8.80,2.98,43.54,41,3110.87,75.87,52,Velvet Bay Candle,2025-12-13,490.34,229,2.14,6.34
1765625731700,1260,1029,7.56,3.73,45.35,47,4078.06,86.77,57,Velvet Bay Candle,2025-12-13,564.94,235,2.40,7.22
1765629331700,1161,1057,8.46,3.11,34.60,36,3004.63,83.46,55,Velvet Bay Candle,2025-12-13,540.96,283,1.91,5.55
1765632931700,1078,884,7.40,2.52,43.26,27,2390.12,88.52,42,Velvet Bay Candle,2025-12-13,540.05,246,2.20,4.43
1765636531700,976,896,6.84,3.06,42.81,30,2362.94,78.76,51,Velvet Bay Candle,2025-12-13,468.08,197,2.38,5.05
1765640131700,900,843,6.31,2.50,37.15,23,2096.41,91.15,34,Velvet Bay Candle,2025-12-13,535.40,241,2.22,3.92
1765643731700,817,714,5.23,1.93,35.19,16,1339.02,83.69,26,Velvet Bay Candle,2025-12-13,519.63,191,2.72,2.58
1765647331700,844,693,5.68,2.30,35.35,19,1559.58,82.08,32,Velvet Bay Candle,2025-12-13,524.51,261,2.01,2.97
1765650931700,830,767,5.24,2.83,33.65,23,1963.00,85.35,39,Velvet Bay Candle,2025-12-13,489.15,209,2.34,4.01
1765654531700,867,806,5.42,2.47,46.63,21,1652.76,78.70,33,Velvet Bay Candle,2025-12-13,436.78,224,1.95,3.78
1765658131700,887,788,6.52,2.83,43.11,25,2323.14,92.93,39,Velvet Bay Candle,2025-12-13,506.75,225,2.25,4.58
1765661731700,951,844,7.07,2.67,42.07,25,2170.88,86.84,33,Velvet Bay Candle,2025-12-13,519.21,249,2.09,4.18
1765665331700,1058,928,6.14,2.71,42.28,29,2692.36,92.84,51,Velvet Bay Candle,2025-12-13,457.27,224,2.04,5.89
1765668931700,1178,1011,5.84,3.46,42.73,41,3303.59,80.58,73,Velvet Bay Candle,2025-12-13,506.39,227,2.23,6.52
1765672531700,1275,1160,7.34,3.13,35.82,40,3631.75,90.79,73,Velvet Bay Candle,2025-12-14,522.41,207,2.52,6.95
1765676131700,1395,1118,8.66,4.02,35.91,56,4830.52,86.26,74,Velvet Bay Candle,2025-12-14,511.94,250,2.05,9.44
1765679731700,1493,1353,7.98,2.74,40.84,41,3316.03,80.88,59,Velvet Bay Candle,2025-12-14,581.51,291,2.00,5.70
1765683331700,1597,1449,7.63,2.90,44.80,46,4135.97,89.91,68,Velvet Bay Candle,2025-12-14,514.29,218,2.36,8.04
1765686931700,1662,1483,9.69,3.47,50.37,58,5270.98,90.88,102,Velvet Bay Candle,2025-12-14,563.95,277,2.04,9.35
1765690531700,1709,1515,9.55,4.07,36.91,70,5542.31,79.18,88,Velvet Bay Candle,2025-12-14,558.24,302,1.85,9.93
1765694131700,1702,1522,9.59,4.79,35.90,82,6205.78,75.68,122,Velvet Bay Candle,2025-12-14,598.93,204,2.94,10.36
1765697731700,1719,1621,8.84,3.51,36.35,60,4711.67,78.53,91,Velvet Bay Candle,2025-12-14,542.27,253,2.14,8.69
1765701331700,1653,1538,10.38,3.01,44.06,50,4489.85,89.80,90,Velvet Bay Candle,2025-12-14,522.83,177,2.95,8.59
1765704931700,1602,1339,8.01,3.35,37.73,54,4236.66,78.46,76,Velvet Bay Candle,2025-12-14,578.70,289,2.00,7.32
1765708531700,1501,1308,8.90,2.72,36.78,41,3571.04,87.10,75,Velvet Bay Candle,2025-12-14,483.34,259,1.87,7.39
1765712131700,1375,1156,8.79,3.05,43.38,42,3605.79,85.85,53,Velvet Bay Candle,2025-12-14,583.51,304,1.92,6.18
1765715731700,1277,1128,8.32,3.66,45.06,47,3734.82,79.46,73,Velvet Bay Candle,2025-12-14,567.43,307,1.85,6.58
1765719331700,1159,989,5.91,3.64,37.98,42,3599.47,85.70,67,Velvet Bay Candle,2025-12-14,495.98,222,2.23,7.26
1765722931700,1039,927,7.90,3.62,32.61,38,3282.59,86.38,66,Velvet Bay Candle,2025-12-14,510.85,182,2.81,6.43
1765726531700,967,838,5.00,2.63,37.09,25,1999.99,80.00,34,Velvet Bay Candle,2025-12-14,494.76,190,2.60,4.04
1765730131700,900,807,5.60,3.53,32.06,32,2426.58,75.83,58,Velvet Bay Candle,2025-12-14,476.70,185,2.58,5.09
1765733731700,875,781,6.77,3.27,34.71,29,2505.98,86.41,39,Velvet Bay Candle,2025-12-14,447.48,155,2.89,5.60
1765737331700,858,783,6.45,3.38,40.69,29,2661.22,91.77,38,Velvet Bay Candle,2025-12-14,511.06,208,2.46,5.21
1765740931700,858,763,5.95,3.47,46.31,30,2714.95,90.50,47,Velvet Bay Candle,2025-12-14,455.14,251,1.81,5.97
1765744531700,911,855,4.98,3.51,36.47,32,2614.28,81.70,49,Velvet Bay Candle,2025-12-14,552.12,286,1.93,4.73
1765748131700,1000,820,6.12,3.60,43.60,36,3311.48,91.99,64,Velvet Bay Candle,2025-12-14,455.75,188,2.42,7.27
1765751731700,1064,975,6.82,3.20,39.63,34,3007.74,88.46,58,Velvet Bay Candle,2025-12-14,537.57,183,2.94,5.60
1765755331700,1196,962,7.60,3.22,46.16,39,3259.85,83.59,64,Velvet Bay Candle,2025-12-14,516.12,215,2.40,6.32
1765758931700,1309,1067,6.86,3.10,36.69,41,3783.42,92.28,77,Velvet Bay Candle,2025-12-15,471.53,185,2.55,8.02
1765762531700,1409,1226,8.58,2.65,47.85,37,3283.41,88.74,50,Velvet Bay Candle,2025-12-15,526.83,206,2.56,6.23
1765766131700,1514,1240,10.07,3.14,49.07,48,4053.51,84.45,70,Velvet Bay Candle,2025-12-15,514.95,201,2.56,7.87
1765769731700,1632,1336,10.25,3.54,49.24,58,4787.02,82.53,92,Velvet Bay Candle,2025-12-15,572.53,304,1.88,8.36
1765773331700,1680,1428,10.18,4.20,44.69,71,6218.74,87.59,104,Velvet Bay Candle,2025-12-15,538.47,208,2.59,11.55
1765776931700,1728,1418,10.16,3.47,47.35,60,4725.66,78.76,82,Velvet Bay Candle,2025-12-15,525.36,202,2.60,9.00
1765780531700,1743,1607,10.97,4.28,50.21,75,5817.49,77.57,137,Velvet Bay Candle,2025-12-15,554.52,216,2.57,10.49
1765784131700,1756,1662,8.53,4.53,48.78,79,6523.69,82.58,113,Velvet Bay Candle,2025-12-15,524.82,210,2.50,12.43
1765787731700,1687,1421,10.18,3.74,36.76,63,4737.99,75.21,92,Velvet Bay Candle,2025-12-15,537.93,295,1.82,8.81
1765791331700,1634,1325,8.08,3.39,48.52,55,4245.42,77.19,84,Velvet Bay Candle,2025-12-15,586.97,208,2.82,7.23
1765794931700,1527,1376,8.02,3.00,39.23,46,3913.80,85.08,69,Velvet Bay Candle,2025-12-15,557.68,190,2.94,7.02
1765798531700,1440,1228,6.63,4.25,47.35,61,5418.65,88.83,84,Velvet Bay Candle,2025-12-15,473.28,218,2.17,11.45
1765802131700,1308,1151,6.50,3.47,46.01,45,3717.72,82.62,85,Velvet Bay Candle,2025-12-15,493.41,253,1.95,7.53
1765805731700,1176,1023,6.21,3.86,43.96,45,3412.70,75.84,55,Velvet Bay Candle,2025-12-15,461.61,244,1.89,7.39
1765809331700,1073,897,7.16,3.67,44.44,39,3401.12,87.21,69,Velvet Bay Candle,2025-12-15,550.84,262,2.10,6.17
1765812931700,999,899,4.71,2.07,46.97,21,1599.01,76.14,36,Velvet Bay Candle,2025-12-15,449.13,214,2.10,3.56
1765816531700,925,834,7.03,2.82,42.38,26,2051.60,78.91,44,Velvet Bay Candle,2025-12-15,531.83,288,1.85,3.86
1765820131700,832,700,5.43,2.86,34.60,24,2077.88,86.58,31,Velvet Bay Candle,2025-12-15,527.84,177,2.98,3.94
1765823731700,809,745,5.39,1.86,31.30,15,1159.61,77.31,22,Velvet Bay Candle,2025-12-15,522.67,191,2.74,2.22
1765827331700,819,673,6.05,2.69,39.72,22,1910.80,86.85,32,Velvet Bay Candle,2025-12-15,453.71,155,2.93,4.21
1765830931700,853,712,5.44,3.05,36.92,26,2160.18,83.08,49,Velvet Bay Candle,2025-12-15,503.24,242,2.08,4.29
1765834531700,943,783,6.43,2.79,35.95,26,2232.53,85.87,46,Velvet Bay Candle,2025-12-15,535.14,226,2.37,4.17
