ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,774,707,5.45,2.79,31.28,22,2018.28,91.74,32,Lumen Glow Serum,2025-12-12,492.72,273,1.80,4.10
1765564531700,772,687,7.00,3.21,43.34,25,2017.92,80.72,30,Lumen Glow Serum,2025-12-12,530.28,202,2.63,3.81
1765568131700,796,698,4.74,2.72,37.09,22,1865.55,84.80,27,Lumen Glow Serum,2025-12-12,457.44,179,2.56,4.08
1765571731700,816,759,6.86,2.14,47.07,17,1570.37,92.37,30,Lumen Glow Serum,2025-12-12,515.03,180,2.86,3.05
1765575331700,884,767,5.58,2.68,35.75,24,2084.55,86.86,43,Lumen Glow Serum,2025-12-12,455.83,184,2.48,4.57
1765578931700,981,808,7.71,2.97,34.51,29,2722.00,93.86,38,Lumen Glow Serum,2025-12-12,472.28,255,1.85,5.76
1765582531700,1089,895,6.27,2.62,43.78,29,2693.34,92.87,36,Lumen Glow Serum,2025-12-12,460.84,166,2.78,5.84
1765586131700,1170,1081,8.12,2.45,33.67,29,2523.32,87.01,48,Lumen Glow Serum,2025-12-13,507.19,227,2.23,4.98
1765589731700,1296,1042,8.41,3.93,48.63,51,4472.56,87.70,63,Lumen Glow Serum,2025-12-13,490.64,210,2.34,9.12
1765593331700,1379,1195,7.21,2.95,44.30,41,3805.30,92.81,57,Lumen Glow Serum,2025-12-13,554.42,235,2.36,6.86
1765596931700,1491,1277,10.05,2.98,45.31,44,3570.41,81.15,74,Lumen Glow Serum,2025-12-13,570.29,264,2.16,6.26
1765600531700,1549,1379,9.20,4.40,38.81,68,6264.87,92.13,94,Lumen Glow Serum,2025-12-13,568.26,274,2.07,11.02
1765604131700,1576,1470,8.36,3.83,43.58,60,5492.27,91.54,90,Lumen Glow Serum,2025-12-13,517.69,256,2.02,10.61
1765607731700,1583,1443,8.48,3.23,43.95,51,4818.99,94.49,79,Lumen Glow Serum,2025-12-13,509.55,205,2.49,9.46
1765611331700,1564,1353,8.89,3.46,46.43,54,4691.64,86.88,86,Lumen Glow Serum,2025-12-13,531.54,248,2.14,8.83
1765614931700,1542,1360,8.13,3.38,35.43,52,4125.99,79.35,92,Lumen Glow Serum,2025-12-13,583.64,299,1.95,7.07
1765618531700,1472,1394,8.11,4.47,41.33,66,5487.65,83.15,116,Lumen Glow Serum,2025-12-13,510.83,256,2.00,10.74
1765622131700,1388,1158,8.47,3.15,45.76,44,3812.51,86.65,73,Lumen Glow Serum,2025-12-13,474.41,200,2.37,8.04
1765625731700,1278,1060,7.98,3.83,45.47,49,4421.61,90.24,65,Lumen Glow Serum,2025-12-13,585.77,251,2.33,7.55
1765629331700,1182,960,9.07,3.11,36.45,37,3315.01,89.59,55,Lumen Glow Serum,2025-12-13,554.13,209,2.65,5.98
1765632931700,1061,946,6.56,3.71,32.80,39,3430.51,87.96,58,Lumen Glow Serum,2025-12-13,492.53,220,2.24,6.97
1765636531700,966,910,6.55,2.89,42.40,28,2247.78,80.28,44,Lumen Glow Serum,2025-12-13,506.05,250,2.02,4.44
1765640131700,914,841,4.96,2.92,39.25,27,2450.66,90.77,49,Lumen Glow Serum,2025-12-13,491.71,194,2.53,4.98
1765643731700,829,676,4.97,1.90,41.72,16,1484.31,92.77,24,Lumen Glow Serum,2025-12-13,532.56,228,2.34,2.79
1765647331700,866,710,5.94,2.53,41.32,22,1807.48,82.16,32,Lumen Glow Serum,2025-12-13,469.80,200,2.35,3.85
1765650931700,857,793,4.72,2.06,46.51,18,1412.70,78.48,26,Lumen Glow Serum,2025-12-13,517.72,263,1.97,2.73
1765654531700,867,706,5.41,2.59,42.70,22,1887.70,85.80,34,Lumen Glow Serum,2025-12-13,515.35,178,2.90,3.66
1765658131700,913,741,5.52,3.57,38.21,33,2957.74,89.63,47,Lumen Glow Serum,2025-12-13,441.38,172,2.57,6.70
1765661731700,977,832,6.23,2.84,40.61,28,2337.67,83.49,35,Lumen Glow Serum,2025-12-13,448.59,171,2.62,5.21
1765665331700,1053,967,6.36,3.80,37.03,40,3418.87,85.47,72,Lumen Glow Serum,2025-12-13,517.26,273,1.89,6.61
1765668931700,1163,1008,8.53,3.82,45.47,44,3719.67,84.54,73,Lumen Glow Serum,2025-12-13,524.54,250,2.10,7.09
1765672531700,1286,1189,8.37,3.04,42.02,39,3734.16,95.75,55,Lumen Glow Serum,2025-12-14,548.63,205,2.68,6.81
1765676131700,1421,1350,8.10,2.65,34.57,38,3573.52,94.04,66,Lumen Glow Serum,2025-12-14,583.34,238,2.45,6.13
1765679731700,1531,1310,9.69,2.88,38.26,44,3500.76,79.56,56,Lumen Glow Serum,2025-12-14,488.07,269,1.81,7.17
1765683331700,1594,1357,7.96,4.03,40.91,64,5708.33,89.19,100,Lumen Glow Serum,2025-12-14,482.07,244,1.98,11.84
1765686931700,1661,1377,9.08,4.41,48.09,73,6846.42,93.79,127,Lumen Glow Serum,2025-12-14,520.97,218,2.39,13.14
1765690531700,1728,1580,10.77,3.39,39.61,59,5549.20,94.05,105,Lumen Glow Serum,2025-12-14,580.43,294,1.97,9.56
1765694131700,1751,1565,10.65,4.30,50.53,75,5921.89,78.96,142,Lumen Glow Serum,2025-12-14,539.51,211,2.56,10.98
1765697731700,1712,1533,8.18,3.34,41.92,57,5125.18,89.92,85,Lumen Glow Serum,2025-12-14,594.13,275,2.16,8.63
1765701331700,1673,1397,10.47,4.00,45.23,67,5713.43,85.28,88,Lumen Glow Serum,2025-12-14,596.96,262,2.28,9.57
1765704931700,1620,1468,8.25,3.56,38.88,58,5062.43,87.28,103,Lumen Glow Serum,2025-12-14,480.63,244,1.97,10.53
1765708531700,1523,1371,8.00,4.14,37.37,63,5791.93,91.94,118,Lumen Glow Serum,2025-12-14,547.70,248,2.21,10.58
1765712131700,1391,1249,7.71,2.67,38.29,37,3473.78,93.89,64,Lumen Glow Serum,2025-12-14,528.23,246,2.15,6.58
1765715731700,1312,1207,8.32,4.03,47.51,53,4975.09,93.87,94,Lumen Glow Serum,2025-12-14,561.18,187,3.00,8.87
1765719331700,1177,1102,6.49,3.85,34.97,45,3523.88,78.31,80,Lumen Glow Serum,2025-12-14,503.43,257,1.96,7.00
1765722931700,1083,978,5.40,2.79,37.02,30,2774.94,92.50,48,Lumen Glow Serum,2025-12-14,475.70,239,1.99,5.83
1765726531700,979,831,5.46,3.29,42.44,32,2784.74,87.02,43,Lumen Glow Serum,2025-12-14,521.45,254,2.05,5.34
1765730131700,914,809,5.05,2.67,45.70,24,2233.84,93.08,34,Lumen Glow Serum,2025-12-14,543.18,250,2.17,4.11
1765733731700,887,837,5.34,3.11,34.66,28,2328.84,83.17,43,Lumen Glow Serum,2025-12-14,541.41,269,2.01,4.30
1765737331700,874,782,5.54,2.88,43.22,25,2247.75,89.91,45,Lumen Glow Serum,2025-12-14,505.97,264,1.92,4.44
1765740931700,879,744,4.42,2.83,42.68,25,2175.22,87.01,45,Lumen Glow Serum,2025-12-14,530.76,212,2.50,4.10
1765744531700,926,848,6.01,2.74,39.63,25,2010.39,80.42,32,Lumen Glow Serum,2025-12-14,488.39,246,1.99,4.12
1765748131700,990,921,6.53,2.76,35.04,27,2526.28,93.57,42,Lumen Glow Serum,2025-12-14,456.27,158,2.89,5.54
1765751731700,1087,901,6.13,2.77,46.48,30,2517.97,83.93,52,Lumen Glow Serum,2025-12-14,561.97,290,1.94,4.48
1765755331700,1191,968,7.93,3.43,36.84,41,3573.54,87.16,53,Lumen Glow Serum,2025-12-14,543.38,283,1.92,6.58
1765758931700,1325,1081,7.48,3.48,42.33,46,3785.55,82.29,86,Lumen Glow Serum,2025-12-15,546.31,272,2.01,6.93
1765762531700,1443,1174,9.50,3.17,48.01,46,4345.83,94.47,58,Lumen Glow Serum,2025-12-15,470.75,201,2.34,9.23
1765766131700,1530,1313,7.19,3.13,48.14,48,4568.17,95.17,84,Lumen Glow Serum,2025-12-15,537.49,262,2.05,8.50
1765769731700,1663,1358,10.15,3.04,44.75,51,4396.87,86.21,91,Lumen Glow Serum,2025-12-15,535.05,263,2.03,8.22
