ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1067,994,12.02,5.27,23.54,56,4077.21,72.81,85,Solstice Ceramic Set,2025-12-12,471.02,171,2.75,8.66
1765564531700,1049,939,11.42,6.28,24.78,66,5337.99,80.88,81,Solstice Ceramic Set,2025-12-12,533.27,257,2.07,10.01
1765568131700,1056,995,12.65,5.83,25.44,62,4688.70,75.62,90,Solstice Ceramic Set,2025-12-12,487.56,190,2.57,9.62
1765571731700,1115,944,10.93,5.62,34.60,63,4941.14,78.43,107,Solstice Ceramic Set,2025-12-12,543.68,201,2.70,9.09
1765575331700,1211,1106,13.07,6.36,25.94,77,6028.96,78.30,114,Solstice Ceramic Set,2025-12-12,500.68,218,2.30,12.04
1765578931700,1311,1093,12.90,6.28,29.33,82,6912.55,84.30,103,Solstice Ceramic Set,2025-12-12,523.61,290,1.81,13.20
1765582531700,1468,1390,11.77,5.52,23.37,81,5790.77,71.49,134,Solstice Ceramic Set,2025-12-12,534.08,209,2.56,10.84
1765586131700,1602,1366,11.84,6.84,38.24,110,8843.82,80.40,133,Solstice Ceramic Set,2025-12-13,539.62,276,1.96,16.39
1765589731700,1721,1394,13.93,7.13,29.26,123,8563.13,69.62,226,Solstice Ceramic Set,2025-12-13,586.22,298,1.97,14.61
1765593331700,1885,1576,13.66,7.02,29.49,132,10523.11,79.72,217,Solstice Ceramic Set,2025-12-13,485.52,178,2.73,21.67
1765596931700,1969,1594,15.48,7.06,27.64,139,11539.61,83.02,215,Solstice Ceramic Set,2025-12-13,569.19,210,2.71,20.27
1765600531700,2061,1715,15.43,7.62,25.96,157,11053.91,70.41,219,Solstice Ceramic Set,2025-12-13,518.81,283,1.83,21.31
1765604131700,2102,1982,14.90,7.15,35.65,150,12711.81,84.75,201,Solstice Ceramic Set,2025-12-13,515.81,285,1.81,24.64
1765607731700,2132,1987,16.34,6.06,34.52,129,10329.41,80.07,178,Solstice Ceramic Set,2025-12-13,596.12,322,1.85,17.33
1765611331700,2132,1968,15.59,6.16,35.01,131,9637.54,73.57,176,Solstice Ceramic Set,2025-12-13,565.76,309,1.83,17.03
1765614931700,2085,1728,15.52,6.74,26.78,141,9874.36,70.03,255,Solstice Ceramic Set,2025-12-13,597.22,314,1.90,16.53
1765618531700,1997,1746,15.46,7.26,24.63,145,12350.01,85.17,177,Solstice Ceramic Set,2025-12-13,524.97,263,2.00,23.53
1765622131700,1846,1510,15.49,6.58,32.65,122,9830.13,80.57,203,Solstice Ceramic Set,2025-12-13,567.45,285,1.99,17.32
1765625731700,1720,1426,14.28,5.99,27.69,103,7156.28,69.48,196,Solstice Ceramic Set,2025-12-13,489.68,178,2.75,14.61
1765629331700,1581,1369,12.43,5.62,25.22,89,7257.17,81.54,147,Solstice Ceramic Set,2025-12-13,487.35,222,2.20,14.89
1765632931700,1461,1250,12.57,5.96,35.48,87,6851.29,78.75,149,Solstice Ceramic Set,2025-12-13,472.94,159,2.97,14.49
1765636531700,1309,1049,11.84,5.50,30.32,72,5695.78,79.11,114,Solstice Ceramic Set,2025-12-13,505.14,178,2.84,11.28
1765640131700,1220,1112,11.50,5.37,21.99,66,5325.99,80.70,81,Solstice Ceramic Set,2025-12-13,559.07,246,2.27,9.53
1765643731700,1108,1003,11.89,6.35,36.63,70,5749.71,82.14,133,Solstice Ceramic Set,2025-12-13,490.34,212,2.31,11.73
1765647331700,1172,1004,9.84,6.14,28.74,72,6075.48,84.38,96,Solstice Ceramic Set,2025-12-13,479.20,163,2.94,12.68
1765650931700,1128,907,9.97,5.00,29.78,56,4346.27,77.61,106,Solstice Ceramic Set,2025-12-13,456.75,236,1.94,9.52
1765654531700,1174,1096,10.96,5.46,30.95,64,4500.19,70.32,85,Solstice Ceramic Set,2025-12-13,490.42,261,1.88,9.18
1765658131700,1236,1019,12.33,6.49,22.71,80,6559.38,81.99,120,Solstice Ceramic Set,2025-12-13,454.87,152,2.99,14.42
1765661731700,1331,1195,12.19,5.28,33.51,70,5377.71,76.82,125,Solstice Ceramic Set,2025-12-13,513.77,213,2.41,10.47
1765665331700,1434,1332,13.60,5.64,33.41,81,6634.69,81.91,118,Solstice Ceramic Set,2025-12-13,507.21,265,1.91,13.08
1765668931700,1574,1268,11.18,6.88,33.96,108,8604.15,79.67,182,Solstice Ceramic Set,2025-12-13,480.32,226,2.13,17.91
1765672531700,1728,1551,13.43,6.19,24.80,107,9094.09,84.99,170,Solstice Ceramic Set,2025-12-14,522.17,281,1.86,17.42
1765676131700,1897,1562,15.10,7.02,30.76,133,9193.28,69.12,226,Solstice Ceramic Set,2025-12-14,514.28,211,2.44,17.88
1765679731700,2025,1908,13.01,6.03,39.39,122,8727.53,71.54,186,Solstice Ceramic Set,2025-12-14,473.78,256,1.85,18.42
1765683331700,2169,1742,13.93,7.34,34.81,159,13103.69,82.41,196,Solstice Ceramic Set,2025-12-14,576.02,226,2.55,22.75
1765686931700,2268,2066,15.10,7.65,27.94,173,13688.89,79.13,271,Solstice Ceramic Set,2025-12-14,505.11,269,1.88,27.10
1765690531700,2316,1931,14.45,6.89,40.62,160,13389.82,83.69,193,Solstice Ceramic Set,2025-12-14,537.84,196,2.74,24.90
1765694131700,2342,2113,14.06,7.56,30.77,177,14585.77,82.41,243,Solstice Ceramic Set,2025-12-14,598.12,203,2.95,24.39
1765697731700,2333,2122,16.36,5.99,25.12,140,11571.74,82.66,199,Solstice Ceramic Set,2025-12-14,582.08,255,2.28,19.88
1765701331700,2265,2010,13.67,6.39,26.94,145,10991.46,75.80,226,Solstice Ceramic Set,2025-12-14,586.49,313,1.87,18.74
1765704931700,2180,1808,15.31,6.37,28.33,139,11067.96,79.63,249,Solstice Ceramic Set,2025-12-14,484.97,252,1.92,22.82
1765708531700,2019,1623,14.03,7.17,39.28,145,10239.26,70.62,252,Solstice Ceramic Set,2025-12-14,567.23,260,2.18,18.05
1765712131700,1881,1542,13.36,5.62,31.20,106,7826.89,73.84,134,Solstice Ceramic Set,2025-12-14,556.78,189,2.95,14.06
1765715731700,1742,1609,13.70,6.94,27.39,121,8834.79,73.01,190,Solstice Ceramic Set,2025-12-14,462.32,208,2.22,19.11
1765719331700,1593,1294,13.50,5.63,37.88,90,7147.36,79.42,142,Solstice Ceramic Set,2025-12-14,570.50,196,2.91,12.53
1765722931700,1424,1177,12.42,6.35,35.78,90,6641.52,73.79,161,Solstice Ceramic Set,2025-12-14,496.81,197,2.52,13.37
1765726531700,1318,1215,10.45,6.44,27.67,85,6950.84,81.77,146,Solstice Ceramic Set,2025-12-14,485.83,190,2.56,14.31
1765730131700,1226,1023,11.27,5.08,33.91,62,4379.37,70.63,103,Solstice Ceramic Set,2025-12-14,446.19,172,2.59,9.81
1765733731700,1185,1023,12.37,6.36,34.66,75,6204.84,82.73,108,Solstice Ceramic Set,2025-12-14,483.69,165,2.93,12.83
1765737331700,1162,1095,11.57,5.00,26.72,58,5036.00,86.83,108,Solstice Ceramic Set,2025-12-14,548.70,187,2.93,9.18
1765740931700,1165,1066,9.92,5.81,26.72,68,5589.31,82.20,107,Solstice Ceramic Set,2025-12-14,521.19,189,2.76,10.72
