ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1075,924,11.41,6.51,31.35,70,5454.53,77.92,112,Lumen Glassware,2025-12-12,487.84,182,2.68,11.18
1765564531700,1046,865,11.28,5.42,22.10,57,4817.19,84.51,73,Lumen Glassware,2025-12-12,458.12,197,2.33,10.52
1765568131700,1079,967,10.58,5.74,31.10,62,4921.20,79.37,83,Lumen Glassware,2025-12-12,450.15,190,2.37,10.93
1765571731700,1116,1009,10.13,6.34,35.13,71,6192.91,87.22,94,Lumen Glassware,2025-12-12,516.98,176,2.94,11.98
1765575331700,1205,1005,11.43,5.01,29.57,60,4574.86,76.25,96,Lumen Glassware,2025-12-12,553.78,237,2.34,8.26
1765578931700,1321,1186,12.70,6.64,34.02,88,7121.85,80.93,154,Lumen Glassware,2025-12-12,489.21,201,2.43,14.56
1765582531700,1472,1334,13.94,6.98,25.12,103,7975.00,77.43,124,Lumen Glassware,2025-12-12,560.80,307,1.83,14.22
1765586131700,1614,1317,11.96,6.56,34.30,106,9171.48,86.52,130,Lumen Glassware,2025-12-13,538.17,223,2.41,17.04
1765589731700,1757,1600,14.73,7.21,30.01,127,10020.23,78.90,155,Lumen Glassware,2025-12-13,480.63,247,1.95,20.85
1765593331700,1873,1728,15.25,6.23,25.30,117,9056.66,77.41,202,Lumen Glassware,2025-12-13,575.64,240,2.40,15.73
1765596931700,1978,1616,15.30,5.87,39.29,116,10406.37,89.71,181,Lumen Glassware,2025-12-13,550.32,227,2.42,18.91
1765600531700,2078,1964,15.37,6.60,35.38,137,11511.23,84.02,227,Lumen Glassware,2025-12-13,593.82,222,2.67,19.39
1765604131700,2144,1824,14.38,6.44,30.64,138,11680.88,84.64,250,Lumen Glassware,2025-12-13,596.13,241,2.47,19.59
1765607731700,2148,1775,14.74,7.18,40.45,154,11360.17,73.77,265,Lumen Glassware,2025-12-13,578.76,240,2.41,19.63
1765611331700,2145,1805,15.63,7.10,40.69,152,12384.56,81.48,279,Lumen Glassware,2025-12-13,490.87,233,2.11,25.23
1765614931700,2082,1706,15.28,6.78,35.10,141,11519.01,81.70,183,Lumen Glassware,2025-12-13,489.59,192,2.55,23.53
1765618531700,2002,1874,13.76,6.65,34.84,133,11116.09,83.58,206,Lumen Glassware,2025-12-13,553.95,211,2.63,20.07
1765622131700,1863,1589,13.24,6.50,34.19,121,10149.87,83.88,200,Lumen Glassware,2025-12-13,519.48,220,2.36,19.54
1765625731700,1759,1560,14.16,6.85,26.41,120,8811.45,73.43,161,Lumen Glassware,2025-12-13,486.08,266,1.83,18.13
1765629331700,1603,1487,14.26,7.12,28.09,114,8312.76,72.92,139,Lumen Glassware,2025-12-13,537.67,232,2.32,15.46
1765632931700,1453,1311,12.18,5.27,33.52,77,6294.03,81.74,123,Lumen Glassware,2025-12-13,565.30,206,2.74,11.13
1765636531700,1325,1141,11.48,5.43,22.29,72,5810.57,80.70,106,Lumen Glassware,2025-12-13,533.27,292,1.83,10.90
1765640131700,1206,1129,12.03,5.73,32.66,69,5697.13,82.57,122,Lumen Glassware,2025-12-13,499.49,195,2.56,11.41
1765643731700,1142,1032,10.51,5.72,32.08,65,5694.54,87.61,102,Lumen Glassware,2025-12-13,542.86,275,1.97,10.49
1765647331700,1166,1084,10.67,6.19,25.34,72,6412.53,89.06,135,Lumen Glassware,2025-12-13,495.59,257,1.93,12.94
1765650931700,1140,1038,10.42,5.13,22.51,58,4745.07,81.81,85,Lumen Glassware,2025-12-13,509.34,270,1.89,9.32
1765654531700,1174,985,10.37,6.39,35.76,75,5996.22,79.95,115,Lumen Glassware,2025-12-13,495.78,269,1.84,12.09
1765658131700,1239,1146,12.58,6.65,27.43,82,7369.31,89.87,118,Lumen Glassware,2025-12-13,551.22,281,1.96,13.37
1765661731700,1334,1188,12.89,5.87,24.91,78,6604.86,84.68,128,Lumen Glassware,2025-12-13,523.26,278,1.88,12.62
1765665331700,1466,1218,11.46,5.70,28.70,84,7009.51,83.45,124,Lumen Glassware,2025-12-13,524.32,235,2.23,13.37
1765668931700,1584,1441,13.84,6.15,36.31,97,7136.35,73.57,164,Lumen Glassware,2025-12-13,462.51,189,2.45,15.43
1765672531700,1752,1557,12.89,6.85,28.86,120,9385.85,78.22,167,Lumen Glassware,2025-12-14,552.78,268,2.06,16.98
1765676131700,1916,1741,13.59,5.56,28.78,106,8417.26,79.41,175,Lumen Glassware,2025-12-14,586.29,286,2.05,14.36
1765679731700,2054,1941,13.34,6.93,37.12,142,12449.39,87.67,195,Lumen Glassware,2025-12-14,580.70,283,2.05,21.44
1765683331700,2176,1917,13.54,6.22,38.14,135,10313.65,76.40,235,Lumen Glassware,2025-12-14,579.14,248,2.34,17.81
1765686931700,2274,1872,14.47,6.02,32.66,137,11680.36,85.26,204,Lumen Glassware,2025-12-14,592.93,285,2.08,19.70
1765690531700,2331,1941,14.21,6.83,36.67,159,11947.12,75.14,219,Lumen Glassware,2025-12-14,559.15,283,1.98,21.37
1765694131700,2361,1923,14.38,6.94,35.77,164,13392.42,81.66,233,Lumen Glassware,2025-12-14,506.49,266,1.90,26.44
1765697731700,2354,1890,14.25,7.63,26.71,180,14594.46,81.08,331,Lumen Glassware,2025-12-14,597.93,298,2.01,24.41
1765701331700,2294,1917,14.45,6.54,33.38,150,12911.01,86.07,232,Lumen Glassware,2025-12-14,508.24,225,2.26,25.40
