ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1118,945,10.07,6.34,23.06,71,5914.99,83.31,117,Juniper Hydrating Mask,2025-12-12,516.91,257,2.01,11.44
1765564531700,1095,931,12.45,6.46,31.02,71,6231.07,87.76,105,Juniper Hydrating Mask,2025-12-12,471.42,234,2.01,13.22
1765568131700,1101,990,11.49,5.11,21.07,56,5272.48,94.15,93,Juniper Hydrating Mask,2025-12-12,554.18,255,2.17,9.51
1765571731700,1167,961,10.24,5.18,31.90,60,5256.57,87.61,107,Juniper Hydrating Mask,2025-12-12,475.82,236,2.02,11.05
1765575331700,1240,1087,11.90,6.72,26.24,83,6725.32,81.03,112,Juniper Hydrating Mask,2025-12-12,508.42,215,2.36,13.23
1765578931700,1363,1179,10.81,5.74,32.09,78,6984.79,89.55,131,Juniper Hydrating Mask,2025-12-12,489.11,257,1.90,14.28
1765582531700,1494,1361,12.98,5.54,31.85,83,7177.46,86.48,114,Juniper Hydrating Mask,2025-12-12,562.40,257,2.19,12.76
1765586131700,1643,1332,12.94,7.11,38.88,117,9973.18,85.24,171,Juniper Hydrating Mask,2025-12-13,479.81,204,2.35,20.79
1765589731700,1796,1654,12.21,6.09,36.43,109,9178.04,84.20,133,Juniper Hydrating Mask,2025-12-13,515.67,190,2.71,17.80
1765593331700,1925,1752,14.06,7.39,34.51,142,14000.18,98.59,236,Juniper Hydrating Mask,2025-12-13,562.36,247,2.28,24.90
1765596931700,2036,1797,14.44,6.45,29.42,131,11151.81,85.13,191,Juniper Hydrating Mask,2025-12-13,575.14,300,1.92,19.39
1765600531700,2139,1723,13.99,7.51,25.82,161,15339.42,95.28,263,Juniper Hydrating Mask,2025-12-13,535.92,210,2.55,28.62
1765604131700,2202,1986,14.50,7.64,38.77,168,16499.98,98.21,312,Juniper Hydrating Mask,2025-12-13,546.33,292,1.87,30.20
1765607731700,2232,2094,16.19,7.19,38.37,160,14992.11,93.70,241,Juniper Hydrating Mask,2025-12-13,563.30,284,1.98,26.61
1765611331700,2195,1757,15.74,6.76,34.91,148,13066.46,88.29,237,Juniper Hydrating Mask,2025-12-13,504.88,230,2.20,25.88
1765614931700,2151,1906,14.34,6.85,29.07,147,11935.93,81.20,254,Juniper Hydrating Mask,2025-12-13,513.66,200,2.57,23.24
1765618531700,2046,1826,13.75,6.63,25.03,136,12823.27,94.29,218,Juniper Hydrating Mask,2025-12-13,498.37,189,2.64,25.73
1765622131700,1927,1732,14.03,6.74,31.47,130,11266.12,86.66,220,Juniper Hydrating Mask,2025-12-13,582.09,317,1.84,19.35
