ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1076,928,10.20,6.48,23.73,70,6086.01,86.94,114,Velvet Bay Candle,2025-12-12,511.81,268,1.91,11.89
1765564531700,1044,931,12.36,5.68,22.84,59,5144.68,87.20,94,Velvet Bay Candle,2025-12-12,443.15,165,2.69,11.61
1765568131700,1084,906,10.62,5.41,24.10,59,4617.31,78.26,86,Velvet Bay Candle,2025-12-12,494.57,191,2.59,9.34
1765571731700,1123,1050,11.25,5.93,21.61,67,5577.23,83.24,99,Velvet Bay Candle,2025-12-12,543.58,270,2.01,10.26
1765575331700,1242,1068,12.78,5.25,31.57,65,4911.61,75.56,91,Velvet Bay Candle,2025-12-12,459.52,164,2.80,10.69
1765578931700,1348,1129,11.95,6.13,33.64,83,6832.30,82.32,107,Velvet Bay Candle,2025-12-12,553.71,284,1.95,12.34
1765582531700,1458,1178,13.38,5.40,30.47,79,6752.65,85.48,129,Velvet Bay Candle,2025-12-12,540.19,292,1.85,12.50
1765586131700,1612,1308,12.97,6.97,24.03,112,10403.57,92.89,181,Velvet Bay Candle,2025-12-13,575.34,210,2.74,18.08
1765589731700,1752,1660,14.01,6.26,34.76,110,8641.96,78.56,175,Velvet Bay Candle,2025-12-13,539.40,268,2.01,16.02
1765593331700,1894,1785,12.92,6.94,25.76,132,10608.45,80.37,214,Velvet Bay Candle,2025-12-13,504.34,238,2.12,21.03
1765596931700,2033,1896,13.58,6.62,37.88,135,10815.83,80.12,185,Velvet Bay Candle,2025-12-13,547.46,208,2.63,19.76
1765600531700,2089,1969,13.51,7.28,34.06,152,13438.21,88.41,183,Velvet Bay Candle,2025-12-13,521.57,198,2.63,25.76
1765604131700,2176,1824,13.66,6.05,30.98,132,10983.97,83.21,166,Velvet Bay Candle,2025-12-13,564.00,274,2.06,19.48
1765607731700,2183,1931,14.99,7.17,30.51,157,12594.71,80.22,219,Velvet Bay Candle,2025-12-13,570.55,238,2.40,22.07
1765611331700,2150,1775,14.37,6.36,29.08,137,11381.24,83.07,208,Velvet Bay Candle,2025-12-13,577.35,193,2.99,19.71
1765614931700,2118,1975,13.75,6.80,38.72,144,11703.63,81.28,207,Velvet Bay Candle,2025-12-13,583.73,284,2.06,20.05
1765618531700,2023,1902,13.26,6.11,29.42,124,9728.28,78.45,210,Velvet Bay Candle,2025-12-13,576.88,318,1.81,16.86
1765622131700,1909,1574,12.82,6.90,31.83,132,12249.87,92.80,219,Velvet Bay Candle,2025-12-13,508.99,233,2.18,24.07
1765625731700,1781,1513,14.73,5.80,34.83,103,8524.44,82.76,127,Velvet Bay Candle,2025-12-13,551.29,228,2.42,15.46
1765629331700,1632,1505,14.05,7.07,24.10,115,10158.43,88.33,187,Velvet Bay Candle,2025-12-13,568.91,194,2.93,17.86
1765632931700,1483,1358,12.20,6.91,32.51,102,8222.55,80.61,177,Velvet Bay Candle,2025-12-13,489.39,240,2.04,16.80
1765636531700,1323,1062,12.87,5.95,27.16,79,6282.83,79.53,101,Velvet Bay Candle,2025-12-13,520.15,218,2.39,12.08
1765640131700,1240,1131,13.11,5.66,35.16,70,5989.68,85.57,103,Velvet Bay Candle,2025-12-13,512.51,261,1.96,11.69
1765643731700,1145,1082,11.57,5.17,35.86,59,4431.61,75.11,91,Velvet Bay Candle,2025-12-13,479.02,245,1.96,9.25
1765647331700,1167,941,10.66,6.54,26.66,76,7048.44,92.74,115,Velvet Bay Candle,2025-12-13,546.95,194,2.82,12.89
1765650931700,1147,1042,9.80,5.55,29.43,64,5533.10,86.45,114,Velvet Bay Candle,2025-12-13,438.45,183,2.40,12.62
1765654531700,1162,1030,11.95,5.88,24.78,68,6062.83,89.16,94,Velvet Bay Candle,2025-12-13,442.65,210,2.11,13.70
1765658131700,1225,1042,10.97,5.76,21.44,71,5994.76,84.43,104,Velvet Bay Candle,2025-12-13,447.46,186,2.41,13.40
1765661731700,1348,1180,11.04,6.73,31.85,91,8420.93,92.54,145,Velvet Bay Candle,2025-12-13,455.84,166,2.75,18.47
1765665331700,1448,1287,11.81,6.24,26.03,90,7722.44,85.80,147,Velvet Bay Candle,2025-12-13,474.14,201,2.36,16.29
1765668931700,1620,1465,13.32,6.88,36.27,112,10279.75,91.78,147,Velvet Bay Candle,2025-12-13,538.53,209,2.58,19.09
1765672531700,1770,1506,13.91,6.28,23.03,111,8792.91,79.22,197,Velvet Bay Candle,2025-12-14,550.35,197,2.79,15.98
1765676131700,1947,1660,13.24,6.27,29.46,122,11029.59,90.41,158,Velvet Bay Candle,2025-12-14,528.93,244,2.17,20.85
1765679731700,2084,1707,15.15,6.94,36.91,145,12133.59,83.68,189,Velvet Bay Candle,2025-12-14,492.04,231,2.13,24.66
1765683331700,2223,2064,14.28,7.34,33.64,163,13150.83,80.68,241,Velvet Bay Candle,2025-12-14,588.52,275,2.14,22.35
1765686931700,2303,2135,15.34,6.26,39.96,144,12090.95,83.96,220,Velvet Bay Candle,2025-12-14,496.91,168,2.96,24.33
1765690531700,2381,2052,16.41,7.28,35.29,173,13643.56,78.86,240,Velvet Bay Candle,2025-12-14,568.32,200,2.84,24.01
1765694131700,2377,1979,15.64,7.14,27.34,170,15542.18,91.42,235,Velvet Bay Candle,2025-12-14,566.07,240,2.36,27.46
1765697731700,2355,2202,14.65,7.17,27.32,169,15560.00,92.07,246,Velvet Bay Candle,2025-12-14,526.11,215,2.45,29.58
1765701331700,2311,1925,15.30,6.76,26.04,156,12612.73,80.85,278,Velvet Bay Candle,2025-12-14,564.36,235,2.40,22.35
1765704931700,2184,2058,13.58,6.00,37.14,131,11118.95,84.88,214,Velvet Bay Candle,2025-12-14,553.48,248,2.23,20.09
1765708531700,2096,1911,14.57,7.41,38.78,155,13331.52,86.01,191,Velvet Bay Candle,2025-12-14,582.11,231,2.52,22.90
1765712131700,1909,1636,14.71,6.52,29.75,124,10282.90,82.93,175,Velvet Bay Candle,2025-12-14,526.79,244,2.16,19.52
1765715731700,1782,1670,13.47,7.00,37.09,125,10425.68,83.41,222,Velvet Bay Candle,2025-12-14,548.50,238,2.30,19.01
1765719331700,1610,1309,12.47,6.98,28.84,112,10264.07,91.64,206,Velvet Bay Candle,2025-12-14,534.80,203,2.63,19.19
1765722931700,1446,1292,11.03,5.96,29.39,86,7656.01,89.02,144,Velvet Bay Candle,2025-12-14,509.66,270,1.89,15.02
1765726531700,1354,1125,11.29,5.26,36.90,71,5384.01,75.83,134,Velvet Bay Candle,2025-12-14,457.98,177,2.59,11.76
1765730131700,1239,1066,11.84,5.60,29.49,69,6081.06,88.13,112,Velvet Bay Candle,2025-12-14,440.04,174,2.53,13.82
1765733731700,1184,956,12.15,5.30,36.67,63,5300.72,84.14,89,Velvet Bay Candle,2025-12-14,446.27,180,2.48,11.88
1765737331700,1184,1025,10.84,5.59,21.46,66,5560.02,84.24,101,Velvet Bay Candle,2025-12-14,518.78,263,1.97,10.72
1765740931700,1200,984,9.75,5.38,24.06,65,5010.46,77.08,87,Velvet Bay Candle,2025-12-14,480.35,263,1.83,10.43
1765744531700,1259,1116,10.98,4.91,25.20,62,5270.58,85.01,93,Velvet Bay Candle,2025-12-14,485.81,198,2.45,10.85
1765748131700,1348,1112,10.99,6.39,32.71,86,6596.08,76.70,106,Velvet Bay Candle,2025-12-14,500.69,228,2.20,13.17
1765751731700,1499,1259,11.02,5.93,31.74,89,7048.53,79.20,113,Velvet Bay Candle,2025-12-14,468.50,228,2.05,15.04
1765755331700,1650,1487,12.28,5.53,23.60,91,7794.78,85.66,138,Velvet Bay Candle,2025-12-14,489.04,187,2.62,15.94
1765758931700,1824,1475,14.43,5.45,30.77,99,8813.56,89.03,149,Velvet Bay Candle,2025-12-15,527.82,290,1.82,16.70
