ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1085,914,11.95,6.53,32.71,71,6338.11,89.27,105,Lumen Glow Serum,2025-12-12,448.81,150,2.99,14.12
1765564531700,1082,888,11.72,5.38,36.70,58,5447.69,93.93,90,Lumen Glow Serum,2025-12-12,480.77,250,1.92,11.33
1765568131700,1095,915,11.61,4.84,22.47,53,4907.41,92.59,80,Lumen Glow Serum,2025-12-12,458.09,210,2.18,10.71
1765571731700,1160,945,12.41,6.28,25.16,73,6364.61,87.19,127,Lumen Glow Serum,2025-12-12,473.82,236,2.01,13.43
1765575331700,1251,1188,12.65,6.09,27.24,76,7005.00,92.17,143,Lumen Glow Serum,2025-12-12,502.31,241,2.08,13.95
1765578931700,1345,1177,11.24,6.50,32.51,87,8322.52,95.66,109,Lumen Glow Serum,2025-12-12,546.90,221,2.47,15.22
1765582531700,1479,1205,12.15,6.50,33.41,96,9092.72,94.72,125,Lumen Glow Serum,2025-12-12,474.74,217,2.19,19.15
1765586131700,1629,1459,13.03,5.88,35.09,96,8858.42,92.28,135,Lumen Glow Serum,2025-12-13,521.78,202,2.58,16.98
1765589731700,1774,1618,13.74,6.61,29.47,117,10162.76,86.86,165,Lumen Glow Serum,2025-12-13,539.03,270,2.00,18.85
1765593331700,1901,1668,12.89,7.35,31.23,140,12067.23,86.19,215,Lumen Glow Serum,2025-12-13,552.05,237,2.33,21.86
1765596931700,2054,1734,14.33,7.49,35.20,154,13394.15,86.97,266,Lumen Glow Serum,2025-12-13,513.13,279,1.84,26.10
1765600531700,2135,1736,14.84,6.58,27.78,141,11010.32,78.09,202,Lumen Glow Serum,2025-12-13,485.73,190,2.56,22.67
1765604131700,2201,1910,16.48,6.87,29.23,151,13060.62,86.49,216,Lumen Glow Serum,2025-12-13,537.71,239,2.25,24.29
1765607731700,2214,1928,13.62,7.30,32.14,162,13514.82,83.42,241,Lumen Glow Serum,2025-12-13,586.37,254,2.31,23.05
1765611331700,2165,1903,14.79,6.01,34.11,130,11463.11,88.18,162,Lumen Glow Serum,2025-12-13,599.67,299,2.01,19.12
1765614931700,2114,1846,15.40,6.19,29.53,131,10518.05,80.29,226,Lumen Glow Serum,2025-12-13,544.62,191,2.85,19.31
1765618531700,2034,1809,13.59,7.62,26.84,155,14609.15,94.25,267,Lumen Glow Serum,2025-12-13,577.53,235,2.46,25.30
1765622131700,1932,1817,13.50,7.14,36.95,138,12020.59,87.11,176,Lumen Glow Serum,2025-12-13,524.02,245,2.14,22.94
1765625731700,1785,1439,14.98,6.14,36.21,110,10552.98,95.94,168,Lumen Glow Serum,2025-12-13,545.91,271,2.01,19.33
1765629331700,1638,1311,13.83,5.75,29.67,94,8036.43,85.49,165,Lumen Glow Serum,2025-12-13,468.42,242,1.94,17.16
1765632931700,1481,1186,12.46,5.91,27.42,88,8439.69,95.91,136,Lumen Glow Serum,2025-12-13,486.59,239,2.04,17.34
1765636531700,1338,1113,11.25,6.63,32.90,89,7710.95,86.64,120,Lumen Glow Serum,2025-12-13,553.94,306,1.81,13.92
1765640131700,1224,1039,12.76,5.75,22.27,70,5992.02,85.60,122,Lumen Glow Serum,2025-12-13,477.61,166,2.88,12.55
1765643731700,1156,1024,10.58,5.73,27.78,66,6081.18,92.14,123,Lumen Glow Serum,2025-12-13,484.52,189,2.56,12.55
1765647331700,1173,983,12.55,5.72,24.06,67,5719.94,85.37,114,Lumen Glow Serum,2025-12-13,482.37,161,3.00,11.86
