ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,858,813,9.73,4.54,25.14,39,3255.37,83.47,54,Atlas Power Bank,2025-12-12,474.45,173,2.74,6.86
1765564531700,853,776,9.94,4.70,33.79,40,2771.22,69.28,76,Atlas Power Bank,2025-12-12,453.40,159,2.85,6.11
1765568131700,854,780,9.57,4.95,29.64,42,3219.21,76.65,77,Atlas Power Bank,2025-12-12,397.60,194,2.05,8.10
1765571731700,900,813,7.74,4.70,31.00,42,3193.37,76.03,70,Atlas Power Bank,2025-12-12,420.76,150,2.81,7.59
1765575331700,975,863,8.58,4.67,37.19,46,3245.77,70.56,63,Atlas Power Bank,2025-12-12,455.01,219,2.08,7.13
1765578931700,1053,999,11.19,4.54,41.07,48,3450.03,71.88,73,Atlas Power Bank,2025-12-12,423.23,194,2.18,8.15
1765582531700,1172,995,11.69,5.21,41.19,61,4635.43,75.99,80,Atlas Power Bank,2025-12-12,475.39,243,1.96,9.75
1765586131700,1288,1058,9.90,4.56,34.25,59,4132.81,70.05,83,Atlas Power Bank,2025-12-13,420.10,217,1.94,9.84
1765589731700,1374,1102,11.98,5.67,39.52,78,5459.18,69.99,100,Atlas Power Bank,2025-12-13,462.07,196,2.36,11.81
1765593331700,1519,1280,13.22,5.56,32.25,84,6677.88,79.50,112,Atlas Power Bank,2025-12-13,472.60,262,1.80,14.13
1765596931700,1579,1493,12.95,5.04,39.06,80,6491.44,81.14,129,Atlas Power Bank,2025-12-13,435.85,206,2.12,14.89
1765600531700,1646,1465,11.79,4.82,32.45,79,6288.44,79.60,143,Atlas Power Bank,2025-12-13,500.08,244,2.05,12.57
1765604131700,1702,1596,12.04,5.11,39.71,87,7391.93,84.96,129,Atlas Power Bank,2025-12-13,460.98,239,1.93,16.04
1765607731700,1721,1458,14.34,6.57,31.62,113,9447.27,83.60,160,Atlas Power Bank,2025-12-13,408.23,182,2.24,23.14
1765611331700,1708,1583,12.03,5.71,39.51,98,8235.95,84.04,126,Atlas Power Bank,2025-12-13,495.24,200,2.48,16.63
