ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,837,683,8.51,4.80,33.23,40,2854.04,71.35,71,Nimbus Smart Speaker,2025-12-12,433.34,215,2.02,6.59
1765564531700,832,711,9.25,4.69,40.95,39,2978.56,76.37,69,Nimbus Smart Speaker,2025-12-12,398.88,178,2.24,7.47
1765568131700,827,704,8.92,4.62,29.37,38,3057.97,80.47,65,Nimbus Smart Speaker,2025-12-12,465.63,167,2.79,6.57
1765571731700,894,718,8.49,5.02,29.39,45,3189.25,70.87,81,Nimbus Smart Speaker,2025-12-12,430.24,205,2.10,7.41
1765575331700,945,832,10.56,3.90,28.98,37,2980.57,80.56,60,Nimbus Smart Speaker,2025-12-12,426.45,190,2.24,6.99
1765578931700,1058,928,9.83,4.17,33.79,44,3036.54,69.01,55,Nimbus Smart Speaker,2025-12-12,372.44,200,1.86,8.15
1765582531700,1137,1005,9.40,5.71,33.42,65,5200.63,80.01,88,Nimbus Smart Speaker,2025-12-12,478.73,202,2.37,10.86
1765586131700,1251,1116,11.60,5.12,39.67,64,4466.22,69.78,121,Nimbus Smart Speaker,2025-12-13,474.60,248,1.91,9.41
1765589731700,1396,1315,10.68,5.12,29.80,71,5285.17,74.44,132,Nimbus Smart Speaker,2025-12-13,438.63,146,3.00,12.05
1765593331700,1493,1242,10.91,5.58,31.21,83,6536.50,78.75,117,Nimbus Smart Speaker,2025-12-13,402.03,139,2.89,16.26
1765596931700,1569,1480,11.48,5.05,32.68,79,6165.19,78.04,127,Nimbus Smart Speaker,2025-12-13,469.88,228,2.06,13.12
1765600531700,1623,1538,13.52,4.84,42.53,79,5333.39,67.51,99,Nimbus Smart Speaker,2025-12-13,473.55,211,2.24,11.26
1765604131700,1678,1451,13.63,5.76,38.25,97,7012.68,72.30,132,Nimbus Smart Speaker,2025-12-13,408.63,213,1.92,17.16
1765607731700,1681,1472,11.49,5.78,35.93,97,6451.35,66.51,141,Nimbus Smart Speaker,2025-12-13,424.64,189,2.25,15.19
1765611331700,1701,1509,14.17,5.67,40.60,96,7350.82,76.57,171,Nimbus Smart Speaker,2025-12-13,516.80,253,2.04,14.22
1765614931700,1648,1558,12.56,6.51,42.24,107,7544.37,70.51,199,Nimbus Smart Speaker,2025-12-13,481.91,181,2.66,15.66
1765618531700,1565,1310,12.32,6.02,37.05,94,6551.49,69.70,124,Nimbus Smart Speaker,2025-12-13,472.58,250,1.89,13.86
1765622131700,1483,1244,13.32,5.87,28.33,87,6432.51,73.94,116,Nimbus Smart Speaker,2025-12-13,502.60,197,2.55,12.80
1765625731700,1382,1309,12.34,4.37,34.54,60,4657.52,77.63,110,Nimbus Smart Speaker,2025-12-13,464.70,222,2.09,10.02
1765629331700,1276,1080,9.99,4.99,38.11,64,5311.66,82.99,85,Nimbus Smart Speaker,2025-12-13,448.69,212,2.12,11.84
1765632931700,1151,1057,8.96,4.31,31.17,50,4040.53,80.81,63,Nimbus Smart Speaker,2025-12-13,470.36,168,2.80,8.59
1765636531700,1053,997,8.60,5.48,35.42,58,4546.92,78.40,97,Nimbus Smart Speaker,2025-12-13,378.98,169,2.24,12.00
1765640131700,941,811,9.29,4.94,26.20,46,3467.15,75.37,86,Nimbus Smart Speaker,2025-12-13,421.35,205,2.06,8.23
1765643731700,903,778,8.93,4.05,31.56,37,2432.17,65.73,54,Nimbus Smart Speaker,2025-12-13,454.84,159,2.86,5.35
1765647331700,918,785,7.48,3.95,30.24,36,2447.54,67.99,56,Nimbus Smart Speaker,2025-12-13,406.73,210,1.94,6.02
1765650931700,895,720,9.13,4.31,28.12,39,2749.81,70.51,55,Nimbus Smart Speaker,2025-12-13,406.40,140,2.90,6.77
1765654531700,938,862,9.64,4.80,31.72,45,3723.55,82.75,79,Nimbus Smart Speaker,2025-12-13,446.14,209,2.13,8.35
1765658131700,956,832,8.24,3.80,33.46,36,2486.41,69.07,64,Nimbus Smart Speaker,2025-12-13,410.28,146,2.81,6.06
1765661731700,1063,859,10.24,3.81,28.16,40,2667.73,66.69,60,Nimbus Smart Speaker,2025-12-13,455.58,236,1.93,5.86
1765665331700,1151,1090,9.99,5.60,41.44,64,4983.46,77.87,77,Nimbus Smart Speaker,2025-12-13,422.11,179,2.36,11.81
1765668931700,1274,1041,9.80,5.07,33.75,65,5176.74,79.64,118,Nimbus Smart Speaker,2025-12-13,471.23,178,2.65,10.99
1765672531700,1385,1302,11.03,5.97,29.77,83,6478.49,78.05,102,Nimbus Smart Speaker,2025-12-14,490.23,213,2.30,13.22
1765676131700,1525,1346,10.77,6.13,40.02,93,7088.35,76.22,125,Nimbus Smart Speaker,2025-12-14,444.13,181,2.45,15.96
1765679731700,1604,1412,12.61,5.03,38.55,81,5567.17,68.73,143,Nimbus Smart Speaker,2025-12-14,448.66,200,2.24,12.41
1765683331700,1732,1590,10.96,6.23,42.18,108,7330.53,67.88,138,Nimbus Smart Speaker,2025-12-14,499.97,194,2.58,14.66
1765686931700,1781,1451,13.02,6.45,44.72,115,8175.44,71.09,171,Nimbus Smart Speaker,2025-12-14,407.72,217,1.88,20.05
1765690531700,1862,1685,11.55,4.96,32.47,92,7563.42,82.21,117,Nimbus Smart Speaker,2025-12-14,446.96,217,2.06,16.92
1765694131700,1842,1605,13.25,6.32,37.83,116,9522.92,82.09,146,Nimbus Smart Speaker,2025-12-14,450.94,190,2.37,21.12
1765697731700,1825,1596,13.17,6.27,41.87,114,8880.67,77.90,144,Nimbus Smart Speaker,2025-12-14,428.47,221,1.94,20.73
1765701331700,1788,1698,11.82,6.27,37.33,112,7794.53,69.59,212,Nimbus Smart Speaker,2025-12-14,455.50,159,2.86,17.11
1765704931700,1710,1387,12.59,6.16,30.66,105,7939.90,75.62,198,Nimbus Smart Speaker,2025-12-14,463.23,192,2.41,17.14
1765708531700,1617,1465,11.72,6.17,39.11,100,8055.45,80.55,157,Nimbus Smart Speaker,2025-12-14,416.20,143,2.91,19.35
1765712131700,1507,1319,12.87,5.84,33.86,88,5976.59,67.92,133,Nimbus Smart Speaker,2025-12-14,488.59,233,2.10,12.23
1765715731700,1379,1181,10.24,5.45,30.19,75,5784.53,77.13,108,Nimbus Smart Speaker,2025-12-14,411.62,156,2.64,14.05
1765719331700,1239,1084,9.08,5.69,35.14,71,5554.12,78.23,114,Nimbus Smart Speaker,2025-12-14,446.04,159,2.81,12.45
1765722931700,1138,1031,10.36,4.80,36.03,55,3759.13,68.35,69,Nimbus Smart Speaker,2025-12-14,371.78,154,2.41,10.11
1765726531700,1032,845,10.94,5.32,38.30,55,4067.21,73.95,93,Nimbus Smart Speaker,2025-12-14,383.98,210,1.83,10.59
1765730131700,967,834,9.83,4.62,38.96,45,3388.70,75.30,69,Nimbus Smart Speaker,2025-12-14,460.57,214,2.15,7.36
1765733731700,940,754,8.91,4.17,34.27,39,2634.84,67.56,51,Nimbus Smart Speaker,2025-12-14,425.64,178,2.39,6.19
1765737331700,914,843,7.45,3.99,28.89,36,2402.24,66.73,50,Nimbus Smart Speaker,2025-12-14,434.57,145,3.00,5.53
1765740931700,960,892,9.89,4.11,39.80,39,3170.77,81.30,55,Nimbus Smart Speaker,2025-12-14,425.09,172,2.47,7.46
1765744531700,1003,952,10.01,4.31,37.80,43,3551.57,82.59,72,Nimbus Smart Speaker,2025-12-14,386.83,184,2.10,9.18
1765748131700,1076,904,9.34,4.34,30.68,47,3742.57,79.63,70,Nimbus Smart Speaker,2025-12-14,477.82,195,2.45,7.83
1765751731700,1170,978,10.03,4.56,37.27,53,3925.22,74.06,84,Nimbus Smart Speaker,2025-12-14,406.92,156,2.61,9.65
1765755331700,1276,1110,11.06,4.90,35.98,63,4597.95,72.98,112,Nimbus Smart Speaker,2025-12-14,422.90,151,2.80,10.87
1765758931700,1406,1199,11.85,5.01,29.60,70,5427.76,77.54,95,Nimbus Smart Speaker,2025-12-15,382.84,198,1.93,14.18
1765762531700,1542,1265,12.18,4.56,41.78,70,5397.20,77.10,133,Nimbus Smart Speaker,2025-12-15,435.08,182,2.39,12.41
1765766131700,1657,1533,11.54,6.00,43.89,99,7739.60,78.18,182,Nimbus Smart Speaker,2025-12-15,460.58,240,1.92,16.80
1765769731700,1766,1575,11.99,5.67,32.48,100,7146.78,71.47,186,Nimbus Smart Speaker,2025-12-15,414.60,177,2.34,17.24
1765773331700,1822,1520,11.21,4.86,43.42,89,7270.05,81.69,161,Nimbus Smart Speaker,2025-12-15,411.61,200,2.06,17.66
1765776931700,1877,1726,12.06,5.56,31.66,104,7125.47,68.51,179,Nimbus Smart Speaker,2025-12-15,416.40,178,2.34,17.11
1765780531700,1878,1615,13.85,6.10,41.14,115,7648.22,66.51,199,Nimbus Smart Speaker,2025-12-15,521.85,222,2.35,14.66
1765784131700,1868,1552,13.41,5.04,31.74,94,7312.58,77.79,171,Nimbus Smart Speaker,2025-12-15,483.87,180,2.69,15.11
1765787731700,1815,1619,13.22,5.77,38.04,105,7115.52,67.77,185,Nimbus Smart Speaker,2025-12-15,455.33,195,2.34,15.63
1765791331700,1748,1593,10.82,5.18,41.69,91,6963.72,76.52,129,Nimbus Smart Speaker,2025-12-15,426.34,171,2.49,16.33
1765794931700,1659,1546,13.34,5.61,38.09,93,7418.95,79.77,154,Nimbus Smart Speaker,2025-12-15,442.65,179,2.47,16.76
1765798531700,1526,1328,11.02,5.87,42.18,90,6829.49,75.88,115,Nimbus Smart Speaker,2025-12-15,415.75,187,2.22,16.43
1765802131700,1400,1138,10.75,5.65,30.22,79,5608.23,70.99,95,Nimbus Smart Speaker,2025-12-15,499.26,216,2.31,11.23
1765805731700,1269,1112,11.17,5.39,38.56,68,4644.31,68.30,95,Nimbus Smart Speaker,2025-12-15,469.74,176,2.67,9.89
1765809331700,1185,1010,11.39,4.23,27.52,50,3644.97,72.90,88,Nimbus Smart Speaker,2025-12-15,425.65,213,2.00,8.56
1765812931700,1047,932,10.49,4.67,27.16,49,3415.69,69.71,66,Nimbus Smart Speaker,2025-12-15,461.02,202,2.28,7.41
1765816531700,1005,915,10.52,5.00,40.19,50,3820.48,76.41,68,Nimbus Smart Speaker,2025-12-15,358.85,146,2.46,10.65
1765820131700,886,724,8.27,4.90,39.63,43,3518.70,81.83,75,Nimbus Smart Speaker,2025-12-15,366.78,159,2.31,9.59
1765823731700,885,787,8.52,3.75,34.73,33,2674.74,81.05,46,Nimbus Smart Speaker,2025-12-15,443.64,153,2.90,6.03
1765827331700,876,802,10.46,4.85,33.09,42,2758.52,65.68,68,Nimbus Smart Speaker,2025-12-15,409.26,181,2.26,6.74
1765830931700,938,881,8.45,4.00,37.40,38,2527.76,66.52,53,Nimbus Smart Speaker,2025-12-15,364.25,158,2.31,6.94
1765834531700,1024,968,10.84,3.92,31.04,40,3299.14,82.48,59,Nimbus Smart Speaker,2025-12-15,475.56,209,2.28,6.94
1765838131700,1085,1029,8.57,5.65,28.18,61,4321.25,70.84,114,Nimbus Smart Speaker,2025-12-15,391.98,134,2.93,11.02
1765841731700,1216,1023,10.96,5.04,30.89,61,4597.34,75.37,112,Nimbus Smart Speaker,2025-12-15,415.65,151,2.75,11.06
1765845331700,1327,1259,10.68,5.11,34.85,68,4749.42,69.84,106,Nimbus Smart Speaker,2025-12-16,383.17,164,2.34,12.40
