ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,815,742,8.40,4.95,27.17,40,2751.26,68.78,64,Pulse Wireless Earbuds,2025-12-12,358.05,131,2.73,7.68
1765564531700,809,664,7.99,5.02,26.98,41,3007.94,73.36,67,Pulse Wireless Earbuds,2025-12-12,461.85,221,2.09,6.51
1765568131700,817,719,8.95,4.96,40.87,41,2983.10,72.76,59,Pulse Wireless Earbuds,2025-12-12,423.09,166,2.55,7.05
1765571731700,867,805,10.58,3.73,37.44,32,2277.63,71.18,47,Pulse Wireless Earbuds,2025-12-12,373.87,129,2.90,6.09
1765575331700,944,838,10.73,3.97,37.80,38,2997.03,78.87,52,Pulse Wireless Earbuds,2025-12-12,414.61,217,1.91,7.23
1765578931700,1036,959,8.73,4.63,35.69,48,3746.25,78.05,88,Pulse Wireless Earbuds,2025-12-12,449.32,249,1.80,8.34
1765582531700,1154,1019,9.80,4.95,35.78,57,4174.65,73.24,100,Pulse Wireless Earbuds,2025-12-12,467.61,206,2.27,8.93
1765586131700,1233,1048,11.62,5.44,42.23,67,5192.70,77.50,108,Pulse Wireless Earbuds,2025-12-13,402.56,173,2.33,12.90
1765589731700,1357,1130,11.41,5.23,37.00,71,5151.01,72.55,133,Pulse Wireless Earbuds,2025-12-13,448.29,160,2.80,11.49
1765593331700,1485,1387,12.86,5.69,43.33,84,6230.68,74.17,107,Pulse Wireless Earbuds,2025-12-13,431.91,197,2.19,14.43
1765596931700,1545,1337,13.11,6.00,31.49,93,7103.39,76.38,141,Pulse Wireless Earbuds,2025-12-13,473.04,178,2.66,15.02
1765600531700,1609,1499,11.89,5.84,33.20,94,6877.66,73.17,130,Pulse Wireless Earbuds,2025-12-13,441.91,231,1.91,15.56
1765604131700,1681,1517,11.92,4.96,37.83,83,5914.24,71.26,154,Pulse Wireless Earbuds,2025-12-13,503.65,235,2.14,11.74
1765607731700,1666,1476,13.56,5.87,34.89,98,7493.61,76.47,151,Pulse Wireless Earbuds,2025-12-13,480.29,167,2.88,15.60
1765611331700,1671,1478,11.56,6.01,42.37,101,6877.37,68.09,189,Pulse Wireless Earbuds,2025-12-13,443.01,158,2.80,15.52
1765614931700,1635,1363,12.40,5.73,34.29,94,6952.54,73.96,167,Pulse Wireless Earbuds,2025-12-13,445.14,211,2.11,15.62
1765618531700,1541,1432,11.21,5.42,43.71,84,5351.01,63.70,126,Pulse Wireless Earbuds,2025-12-13,477.52,209,2.28,11.21
1765622131700,1457,1211,12.50,5.66,30.10,82,5167.77,63.02,110,Pulse Wireless Earbuds,2025-12-13,494.60,260,1.90,10.45
1765625731700,1376,1272,10.37,4.80,36.97,66,4927.03,74.65,101,Pulse Wireless Earbuds,2025-12-13,503.23,264,1.91,9.79
1765629331700,1252,1163,12.20,5.47,40.86,68,4265.74,62.73,86,Pulse Wireless Earbuds,2025-12-13,465.32,245,1.90,9.17
1765632931700,1139,1031,10.45,5.45,39.46,62,4636.67,74.78,109,Pulse Wireless Earbuds,2025-12-13,415.82,162,2.57,11.15
1765636531700,1044,846,10.48,4.05,26.97,42,2745.50,65.37,68,Pulse Wireless Earbuds,2025-12-13,460.62,251,1.84,5.96
1765640131700,951,770,9.41,5.17,28.62,49,3292.40,67.19,93,Pulse Wireless Earbuds,2025-12-13,419.06,178,2.35,7.86
1765643731700,886,738,7.97,4.43,40.51,39,2985.89,76.56,47,Pulse Wireless Earbuds,2025-12-13,423.36,195,2.17,7.05
1765647331700,921,819,8.35,4.34,39.32,40,3083.96,77.10,73,Pulse Wireless Earbuds,2025-12-13,372.55,180,2.07,8.28
1765650931700,895,743,9.11,4.70,25.52,42,2860.37,68.10,56,Pulse Wireless Earbuds,2025-12-13,429.02,172,2.49,6.67
1765654531700,922,849,8.10,3.73,38.05,34,2269.69,66.76,48,Pulse Wireless Earbuds,2025-12-13,416.62,176,2.37,5.45
1765658131700,943,801,9.88,4.33,38.75,41,2547.78,62.14,73,Pulse Wireless Earbuds,2025-12-13,405.99,143,2.84,6.28
1765661731700,1042,870,10.33,5.30,32.14,55,3732.09,67.86,70,Pulse Wireless Earbuds,2025-12-13,463.30,175,2.65,8.06
1765665331700,1119,915,9.50,5.00,28.36,56,3957.24,70.67,76,Pulse Wireless Earbuds,2025-12-13,476.89,200,2.38,8.30
1765668931700,1232,1004,11.46,5.83,35.34,72,5742.83,79.76,113,Pulse Wireless Earbuds,2025-12-13,406.18,195,2.08,14.14
1765672531700,1378,1245,11.55,4.98,40.35,69,5270.75,76.39,130,Pulse Wireless Earbuds,2025-12-14,381.58,196,1.95,13.81
1765676131700,1481,1199,10.63,5.75,33.93,85,6738.06,79.27,147,Pulse Wireless Earbuds,2025-12-14,463.60,257,1.80,14.53
1765679731700,1620,1330,12.22,5.84,33.33,95,7480.65,78.74,143,Pulse Wireless Earbuds,2025-12-14,423.20,210,2.02,17.68
1765683331700,1685,1491,12.09,6.25,42.42,105,6818.20,64.94,155,Pulse Wireless Earbuds,2025-12-14,509.89,228,2.24,13.37
1765686931700,1773,1645,12.39,4.91,31.92,87,6492.74,74.63,130,Pulse Wireless Earbuds,2025-12-14,496.78,204,2.44,13.07
1765690531700,1839,1499,13.82,5.68,33.57,105,8267.89,78.74,182,Pulse Wireless Earbuds,2025-12-14,494.85,271,1.83,16.71
1765694131700,1851,1595,12.17,5.37,42.16,99,7007.14,70.78,167,Pulse Wireless Earbuds,2025-12-14,462.94,175,2.65,15.14
1765697731700,1812,1630,13.80,6.47,35.21,117,7861.78,67.19,197,Pulse Wireless Earbuds,2025-12-14,415.53,173,2.40,18.92
1765701331700,1792,1534,12.90,5.26,29.43,94,6732.55,71.62,143,Pulse Wireless Earbuds,2025-12-14,496.54,186,2.67,13.56
1765704931700,1690,1521,12.65,5.00,32.07,85,6603.10,77.68,134,Pulse Wireless Earbuds,2025-12-14,503.20,238,2.11,13.12
1765708531700,1612,1366,10.62,5.15,31.27,83,5676.39,68.39,108,Pulse Wireless Earbuds,2025-12-14,443.98,189,2.35,12.79
1765712131700,1475,1385,10.02,5.47,28.54,81,5452.23,67.31,125,Pulse Wireless Earbuds,2025-12-14,503.48,220,2.29,10.83
1765715731700,1368,1273,11.88,5.91,39.47,81,5671.09,70.01,134,Pulse Wireless Earbuds,2025-12-14,439.99,177,2.49,12.89
1765719331700,1235,1016,9.60,5.02,27.83,62,4142.01,66.81,85,Pulse Wireless Earbuds,2025-12-14,453.54,251,1.81,9.13
1765722931700,1131,932,10.70,4.73,31.20,53,3656.49,68.99,77,Pulse Wireless Earbuds,2025-12-14,383.22,199,1.93,9.54
