ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,715,644,6.36,2.44,35.23,17,1217.98,71.65,25,Atlas Power Bank,2025-12-12,423.44,151,2.80,2.88
1765564531700,705,646,6.80,3.62,40.23,25,2130.13,85.21,43,Atlas Power Bank,2025-12-12,433.33,203,2.13,4.92
1765568131700,735,641,7.19,2.89,37.51,21,1547.41,73.69,28,Atlas Power Bank,2025-12-12,438.93,214,2.05,3.53
1765571731700,775,681,7.81,2.58,30.75,20,1508.54,75.43,30,Atlas Power Bank,2025-12-12,376.72,145,2.60,4.00
1765575331700,826,765,8.53,3.82,39.51,32,2603.79,81.37,40,Atlas Power Bank,2025-12-12,399.63,179,2.23,6.52
1765578931700,924,795,9.02,3.13,39.24,29,2122.26,73.18,38,Atlas Power Bank,2025-12-12,407.30,164,2.48,5.21
1765582531700,996,828,8.19,4.30,38.86,43,3280.26,76.29,81,Atlas Power Bank,2025-12-12,471.94,237,1.99,6.95
1765586131700,1110,1037,8.78,4.19,34.45,47,3363.33,71.56,88,Atlas Power Bank,2025-12-13,451.49,228,1.98,7.45
1765589731700,1183,986,10.43,3.30,41.62,39,3204.66,82.17,55,Atlas Power Bank,2025-12-13,480.79,196,2.45,6.67
1765593331700,1275,1131,10.02,3.35,45.20,43,3418.67,79.50,55,Atlas Power Bank,2025-12-13,464.80,184,2.53,7.36
1765596931700,1386,1266,9.33,4.69,34.53,65,5190.71,79.86,89,Atlas Power Bank,2025-12-13,494.85,169,2.93,10.49
1765600531700,1414,1233,9.06,3.88,33.27,55,3888.18,70.69,72,Atlas Power Bank,2025-12-13,408.25,154,2.65,9.52
1765604131700,1480,1274,9.75,5.30,39.06,79,5404.88,68.42,129,Atlas Power Bank,2025-12-13,522.96,179,2.92,10.34
1765607731700,1461,1356,11.58,4.21,45.05,61,4261.90,69.87,102,Atlas Power Bank,2025-12-13,471.11,195,2.42,9.05
1765611331700,1471,1254,9.75,5.24,36.70,77,6085.10,79.03,139,Atlas Power Bank,2025-12-13,510.27,253,2.02,11.93
1765614931700,1416,1138,11.49,4.68,42.02,66,4591.91,69.57,121,Atlas Power Bank,2025-12-13,485.47,174,2.79,9.46
1765618531700,1366,1260,11.36,3.64,38.08,50,3651.03,73.02,67,Atlas Power Bank,2025-12-13,486.79,176,2.77,7.50
1765622131700,1291,1207,10.22,3.83,44.63,49,3834.44,78.25,67,Atlas Power Bank,2025-12-13,444.37,176,2.52,8.63
1765625731700,1204,974,7.98,4.21,33.70,51,3837.29,75.24,64,Atlas Power Bank,2025-12-13,465.46,167,2.79,8.24
1765629331700,1117,1035,8.65,3.69,41.03,41,3297.44,80.43,50,Atlas Power Bank,2025-12-13,462.06,238,1.94,7.14
1765632931700,1014,934,7.08,3.39,40.85,34,2386.69,70.20,43,Atlas Power Bank,2025-12-13,441.32,171,2.58,5.41
1765636531700,910,747,7.89,2.91,33.40,26,1813.74,69.76,39,Atlas Power Bank,2025-12-13,382.41,155,2.47,4.74
1765640131700,819,749,5.82,3.61,44.62,30,2530.23,84.34,44,Atlas Power Bank,2025-12-13,423.80,205,2.07,5.97
1765643731700,792,645,5.97,3.78,45.18,30,2568.88,85.63,51,Atlas Power Bank,2025-12-13,452.59,198,2.29,5.68
1765647331700,787,670,6.99,3.02,44.67,24,1845.46,76.89,35,Atlas Power Bank,2025-12-13,364.57,174,2.10,5.06
1765650931700,768,717,8.07,3.79,29.87,29,2322.87,80.10,50,Atlas Power Bank,2025-12-13,359.59,172,2.09,6.46
1765654531700,793,656,6.30,2.74,33.45,22,1499.17,68.14,28,Atlas Power Bank,2025-12-13,376.18,198,1.90,3.99
1765658131700,851,794,8.08,3.19,36.31,27,2187.85,81.03,49,Atlas Power Bank,2025-12-13,444.17,196,2.27,4.93
1765661731700,893,824,6.14,3.67,30.34,33,2409.10,73.00,45,Atlas Power Bank,2025-12-13,444.71,198,2.25,5.42
1765665331700,975,845,8.92,4.42,41.49,43,3031.90,70.51,64,Atlas Power Bank,2025-12-13,384.15,212,1.81,7.89
1765668931700,1102,945,8.19,4.27,38.58,47,3345.84,71.19,66,Atlas Power Bank,2025-12-13,391.82,155,2.53,8.54
1765672531700,1197,1048,8.69,4.04,44.84,48,3569.09,74.36,71,Atlas Power Bank,2025-12-14,452.94,175,2.59,7.88
1765676131700,1322,1252,10.49,3.98,37.42,53,3705.63,69.92,76,Atlas Power Bank,2025-12-14,443.19,242,1.83,8.36
1765679731700,1413,1323,9.82,5.06,42.72,71,5951.05,83.82,134,Atlas Power Bank,2025-12-14,457.66,173,2.65,13.00
1765683331700,1475,1247,8.78,5.07,42.13,75,5919.53,78.93,103,Atlas Power Bank,2025-12-14,515.83,277,1.86,11.48
1765686931700,1540,1420,9.88,4.69,39.31,72,5274.07,73.25,108,Atlas Power Bank,2025-12-14,483.01,204,2.37,10.92
1765690531700,1608,1365,10.08,5.11,40.79,82,5816.77,70.94,149,Atlas Power Bank,2025-12-14,435.10,238,1.83,13.37
1765694131700,1624,1384,11.51,4.57,45.28,74,5808.98,78.50,104,Atlas Power Bank,2025-12-14,457.25,176,2.60,12.70
