ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,712,571,5.87,4.03,34.64,29,1949.48,67.22,52,Nimbus Smart Speaker,2025-12-12,438.86,211,2.08,4.44
1765564531700,696,562,5.82,4.12,35.50,29,2217.80,76.48,48,Nimbus Smart Speaker,2025-12-12,393.18,195,2.02,5.64
1765568131700,727,674,7.39,2.73,31.49,20,1536.71,76.84,25,Nimbus Smart Speaker,2025-12-12,432.66,240,1.80,3.55
1765571731700,759,705,6.30,3.78,43.63,29,2351.68,81.09,39,Nimbus Smart Speaker,2025-12-12,372.39,177,2.10,6.32
1765575331700,820,757,8.76,4.05,44.12,33,2547.88,77.21,53,Nimbus Smart Speaker,2025-12-12,402.14,189,2.13,6.34
1765578931700,884,773,8.73,4.22,42.30,37,2615.25,70.68,56,Nimbus Smart Speaker,2025-12-12,451.01,238,1.89,5.80
1765582531700,981,834,8.75,3.71,43.98,36,2493.65,69.27,66,Nimbus Smart Speaker,2025-12-12,392.35,144,2.72,6.36
1765586131700,1098,1007,7.99,4.05,38.85,45,3500.18,77.78,63,Nimbus Smart Speaker,2025-12-13,459.73,201,2.29,7.61
1765589731700,1175,1106,8.40,4.49,32.45,53,4302.95,81.19,90,Nimbus Smart Speaker,2025-12-13,456.50,161,2.84,9.43
1765593331700,1269,1048,8.82,4.83,32.98,61,4367.63,71.60,107,Nimbus Smart Speaker,2025-12-13,501.03,228,2.20,8.72
1765596931700,1332,1236,11.22,3.57,36.37,48,3550.45,73.97,75,Nimbus Smart Speaker,2025-12-13,461.04,190,2.43,7.70
1765600531700,1413,1204,10.44,3.84,40.88,54,4265.49,78.99,68,Nimbus Smart Speaker,2025-12-13,449.58,183,2.46,9.49
1765604131700,1432,1345,10.73,3.78,40.60,54,3812.02,70.59,80,Nimbus Smart Speaker,2025-12-13,499.11,259,1.93,7.64
1765607731700,1467,1313,9.85,4.96,36.77,73,5270.32,72.20,101,Nimbus Smart Speaker,2025-12-13,434.56,204,2.13,12.13
1765611331700,1432,1354,11.77,3.95,42.63,57,3968.39,69.62,82,Nimbus Smart Speaker,2025-12-13,516.98,187,2.76,7.68
