ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,734,639,7.15,3.11,42.24,23,1501.95,65.30,34,Pulse Wireless Earbuds,2025-12-12,456.98,240,1.90,3.29
1765564531700,688,563,5.93,3.00,38.35,21,1440.42,68.59,38,Pulse Wireless Earbuds,2025-12-12,397.16,207,1.92,3.63
1765568131700,717,581,6.14,2.63,38.15,19,1204.60,63.40,26,Pulse Wireless Earbuds,2025-12-12,426.07,171,2.49,2.83
1765571731700,737,698,6.28,4.18,43.15,31,2148.28,69.30,52,Pulse Wireless Earbuds,2025-12-12,412.85,163,2.53,5.20
1765575331700,796,675,6.12,4.33,44.68,34,2519.17,74.09,63,Pulse Wireless Earbuds,2025-12-12,388.81,141,2.76,6.48
1765578931700,875,795,7.39,3.46,36.57,30,2373.07,79.10,48,Pulse Wireless Earbuds,2025-12-12,405.53,192,2.11,5.85
1765582531700,985,892,9.58,3.31,37.32,33,2269.87,68.78,54,Pulse Wireless Earbuds,2025-12-12,471.69,248,1.90,4.81
1765586131700,1067,913,8.62,3.93,41.56,42,3110.18,74.05,54,Pulse Wireless Earbuds,2025-12-13,391.56,182,2.15,7.94
1765589731700,1183,986,10.09,3.77,38.66,45,3428.23,76.18,76,Pulse Wireless Earbuds,2025-12-13,413.30,188,2.20,8.29
1765593331700,1269,1097,9.82,3.90,47.02,49,3154.21,64.37,77,Pulse Wireless Earbuds,2025-12-13,477.99,159,3.01,6.60
1765596931700,1331,1070,8.70,3.96,41.54,53,3871.46,73.05,64,Pulse Wireless Earbuds,2025-12-13,446.93,170,2.63,8.66
1765600531700,1391,1174,10.01,5.21,44.57,73,5793.23,79.36,126,Pulse Wireless Earbuds,2025-12-13,495.89,174,2.85,11.68
1765604131700,1413,1270,9.38,4.09,46.75,58,4478.03,77.21,75,Pulse Wireless Earbuds,2025-12-13,445.72,171,2.61,10.05
1765607731700,1455,1207,9.86,4.78,44.55,70,4457.57,63.68,119,Pulse Wireless Earbuds,2025-12-13,449.99,231,1.95,9.91
1765611331700,1430,1345,9.66,4.26,47.41,61,4281.90,70.20,89,Pulse Wireless Earbuds,2025-12-13,499.73,248,2.02,8.57
1765614931700,1402,1150,10.93,4.83,46.81,68,4227.97,62.18,118,Pulse Wireless Earbuds,2025-12-13,438.74,196,2.24,9.64
1765618531700,1345,1146,10.41,4.78,34.25,64,4169.67,65.15,118,Pulse Wireless Earbuds,2025-12-13,420.05,148,2.84,9.93
1765622131700,1243,1053,8.36,4.57,37.20,57,3911.76,68.63,107,Pulse Wireless Earbuds,2025-12-13,400.02,166,2.41,9.78
1765625731700,1157,1046,7.94,3.66,38.57,42,3353.66,79.85,70,Pulse Wireless Earbuds,2025-12-13,496.54,271,1.83,6.75
1765629331700,1073,892,7.61,3.61,33.60,39,2571.35,65.93,60,Pulse Wireless Earbuds,2025-12-13,495.00,182,2.72,5.19
1765632931700,961,779,8.35,3.20,40.93,31,2102.99,67.84,42,Pulse Wireless Earbuds,2025-12-13,410.97,146,2.81,5.12
1765636531700,893,750,7.12,2.99,44.01,27,1678.33,62.16,38,Pulse Wireless Earbuds,2025-12-13,486.02,208,2.34,3.45
1765640131700,819,679,6.55,2.86,31.97,23,1531.16,66.57,28,Pulse Wireless Earbuds,2025-12-13,406.98,195,2.09,3.76
1765643731700,733,660,8.37,4.09,41.87,30,2276.37,75.88,37,Pulse Wireless Earbuds,2025-12-13,443.05,177,2.50,5.14
1765647331700,775,728,8.13,3.26,44.70,25,1664.24,66.57,38,Pulse Wireless Earbuds,2025-12-13,454.31,166,2.74,3.66
1765650931700,751,629,5.85,4.01,30.21,30,2083.02,69.43,37,Pulse Wireless Earbuds,2025-12-13,468.81,232,2.02,4.44
1765654531700,790,662,7.54,3.48,29.18,27,2098.93,77.74,40,Pulse Wireless Earbuds,2025-12-13,410.99,181,2.27,5.11
1765658131700,820,685,6.70,4.15,44.76,34,2125.49,62.51,63,Pulse Wireless Earbuds,2025-12-13,421.30,191,2.21,5.05
1765661731700,887,733,7.64,3.72,40.19,33,2470.53,74.86,42,Pulse Wireless Earbuds,2025-12-13,477.44,250,1.91,5.17
1765665331700,965,903,6.62,3.55,40.32,34,2660.73,78.26,42,Pulse Wireless Earbuds,2025-12-13,485.76,198,2.45,5.48
1765668931700,1082,910,8.44,4.45,37.34,48,3380.04,70.42,70,Pulse Wireless Earbuds,2025-12-13,473.59,199,2.38,7.14
1765672531700,1177,1117,9.31,4.17,39.31,49,3426.46,69.93,81,Pulse Wireless Earbuds,2025-12-14,476.99,263,1.81,7.18
1765676131700,1278,1139,9.45,3.62,45.58,46,3287.80,71.47,64,Pulse Wireless Earbuds,2025-12-14,492.93,225,2.19,6.67
1765679731700,1388,1210,10.88,5.07,43.47,70,4523.58,64.62,92,Pulse Wireless Earbuds,2025-12-14,470.09,245,1.92,9.62
1765683331700,1451,1186,11.03,4.77,37.39,69,5260.53,76.24,88,Pulse Wireless Earbuds,2025-12-14,414.41,213,1.95,12.69
1765686931700,1530,1283,9.18,4.02,40.13,61,4821.57,79.04,116,Pulse Wireless Earbuds,2025-12-14,483.21,173,2.79,9.98
1765690531700,1565,1378,11.50,5.03,43.51,79,5579.57,70.63,104,Pulse Wireless Earbuds,2025-12-14,472.64,161,2.94,11.81
1765694131700,1573,1314,10.61,5.08,34.21,80,4998.83,62.49,112,Pulse Wireless Earbuds,2025-12-14,501.65,256,1.96,9.96
1765697731700,1548,1312,10.02,4.08,43.37,63,4667.10,74.08,90,Pulse Wireless Earbuds,2025-12-14,502.56,178,2.82,9.29
1765701331700,1532,1455,11.09,3.59,47.34,55,4146.68,75.39,92,Pulse Wireless Earbuds,2025-12-14,402.61,144,2.80,10.30
1765704931700,1436,1251,9.94,4.94,37.67,71,5334.10,75.13,129,Pulse Wireless Earbuds,2025-12-14,488.33,252,1.94,10.92
1765708531700,1352,1253,9.74,3.89,47.53,53,3498.58,66.01,74,Pulse Wireless Earbuds,2025-12-14,402.18,143,2.81,8.70
1765712131700,1286,1029,10.07,3.68,45.57,47,3315.25,70.54,64,Pulse Wireless Earbuds,2025-12-14,432.66,240,1.80,7.66
1765715731700,1164,1014,7.92,3.10,41.64,36,2652.46,73.68,64,Pulse Wireless Earbuds,2025-12-14,482.23,259,1.86,5.50
1765719331700,1063,1007,8.32,3.68,36.11,39,2738.84,70.23,52,Pulse Wireless Earbuds,2025-12-14,457.45,165,2.77,5.99
1765722931700,968,871,7.25,4.34,42.41,42,3177.95,75.67,70,Pulse Wireless Earbuds,2025-12-14,438.10,175,2.50,7.25
1765726531700,888,814,8.09,2.97,36.01,26,1720.28,66.16,48,Pulse Wireless Earbuds,2025-12-14,373.39,149,2.51,4.61
1765730131700,830,772,7.07,3.09,44.45,26,1870.97,71.96,45,Pulse Wireless Earbuds,2025-12-14,391.19,161,2.43,4.78
1765733731700,801,739,8.26,4.21,44.25,34,2521.94,74.17,41,Pulse Wireless Earbuds,2025-12-14,461.35,191,2.42,5.47
1765737331700,766,642,5.73,2.48,31.48,19,1261.44,66.39,33,Pulse Wireless Earbuds,2025-12-14,411.99,143,2.88,3.06
1765740931700,814,665,6.26,2.61,42.69,21,1576.71,75.08,31,Pulse Wireless Earbuds,2025-12-14,388.97,166,2.34,4.05
1765744531700,850,794,6.44,4.18,33.98,36,2585.19,71.81,46,Pulse Wireless Earbuds,2025-12-14,456.91,181,2.52,5.66
1765748131700,917,804,7.93,2.94,40.62,27,1804.34,66.83,38,Pulse Wireless Earbuds,2025-12-14,368.58,165,2.23,4.90
1765751731700,1001,859,6.32,4.42,32.16,44,3381.51,76.85,53,Pulse Wireless Earbuds,2025-12-14,402.14,149,2.70,8.41
1765755331700,1090,997,8.60,3.30,39.56,36,2554.23,70.95,61,Pulse Wireless Earbuds,2025-12-14,420.62,209,2.01,6.07
1765758931700,1202,1009,9.62,4.32,32.77,52,3400.55,65.40,90,Pulse Wireless Earbuds,2025-12-15,413.95,216,1.92,8.21
1765762531700,1317,1126,8.04,3.27,37.56,43,2919.95,67.91,53,Pulse Wireless Earbuds,2025-12-15,410.24,195,2.10,7.12
1765766131700,1396,1208,9.66,4.23,34.23,59,3876.10,65.70,105,Pulse Wireless Earbuds,2025-12-15,436.29,147,2.97,8.88
1765769731700,1488,1395,11.15,3.67,36.47,55,3935.65,71.56,67,Pulse Wireless Earbuds,2025-12-15,491.70,224,2.20,8.00
1765773331700,1551,1368,10.48,5.12,45.52,79,6218.79,78.72,141,Pulse Wireless Earbuds,2025-12-15,478.79,249,1.92,12.99
1765776931700,1583,1404,9.34,5.02,39.35,80,6169.30,77.12,132,Pulse Wireless Earbuds,2025-12-15,495.07,206,2.40,12.46
1765780531700,1588,1350,11.15,4.49,39.11,71,5447.95,76.73,90,Pulse Wireless Earbuds,2025-12-15,445.40,170,2.62,12.23
1765784131700,1572,1273,9.86,4.82,38.90,76,4844.14,63.74,116,Pulse Wireless Earbuds,2025-12-15,406.94,172,2.37,11.90
1765787731700,1542,1452,10.47,4.39,38.22,68,4613.54,67.85,120,Pulse Wireless Earbuds,2025-12-15,451.72,251,1.80,10.21
1765791331700,1498,1246,9.75,5.04,47.46,76,5194.18,68.34,116,Pulse Wireless Earbuds,2025-12-15,427.35,232,1.84,12.15
1765794931700,1415,1255,9.97,4.73,43.30,67,4965.30,74.11,121,Pulse Wireless Earbuds,2025-12-15,508.18,209,2.43,9.77
1765798531700,1279,1026,9.90,3.28,42.66,42,3091.88,73.62,69,Pulse Wireless Earbuds,2025-12-15,390.10,173,2.25,7.93
1765802131700,1202,1011,9.01,4.45,38.38,53,3691.03,69.64,78,Pulse Wireless Earbuds,2025-12-15,390.50,144,2.71,9.45
1765805731700,1106,1002,9.68,3.29,34.48,36,2774.02,77.06,48,Pulse Wireless Earbuds,2025-12-15,392.60,198,1.98,7.07
1765809331700,970,875,7.00,3.91,39.98,38,3033.67,79.83,48,Pulse Wireless Earbuds,2025-12-15,425.77,193,2.21,7.13
1765812931700,905,796,7.36,4.15,38.22,38,2903.32,76.40,54,Pulse Wireless Earbuds,2025-12-15,382.54,132,2.90,7.59
1765816531700,847,751,6.11,4.18,33.23,35,2490.10,71.15,46,Pulse Wireless Earbuds,2025-12-15,436.89,223,1.96,5.70
1765820131700,732,662,7.92,3.80,38.72,28,2228.28,79.58,45,Pulse Wireless Earbuds,2025-12-15,381.94,144,2.65,5.83
1765823731700,721,620,6.35,3.21,41.32,23,1791.14,77.88,35,Pulse Wireless Earbuds,2025-12-15,448.56,154,2.91,3.99
1765827331700,747,700,6.23,3.93,31.68,29,1845.05,63.62,36,Pulse Wireless Earbuds,2025-12-15,368.35,187,1.97,5.01
1765830931700,801,700,7.48,4.26,38.54,34,2572.93,75.67,60,Pulse Wireless Earbuds,2025-12-15,433.46,211,2.05,5.94
1765834531700,854,788,6.32,3.74,38.71,32,2346.08,73.31,57,Pulse Wireless Earbuds,2025-12-15,394.13,131,3.01,5.95
1765838131700,937,837,8.98,4.23,34.19,40,2774.59,69.36,63,Pulse Wireless Earbuds,2025-12-15,474.74,236,2.01,5.84
1765841731700,1006,840,7.71,3.82,45.28,38,2448.84,64.44,51,Pulse Wireless Earbuds,2025-12-15,377.01,128,2.95,6.50
1765845331700,1109,920,9.86,3.53,39.16,39,2503.22,64.19,49,Pulse Wireless Earbuds,2025-12-16,490.60,173,2.84,5.10
1765848931700,1215,1128,8.69,3.64,42.86,44,3372.30,76.64,62,Pulse Wireless Earbuds,2025-12-16,452.77,248,1.83,7.45
1765852531700,1308,1061,8.35,3.73,35.01,49,3786.81,77.28,72,Pulse Wireless Earbuds,2025-12-16,475.47,238,2.00,7.96
1765856131700,1401,1225,10.52,4.47,41.50,63,3978.49,63.15,98,Pulse Wireless Earbuds,2025-12-16,514.98,201,2.56,7.73
1765859731700,1463,1187,9.39,3.68,47.74,54,3596.49,66.60,97,Pulse Wireless Earbuds,2025-12-16,405.06,207,1.96,8.88
1765863331700,1502,1338,11.73,5.36,44.46,81,6073.89,74.99,104,Pulse Wireless Earbuds,2025-12-16,454.63,233,1.95,13.36
