ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,911,795,9.66,5.90,31.46,54,3980.15,73.71,77,Atlas Power Bank,2025-12-12,447.34,167,2.68,8.90
1765564531700,909,848,11.12,5.29,25.51,48,4039.41,84.15,67,Atlas Power Bank,2025-12-12,429.86,149,2.88,9.40
1765568131700,911,751,11.26,6.02,25.65,55,4629.28,84.17,86,Atlas Power Bank,2025-12-12,452.22,156,2.90,10.24
1765571731700,947,777,10.45,4.75,26.68,45,3733.49,82.97,62,Atlas Power Bank,2025-12-12,456.12,231,1.97,8.19
1765575331700,1019,817,9.29,5.77,32.81,59,4077.75,69.11,102,Atlas Power Bank,2025-12-12,422.01,161,2.62,9.66
1765578931700,1137,1007,11.05,6.13,24.81,70,5483.98,78.34,96,Atlas Power Bank,2025-12-12,370.10,160,2.31,14.82
1765582531700,1242,1011,11.56,4.79,36.19,60,4345.44,72.42,98,Atlas Power Bank,2025-12-12,474.79,206,2.30,9.15
1765586131700,1371,1173,12.79,5.52,35.15,76,6427.82,84.58,113,Atlas Power Bank,2025-12-13,392.61,164,2.39,16.37
1765589731700,1481,1327,13.87,6.02,25.92,89,7120.27,80.00,152,Atlas Power Bank,2025-12-13,454.86,189,2.41,15.65
1765593331700,1597,1313,12.73,5.18,34.67,83,6087.08,73.34,103,Atlas Power Bank,2025-12-13,398.59,159,2.51,15.27
1765596931700,1691,1557,12.60,5.61,33.40,95,7947.59,83.66,143,Atlas Power Bank,2025-12-13,397.88,195,2.04,19.97
1765600531700,1798,1460,13.04,5.54,42.16,100,7058.29,70.58,122,Atlas Power Bank,2025-12-13,480.73,245,1.96,14.68
1765604131700,1812,1588,12.90,6.08,32.39,110,7641.26,69.47,185,Atlas Power Bank,2025-12-13,515.80,242,2.13,14.81
1765607731700,1855,1504,13.99,5.62,41.39,104,7974.25,76.68,154,Atlas Power Bank,2025-12-13,419.35,209,2.01,19.02
1765611331700,1809,1578,14.77,5.84,30.78,106,7604.89,71.74,201,Atlas Power Bank,2025-12-13,498.01,172,2.90,15.27
1765614931700,1775,1443,12.46,5.51,36.47,98,8278.49,84.47,123,Atlas Power Bank,2025-12-13,423.71,144,2.94,19.54
1765618531700,1701,1588,13.33,6.57,34.39,112,8281.61,73.94,198,Atlas Power Bank,2025-12-13,431.82,189,2.28,19.18
1765622131700,1621,1326,13.07,6.48,36.60,105,7757.16,73.88,163,Atlas Power Bank,2025-12-13,485.21,225,2.16,15.99
1765625731700,1474,1237,13.78,6.41,34.11,94,6895.63,73.36,174,Atlas Power Bank,2025-12-13,404.61,142,2.85,17.04
1765629331700,1356,1194,13.25,6.02,26.49,82,6205.45,75.68,122,Atlas Power Bank,2025-12-13,478.36,230,2.08,12.97
1765632931700,1245,1089,12.43,6.26,34.69,78,6024.03,77.23,110,Atlas Power Bank,2025-12-13,455.92,226,2.02,13.21
1765636531700,1131,1057,9.58,6.29,29.73,71,4842.17,68.20,116,Atlas Power Bank,2025-12-13,414.79,168,2.47,11.67
1765640131700,1035,950,9.68,4.70,26.41,49,3859.95,78.77,77,Atlas Power Bank,2025-12-13,398.74,202,1.97,9.68
1765643731700,972,792,11.71,6.02,37.48,59,4336.29,73.50,98,Atlas Power Bank,2025-12-13,412.28,190,2.17,10.52
1765647331700,1003,849,9.31,4.29,35.99,43,3297.06,76.68,54,Atlas Power Bank,2025-12-13,460.71,227,2.03,7.16
1765650931700,961,825,10.28,4.74,23.45,46,3748.64,81.49,57,Atlas Power Bank,2025-12-13,425.08,177,2.40,8.82
1765654531700,984,826,10.03,5.07,27.59,50,4297.10,85.94,85,Atlas Power Bank,2025-12-13,419.71,158,2.66,10.24
1765658131700,1045,866,10.83,5.42,34.99,57,4672.67,81.98,100,Atlas Power Bank,2025-12-13,428.53,203,2.11,10.90
1765661731700,1131,977,11.56,5.02,35.06,57,4731.21,83.00,80,Atlas Power Bank,2025-12-13,451.61,233,1.94,10.48
1765665331700,1244,1079,10.52,5.48,25.37,68,5127.33,75.40,116,Atlas Power Bank,2025-12-13,486.03,198,2.45,10.55
1765668931700,1350,1244,12.43,5.35,25.87,72,5637.59,78.30,98,Atlas Power Bank,2025-12-13,409.64,152,2.69,13.76
1765672531700,1491,1304,12.94,5.68,26.28,85,7196.27,84.66,112,Atlas Power Bank,2025-12-14,465.93,194,2.40,15.44
1765676131700,1616,1295,11.49,6.18,38.75,100,6846.11,68.46,171,Atlas Power Bank,2025-12-14,481.58,226,2.13,14.22
1765679731700,1769,1563,11.78,5.86,41.65,104,8633.49,83.01,135,Atlas Power Bank,2025-12-14,394.50,144,2.74,21.88
1765683331700,1877,1584,14.59,6.86,36.69,129,9124.23,70.73,208,Atlas Power Bank,2025-12-14,445.28,153,2.91,20.49
1765686931700,1925,1599,13.19,6.29,35.15,121,10052.20,83.08,211,Atlas Power Bank,2025-12-14,408.80,163,2.51,24.59
1765690531700,1999,1645,13.46,5.61,30.69,112,9317.37,83.19,166,Atlas Power Bank,2025-12-14,488.15,215,2.27,19.09
1765694131700,2019,1877,12.76,5.52,28.33,111,8748.68,78.82,206,Atlas Power Bank,2025-12-14,468.70,166,2.82,18.67
1765697731700,1993,1620,13.97,5.85,38.45,117,9191.87,78.56,183,Atlas Power Bank,2025-12-14,407.41,192,2.12,22.56
1765701331700,1929,1763,15.15,6.70,37.20,129,10406.91,80.67,207,Atlas Power Bank,2025-12-14,435.08,161,2.70,23.92
1765704931700,1864,1500,14.79,6.34,28.88,118,10062.33,85.27,199,Atlas Power Bank,2025-12-14,410.31,214,1.92,24.52
1765708531700,1748,1560,13.00,5.37,36.19,94,8067.10,85.82,153,Atlas Power Bank,2025-12-14,451.27,173,2.61,17.88
1765712131700,1644,1516,13.91,6.12,30.61,101,7216.90,71.45,190,Atlas Power Bank,2025-12-14,462.01,193,2.39,15.62
1765715731700,1488,1295,13.11,6.35,25.58,94,7797.30,82.95,116,Atlas Power Bank,2025-12-14,434.87,167,2.60,17.93
1765719331700,1355,1146,11.44,5.27,25.27,71,5355.57,75.43,130,Atlas Power Bank,2025-12-14,420.66,154,2.73,12.73
1765722931700,1254,1034,9.70,5.68,39.33,71,5063.61,71.32,100,Atlas Power Bank,2025-12-14,445.99,205,2.18,11.35
1765726531700,1142,939,11.33,4.60,30.28,53,3796.94,71.64,95,Atlas Power Bank,2025-12-14,365.03,159,2.30,10.40
1765730131700,1036,951,9.93,6.04,25.66,63,4302.80,68.30,115,Atlas Power Bank,2025-12-14,422.88,190,2.23,10.17
1765733731700,1001,806,9.35,5.83,24.43,58,4622.84,79.70,93,Atlas Power Bank,2025-12-14,356.82,145,2.46,12.96
1765737331700,998,814,8.65,5.90,33.95,59,4944.21,83.80,83,Atlas Power Bank,2025-12-14,467.72,226,2.07,10.57
1765740931700,1026,831,9.95,5.83,29.25,60,4523.71,75.40,77,Atlas Power Bank,2025-12-14,401.66,184,2.18,11.26
1765744531700,1069,1014,10.54,5.12,24.60,55,3792.42,68.95,80,Atlas Power Bank,2025-12-14,365.11,174,2.10,10.39
1765748131700,1143,1082,9.46,5.64,32.63,64,5420.91,84.70,105,Atlas Power Bank,2025-12-14,371.14,176,2.11,14.61
1765751731700,1281,1061,9.75,5.27,34.44,68,4645.41,68.31,109,Atlas Power Bank,2025-12-14,472.92,249,1.90,9.82
1765755331700,1410,1263,12.28,4.71,40.40,66,5493.90,83.24,105,Atlas Power Bank,2025-12-14,420.91,141,2.99,13.05
1765758931700,1545,1358,11.57,5.13,36.93,79,5510.13,69.75,110,Atlas Power Bank,2025-12-15,395.63,179,2.21,13.93
1765762531700,1678,1381,13.47,5.61,28.12,94,7330.41,77.98,138,Atlas Power Bank,2025-12-15,454.37,228,1.99,16.13
1765766131700,1777,1556,13.55,6.45,31.67,115,9726.45,84.58,213,Atlas Power Bank,2025-12-15,474.49,181,2.62,20.50
1765769731700,1888,1763,14.13,6.67,39.19,126,9778.12,77.60,203,Atlas Power Bank,2025-12-15,484.46,244,1.99,20.18
1765773331700,1970,1576,12.70,6.72,42.41,132,11328.70,85.82,173,Atlas Power Bank,2025-12-15,478.70,241,1.99,23.67
1765776931700,2042,1812,13.17,5.52,31.82,113,8369.24,74.06,141,Atlas Power Bank,2025-12-15,437.00,237,1.84,19.15
1765780531700,2075,1771,14.40,5.63,30.27,117,9604.57,82.09,213,Atlas Power Bank,2025-12-15,454.01,235,1.93,21.15
1765784131700,2052,1744,14.76,6.66,42.28,137,10993.52,80.24,194,Atlas Power Bank,2025-12-15,483.24,189,2.56,22.75
1765787731700,1989,1840,12.96,5.43,29.84,108,9101.90,84.28,165,Atlas Power Bank,2025-12-15,425.91,190,2.24,21.37
1765791331700,1901,1522,13.81,7.01,31.71,133,10252.41,77.09,245,Atlas Power Bank,2025-12-15,426.13,146,2.92,24.06
1765794931700,1800,1631,12.36,5.48,37.17,99,8004.06,80.85,172,Atlas Power Bank,2025-12-15,431.12,182,2.37,18.57
1765798531700,1681,1443,11.89,6.04,30.78,102,7771.74,76.19,172,Atlas Power Bank,2025-12-15,466.33,165,2.83,16.67
1765802131700,1533,1337,13.22,5.06,40.40,78,6218.35,79.72,107,Atlas Power Bank,2025-12-15,466.53,210,2.22,13.33
1765805731700,1387,1209,10.47,5.74,25.38,80,6018.55,75.23,109,Atlas Power Bank,2025-12-15,418.81,189,2.22,14.37
1765809331700,1254,1010,10.24,4.83,31.44,61,4578.24,75.05,83,Atlas Power Bank,2025-12-15,394.77,197,2.00,11.60
1765812931700,1171,1103,10.38,5.57,27.62,65,5418.22,83.36,111,Atlas Power Bank,2025-12-15,456.24,252,1.81,11.88
1765816531700,1087,939,9.22,5.84,25.74,64,5295.19,82.74,107,Atlas Power Bank,2025-12-15,448.62,210,2.14,11.80
1765820131700,962,857,8.91,5.70,37.43,55,4617.37,83.95,69,Atlas Power Bank,2025-12-15,467.03,196,2.38,9.89
1765823731700,950,898,10.32,4.75,25.51,45,3567.20,79.27,55,Atlas Power Bank,2025-12-15,458.06,189,2.42,7.79
1765827331700,974,866,9.19,5.94,27.51,58,4609.80,79.48,88,Atlas Power Bank,2025-12-15,430.88,184,2.34,10.70
1765830931700,1012,907,11.54,4.29,26.18,43,3102.51,72.15,66,Atlas Power Bank,2025-12-15,457.40,196,2.33,6.78
1765834531700,1083,1013,9.37,4.90,34.36,53,4511.71,85.13,74,Atlas Power Bank,2025-12-15,434.57,232,1.87,10.38
1765838131700,1198,1123,11.19,5.87,33.39,70,5162.10,73.74,96,Atlas Power Bank,2025-12-15,442.20,222,1.99,11.67
