ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,890,770,9.05,4.38,26.32,39,2717.91,69.69,74,Nimbus Smart Speaker,2025-12-12,430.25,174,2.47,6.32
1765564531700,877,781,9.26,4.59,25.52,40,2881.35,72.03,64,Nimbus Smart Speaker,2025-12-12,355.08,153,2.32,8.11
1765568131700,923,804,9.82,5.69,25.01,53,4030.05,76.04,94,Nimbus Smart Speaker,2025-12-12,383.24,208,1.84,10.52
1765571731700,935,775,9.69,5.42,24.00,51,4179.49,81.95,75,Nimbus Smart Speaker,2025-12-12,442.50,239,1.85,9.45
1765575331700,1009,921,9.86,6.07,25.11,61,4819.86,79.01,104,Nimbus Smart Speaker,2025-12-12,392.06,187,2.10,12.29
1765578931700,1128,1056,12.45,5.12,27.21,58,4572.49,78.84,109,Nimbus Smart Speaker,2025-12-12,469.50,256,1.83,9.74
1765582531700,1249,1158,12.39,6.17,26.31,77,5866.12,76.18,109,Nimbus Smart Speaker,2025-12-12,439.79,199,2.21,13.34
1765586131700,1347,1254,11.42,5.79,36.34,78,5733.87,73.51,124,Nimbus Smart Speaker,2025-12-13,486.65,242,2.01,11.78
1765589731700,1491,1211,11.26,5.16,40.62,77,6139.68,79.74,123,Nimbus Smart Speaker,2025-12-13,487.85,236,2.07,12.59
1765593331700,1572,1370,12.57,5.60,41.24,88,6004.65,68.23,106,Nimbus Smart Speaker,2025-12-13,405.79,142,2.86,14.80
1765596931700,1672,1527,14.11,5.39,41.56,90,6118.68,67.99,117,Nimbus Smart Speaker,2025-12-13,472.60,257,1.84,12.95
1765600531700,1773,1477,13.00,6.95,35.78,123,8684.32,70.60,194,Nimbus Smart Speaker,2025-12-13,436.71,195,2.24,19.89
1765604131700,1805,1688,13.32,7.16,41.91,129,10487.98,81.30,215,Nimbus Smart Speaker,2025-12-13,484.28,261,1.86,21.66
1765607731700,1806,1680,13.45,7.11,33.77,128,8559.84,66.87,167,Nimbus Smart Speaker,2025-12-13,485.85,216,2.25,17.62
1765611331700,1790,1589,12.94,7.00,32.40,125,10165.82,81.33,154,Nimbus Smart Speaker,2025-12-13,408.15,138,2.96,24.91
1765614931700,1755,1480,13.86,5.67,40.58,100,7402.80,74.03,126,Nimbus Smart Speaker,2025-12-13,418.55,203,2.06,17.69
1765618531700,1670,1429,14.53,6.07,28.86,101,7490.32,74.16,140,Nimbus Smart Speaker,2025-12-13,446.20,208,2.15,16.79
1765622131700,1592,1477,13.36,5.86,38.17,93,6845.28,73.61,165,Nimbus Smart Speaker,2025-12-13,416.65,156,2.67,16.43
1765625731700,1482,1333,12.09,6.62,32.06,98,7283.17,74.32,124,Nimbus Smart Speaker,2025-12-13,506.40,243,2.08,14.38
1765629331700,1355,1255,13.20,4.84,40.13,66,4561.19,69.11,117,Nimbus Smart Speaker,2025-12-13,458.21,243,1.89,9.95
1765632931700,1214,1078,12.43,5.52,29.59,67,4902.90,73.18,88,Nimbus Smart Speaker,2025-12-13,488.30,196,2.49,10.04
1765636531700,1130,1042,11.65,6.27,35.35,71,5722.21,80.59,114,Nimbus Smart Speaker,2025-12-13,459.93,185,2.49,12.44
1765640131700,1040,896,10.91,4.62,34.23,48,3580.10,74.59,78,Nimbus Smart Speaker,2025-12-13,438.83,172,2.55,8.16
1765643731700,954,870,10.16,4.34,25.96,41,2795.77,68.19,77,Nimbus Smart Speaker,2025-12-13,477.91,226,2.11,5.85
1765647331700,988,838,11.45,5.33,35.95,53,3821.00,72.09,84,Nimbus Smart Speaker,2025-12-13,449.00,196,2.29,8.51
1765650931700,961,863,9.06,5.99,37.67,58,4642.32,80.04,91,Nimbus Smart Speaker,2025-12-13,470.50,225,2.09,9.87
1765654531700,997,937,11.31,4.31,36.24,43,3010.32,70.01,71,Nimbus Smart Speaker,2025-12-13,373.22,180,2.07,8.07
1765658131700,1027,875,9.42,4.39,27.00,45,3180.77,70.68,81,Nimbus Smart Speaker,2025-12-13,442.24,198,2.23,7.19
1765661731700,1100,980,10.92,4.84,26.81,53,3793.97,71.58,96,Nimbus Smart Speaker,2025-12-13,405.96,148,2.74,9.35
1765665331700,1206,996,10.68,6.13,25.10,74,5833.95,78.84,125,Nimbus Smart Speaker,2025-12-13,391.86,180,2.18,14.89
1765668931700,1366,1247,11.26,5.19,37.89,71,5275.82,74.31,89,Nimbus Smart Speaker,2025-12-13,380.28,127,2.99,13.87
1765672531700,1469,1370,12.09,5.40,39.26,79,5550.56,70.26,104,Nimbus Smart Speaker,2025-12-14,444.10,166,2.68,12.50
1765676131700,1622,1507,12.59,5.34,29.33,87,6255.51,71.90,163,Nimbus Smart Speaker,2025-12-14,466.68,250,1.87,13.40
