ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,897,754,10.33,4.84,30.86,43,3068.70,71.37,64,Pulse Wireless Earbuds,2025-12-12,448.51,213,2.11,6.84
1765564531700,866,785,11.30,4.32,30.31,37,2921.82,78.97,45,Pulse Wireless Earbuds,2025-12-12,356.96,121,2.95,8.19
1765568131700,897,728,11.13,5.33,38.92,48,3337.69,69.54,80,Pulse Wireless Earbuds,2025-12-12,423.74,186,2.28,7.88
1765571731700,941,884,11.65,5.33,26.97,50,3199.48,63.99,69,Pulse Wireless Earbuds,2025-12-12,363.63,190,1.91,8.80
1765575331700,1022,883,10.66,5.89,32.01,60,4638.04,77.30,104,Pulse Wireless Earbuds,2025-12-12,412.98,145,2.85,11.23
1765578931700,1126,954,10.75,5.88,31.15,66,4809.00,72.86,116,Pulse Wireless Earbuds,2025-12-12,438.92,194,2.26,10.96
1765582531700,1206,1100,10.10,6.42,28.30,77,5754.39,74.73,105,Pulse Wireless Earbuds,2025-12-12,428.53,186,2.30,13.43
1765586131700,1356,1121,10.84,4.87,31.67,66,4747.70,71.93,90,Pulse Wireless Earbuds,2025-12-13,422.05,200,2.11,11.25
1765589731700,1445,1246,13.05,6.41,38.66,93,6343.02,68.20,136,Pulse Wireless Earbuds,2025-12-13,459.61,185,2.48,13.80
1765593331700,1564,1365,12.97,5.85,41.67,91,6523.34,71.69,137,Pulse Wireless Earbuds,2025-12-13,454.40,177,2.57,14.36
1765596931700,1652,1520,14.23,6.16,33.33,102,8140.10,79.80,187,Pulse Wireless Earbuds,2025-12-13,434.75,201,2.16,18.72
1765600531700,1731,1399,14.88,6.71,37.05,116,7448.41,64.21,154,Pulse Wireless Earbuds,2025-12-13,450.30,192,2.35,16.54
1765604131700,1771,1428,15.39,7.09,37.05,126,9754.83,77.42,169,Pulse Wireless Earbuds,2025-12-13,438.12,231,1.90,22.27
1765607731700,1785,1600,15.22,7.08,42.85,126,8905.69,70.68,164,Pulse Wireless Earbuds,2025-12-13,458.76,243,1.89,19.41
1765611331700,1806,1590,14.61,7.04,41.11,127,9665.20,76.10,160,Pulse Wireless Earbuds,2025-12-13,483.28,234,2.07,20.00
1765614931700,1758,1632,12.30,5.87,40.52,103,7541.91,73.22,154,Pulse Wireless Earbuds,2025-12-13,439.88,175,2.51,17.15
1765618531700,1675,1579,13.28,5.94,29.73,100,7424.55,74.25,172,Pulse Wireless Earbuds,2025-12-13,442.14,162,2.73,16.79
1765622131700,1563,1376,12.31,6.76,40.36,106,7847.45,74.03,142,Pulse Wireless Earbuds,2025-12-13,509.77,207,2.46,15.39
1765625731700,1446,1349,11.03,5.78,38.90,84,6021.20,71.68,150,Pulse Wireless Earbuds,2025-12-13,468.39,222,2.11,12.86
1765629331700,1335,1130,11.44,6.38,30.69,85,5689.16,66.93,151,Pulse Wireless Earbuds,2025-12-13,396.95,201,1.97,14.33
1765632931700,1238,1107,12.55,4.98,27.48,62,4653.30,75.05,116,Pulse Wireless Earbuds,2025-12-13,470.79,220,2.14,9.88
1765636531700,1120,1045,9.88,6.06,32.01,68,4376.21,64.36,82,Pulse Wireless Earbuds,2025-12-13,422.34,165,2.56,10.36
1765640131700,1003,915,9.82,5.95,28.91,60,4155.98,69.27,92,Pulse Wireless Earbuds,2025-12-13,469.92,257,1.83,8.84
1765643731700,949,871,10.07,6.01,23.40,57,4355.07,76.40,107,Pulse Wireless Earbuds,2025-12-13,413.58,168,2.46,10.53
1765647331700,966,790,10.92,4.51,34.69,44,2970.80,67.52,62,Pulse Wireless Earbuds,2025-12-13,462.22,169,2.74,6.43
1765650931700,960,805,10.66,4.85,24.37,47,3361.93,71.53,59,Pulse Wireless Earbuds,2025-12-13,448.64,212,2.12,7.49
1765654531700,980,793,10.44,5.12,24.94,50,3397.21,67.94,79,Pulse Wireless Earbuds,2025-12-13,379.89,183,2.08,8.94
1765658131700,1032,865,11.40,5.60,29.36,58,3684.30,63.52,85,Pulse Wireless Earbuds,2025-12-13,390.21,153,2.55,9.44
1765661731700,1094,990,11.54,5.14,33.34,56,4461.13,79.66,102,Pulse Wireless Earbuds,2025-12-13,476.88,241,1.98,9.35
1765665331700,1221,1038,11.48,5.78,28.99,71,4641.55,65.37,121,Pulse Wireless Earbuds,2025-12-13,368.13,186,1.98,12.61
1765668931700,1328,1216,11.76,5.85,32.70,78,5890.48,75.52,132,Pulse Wireless Earbuds,2025-12-13,444.76,175,2.54,13.24
1765672531700,1444,1262,11.07,5.72,27.84,83,5965.82,71.88,156,Pulse Wireless Earbuds,2025-12-14,441.48,229,1.93,13.51
1765676131700,1591,1504,11.55,5.25,35.35,84,5738.03,68.31,159,Pulse Wireless Earbuds,2025-12-14,487.09,208,2.34,11.78
1765679731700,1732,1402,11.61,6.16,39.44,107,8356.39,78.10,200,Pulse Wireless Earbuds,2025-12-14,417.66,212,1.97,20.01
1765683331700,1810,1524,14.64,6.29,33.53,114,7170.78,62.90,198,Pulse Wireless Earbuds,2025-12-14,472.45,238,1.99,15.18
1765686931700,1907,1544,13.92,5.58,42.57,106,8077.55,76.20,137,Pulse Wireless Earbuds,2025-12-14,458.27,194,2.36,17.63
1765690531700,1944,1566,15.33,7.18,38.22,140,10906.60,77.90,247,Pulse Wireless Earbuds,2025-12-14,442.56,233,1.90,24.64
1765694131700,1968,1716,15.25,7.14,37.58,141,9063.89,64.28,253,Pulse Wireless Earbuds,2025-12-14,465.46,252,1.85,19.47
1765697731700,1941,1818,12.71,6.12,39.49,119,8078.59,67.89,150,Pulse Wireless Earbuds,2025-12-14,444.38,230,1.93,18.18
1765701331700,1890,1623,12.88,5.35,37.97,101,6609.68,65.44,181,Pulse Wireless Earbuds,2025-12-14,505.43,197,2.57,13.08
1765704931700,1827,1496,12.58,6.52,35.86,119,9121.22,76.65,207,Pulse Wireless Earbuds,2025-12-14,399.01,192,2.08,22.86
1765708531700,1698,1501,14.42,6.47,29.54,110,7464.02,67.85,136,Pulse Wireless Earbuds,2025-12-14,496.10,191,2.60,15.05
1765712131700,1604,1457,12.51,5.09,27.06,82,5923.11,72.23,154,Pulse Wireless Earbuds,2025-12-14,478.77,259,1.85,12.37
1765715731700,1468,1378,12.84,6.11,37.05,90,6509.84,72.33,157,Pulse Wireless Earbuds,2025-12-14,430.59,161,2.67,15.12
1765719331700,1328,1142,12.51,6.44,24.95,85,6094.79,71.70,121,Pulse Wireless Earbuds,2025-12-14,426.00,157,2.71,14.31
1765722931700,1193,1026,11.08,5.32,36.93,63,4906.54,77.88,105,Pulse Wireless Earbuds,2025-12-14,409.65,201,2.04,11.98
1765726531700,1115,1017,10.79,5.09,38.68,57,4241.04,74.40,82,Pulse Wireless Earbuds,2025-12-14,429.43,222,1.93,9.88
1765730131700,1029,929,11.76,5.28,23.29,54,3649.62,67.59,92,Pulse Wireless Earbuds,2025-12-14,473.57,248,1.91,7.71
1765733731700,988,923,10.81,4.38,23.51,43,2993.44,69.61,61,Pulse Wireless Earbuds,2025-12-14,433.93,177,2.45,6.90
1765737331700,984,926,11.40,5.34,23.60,53,3879.65,73.20,89,Pulse Wireless Earbuds,2025-12-14,405.76,220,1.84,9.56
1765740931700,993,813,9.87,4.25,39.01,42,3041.72,72.42,74,Pulse Wireless Earbuds,2025-12-14,464.56,176,2.64,6.55
1765744531700,1045,970,10.51,5.95,34.10,62,4234.86,68.30,86,Pulse Wireless Earbuds,2025-12-14,413.32,196,2.11,10.25
1765748131700,1118,1021,11.77,5.47,36.64,61,4754.42,77.94,115,Pulse Wireless Earbuds,2025-12-14,450.55,183,2.46,10.55
1765751731700,1235,1024,10.58,5.95,29.08,74,4918.84,66.47,93,Pulse Wireless Earbuds,2025-12-14,474.58,213,2.23,10.36
1765755331700,1344,1117,10.12,5.91,35.30,79,6255.88,79.19,124,Pulse Wireless Earbuds,2025-12-14,489.48,163,3.00,12.78
1765758931700,1479,1318,10.56,5.91,37.53,87,5506.64,63.29,134,Pulse Wireless Earbuds,2025-12-15,473.94,209,2.27,11.62
