ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,630,574,4.52,2.00,39.57,13,890.63,68.51,23,Atlas Power Bank,2025-12-12,436.97,174,2.51,2.04
1765564531700,607,540,5.18,1.56,36.08,9,680.80,75.64,15,Atlas Power Bank,2025-12-12,448.70,240,1.87,1.52
1765568131700,611,561,4.48,2.77,33.33,17,1243.85,73.17,31,Atlas Power Bank,2025-12-12,465.78,189,2.46,2.67
1765571731700,646,548,5.87,2.52,33.87,16,1357.69,84.86,21,Atlas Power Bank,2025-12-12,374.71,180,2.08,3.62
1765575331700,715,596,3.91,2.12,47.48,15,1200.43,80.03,28,Atlas Power Bank,2025-12-12,383.27,207,1.85,3.13
1765578931700,764,686,4.25,1.70,37.08,13,1096.21,84.32,25,Atlas Power Bank,2025-12-12,428.61,235,1.82,2.56
1765582531700,848,746,6.60,2.01,46.84,17,1271.15,74.77,24,Atlas Power Bank,2025-12-12,454.76,162,2.81,2.80
1765586131700,936,882,7.64,2.70,39.61,25,2064.05,82.56,37,Atlas Power Bank,2025-12-13,479.99,252,1.90,4.30
1765589731700,1014,854,6.31,3.50,43.48,36,2898.35,80.51,55,Atlas Power Bank,2025-12-13,457.08,235,1.95,6.34
1765593331700,1066,901,7.03,2.39,44.08,25,2040.87,81.63,33,Atlas Power Bank,2025-12-13,507.02,254,2.00,4.03
1765596931700,1126,922,9.06,3.98,40.62,45,3661.83,81.37,57,Atlas Power Bank,2025-12-13,497.29,270,1.84,7.36
1765600531700,1208,1044,8.24,3.66,46.09,44,3589.75,81.59,68,Atlas Power Bank,2025-12-13,440.51,171,2.58,8.15
1765604131700,1216,992,8.79,3.69,51.02,45,3695.00,82.11,82,Atlas Power Bank,2025-12-13,473.15,190,2.49,7.81
1765607731700,1232,1099,8.82,3.76,50.07,46,3156.18,68.61,58,Atlas Power Bank,2025-12-13,434.47,215,2.02,7.26
1765611331700,1212,1151,9.63,4.17,38.19,51,4080.82,80.02,71,Atlas Power Bank,2025-12-13,405.65,200,2.03,10.06
1765614931700,1188,1123,8.73,2.55,46.69,30,2152.68,71.76,42,Atlas Power Bank,2025-12-13,436.95,219,2.00,4.93
1765618531700,1128,1030,8.38,2.30,50.49,26,2031.32,78.13,32,Atlas Power Bank,2025-12-13,450.51,243,1.85,4.51
1765622131700,1087,908,7.13,3.79,39.66,41,3000.86,73.19,51,Atlas Power Bank,2025-12-13,414.93,159,2.61,7.23
1765625731700,991,906,8.41,2.88,48.92,29,2050.25,70.70,48,Atlas Power Bank,2025-12-13,493.96,196,2.52,4.15
1765629331700,918,770,5.04,2.36,44.68,22,1677.18,76.24,40,Atlas Power Bank,2025-12-13,452.09,199,2.27,3.71
1765632931700,855,725,6.41,2.36,36.56,20,1406.67,70.33,35,Atlas Power Bank,2025-12-13,427.39,190,2.25,3.29
1765636531700,768,702,4.88,3.12,49.76,24,1950.98,81.29,42,Atlas Power Bank,2025-12-13,485.02,189,2.57,4.02
1765640131700,687,553,6.52,3.04,37.27,21,1528.35,72.78,40,Atlas Power Bank,2025-12-13,480.41,237,2.03,3.18
1765643731700,633,571,3.69,1.47,42.13,9,764.52,84.95,14,Atlas Power Bank,2025-12-13,372.90,201,1.86,2.05
1765647331700,684,620,4.28,1.44,35.24,10,731.09,73.11,13,Atlas Power Bank,2025-12-13,363.17,172,2.11,2.01
1765650931700,670,598,5.66,2.35,42.67,16,1110.71,69.42,19,Atlas Power Bank,2025-12-13,439.78,195,2.26,2.53
1765654531700,673,564,3.53,1.81,43.51,12,900.09,75.01,21,Atlas Power Bank,2025-12-13,369.87,149,2.48,2.43
1765658131700,714,642,4.27,2.36,36.70,17,1227.84,72.23,30,Atlas Power Bank,2025-12-13,442.73,151,2.93,2.77
1765661731700,769,653,5.45,1.51,41.98,12,1007.65,83.97,18,Atlas Power Bank,2025-12-13,413.79,225,1.84,2.44
1765665331700,843,748,6.43,2.68,39.67,23,1659.92,72.17,37,Atlas Power Bank,2025-12-13,427.64,209,2.05,3.88
1765668931700,911,737,4.91,3.44,35.81,31,2529.66,81.60,47,Atlas Power Bank,2025-12-13,439.57,213,2.06,5.75
1765672531700,1008,877,7.05,2.88,36.42,29,2313.13,79.76,36,Atlas Power Bank,2025-12-14,479.24,192,2.50,4.83
1765676131700,1104,1048,6.88,2.97,44.38,33,2430.40,73.65,52,Atlas Power Bank,2025-12-14,418.52,219,1.91,5.81
1765679731700,1166,1043,7.41,2.76,51.20,32,2602.70,81.33,53,Atlas Power Bank,2025-12-14,447.41,193,2.32,5.82
1765683331700,1263,1049,8.88,3.47,50.91,44,3190.13,72.50,78,Atlas Power Bank,2025-12-14,480.30,165,2.91,6.64
1765686931700,1312,1162,8.74,2.76,50.09,36,2636.86,73.25,63,Atlas Power Bank,2025-12-14,459.50,198,2.32,5.74
1765690531700,1326,1151,9.21,3.47,43.38,46,3470.16,75.44,57,Atlas Power Bank,2025-12-14,417.31,144,2.90,8.32
1765694131700,1351,1089,8.86,3.80,44.22,51,3788.21,74.28,78,Atlas Power Bank,2025-12-14,423.76,145,2.92,8.94
1765697731700,1335,1116,7.73,3.12,49.21,42,3237.75,77.09,63,Atlas Power Bank,2025-12-14,408.10,201,2.03,7.93
