ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,613,545,3.28,1.52,36.46,9,590.08,65.56,15,Nimbus Smart Speaker,2025-12-12,464.15,218,2.13,1.27
1765564531700,607,559,4.61,1.78,45.60,11,778.17,70.74,14,Nimbus Smart Speaker,2025-12-12,462.82,189,2.45,1.68
1765568131700,595,484,4.42,2.37,47.75,14,1109.98,79.28,23,Nimbus Smart Speaker,2025-12-12,359.97,165,2.18,3.08
1765571731700,647,568,5.27,1.73,45.59,11,895.49,81.41,14,Nimbus Smart Speaker,2025-12-12,451.57,152,2.97,1.98
1765575331700,685,644,5.52,2.88,35.33,20,1301.25,65.06,25,Nimbus Smart Speaker,2025-12-12,455.09,246,1.85,2.86
1765578931700,743,606,6.72,2.00,36.77,15,1216.12,81.07,20,Nimbus Smart Speaker,2025-12-12,386.95,161,2.40,3.14
1765582531700,839,705,6.20,2.35,49.51,20,1477.01,73.85,27,Nimbus Smart Speaker,2025-12-12,403.73,186,2.17,3.66
1765586131700,891,809,6.17,3.34,40.85,30,1957.97,65.27,39,Nimbus Smart Speaker,2025-12-13,419.78,177,2.37,4.66
1765589731700,996,912,8.29,2.55,39.03,25,1746.70,69.87,43,Nimbus Smart Speaker,2025-12-13,455.98,175,2.61,3.83
1765593331700,1059,886,6.24,2.57,51.55,27,2064.77,76.47,44,Nimbus Smart Speaker,2025-12-13,499.57,256,1.95,4.13
1765596931700,1135,1060,8.27,2.74,46.31,31,2309.60,74.50,55,Nimbus Smart Speaker,2025-12-13,512.53,239,2.14,4.51
1765600531700,1189,1043,6.90,2.98,52.43,35,2763.23,78.95,60,Nimbus Smart Speaker,2025-12-13,520.06,208,2.50,5.31
1765604131700,1217,1092,7.51,2.70,46.11,33,2203.64,66.78,63,Nimbus Smart Speaker,2025-12-13,443.82,175,2.54,4.97
1765607731700,1218,1115,9.77,2.89,41.31,35,2626.54,75.04,58,Nimbus Smart Speaker,2025-12-13,413.54,212,1.95,6.35
1765611331700,1187,1065,8.35,2.39,41.64,28,1878.20,67.08,49,Nimbus Smart Speaker,2025-12-13,420.11,144,2.92,4.47
1765614931700,1158,1095,9.49,3.22,42.83,37,2597.23,70.20,48,Nimbus Smart Speaker,2025-12-13,485.14,199,2.44,5.35
1765618531700,1108,970,8.09,3.75,44.23,42,3319.09,79.03,59,Nimbus Smart Speaker,2025-12-13,419.06,179,2.34,7.92
1765622131700,1068,857,7.81,3.26,46.64,35,2630.95,75.17,51,Nimbus Smart Speaker,2025-12-13,459.14,224,2.05,5.73
1765625731700,984,922,8.23,3.31,48.91,33,2418.56,73.29,58,Nimbus Smart Speaker,2025-12-13,465.77,252,1.85,5.19
1765629331700,906,838,5.72,3.27,45.92,30,1957.11,65.24,47,Nimbus Smart Speaker,2025-12-13,435.50,221,1.97,4.49
