ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,591,489,4.38,1.58,34.47,9,686.63,76.29,13,Pulse Wireless Earbuds,2025-12-12,389.18,157,2.48,1.76
1765564531700,598,498,3.48,2.78,42.57,17,1211.37,71.26,23,Pulse Wireless Earbuds,2025-12-12,471.18,225,2.09,2.57
1765568131700,597,487,3.16,2.59,37.06,15,1058.12,70.54,26,Pulse Wireless Earbuds,2025-12-12,359.68,143,2.52,2.94
1765571731700,617,548,5.50,2.90,45.77,18,1389.21,77.18,27,Pulse Wireless Earbuds,2025-12-12,461.18,249,1.85,3.01
1765575331700,669,580,5.53,1.42,47.62,10,645.15,64.52,19,Pulse Wireless Earbuds,2025-12-12,432.90,179,2.42,1.49
1765578931700,755,606,4.24,2.41,35.99,18,1228.04,68.22,26,Pulse Wireless Earbuds,2025-12-12,410.24,172,2.39,2.99
1765582531700,831,681,6.50,2.89,35.71,24,1730.49,72.10,33,Pulse Wireless Earbuds,2025-12-12,403.61,222,1.82,4.29
1765586131700,907,743,7.85,3.21,43.14,29,2046.66,70.57,42,Pulse Wireless Earbuds,2025-12-13,489.05,190,2.57,4.18
1765589731700,958,821,7.62,2.79,42.80,27,1936.35,71.72,51,Pulse Wireless Earbuds,2025-12-13,390.32,169,2.31,4.96
1765593331700,1033,966,8.52,2.69,39.27,28,1769.23,63.19,42,Pulse Wireless Earbuds,2025-12-13,486.78,199,2.45,3.63
1765596931700,1107,952,8.00,2.29,37.59,25,1569.69,62.79,43,Pulse Wireless Earbuds,2025-12-13,484.90,208,2.33,3.24
1765600531700,1145,1004,8.71,2.75,40.66,31,2112.54,68.15,55,Pulse Wireless Earbuds,2025-12-13,484.35,178,2.72,4.36
1765604131700,1179,1008,7.11,2.86,40.81,34,2538.65,74.67,57,Pulse Wireless Earbuds,2025-12-13,417.82,210,1.99,6.08
1765607731700,1214,1035,9.69,3.97,44.41,48,3011.77,62.75,84,Pulse Wireless Earbuds,2025-12-13,461.60,159,2.90,6.52
1765611331700,1186,1105,8.66,2.93,42.49,35,2564.76,73.28,53,Pulse Wireless Earbuds,2025-12-13,496.35,225,2.21,5.17
1765614931700,1143,1056,7.88,2.82,41.47,32,2422.29,75.70,50,Pulse Wireless Earbuds,2025-12-13,514.87,236,2.18,4.70
1765618531700,1104,1008,6.64,2.51,49.69,28,2150.52,76.80,40,Pulse Wireless Earbuds,2025-12-13,438.79,174,2.52,4.90
1765622131700,1029,964,7.28,2.71,38.46,28,2052.33,73.30,47,Pulse Wireless Earbuds,2025-12-13,441.05,244,1.81,4.65
1765625731700,953,833,6.00,3.35,37.82,32,2228.28,69.63,55,Pulse Wireless Earbuds,2025-12-13,497.61,241,2.06,4.48
1765629331700,892,840,5.32,3.54,47.16,32,2407.75,75.24,45,Pulse Wireless Earbuds,2025-12-13,468.44,219,2.14,5.14
1765632931700,820,660,6.99,2.60,39.47,21,1594.28,75.92,32,Pulse Wireless Earbuds,2025-12-13,400.60,211,1.90,3.98
1765636531700,720,621,6.86,1.53,49.84,11,824.91,74.99,17,Pulse Wireless Earbuds,2025-12-13,421.70,209,2.02,1.96
1765640131700,680,646,3.59,1.40,41.77,10,640.74,64.07,14,Pulse Wireless Earbuds,2025-12-13,409.49,141,2.90,1.56
1765643731700,608,557,5.83,2.40,46.21,15,1082.27,72.15,24,Pulse Wireless Earbuds,2025-12-13,412.62,166,2.49,2.62
1765647331700,663,570,5.39,1.63,41.79,11,786.73,71.52,20,Pulse Wireless Earbuds,2025-12-13,371.32,132,2.81,2.12
1765650931700,620,549,5.24,1.37,45.63,8,508.12,63.52,15,Pulse Wireless Earbuds,2025-12-13,445.94,158,2.82,1.14
1765654531700,658,565,5.79,1.87,45.23,12,937.12,78.09,19,Pulse Wireless Earbuds,2025-12-13,463.85,197,2.35,2.02
1765658131700,685,612,3.31,2.50,39.03,17,1334.57,78.50,29,Pulse Wireless Earbuds,2025-12-13,402.85,223,1.81,3.31
1765661731700,735,642,6.22,1.99,45.76,15,1131.82,75.45,24,Pulse Wireless Earbuds,2025-12-13,462.10,191,2.42,2.45
1765665331700,786,638,6.40,2.57,35.65,20,1506.82,75.34,36,Pulse Wireless Earbuds,2025-12-13,411.93,182,2.26,3.66
1765668931700,895,830,5.41,2.20,36.42,20,1570.78,78.54,29,Pulse Wireless Earbuds,2025-12-13,464.42,203,2.29,3.38
1765672531700,955,783,6.99,1.99,37.67,19,1278.15,67.27,34,Pulse Wireless Earbuds,2025-12-14,419.83,172,2.44,3.04
1765676131700,1075,963,7.86,3.47,43.82,37,2806.42,75.85,47,Pulse Wireless Earbuds,2025-12-14,439.03,213,2.06,6.39
1765679731700,1150,934,8.65,2.96,40.75,34,2165.46,63.69,62,Pulse Wireless Earbuds,2025-12-14,477.37,252,1.89,4.54
1765683331700,1215,1109,8.86,3.23,40.82,39,2649.71,67.94,59,Pulse Wireless Earbuds,2025-12-14,409.21,205,2.00,6.48
1765686931700,1263,1169,6.80,3.58,45.49,45,3368.92,74.86,79,Pulse Wireless Earbuds,2025-12-14,403.50,173,2.33,8.35
1765690531700,1312,1094,7.00,3.47,52.92,46,3020.11,65.65,57,Pulse Wireless Earbuds,2025-12-14,521.57,226,2.31,5.79
1765694131700,1297,1150,9.20,4.13,48.68,54,3770.05,69.82,95,Pulse Wireless Earbuds,2025-12-14,452.84,159,2.85,8.33
1765697731700,1294,1198,8.23,2.86,39.86,37,2517.47,68.04,68,Pulse Wireless Earbuds,2025-12-14,456.08,166,2.75,5.52
1765701331700,1272,1076,8.05,2.48,51.61,32,2536.54,79.27,50,Pulse Wireless Earbuds,2025-12-14,487.83,207,2.36,5.20
1765704931700,1189,1110,6.75,3.75,49.25,45,3432.13,76.27,71,Pulse Wireless Earbuds,2025-12-14,498.19,171,2.91,6.89
1765708531700,1149,1028,6.87,2.54,46.17,29,1888.55,65.12,42,Pulse Wireless Earbuds,2025-12-14,482.73,171,2.82,3.91
1765712131700,1046,894,6.12,3.55,41.05,37,2578.82,69.70,50,Pulse Wireless Earbuds,2025-12-14,483.82,203,2.38,5.33
1765715731700,989,861,6.43,1.85,40.86,18,1403.06,77.95,27,Pulse Wireless Earbuds,2025-12-14,421.04,207,2.03,3.33
1765719331700,896,796,5.26,2.27,47.73,20,1419.49,70.97,29,Pulse Wireless Earbuds,2025-12-14,425.37,153,2.78,3.34
1765722931700,818,771,4.79,1.92,39.69,16,1049.89,65.62,22,Pulse Wireless Earbuds,2025-12-14,395.57,151,2.62,2.65
1765726531700,724,680,6.13,2.46,39.74,18,1350.02,75.00,25,Pulse Wireless Earbuds,2025-12-14,369.26,177,2.09,3.66
1765730131700,688,603,6.07,1.99,47.37,14,931.40,66.53,26,Pulse Wireless Earbuds,2025-12-14,427.75,218,1.96,2.18
1765733731700,673,627,3.35,2.24,43.54,15,1003.71,66.91,23,Pulse Wireless Earbuds,2025-12-14,429.47,162,2.65,2.34
1765737331700,647,551,4.82,2.08,34.87,13,930.54,71.58,23,Pulse Wireless Earbuds,2025-12-14,360.64,149,2.42,2.58
1765740931700,662,554,3.32,2.96,33.89,20,1409.25,70.46,29,Pulse Wireless Earbuds,2025-12-14,385.95,177,2.18,3.65
1765744531700,714,642,4.50,2.44,34.67,17,1355.01,79.71,30,Pulse Wireless Earbuds,2025-12-14,380.88,191,1.99,3.56
1765748131700,736,655,5.61,1.46,43.44,11,744.59,67.69,14,Pulse Wireless Earbuds,2025-12-14,450.28,178,2.53,1.65
1765751731700,840,766,6.92,3.14,34.48,26,1935.84,74.46,33,Pulse Wireless Earbuds,2025-12-14,377.10,131,2.88,5.13
1765755331700,908,751,6.52,2.40,41.91,22,1372.43,62.38,29,Pulse Wireless Earbuds,2025-12-14,400.55,161,2.49,3.43
