ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,16.67,4.72,93.34,297.59,4.39,99.31,112.51
1765564531700,16.61,5.64,92.87,297.57,4.23,99.03,113.12
1765568131700,16.00,4.26,92.38,297.55,4.29,99.49,113.50
1765571731700,16.39,8.88,92.26,297.65,4.32,99.94,113.00
1765575331700,15.85,4.52,92.72,297.63,4.32,99.08,112.99
1765578931700,16.54,7.90,93.36,297.03,4.31,100.11,112.23
1765582531700,16.53,4.20,93.62,297.78,4.39,99.66,112.76
1765586131700,16.81,9.46,92.76,297.53,4.35,99.76,112.39
1765589731700,15.52,6.94,93.60,297.67,4.27,99.12,112.66
1765593331700,15.49,8.86,92.11,297.29,4.39,99.32,113.09
1765596931700,16.79,5.65,93.63,297.62,4.38,99.85,112.84
1765600531700,16.05,3.61,92.60,297.05,4.27,99.78,113.36
1765604131700,15.37,8.87,93.16,297.46,4.31,99.43,112.57
1765607731700,16.12,4.48,93.15,297.39,4.24,99.83,112.90
1765611331700,16.35,6.71,92.46,297.29,4.39,99.19,112.37
1765614931700,16.58,5.48,93.37,297.16,4.29,100.19,112.74
1765618531700,16.74,5.82,93.15,297.11,4.23,100.08,112.48
1765622131700,15.01,5.26,93.36,297.07,4.23,100.19,113.03
1765625731700,15.37,5.21,92.24,297.05,4.37,99.31,113.48
1765629331700,16.03,6.16,93.51,297.02,4.25,99.75,112.58
1765632931700,15.85,7.29,92.82,297.15,4.32,99.71,112.80
1765636531700,16.10,6.18,93.03,297.34,4.36,99.50,112.44
1765640131700,15.70,3.56,92.32,297.65,4.23,99.86,112.97
1765643731700,16.34,5.40,93.40,297.71,4.21,100.11,112.99
1765647331700,16.88,5.62,92.44,297.35,4.23,99.97,113.78
1765650931700,16.30,7.73,92.87,297.85,4.36,100.40,112.97
1765654531700,15.98,8.48,92.66,297.78,4.21,99.73,113.64
1765658131700,16.40,4.58,93.44,297.16,4.40,100.29,112.53
1765661731700,17.07,3.73,92.74,297.27,4.30,99.64,112.92
1765665331700,15.75,3.22,94.12,297.83,4.37,99.41,113.14
1765668931700,16.71,8.58,93.49,297.22,4.29,99.87,112.39
1765672531700,17.05,3.70,94.07,297.19,4.27,99.91,113.22
1765676131700,15.66,5.90,93.43,297.59,4.33,99.96,112.96
1765679731700,15.92,5.10,93.04,297.38,4.26,99.48,113.51
1765683331700,16.27,6.52,93.57,297.25,4.36,99.41,113.02
1765686931700,16.77,4.82,93.01,297.18,4.40,100.09,112.89
1765690531700,15.36,4.50,92.96,297.73,4.38,99.48,112.43
1765694131700,16.27,5.68,93.76,297.74,4.38,99.76,113.18
1765697731700,16.01,7.74,94.15,297.11,4.37,100.37,112.75
1765701331700,16.37,4.04,92.94,297.41,4.41,99.34,113.81
1765704931700,15.89,5.31,92.77,297.45,4.24,99.43,112.97
1765708531700,17.10,3.42,94.18,297.39,4.23,100.44,113.40
1765712131700,16.33,7.69,94.07,297.42,4.38,100.24,113.16
1765715731700,16.93,5.10,92.69,297.77,4.39,99.64,113.34
1765719331700,15.60,3.93,92.95,297.25,4.38,100.44,113.76
1765722931700,16.20,6.50,93.68,297.70,4.37,99.90,112.76
