ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,15.38,8.70,93.29,297.31,4.26,99.22,113.37
1765564531700,15.43,8.03,93.03,297.18,4.25,99.29,112.78
1765568131700,16.63,9.35,92.65,297.01,4.40,99.09,113.10
1765571731700,16.50,6.18,93.75,297.48,4.34,99.52,112.20
1765575331700,15.28,4.21,92.35,297.29,4.40,99.12,113.33
1765578931700,15.05,4.87,93.61,297.65,4.31,99.84,112.33
1765582531700,15.22,6.11,93.64,297.71,4.32,99.64,113.43
1765586131700,15.29,6.30,92.91,297.21,4.28,100.13,112.88
1765589731700,16.73,8.49,92.51,297.29,4.32,100.10,112.53
1765593331700,15.32,8.89,93.70,297.02,4.34,99.55,112.39
1765596931700,16.44,4.38,92.56,297.50,4.32,99.91,113.32
1765600531700,15.93,7.49,92.52,297.04,4.22,99.91,112.31
1765604131700,16.15,5.43,92.32,297.79,4.39,99.98,112.48
1765607731700,16.68,5.64,93.17,297.35,4.31,99.77,112.34
1765611331700,16.94,3.91,93.69,297.59,4.32,99.92,112.62
1765614931700,16.06,9.40,92.43,297.11,4.27,99.92,112.34
1765618531700,15.49,8.50,92.68,297.46,4.40,99.25,112.11
1765622131700,15.31,8.68,93.20,297.51,4.38,99.11,112.04
1765625731700,15.16,7.93,93.38,297.03,4.23,100.12,112.66
1765629331700,16.53,7.04,93.80,297.32,4.32,99.65,112.72
1765632931700,15.50,4.46,93.76,297.32,4.29,99.81,112.68
1765636531700,15.68,7.08,93.08,297.10,4.37,99.38,112.15
1765640131700,15.75,9.50,93.90,297.05,4.30,99.09,113.07
1765643731700,15.81,4.15,92.31,297.49,4.30,100.06,113.05
1765647331700,15.43,6.02,93.56,297.31,4.33,99.72,112.58
1765650931700,15.76,3.36,93.14,297.81,4.35,100.08,113.77
1765654531700,15.19,4.44,94.27,297.81,4.31,100.18,112.93
1765658131700,15.98,7.54,93.77,297.58,4.21,100.04,113.13
1765661731700,16.48,5.04,92.78,297.53,4.35,99.63,112.48
1765665331700,15.71,8.61,93.34,297.43,4.39,99.76,112.49
1765668931700,16.97,4.71,92.72,297.59,4.21,99.56,113.46
1765672531700,15.79,4.36,94.14,297.68,4.31,99.33,113.70
1765676131700,15.39,4.61,93.20,297.52,4.27,99.48,112.95
1765679731700,16.64,6.52,92.92,297.68,4.38,100.47,112.83
1765683331700,15.46,5.38,93.75,297.20,4.30,99.95,113.43
1765686931700,16.99,4.34,94.10,297.26,4.34,99.57,113.53
1765690531700,15.48,3.34,92.44,297.09,4.23,100.49,113.45
1765694131700,17.07,3.57,93.65,297.80,4.35,99.68,113.12
1765697731700,16.70,7.40,93.63,297.17,4.35,100.40,112.90
1765701331700,17.03,7.76,92.71,297.65,4.24,99.70,113.15
1765704931700,17.09,4.81,93.93,297.73,4.27,100.29,113.31
1765708531700,16.51,5.27,92.74,297.31,4.28,99.82,113.10
1765712131700,17.09,4.15,92.85,297.84,4.35,100.21,113.71
1765715731700,16.40,3.14,93.30,297.39,4.36,99.41,113.41
1765719331700,15.81,7.22,92.61,297.24,4.26,99.80,112.52
1765722931700,16.71,3.33,93.92,297.51,4.38,100.22,112.48
1765726531700,15.66,8.46,94.20,297.75,4.25,99.76,112.58
1765730131700,16.69,7.22,93.21,297.68,4.39,100.32,112.42
1765733731700,15.26,3.93,94.21,297.28,4.27,100.12,113.82
1765737331700,15.59,3.28,94.46,297.39,4.33,100.61,113.25
1765740931700,15.53,2.87,93.63,297.58,4.33,100.23,112.73
1765744531700,16.61,1.78,93.42,297.23,4.27,100.49,113.33
1765748131700,15.86,2.45,94.22,297.20,4.30,99.80,113.69
1765751731700,15.94,5.61,93.22,297.20,4.26,100.20,113.27
1765755331700,15.29,3.35,93.27,297.17,4.29,99.98,113.98
1765758931700,15.49,7.24,93.32,297.31,4.33,100.56,113.44
1765762531700,16.06,3.61,93.42,297.43,4.26,100.82,113.15
1765766131700,17.00,5.16,93.73,297.94,4.36,100.72,113.11
1765769731700,16.60,7.02,94.03,297.58,4.37,100.81,113.92
1765773331700,15.59,6.97,93.38,297.29,4.41,100.54,113.35
1765776931700,16.66,3.68,93.63,297.79,4.24,99.89,113.65
1765780531700,16.14,6.53,93.40,297.31,4.29,99.81,113.52
1765784131700,15.38,5.84,92.96,297.68,4.34,100.74,113.64
1765787731700,16.75,3.21,93.78,297.30,4.37,99.91,114.02
1765791331700,16.54,5.45,93.99,297.83,4.25,100.45,113.50
1765794931700,17.14,5.53,94.81,297.74,4.27,100.03,112.85
1765798531700,16.22,6.32,93.22,297.72,4.34,100.79,113.60
1765802131700,16.85,6.23,94.76,297.77,4.40,99.82,113.50
1765805731700,16.35,5.25,93.34,297.71,4.33,100.65,113.62
1765809331700,17.22,4.63,93.30,297.54,4.34,99.78,114.16
1765812931700,16.10,2.06,93.79,297.91,4.25,99.81,114.08
1765816531700,15.65,7.12,94.47,297.37,4.32,100.43,113.52
1765820131700,15.38,3.78,94.68,297.61,4.30,101.05,113.44
1765823731700,17.28,4.38,94.80,297.83,4.27,100.97,113.25
1765827331700,15.61,5.93,94.38,297.65,4.41,100.60,114.39
1765830931700,16.23,0.74,93.33,297.52,4.32,100.68,113.08
1765834531700,16.24,5.64,94.84,297.55,4.29,100.43,114.37
1765838131700,16.43,1.09,94.63,297.95,4.34,100.40,113.25
1765841731700,15.76,1.59,93.35,297.90,4.33,101.04,113.17
1765845331700,15.71,6.15,93.42,297.68,4.41,100.24,113.61
1765848931700,15.40,4.61,93.81,297.63,4.31,100.32,113.14
1765852531700,17.06,6.51,93.47,297.98,4.39,100.77,114.15
1765856131700,16.11,1.23,93.85,297.79,4.26,100.75,114.20
1765859731700,15.73,1.13,93.30,297.32,4.26,100.99,113.36
1765863331700,15.66,6.15,94.64,297.36,4.32,100.86,113.48
1765866931700,17.05,4.17,94.81,297.66,4.37,100.15,113.05
