ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,788,724,8.75,3.32,35.18,26,1868.08,71.85,48,Atlas Power Bank,2025-12-12,380.27,162,2.35,4.91
1765564531700,779,697,8.40,3.38,38.26,26,1988.03,76.46,44,Atlas Power Bank,2025-12-12,364.16,201,1.81,5.46
1765568131700,782,630,9.07,3.40,39.55,27,1937.77,71.77,50,Atlas Power Bank,2025-12-12,394.29,164,2.40,4.91
1765571731700,843,731,9.29,3.80,40.79,32,2301.96,71.94,41,Atlas Power Bank,2025-12-12,390.64,208,1.88,5.89
1765575331700,919,872,7.06,4.27,35.90,39,3175.79,81.43,55,Atlas Power Bank,2025-12-12,421.49,180,2.34,7.53
1765578931700,994,869,9.98,4.48,34.23,45,3641.81,80.93,70,Atlas Power Bank,2025-12-12,484.39,223,2.17,7.52
1765582531700,1082,938,9.90,3.64,42.44,39,3223.76,82.66,71,Atlas Power Bank,2025-12-12,418.28,226,1.85,7.71
1765586131700,1185,995,8.62,4.78,30.05,57,4761.27,83.53,103,Atlas Power Bank,2025-12-13,456.83,200,2.28,10.42
1765589731700,1295,1044,11.65,5.08,44.77,66,4766.47,72.22,80,Atlas Power Bank,2025-12-13,498.32,219,2.28,9.57
1765593331700,1382,1265,12.11,4.64,31.92,64,5316.80,83.07,109,Atlas Power Bank,2025-12-13,488.02,256,1.91,10.89
1765596931700,1463,1290,9.79,4.72,41.15,69,5422.76,78.59,130,Atlas Power Bank,2025-12-13,455.29,237,1.92,11.91
1765600531700,1558,1337,10.50,4.49,37.86,70,4790.68,68.44,103,Atlas Power Bank,2025-12-13,444.43,196,2.27,10.78
1765604131700,1586,1404,11.73,5.82,31.16,92,6661.84,72.41,143,Atlas Power Bank,2025-12-13,493.62,170,2.90,13.50
1765607731700,1605,1442,12.68,4.90,40.89,79,6515.86,82.48,130,Atlas Power Bank,2025-12-13,412.41,172,2.40,15.80
1765611331700,1574,1447,11.90,5.07,42.41,80,5839.98,73.00,122,Atlas Power Bank,2025-12-13,474.89,237,2.00,12.30
1765614931700,1530,1334,11.85,4.82,42.16,74,5712.81,77.20,113,Atlas Power Bank,2025-12-13,410.81,138,2.98,13.91
1765618531700,1470,1178,10.58,4.83,41.83,71,6064.20,85.41,96,Atlas Power Bank,2025-12-13,419.60,142,2.95,14.45
1765622131700,1400,1270,10.86,5.63,35.08,79,5601.31,70.90,117,Atlas Power Bank,2025-12-13,401.47,212,1.89,13.95
1765625731700,1292,1149,11.26,4.71,36.51,61,5240.00,85.90,108,Atlas Power Bank,2025-12-13,435.46,210,2.07,12.03
1765629331700,1173,988,9.28,3.72,42.08,44,3667.81,83.36,61,Atlas Power Bank,2025-12-13,392.46,142,2.76,9.35
1765632931700,1066,951,9.47,4.80,42.60,51,4322.41,84.75,78,Atlas Power Bank,2025-12-13,434.34,165,2.63,9.95
1765636531700,984,825,8.95,5.06,41.30,50,3505.10,70.10,77,Atlas Power Bank,2025-12-13,435.43,165,2.64,8.05
1765640131700,900,853,7.36,4.62,28.54,42,3276.70,78.02,51,Atlas Power Bank,2025-12-13,387.64,144,2.69,8.45
1765643731700,825,700,9.27,4.60,39.86,38,3038.40,79.96,62,Atlas Power Bank,2025-12-13,379.25,164,2.31,8.01
1765647331700,877,831,6.39,4.43,27.68,39,3059.49,78.45,62,Atlas Power Bank,2025-12-13,430.90,204,2.11,7.10
1765650931700,836,790,9.12,4.76,34.31,40,2817.94,70.45,70,Atlas Power Bank,2025-12-13,369.02,163,2.26,7.64
