ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,777,646,7.40,4.17,34.82,32,2326.75,72.71,50,Nimbus Smart Speaker,2025-12-12,456.46,191,2.39,5.10
1765564531700,776,659,8.76,3.20,29.63,25,1871.14,74.85,47,Nimbus Smart Speaker,2025-12-12,445.41,184,2.42,4.20
1765568131700,772,697,7.33,3.78,41.87,29,2396.36,82.63,42,Nimbus Smart Speaker,2025-12-12,470.37,260,1.81,5.09
1765571731700,810,768,8.88,4.17,37.34,34,2322.15,68.30,41,Nimbus Smart Speaker,2025-12-12,472.30,201,2.35,4.92
1765575331700,882,744,9.22,4.36,41.84,38,3152.56,82.96,56,Nimbus Smart Speaker,2025-12-12,377.09,170,2.22,8.36
1765578931700,958,857,10.02,3.63,28.89,35,2507.08,71.63,44,Nimbus Smart Speaker,2025-12-12,384.55,167,2.30,6.52
1765582531700,1086,944,9.50,4.40,40.07,48,3366.23,70.13,85,Nimbus Smart Speaker,2025-12-12,447.46,179,2.50,7.52
1765586131700,1165,965,10.74,4.25,31.83,50,3975.33,79.51,81,Nimbus Smart Speaker,2025-12-13,467.70,179,2.61,8.50
1765589731700,1295,1067,11.60,4.45,35.33,58,4463.71,76.96,77,Nimbus Smart Speaker,2025-12-13,461.04,226,2.04,9.68
1765593331700,1390,1208,10.41,4.97,42.36,69,5140.59,74.50,85,Nimbus Smart Speaker,2025-12-13,496.30,215,2.31,10.36
1765596931700,1469,1374,11.98,5.67,36.38,83,5776.95,69.60,132,Nimbus Smart Speaker,2025-12-13,428.65,198,2.16,13.48
1765600531700,1508,1352,12.16,4.92,31.97,74,5366.47,72.52,93,Nimbus Smart Speaker,2025-12-13,508.69,198,2.57,10.55
1765604131700,1550,1406,12.37,4.37,34.13,68,5390.40,79.27,128,Nimbus Smart Speaker,2025-12-13,420.00,215,1.95,12.83
1765607731700,1592,1332,12.03,6.00,31.25,95,7349.62,77.36,171,Nimbus Smart Speaker,2025-12-13,464.18,162,2.87,15.83
1765611331700,1569,1292,10.91,4.28,31.15,67,5023.47,74.98,121,Nimbus Smart Speaker,2025-12-13,437.04,205,2.13,11.49
1765614931700,1539,1239,11.10,4.52,39.48,69,5279.48,76.51,119,Nimbus Smart Speaker,2025-12-13,408.34,193,2.12,12.93
1765618531700,1453,1201,12.70,4.47,35.78,65,5065.92,77.94,112,Nimbus Smart Speaker,2025-12-13,508.64,278,1.83,9.96
1765622131700,1387,1292,11.80,5.60,40.27,78,6269.63,80.38,125,Nimbus Smart Speaker,2025-12-13,464.26,180,2.58,13.50
1765625731700,1285,1200,9.83,3.93,30.77,51,4175.88,81.88,85,Nimbus Smart Speaker,2025-12-13,390.59,141,2.77,10.69
1765629331700,1163,1004,10.85,4.33,31.27,50,3858.47,77.17,92,Nimbus Smart Speaker,2025-12-13,458.85,188,2.44,8.41
1765632931700,1063,873,8.68,4.84,41.93,51,3751.66,73.56,71,Nimbus Smart Speaker,2025-12-13,393.63,192,2.05,9.53
