ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,789,669,8.53,3.78,27.08,30,2312.19,77.07,47,Pulse Wireless Earbuds,2025-12-12,441.16,244,1.81,5.24
1765564531700,770,641,6.48,4.67,37.47,36,2796.94,77.69,46,Pulse Wireless Earbuds,2025-12-12,385.75,177,2.18,7.25
1765568131700,793,717,8.35,4.55,37.26,36,2382.92,66.19,48,Pulse Wireless Earbuds,2025-12-12,388.24,180,2.16,6.14
1765571731700,812,749,6.72,4.31,42.55,35,2470.38,70.58,62,Pulse Wireless Earbuds,2025-12-12,388.83,177,2.20,6.35
1765575331700,887,808,6.96,3.96,43.06,35,2344.02,66.97,52,Pulse Wireless Earbuds,2025-12-12,414.85,142,2.92,5.65
1765578931700,952,873,8.20,4.70,28.30,45,3169.98,70.44,67,Pulse Wireless Earbuds,2025-12-12,373.04,199,1.87,8.50
1765582531700,1075,883,10.60,4.02,32.60,43,3317.84,77.16,58,Pulse Wireless Earbuds,2025-12-12,406.53,148,2.75,8.16
1765586131700,1143,933,9.31,4.51,40.91,52,3436.48,66.09,79,Pulse Wireless Earbuds,2025-12-13,424.29,199,2.13,8.10
1765589731700,1273,1172,11.09,4.13,43.46,53,3700.06,69.81,78,Pulse Wireless Earbuds,2025-12-13,485.49,221,2.20,7.62
1765593331700,1365,1162,10.92,4.26,43.59,58,4566.90,78.74,85,Pulse Wireless Earbuds,2025-12-13,505.93,194,2.61,9.03
1765596931700,1456,1167,10.82,4.37,38.98,64,4136.82,64.64,92,Pulse Wireless Earbuds,2025-12-13,471.04,254,1.85,8.78
1765600531700,1520,1281,10.80,4.90,40.92,74,5685.28,76.83,106,Pulse Wireless Earbuds,2025-12-13,407.43,185,2.20,13.95
1765604131700,1535,1362,13.20,4.89,35.40,75,5384.16,71.79,96,Pulse Wireless Earbuds,2025-12-13,417.34,186,2.24,12.90
1765607731700,1552,1259,11.75,5.15,40.07,80,5652.10,70.65,116,Pulse Wireless Earbuds,2025-12-13,413.25,207,2.00,13.68
1765611331700,1540,1388,11.19,4.43,42.00,68,4288.88,63.07,128,Pulse Wireless Earbuds,2025-12-13,425.52,150,2.84,10.08
1765614931700,1488,1405,12.33,4.33,35.94,64,4971.25,77.68,93,Pulse Wireless Earbuds,2025-12-13,498.00,257,1.94,9.98
1765618531700,1457,1336,11.94,4.82,39.27,70,4759.01,67.99,115,Pulse Wireless Earbuds,2025-12-13,483.06,247,1.96,9.85
1765622131700,1356,1141,9.68,5.51,38.87,75,5038.50,67.18,94,Pulse Wireless Earbuds,2025-12-13,470.92,256,1.84,10.70
1765625731700,1273,1165,9.29,4.78,41.66,61,4639.31,76.05,93,Pulse Wireless Earbuds,2025-12-13,446.26,165,2.70,10.40
1765629331700,1176,1060,10.44,4.85,39.79,57,4306.09,75.55,72,Pulse Wireless Earbuds,2025-12-13,452.89,185,2.45,9.51
