ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,665,621,6.63,2.90,31.46,19,1505.74,79.25,25,Atlas Power Bank,2025-12-12,474.46,253,1.88,3.17
1765564531700,656,585,4.84,3.59,38.26,24,1900.09,79.17,44,Atlas Power Bank,2025-12-12,427.99,163,2.63,4.44
1765568131700,689,608,4.84,3.39,44.08,23,1865.86,81.12,29,Atlas Power Bank,2025-12-12,359.31,147,2.44,5.19
1765571731700,698,625,5.18,2.64,44.85,18,1540.41,85.58,29,Atlas Power Bank,2025-12-12,466.32,251,1.86,3.30
1765575331700,777,726,5.44,2.70,31.90,21,1614.59,76.89,30,Atlas Power Bank,2025-12-12,401.88,201,2.00,4.02
1765578931700,847,776,5.56,2.44,43.25,21,1801.83,85.80,40,Atlas Power Bank,2025-12-12,473.55,238,1.99,3.80
1765582531700,908,806,5.69,2.73,32.87,25,1907.68,76.31,35,Atlas Power Bank,2025-12-12,477.35,190,2.51,4.00
1765586131700,998,819,7.66,3.89,35.08,39,2784.58,71.40,73,Atlas Power Bank,2025-12-13,478.83,178,2.69,5.82
1765589731700,1115,969,8.89,2.81,47.95,31,2317.47,74.76,39,Atlas Power Bank,2025-12-13,409.62,212,1.93,5.66
1765593331700,1188,1122,8.31,4.48,42.94,53,3806.17,71.81,65,Atlas Power Bank,2025-12-13,468.56,200,2.34,8.12
1765596931700,1237,1048,9.57,4.04,41.42,50,3749.30,74.99,64,Atlas Power Bank,2025-12-13,487.32,208,2.34,7.69
1765600531700,1292,1107,9.17,2.98,43.88,39,3010.85,77.20,64,Atlas Power Bank,2025-12-13,492.79,234,2.11,6.11
1765604131700,1347,1124,9.19,4.46,38.00,60,4306.17,71.77,88,Atlas Power Bank,2025-12-13,424.59,221,1.92,10.14
1765607731700,1356,1128,9.44,3.82,43.24,52,3984.06,76.62,72,Atlas Power Bank,2025-12-13,480.03,195,2.46,8.30
1765611331700,1336,1106,10.54,3.66,48.82,49,3455.03,70.51,68,Atlas Power Bank,2025-12-13,480.70,163,2.95,7.19
1765614931700,1301,1233,8.57,3.13,45.28,41,2835.99,69.17,72,Atlas Power Bank,2025-12-13,509.95,209,2.44,5.56
1765618531700,1253,1143,8.04,4.11,46.19,52,4137.62,79.57,67,Atlas Power Bank,2025-12-13,457.01,213,2.15,9.05
1765622131700,1176,1098,9.05,3.99,37.91,47,4035.05,85.85,85,Atlas Power Bank,2025-12-13,456.89,178,2.57,8.83
1765625731700,1088,905,7.13,3.12,45.03,34,2493.10,73.33,58,Atlas Power Bank,2025-12-13,482.83,165,2.93,5.16
1765629331700,998,910,6.11,2.70,41.14,27,2143.14,79.38,34,Atlas Power Bank,2025-12-13,456.84,185,2.47,4.69
1765632931700,903,826,5.67,3.81,44.49,34,2733.90,80.41,47,Atlas Power Bank,2025-12-13,373.75,168,2.22,7.31
1765636531700,848,774,7.51,3.60,47.06,31,2201.24,71.01,50,Atlas Power Bank,2025-12-13,469.38,252,1.86,4.69
1765640131700,747,687,5.33,3.43,40.97,26,1971.53,75.83,33,Atlas Power Bank,2025-12-13,391.16,180,2.17,5.04
1765643731700,708,634,6.25,2.45,45.71,17,1337.71,78.69,26,Atlas Power Bank,2025-12-13,386.66,138,2.80,3.46
1765647331700,752,657,6.71,2.00,37.69,15,1194.08,79.61,26,Atlas Power Bank,2025-12-13,417.34,152,2.75,2.86
1765650931700,706,622,5.31,1.97,38.91,14,1074.07,76.72,23,Atlas Power Bank,2025-12-13,455.56,165,2.76,2.36
1765654531700,734,675,5.78,2.12,40.15,16,1327.01,82.94,20,Atlas Power Bank,2025-12-13,430.76,188,2.29,3.08
1765658131700,766,653,6.89,2.52,39.32,19,1493.59,78.61,23,Atlas Power Bank,2025-12-13,370.08,201,1.84,4.04
1765661731700,839,783,6.73,3.70,47.32,31,2665.48,85.98,47,Atlas Power Bank,2025-12-13,446.02,198,2.25,5.98
1765665331700,915,747,5.30,2.89,43.33,26,2103.50,80.90,34,Atlas Power Bank,2025-12-13,402.51,216,1.86,5.23
1765668931700,1020,966,6.04,2.44,47.65,25,2003.70,80.15,43,Atlas Power Bank,2025-12-13,486.05,225,2.16,4.12
1765672531700,1086,893,7.02,3.87,34.10,42,3445.72,82.04,75,Atlas Power Bank,2025-12-14,404.03,181,2.23,8.53
1765676131700,1207,1103,7.49,2.67,41.17,32,2333.56,72.92,42,Atlas Power Bank,2025-12-14,443.98,245,1.81,5.26
1765679731700,1293,1149,9.40,3.05,41.10,39,3199.83,82.05,60,Atlas Power Bank,2025-12-14,430.37,175,2.46,7.44
1765683331700,1370,1171,9.50,3.17,34.61,43,3360.66,78.15,53,Atlas Power Bank,2025-12-14,434.91,178,2.44,7.73
1765686931700,1435,1358,8.59,4.06,34.88,58,4766.28,82.18,104,Atlas Power Bank,2025-12-14,495.20,231,2.14,9.62
1765690531700,1454,1294,9.88,4.06,47.50,59,4171.98,70.71,98,Atlas Power Bank,2025-12-14,505.31,229,2.21,8.26
