ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,668,543,4.59,1.88,40.18,13,1034.98,79.61,25,Nimbus Smart Speaker,2025-12-12,475.38,170,2.80,2.18
1765564531700,639,596,4.87,3.47,35.22,22,1729.24,78.60,26,Nimbus Smart Speaker,2025-12-12,392.60,192,2.04,4.40
1765568131700,650,589,7.13,3.40,36.49,22,1710.75,77.76,40,Nimbus Smart Speaker,2025-12-12,447.26,222,2.01,3.82
1765571731700,687,621,5.19,3.47,45.88,24,1721.13,71.71,41,Nimbus Smart Speaker,2025-12-12,427.16,229,1.87,4.03
1765575331700,762,658,4.84,2.08,34.29,16,1178.87,73.68,21,Nimbus Smart Speaker,2025-12-12,465.33,207,2.25,2.53
1765578931700,808,649,6.80,2.82,32.22,23,1623.48,70.59,43,Nimbus Smart Speaker,2025-12-12,487.37,189,2.58,3.33
1765582531700,918,855,7.35,2.29,33.61,21,1551.99,73.90,35,Nimbus Smart Speaker,2025-12-12,384.98,145,2.66,4.03
1765586131700,1007,861,7.25,2.97,35.03,30,2012.64,67.09,53,Nimbus Smart Speaker,2025-12-13,487.80,189,2.58,4.13
1765589731700,1086,911,6.80,4.15,35.95,45,3315.12,73.67,57,Nimbus Smart Speaker,2025-12-13,435.81,181,2.41,7.61
1765593331700,1180,959,9.76,4.35,34.60,51,3539.05,69.39,69,Nimbus Smart Speaker,2025-12-13,460.76,171,2.69,7.68
1765596931700,1254,1171,7.91,3.15,41.18,39,2750.49,70.53,56,Nimbus Smart Speaker,2025-12-13,478.41,244,1.96,5.75
1765600531700,1282,1091,9.21,3.70,46.19,47,3127.31,66.54,76,Nimbus Smart Speaker,2025-12-13,465.72,171,2.72,6.72
1765604131700,1326,1102,8.90,3.18,41.39,42,3448.71,82.11,76,Nimbus Smart Speaker,2025-12-13,431.04,158,2.73,8.00
1765607731700,1347,1166,8.58,3.20,48.57,43,3267.47,75.99,61,Nimbus Smart Speaker,2025-12-13,507.96,174,2.92,6.43
1765611331700,1325,1117,9.62,3.03,43.82,40,3113.62,77.84,57,Nimbus Smart Speaker,2025-12-13,464.29,167,2.78,6.71
1765614931700,1301,1052,8.97,4.22,38.36,55,4371.33,79.48,85,Nimbus Smart Speaker,2025-12-13,513.20,216,2.38,8.52
1765618531700,1231,1124,9.18,4.19,49.81,52,3657.04,70.33,73,Nimbus Smart Speaker,2025-12-13,457.89,160,2.86,7.99
1765622131700,1159,963,9.48,3.24,43.18,38,2574.67,67.75,71,Nimbus Smart Speaker,2025-12-13,512.22,236,2.17,5.03
1765625731700,1103,991,8.96,4.03,45.86,44,3277.73,74.49,80,Nimbus Smart Speaker,2025-12-13,452.84,186,2.43,7.24
1765629331700,1008,875,8.02,3.58,43.44,36,2459.58,68.32,60,Nimbus Smart Speaker,2025-12-13,390.61,209,1.87,6.30
1765632931700,888,806,5.61,3.79,35.32,34,2649.09,77.91,44,Nimbus Smart Speaker,2025-12-13,490.23,272,1.80,5.40
1765636531700,828,772,6.23,2.17,43.22,18,1401.43,77.86,33,Nimbus Smart Speaker,2025-12-13,481.61,245,1.97,2.91
1765640131700,768,641,6.79,3.31,38.18,25,1888.57,75.54,45,Nimbus Smart Speaker,2025-12-13,387.82,178,2.18,4.87
1765643731700,716,622,6.31,1.90,44.25,14,918.75,65.62,19,Nimbus Smart Speaker,2025-12-13,400.87,161,2.49,2.29
1765647331700,720,580,6.15,2.28,33.80,16,1234.89,77.18,29,Nimbus Smart Speaker,2025-12-13,372.96,149,2.50,3.31
1765650931700,704,656,6.55,2.85,31.79,20,1380.26,69.01,32,Nimbus Smart Speaker,2025-12-13,386.60,185,2.09,3.57
1765654531700,735,658,6.56,2.85,36.37,21,1439.17,68.53,30,Nimbus Smart Speaker,2025-12-13,470.51,161,2.92,3.06
1765658131700,752,648,6.87,2.91,42.66,22,1566.22,71.19,29,Nimbus Smart Speaker,2025-12-13,436.49,161,2.71,3.59
1765661731700,816,759,7.08,3.28,36.46,27,2132.80,78.99,43,Nimbus Smart Speaker,2025-12-13,449.25,227,1.98,4.75
1765665331700,914,774,6.16,3.61,32.54,33,2168.11,65.70,47,Nimbus Smart Speaker,2025-12-13,419.30,223,1.88,5.17
1765668931700,993,918,7.18,3.21,39.25,32,2165.24,67.66,54,Nimbus Smart Speaker,2025-12-13,388.34,188,2.07,5.58
1765672531700,1081,969,8.84,3.71,41.54,40,3067.06,76.68,72,Nimbus Smart Speaker,2025-12-14,426.59,194,2.20,7.19
1765676131700,1167,989,8.30,3.82,47.65,45,3510.31,78.01,70,Nimbus Smart Speaker,2025-12-14,398.86,140,2.85,8.80
1765679731700,1259,1141,8.72,4.34,45.29,55,3642.17,66.22,104,Nimbus Smart Speaker,2025-12-14,493.57,167,2.96,7.38
1765683331700,1332,1240,8.55,4.25,34.71,57,4118.92,72.26,86,Nimbus Smart Speaker,2025-12-14,420.20,189,2.22,9.80
1765686931700,1398,1130,8.25,3.26,48.95,46,3289.46,71.51,64,Nimbus Smart Speaker,2025-12-14,448.71,183,2.45,7.33
1765690531700,1439,1174,8.49,3.19,38.88,46,3761.57,81.77,73,Nimbus Smart Speaker,2025-12-14,498.09,214,2.33,7.55
1765694131700,1470,1226,8.46,4.01,48.55,59,4759.53,80.67,79,Nimbus Smart Speaker,2025-12-14,510.65,274,1.86,9.32
1765697731700,1448,1360,9.60,3.63,42.31,52,4289.10,82.48,85,Nimbus Smart Speaker,2025-12-14,515.03,255,2.02,8.33
1765701331700,1428,1298,10.21,3.94,40.68,56,4557.57,81.39,98,Nimbus Smart Speaker,2025-12-14,445.01,236,1.89,10.24
1765704931700,1343,1207,8.65,3.71,43.75,50,4054.48,81.09,81,Nimbus Smart Speaker,2025-12-14,422.81,185,2.29,9.59
1765708531700,1276,1202,8.96,3.41,46.65,44,2958.56,67.24,75,Nimbus Smart Speaker,2025-12-14,504.33,200,2.52,5.87
1765712131700,1194,1108,6.91,4.11,41.16,49,3768.51,76.91,60,Nimbus Smart Speaker,2025-12-14,497.73,183,2.72,7.57
1765715731700,1080,1010,8.18,2.66,33.67,29,2098.92,72.38,49,Nimbus Smart Speaker,2025-12-14,395.62,135,2.93,5.31
1765719331700,1010,884,7.17,2.25,40.42,23,1844.70,80.20,30,Nimbus Smart Speaker,2025-12-14,487.98,252,1.94,3.78
1765722931700,888,763,7.90,3.48,32.01,31,2433.84,78.51,57,Nimbus Smart Speaker,2025-12-14,420.52,221,1.90,5.79
1765726531700,831,706,5.06,3.06,31.63,25,2047.54,81.90,31,Nimbus Smart Speaker,2025-12-14,461.88,217,2.13,4.43
1765730131700,759,666,5.44,2.10,38.82,16,1317.98,82.37,26,Nimbus Smart Speaker,2025-12-14,435.83,180,2.42,3.02
1765733731700,721,665,6.30,2.09,31.22,15,1215.02,81.00,19,Nimbus Smart Speaker,2025-12-14,400.58,172,2.33,3.03
1765737331700,737,604,6.13,2.37,36.47,17,1229.04,72.30,24,Nimbus Smart Speaker,2025-12-14,381.15,164,2.32,3.22
1765740931700,736,688,4.53,2.74,31.31,20,1620.11,81.01,33,Nimbus Smart Speaker,2025-12-14,462.65,163,2.84,3.50
1765744531700,798,755,6.53,2.63,36.93,21,1493.87,71.14,34,Nimbus Smart Speaker,2025-12-14,410.62,216,1.90,3.64
1765748131700,857,718,5.47,3.08,36.47,26,2057.97,79.15,45,Nimbus Smart Speaker,2025-12-14,374.49,163,2.30,5.50
1765751731700,922,842,5.89,3.74,42.09,34,2709.27,79.68,54,Nimbus Smart Speaker,2025-12-14,402.47,193,2.09,6.73
1765755331700,1025,860,5.94,2.31,33.90,24,1811.96,75.50,32,Nimbus Smart Speaker,2025-12-14,484.84,226,2.15,3.74
1765758931700,1120,901,7.29,2.93,43.80,33,2644.15,80.13,63,Nimbus Smart Speaker,2025-12-15,495.90,199,2.49,5.33
1765762531700,1193,1050,9.14,3.42,38.08,41,3039.71,74.14,74,Nimbus Smart Speaker,2025-12-15,439.80,205,2.15,6.91
1765766131700,1292,1079,9.59,3.68,36.78,48,3904.67,81.35,59,Nimbus Smart Speaker,2025-12-15,445.18,162,2.75,8.77
1765769731700,1396,1207,9.04,4.56,41.29,64,4991.79,78.00,105,Nimbus Smart Speaker,2025-12-15,456.12,183,2.49,10.94
1765773331700,1444,1269,9.79,3.96,45.78,57,4186.85,73.45,103,Nimbus Smart Speaker,2025-12-15,516.59,188,2.75,8.10
1765776931700,1459,1291,9.79,3.30,40.09,48,3525.52,73.45,86,Nimbus Smart Speaker,2025-12-15,464.13,255,1.82,7.60
1765780531700,1484,1360,8.30,4.12,48.83,61,4023.09,65.95,113,Nimbus Smart Speaker,2025-12-15,408.12,211,1.93,9.86
1765784131700,1483,1212,8.67,4.12,45.34,61,4749.19,77.86,78,Nimbus Smart Speaker,2025-12-15,413.44,209,1.98,11.49
1765787731700,1432,1341,8.18,2.93,35.10,42,2927.58,69.70,70,Nimbus Smart Speaker,2025-12-15,491.61,209,2.35,5.96
1765791331700,1386,1142,9.56,3.98,41.56,55,3929.70,71.45,73,Nimbus Smart Speaker,2025-12-15,468.08,231,2.03,8.40
1765794931700,1296,1048,8.07,4.20,49.79,54,3908.71,72.38,86,Nimbus Smart Speaker,2025-12-15,438.57,197,2.23,8.91
1765798531700,1221,1044,8.14,3.63,39.21,44,2921.32,66.39,65,Nimbus Smart Speaker,2025-12-15,448.14,161,2.78,6.52
1765802131700,1089,920,8.79,4.04,47.39,44,3539.41,80.44,81,Nimbus Smart Speaker,2025-12-15,388.30,139,2.79,9.12
1765805731700,1027,822,8.56,3.08,42.43,32,2288.29,71.51,50,Nimbus Smart Speaker,2025-12-15,390.18,161,2.42,5.86
1765809331700,916,776,7.59,2.87,33.74,26,1982.59,76.25,41,Nimbus Smart Speaker,2025-12-15,480.25,220,2.18,4.13
1765812931700,835,768,4.90,2.07,38.50,17,1399.85,82.34,25,Nimbus Smart Speaker,2025-12-15,448.25,166,2.70,3.12
