ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,646,556,5.84,3.47,45.72,22,1555.97,70.73,32,Pulse Wireless Earbuds,2025-12-12,409.33,176,2.33,3.80
1765564531700,632,593,6.72,3.58,35.38,23,1735.48,75.46,36,Pulse Wireless Earbuds,2025-12-12,422.72,149,2.84,4.11
1765568131700,648,544,5.69,2.90,45.87,19,1236.59,65.08,24,Pulse Wireless Earbuds,2025-12-12,378.37,173,2.19,3.27
1765571731700,682,595,4.50,2.69,32.40,18,1245.67,69.20,32,Pulse Wireless Earbuds,2025-12-12,390.77,174,2.25,3.19
1765575331700,727,680,5.90,2.81,42.87,20,1306.45,65.32,31,Pulse Wireless Earbuds,2025-12-12,363.12,166,2.19,3.60
1765578931700,802,741,7.68,3.17,42.81,25,1898.44,75.94,31,Pulse Wireless Earbuds,2025-12-12,414.30,218,1.90,4.58
1765582531700,897,836,7.36,3.81,38.09,34,2622.34,77.13,57,Pulse Wireless Earbuds,2025-12-12,377.42,203,1.86,6.95
1765586131700,995,859,6.88,2.62,48.77,26,2070.94,79.65,34,Pulse Wireless Earbuds,2025-12-13,462.96,172,2.69,4.47
1765589731700,1076,905,7.62,4.28,48.79,46,3034.26,65.96,71,Pulse Wireless Earbuds,2025-12-13,417.11,202,2.06,7.27
1765593331700,1130,1045,8.45,2.79,43.10,31,2197.86,70.90,55,Pulse Wireless Earbuds,2025-12-13,411.18,212,1.94,5.35
1765596931700,1201,1070,8.50,3.49,41.83,42,3251.99,77.43,52,Pulse Wireless Earbuds,2025-12-13,426.13,185,2.30,7.63
1765600531700,1257,1013,8.99,3.30,48.95,41,3119.00,76.07,74,Pulse Wireless Earbuds,2025-12-13,445.19,159,2.80,7.01
1765604131700,1294,1227,10.02,4.37,44.33,57,3579.67,62.80,99,Pulse Wireless Earbuds,2025-12-13,493.10,237,2.08,7.26
1765607731700,1313,1237,8.25,3.51,42.80,46,3610.81,78.50,74,Pulse Wireless Earbuds,2025-12-13,494.43,193,2.56,7.30
1765611331700,1320,1242,9.06,3.59,49.47,47,3639.05,77.43,88,Pulse Wireless Earbuds,2025-12-13,449.06,233,1.93,8.10
1765614931700,1266,1091,10.59,4.05,43.10,51,3443.76,67.52,85,Pulse Wireless Earbuds,2025-12-13,438.09,238,1.84,7.86
1765618531700,1221,1016,9.99,3.69,36.39,45,2846.85,63.26,64,Pulse Wireless Earbuds,2025-12-13,436.61,177,2.47,6.52
1765622131700,1167,980,7.40,3.27,44.71,38,2490.80,65.55,57,Pulse Wireless Earbuds,2025-12-13,483.16,225,2.15,5.16
1765625731700,1064,979,8.25,4.21,38.68,45,3301.71,73.37,84,Pulse Wireless Earbuds,2025-12-13,418.27,167,2.50,7.89
1765629331700,991,878,8.18,4.20,48.07,42,3110.67,74.06,60,Pulse Wireless Earbuds,2025-12-13,417.17,204,2.04,7.46
1765632931700,889,786,7.48,3.08,41.32,27,1955.66,72.43,42,Pulse Wireless Earbuds,2025-12-13,473.94,244,1.94,4.13
1765636531700,823,708,6.35,3.01,35.97,25,1835.70,73.43,36,Pulse Wireless Earbuds,2025-12-13,484.38,179,2.71,3.79
1765640131700,754,619,6.76,2.30,44.78,17,1097.84,64.58,29,Pulse Wireless Earbuds,2025-12-13,421.82,184,2.29,2.60
1765643731700,696,644,6.45,3.66,32.61,25,1981.15,79.25,46,Pulse Wireless Earbuds,2025-12-13,449.75,202,2.23,4.40
1765647331700,708,601,4.39,3.36,40.72,24,1617.10,67.38,35,Pulse Wireless Earbuds,2025-12-13,470.79,236,1.99,3.43
1765650931700,722,633,4.15,2.78,45.71,20,1386.79,69.34,25,Pulse Wireless Earbuds,2025-12-13,440.21,213,2.07,3.15
1765654531700,722,635,5.20,2.86,39.12,21,1581.91,75.33,34,Pulse Wireless Earbuds,2025-12-13,471.66,228,2.07,3.35
1765658131700,764,617,5.55,1.96,46.58,15,1110.89,74.06,19,Pulse Wireless Earbuds,2025-12-13,427.60,201,2.13,2.60
1765661731700,809,711,6.35,3.10,36.01,25,1918.47,76.74,45,Pulse Wireless Earbuds,2025-12-13,459.65,225,2.04,4.17
1765665331700,875,796,5.99,3.40,33.35,30,2323.31,77.44,47,Pulse Wireless Earbuds,2025-12-13,400.10,153,2.62,5.81
1765668931700,990,806,7.39,3.11,43.93,31,2267.20,73.14,46,Pulse Wireless Earbuds,2025-12-13,470.63,212,2.22,4.82
1765672531700,1051,896,7.46,2.52,38.82,26,2068.48,79.56,48,Pulse Wireless Earbuds,2025-12-14,444.66,231,1.92,4.65
1765676131700,1147,1055,8.05,3.25,34.37,37,2678.03,72.38,57,Pulse Wireless Earbuds,2025-12-14,494.63,178,2.78,5.41
1765679731700,1239,1087,7.72,2.92,36.61,36,2498.36,69.40,50,Pulse Wireless Earbuds,2025-12-14,436.29,219,1.99,5.73
1765683331700,1337,1191,8.94,3.54,49.14,47,3113.32,66.24,72,Pulse Wireless Earbuds,2025-12-14,493.88,190,2.60,6.30
1765686931700,1406,1292,8.29,4.12,42.83,58,4336.61,74.77,98,Pulse Wireless Earbuds,2025-12-14,424.28,144,2.95,10.22
1765690531700,1444,1275,8.65,4.77,35.58,69,5200.55,75.37,130,Pulse Wireless Earbuds,2025-12-14,440.24,207,2.13,11.81
1765694131700,1435,1236,9.65,4.42,35.19,63,4537.81,72.03,83,Pulse Wireless Earbuds,2025-12-14,436.06,216,2.02,10.41
1765697731700,1444,1189,8.84,4.67,50.75,67,5137.42,76.68,100,Pulse Wireless Earbuds,2025-12-14,439.77,208,2.11,11.68
1765701331700,1405,1148,8.61,4.15,43.22,58,3927.64,67.72,94,Pulse Wireless Earbuds,2025-12-14,444.63,172,2.59,8.83
1765704931700,1339,1197,9.78,3.47,34.66,47,3714.39,79.03,84,Pulse Wireless Earbuds,2025-12-14,505.47,233,2.17,7.35
1765708531700,1255,1070,7.99,3.45,48.23,43,2835.40,65.94,55,Pulse Wireless Earbuds,2025-12-14,414.51,179,2.32,6.84
1765712131700,1179,1036,9.30,3.05,48.40,36,2455.77,68.22,65,Pulse Wireless Earbuds,2025-12-14,471.92,182,2.59,5.20
1765715731700,1079,958,6.73,3.59,33.11,39,2840.26,72.83,73,Pulse Wireless Earbuds,2025-12-14,491.09,226,2.17,5.78
1765719331700,971,828,6.83,3.59,39.38,35,2557.52,73.07,57,Pulse Wireless Earbuds,2025-12-14,469.13,214,2.19,5.45
1765722931700,872,797,6.45,3.28,40.90,29,2236.03,77.10,48,Pulse Wireless Earbuds,2025-12-14,399.86,163,2.45,5.59
1765726531700,808,722,5.29,2.11,46.80,17,1153.36,67.84,30,Pulse Wireless Earbuds,2025-12-14,409.19,196,2.09,2.82
1765730131700,736,673,5.30,3.68,35.24,27,2057.30,76.20,35,Pulse Wireless Earbuds,2025-12-14,400.27,173,2.31,5.14
1765733731700,748,677,5.97,2.44,33.51,18,1238.97,68.83,30,Pulse Wireless Earbuds,2025-12-14,396.73,147,2.70,3.12
1765737331700,733,627,5.14,2.21,32.83,16,1260.38,78.77,20,Pulse Wireless Earbuds,2025-12-14,433.17,230,1.88,2.91
1765740931700,743,695,6.75,1.91,38.63,14,916.16,65.44,22,Pulse Wireless Earbuds,2025-12-14,371.77,180,2.07,2.46
1765744531700,784,666,5.52,3.39,45.80,27,1726.05,63.93,33,Pulse Wireless Earbuds,2025-12-14,401.07,160,2.51,4.30
