ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,983,872,11.99,5.41,21.45,53,3710.28,70.01,64,Atlas Power Bank,2025-12-12,407.65,214,1.90,9.10
1765564531700,956,770,10.06,5.21,34.21,50,4278.53,85.57,89,Atlas Power Bank,2025-12-12,407.04,204,2.00,10.51
1765568131700,987,847,12.48,6.13,21.61,61,4295.20,70.41,89,Atlas Power Bank,2025-12-12,453.16,164,2.76,9.48
1765571731700,1039,926,11.14,5.34,33.30,55,4184.19,76.08,71,Atlas Power Bank,2025-12-12,359.48,159,2.26,11.64
1765575331700,1101,889,11.29,5.68,36.73,63,4580.12,72.70,110,Atlas Power Bank,2025-12-12,431.99,197,2.19,10.60
1765578931700,1206,1074,11.76,5.76,24.38,70,5951.10,85.02,133,Atlas Power Bank,2025-12-12,424.10,204,2.08,14.03
1765582531700,1341,1079,12.54,6.60,31.13,88,6573.85,74.70,153,Atlas Power Bank,2025-12-12,464.68,169,2.75,14.15
1765586131700,1464,1354,13.97,5.83,36.46,85,7029.81,82.70,107,Atlas Power Bank,2025-12-13,485.86,205,2.37,14.47
1765589731700,1598,1447,12.77,6.24,23.86,100,7921.26,79.21,156,Atlas Power Bank,2025-12-13,498.32,171,2.91,15.90
1765593331700,1714,1481,12.61,6.72,31.22,115,8276.80,71.97,152,Atlas Power Bank,2025-12-13,397.56,211,1.88,20.82
1765596931700,1802,1442,15.02,6.23,27.21,112,8319.74,74.28,170,Atlas Power Bank,2025-12-13,465.57,193,2.41,17.87
1765600531700,1886,1654,13.37,6.34,32.80,120,10120.12,84.33,197,Atlas Power Bank,2025-12-13,433.34,156,2.78,23.35
1765604131700,1942,1654,16.00,6.89,34.13,134,9627.60,71.85,238,Atlas Power Bank,2025-12-13,499.39,225,2.22,19.28
1765607731700,1977,1829,15.64,6.49,38.15,128,9203.48,71.90,236,Atlas Power Bank,2025-12-13,494.45,172,2.87,18.61
1765611331700,1936,1764,15.31,7.28,30.44,141,11455.59,81.25,268,Atlas Power Bank,2025-12-13,507.08,192,2.64,22.59
1765614931700,1915,1543,14.96,6.83,26.83,131,10410.05,79.47,240,Atlas Power Bank,2025-12-13,441.82,233,1.90,23.56
1765618531700,1821,1479,14.18,7.00,26.53,128,10926.82,85.37,166,Atlas Power Bank,2025-12-13,441.39,186,2.37,24.76
1765622131700,1724,1635,14.19,7.50,36.84,129,10906.46,84.55,165,Atlas Power Bank,2025-12-13,510.12,259,1.97,21.38
1765625731700,1584,1400,14.54,5.96,35.24,94,7633.71,81.21,132,Atlas Power Bank,2025-12-13,500.10,251,1.99,15.26
1765629331700,1445,1181,12.86,7.09,30.31,102,7824.41,76.71,178,Atlas Power Bank,2025-12-13,448.87,224,2.00,17.43
1765632931700,1330,1162,13.59,5.98,23.73,79,5458.54,69.10,139,Atlas Power Bank,2025-12-13,468.84,158,2.97,11.64
1765636531700,1213,1060,13.08,6.32,22.45,77,5656.56,73.46,137,Atlas Power Bank,2025-12-13,436.04,151,2.89,12.97
1765640131700,1109,890,12.23,5.05,34.82,56,4714.94,84.20,95,Atlas Power Bank,2025-12-13,395.24,191,2.07,11.93
1765643731700,1025,931,12.45,5.32,27.95,55,3868.73,70.34,89,Atlas Power Bank,2025-12-13,423.12,157,2.70,9.14
1765647331700,1065,989,9.74,5.62,26.77,60,4481.97,74.70,82,Atlas Power Bank,2025-12-13,424.26,171,2.48,10.56
1765650931700,1030,828,10.44,6.17,27.68,64,4918.37,76.85,119,Atlas Power Bank,2025-12-13,405.54,225,1.80,12.13
1765654531700,1075,983,10.09,6.51,23.29,70,4857.85,69.40,88,Atlas Power Bank,2025-12-13,386.51,136,2.84,12.57
1765658131700,1111,976,12.00,5.14,31.04,57,4643.04,81.46,94,Atlas Power Bank,2025-12-13,396.72,169,2.35,11.70
1765661731700,1195,990,11.79,6.36,32.32,76,6123.16,80.57,108,Atlas Power Bank,2025-12-13,417.36,161,2.59,14.67
1765665331700,1307,1238,12.72,6.09,35.42,80,5537.50,69.22,112,Atlas Power Bank,2025-12-13,471.77,240,1.97,11.74
1765668931700,1447,1195,11.51,5.26,22.59,76,5182.27,68.19,133,Atlas Power Bank,2025-12-13,457.18,234,1.95,11.34
1765672531700,1613,1390,14.21,5.47,38.48,88,6003.99,68.23,158,Atlas Power Bank,2025-12-14,399.17,172,2.32,15.04
1765676131700,1754,1490,14.91,6.24,36.85,109,8111.16,74.41,176,Atlas Power Bank,2025-12-14,427.69,221,1.94,18.97
1765679731700,1859,1578,14.58,7.12,38.80,132,11282.52,85.47,199,Atlas Power Bank,2025-12-14,478.17,188,2.54,23.60
1765683331700,1986,1793,15.05,7.40,30.55,147,11857.79,80.67,225,Atlas Power Bank,2025-12-14,488.10,191,2.56,24.29
1765686931700,2082,1711,15.66,7.17,28.60,149,12715.67,85.34,212,Atlas Power Bank,2025-12-14,455.39,164,2.78,27.92
1765690531700,2133,1829,16.16,7.29,29.65,155,10637.21,68.63,192,Atlas Power Bank,2025-12-14,505.31,192,2.63,21.05
1765694131700,2162,1974,14.24,7.25,36.45,157,10771.28,68.61,290,Atlas Power Bank,2025-12-14,475.85,225,2.11,22.64
1765697731700,2125,1947,14.83,7.11,30.83,151,10708.26,70.92,243,Atlas Power Bank,2025-12-14,482.51,256,1.88,22.19
1765701331700,2075,1906,14.99,6.73,38.12,140,11589.71,82.78,256,Atlas Power Bank,2025-12-14,500.99,270,1.86,23.13
1765704931700,1994,1887,15.90,6.51,40.32,130,9035.70,69.51,204,Atlas Power Bank,2025-12-14,446.59,156,2.86,20.23
1765708531700,1862,1762,13.87,5.96,25.69,111,8192.92,73.81,205,Atlas Power Bank,2025-12-14,459.03,154,2.98,17.85
1765712131700,1725,1534,13.65,5.93,39.39,102,8292.70,81.30,191,Atlas Power Bank,2025-12-14,391.94,203,1.93,21.16
1765715731700,1601,1315,12.65,5.63,36.91,90,7260.05,80.67,114,Atlas Power Bank,2025-12-14,427.37,206,2.07,16.99
1765719331700,1470,1371,11.54,6.78,24.74,100,7677.44,76.77,139,Atlas Power Bank,2025-12-14,463.47,220,2.11,16.57
1765722931700,1304,1173,13.16,6.84,31.21,89,6082.89,68.35,139,Atlas Power Bank,2025-12-14,461.76,156,2.96,13.17
1765726531700,1224,1026,12.56,5.25,32.74,64,4953.20,77.39,77,Atlas Power Bank,2025-12-14,366.34,146,2.51,13.52
1765730131700,1100,976,10.17,6.59,33.70,73,5214.57,71.43,132,Atlas Power Bank,2025-12-14,389.35,149,2.61,13.39
1765733731700,1100,927,9.85,6.62,36.45,73,6163.51,84.43,113,Atlas Power Bank,2025-12-14,401.57,135,2.97,15.35
1765737331700,1056,965,10.63,5.07,35.12,54,4422.66,81.90,85,Atlas Power Bank,2025-12-14,423.99,167,2.54,10.43
1765740931700,1079,888,11.02,5.04,31.66,54,4009.63,74.25,93,Atlas Power Bank,2025-12-14,471.67,173,2.73,8.50
1765744531700,1156,928,12.69,5.79,28.69,67,4810.61,71.80,113,Atlas Power Bank,2025-12-14,468.46,254,1.84,10.27
1765748131700,1212,1008,12.18,6.41,34.59,78,6522.58,83.62,144,Atlas Power Bank,2025-12-14,439.00,176,2.49,14.86
1765751731700,1331,1090,11.53,5.43,28.89,72,6133.21,85.18,100,Atlas Power Bank,2025-12-14,448.79,222,2.02,13.67
1765755331700,1497,1274,13.45,6.84,25.69,102,8088.83,79.30,159,Atlas Power Bank,2025-12-14,453.53,214,2.12,17.84
1765758931700,1644,1557,13.59,5.99,28.94,98,7780.42,79.39,143,Atlas Power Bank,2025-12-15,499.89,249,2.01,15.56
1765762531700,1785,1693,13.90,6.33,38.09,113,9614.41,85.08,212,Atlas Power Bank,2025-12-15,499.57,261,1.91,19.25
1765766131700,1919,1672,15.35,6.85,37.43,131,10948.11,83.57,188,Atlas Power Bank,2025-12-15,411.01,151,2.72,26.64
1765769731700,2018,1669,14.43,6.72,32.71,136,9292.30,68.33,209,Atlas Power Bank,2025-12-15,451.72,164,2.75,20.57
1765773331700,2099,1950,15.30,6.90,32.37,145,10053.58,69.34,271,Atlas Power Bank,2025-12-15,470.00,246,1.91,21.39
1765776931700,2155,1897,13.92,6.19,29.68,133,9382.82,70.55,226,Atlas Power Bank,2025-12-15,502.51,216,2.33,18.67
1765780531700,2200,2060,14.86,7.34,40.79,161,12824.13,79.65,287,Atlas Power Bank,2025-12-15,410.16,200,2.05,31.27
1765784131700,2176,2006,14.53,7.60,32.44,165,13175.50,79.85,260,Atlas Power Bank,2025-12-15,504.86,186,2.71,26.10
1765787731700,2098,1837,15.59,7.00,27.52,147,12341.99,83.96,211,Atlas Power Bank,2025-12-15,442.15,157,2.82,27.91
1765791331700,2036,1712,13.97,6.82,24.72,139,9946.25,71.56,200,Atlas Power Bank,2025-12-15,469.41,196,2.39,21.19
1765794931700,1911,1550,14.37,7.01,38.55,134,9793.11,73.08,223,Atlas Power Bank,2025-12-15,408.53,189,2.16,23.97
1765798531700,1783,1476,12.95,6.55,31.79,117,8326.97,71.17,208,Atlas Power Bank,2025-12-15,415.03,166,2.50,20.06
1765802131700,1636,1554,11.99,5.62,25.83,92,6657.62,72.37,162,Atlas Power Bank,2025-12-15,455.00,196,2.32,14.63
1765805731700,1465,1339,13.63,6.20,34.95,91,7039.28,77.35,166,Atlas Power Bank,2025-12-15,435.29,225,1.93,16.17
1765809331700,1332,1109,11.72,5.97,22.10,80,6078.77,75.98,115,Atlas Power Bank,2025-12-15,465.71,208,2.24,13.05
1765812931700,1211,1089,10.85,6.77,30.32,82,6200.60,75.62,99,Atlas Power Bank,2025-12-15,373.69,172,2.17,16.59
1765816531700,1147,1021,10.31,6.57,22.31,75,5430.85,72.41,110,Atlas Power Bank,2025-12-15,388.86,200,1.94,13.97
1765820131700,1032,967,9.92,5.70,28.31,59,4709.91,79.83,104,Atlas Power Bank,2025-12-15,365.27,199,1.84,12.89
1765823731700,998,847,11.45,4.94,30.89,49,3601.46,73.50,93,Atlas Power Bank,2025-12-15,460.34,183,2.52,7.82
1765827331700,1039,898,11.23,5.56,22.92,58,4460.39,76.90,99,Atlas Power Bank,2025-12-15,445.22,226,1.97,10.02
1765830931700,1076,984,10.66,5.82,21.92,63,5160.13,81.91,113,Atlas Power Bank,2025-12-15,464.00,177,2.62,11.12
1765834531700,1177,1097,11.58,5.53,23.71,65,5332.10,82.03,118,Atlas Power Bank,2025-12-15,428.34,220,1.95,12.45
1765838131700,1255,1080,10.86,5.36,28.59,67,4655.09,69.48,103,Atlas Power Bank,2025-12-15,481.30,230,2.09,9.67
1765841731700,1396,1124,12.15,5.29,38.10,74,5557.71,75.10,96,Atlas Power Bank,2025-12-15,401.44,220,1.82,13.84
1765845331700,1516,1307,12.76,7.18,35.12,109,8563.60,78.57,140,Atlas Power Bank,2025-12-16,423.31,181,2.34,20.23
1765848931700,1684,1486,13.54,5.79,26.84,98,7099.42,72.44,149,Atlas Power Bank,2025-12-16,419.43,177,2.37,16.93
1765852531700,1807,1488,14.59,5.95,37.67,108,8487.95,78.59,139,Atlas Power Bank,2025-12-16,426.75,172,2.48,19.89
1765856131700,1923,1547,13.23,7.48,38.43,144,10152.33,70.50,184,Atlas Power Bank,2025-12-16,506.79,207,2.45,20.03
1765859731700,1982,1851,13.47,5.93,36.86,117,8935.67,76.37,219,Atlas Power Bank,2025-12-16,413.99,183,2.26,21.58
1765863331700,2060,1814,16.08,6.71,34.70,138,9694.94,70.25,186,Atlas Power Bank,2025-12-16,458.00,185,2.48,21.17
1765866931700,2060,1716,14.84,7.47,35.47,154,13186.11,85.62,268,Atlas Power Bank,2025-12-16,443.33,227,1.95,29.74
1765870531700,2067,1826,15.75,7.38,31.94,153,11712.82,76.55,251,Atlas Power Bank,2025-12-16,429.47,219,1.96,27.27
1765874131700,1980,1626,15.76,7.57,28.20,150,11417.72,76.12,274,Atlas Power Bank,2025-12-16,476.81,208,2.29,23.95
1765877731700,1915,1612,13.10,6.93,39.48,133,10267.56,77.20,162,Atlas Power Bank,2025-12-16,458.02,197,2.32,22.42
1765881331700,1804,1657,13.30,6.30,26.30,114,9446.06,82.86,155,Atlas Power Bank,2025-12-16,427.89,190,2.25,22.08
1765884931700,1688,1549,12.64,6.73,35.91,114,9493.83,83.28,180,Atlas Power Bank,2025-12-16,499.44,211,2.37,19.01
1765888531700,1545,1391,13.90,6.62,38.87,102,7919.66,77.64,154,Atlas Power Bank,2025-12-16,464.10,196,2.37,17.06
1765892131700,1411,1137,11.28,6.41,25.03,90,6376.36,70.85,150,Atlas Power Bank,2025-12-16,430.03,179,2.40,14.83
1765895731700,1281,1168,11.61,5.20,35.05,67,5238.17,78.18,117,Atlas Power Bank,2025-12-16,451.93,175,2.58,11.59
1765899331700,1156,1054,11.76,6.71,33.92,78,6078.12,77.92,143,Atlas Power Bank,2025-12-16,426.61,230,1.85,14.25
1765902931700,1080,938,9.88,5.51,26.16,60,4928.57,82.14,112,Atlas Power Bank,2025-12-16,371.46,159,2.34,13.27
1765906531700,934,777,11.31,6.11,28.87,57,4346.22,76.25,69,Atlas Power Bank,2025-12-16,409.07,165,2.48,10.62
1765910131700,914,805,9.64,6.14,21.16,56,4545.67,81.17,100,Atlas Power Bank,2025-12-16,431.49,188,2.30,10.53
1765913731700,907,753,9.89,6.60,25.40,60,4304.09,71.73,110,Atlas Power Bank,2025-12-16,420.17,184,2.28,10.24
1765917331700,969,799,11.39,6.26,25.34,61,4702.14,77.08,100,Atlas Power Bank,2025-12-16,359.00,174,2.06,13.10
1765920931700,1029,934,12.06,6.69,27.24,69,5791.12,83.93,98,Atlas Power Bank,2025-12-16,474.58,227,2.09,12.20
1765924531700,1164,1082,12.69,6.80,23.34,79,6410.92,81.15,137,Atlas Power Bank,2025-12-16,453.56,152,2.98,14.13
1765928131700,1277,1171,12.38,6.11,22.56,78,6153.98,78.90,102,Atlas Power Bank,2025-12-16,396.77,199,1.99,15.51
1765931731700,1370,1191,13.40,5.58,36.09,76,6376.27,83.90,119,Atlas Power Bank,2025-12-17,443.95,152,2.92,14.36
1765935331700,1496,1389,13.89,6.15,36.18,92,6597.53,71.71,170,Atlas Power Bank,2025-12-17,492.93,220,2.24,13.38
1765938931700,1622,1390,12.71,7.37,27.98,120,10272.81,85.61,224,Atlas Power Bank,2025-12-17,478.99,235,2.04,21.45
1765942531700,1739,1456,15.80,7.48,40.17,130,8958.42,68.91,221,Atlas Power Bank,2025-12-17,435.23,156,2.79,20.58
1765946131700,1808,1569,15.65,7.69,38.36,139,10534.92,75.79,189,Atlas Power Bank,2025-12-17,448.28,218,2.06,23.50
1765949731700,1847,1486,15.39,6.49,39.97,120,9268.47,77.24,167,Atlas Power Bank,2025-12-17,448.40,221,2.03,20.67
1765953331700,1856,1762,16.33,7.75,30.70,144,10713.97,74.40,228,Atlas Power Bank,2025-12-17,456.61,223,2.05,23.46
1765956931700,1844,1480,14.66,6.18,27.64,114,8773.59,76.96,146,Atlas Power Bank,2025-12-17,491.60,238,2.07,17.85
1765960531700,1805,1503,15.76,7.56,27.41,136,10916.06,80.27,181,Atlas Power Bank,2025-12-17,425.92,155,2.75,25.63
1765964131700,1729,1423,15.99,6.00,24.74,104,8800.14,84.62,140,Atlas Power Bank,2025-12-17,440.70,183,2.41,19.97
1765967731700,1617,1360,13.41,7.17,31.41,116,9678.56,83.44,210,Atlas Power Bank,2025-12-17,405.85,175,2.32,23.85
1765971331700,1500,1264,14.15,6.09,27.10,91,7817.05,85.90,128,Atlas Power Bank,2025-12-17,464.62,220,2.11,16.82
1765974931700,1393,1192,13.29,6.26,29.11,87,7144.17,82.12,109,Atlas Power Bank,2025-12-17,494.95,265,1.87,14.43
1765978531700,1274,1159,11.20,5.75,23.08,73,5813.04,79.63,124,Atlas Power Bank,2025-12-17,403.20,211,1.91,14.42
1765982131700,1135,981,10.82,6.27,27.28,71,6079.33,85.62,102,Atlas Power Bank,2025-12-17,395.78,175,2.26,15.36
1765985731700,1027,909,11.49,6.55,26.02,67,5421.42,80.92,92,Atlas Power Bank,2025-12-17,472.22,206,2.29,11.48
1765989331700,965,805,12.45,5.41,27.04,52,4155.50,79.91,99,Atlas Power Bank,2025-12-17,423.65,208,2.04,9.81
1765992931700,878,817,11.80,6.34,33.80,56,4074.38,72.76,85,Atlas Power Bank,2025-12-17,471.23,219,2.15,8.65
1765996531700,837,712,12.22,6.20,30.34,52,3913.42,75.26,73,Atlas Power Bank,2025-12-17,418.07,214,1.95,9.36
