ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,957,896,10.11,5.59,33.33,53,3985.00,75.19,91,Nimbus Smart Speaker,2025-12-12,459.32,157,2.93,8.68
1765564531700,939,767,10.56,5.26,32.09,49,3747.57,76.48,67,Nimbus Smart Speaker,2025-12-12,355.83,175,2.03,10.53
1765568131700,978,924,10.72,5.88,31.53,57,3905.31,68.51,87,Nimbus Smart Speaker,2025-12-12,419.02,203,2.06,9.32
1765571731700,1016,846,10.09,5.09,28.74,52,4219.85,81.15,71,Nimbus Smart Speaker,2025-12-12,382.25,141,2.71,11.04
1765575331700,1090,917,12.34,6.05,23.44,66,4461.88,67.60,117,Nimbus Smart Speaker,2025-12-12,427.68,191,2.24,10.43
1765578931700,1196,999,12.83,5.92,23.20,71,5773.02,81.31,125,Nimbus Smart Speaker,2025-12-12,395.55,140,2.83,14.60
1765582531700,1336,1078,13.82,6.19,29.52,83,5727.76,69.01,118,Nimbus Smart Speaker,2025-12-12,420.30,160,2.63,13.63
1765586131700,1459,1240,12.84,5.68,29.37,83,5611.52,67.61,128,Nimbus Smart Speaker,2025-12-13,435.57,213,2.04,12.88
1765589731700,1572,1437,14.59,6.81,30.55,107,8639.89,80.75,149,Nimbus Smart Speaker,2025-12-13,474.24,243,1.95,18.22
1765593331700,1694,1389,13.49,6.06,29.88,103,6859.30,66.60,128,Nimbus Smart Speaker,2025-12-13,478.31,178,2.69,14.34
1765596931700,1780,1617,13.69,6.29,33.93,112,8771.79,78.32,187,Nimbus Smart Speaker,2025-12-13,482.40,175,2.76,18.18
1765600531700,1862,1764,14.95,6.60,25.77,123,9907.64,80.55,179,Nimbus Smart Speaker,2025-12-13,430.24,152,2.83,23.03
1765604131700,1941,1798,13.77,7.29,34.98,141,11364.05,80.60,252,Nimbus Smart Speaker,2025-12-13,462.69,252,1.84,24.56
