ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,968,825,9.99,6.10,21.43,59,3698.40,62.68,88,Pulse Wireless Earbuds,2025-12-12,461.76,222,2.08,8.01
1765564531700,948,790,11.64,5.30,27.51,50,3976.25,79.53,73,Pulse Wireless Earbuds,2025-12-12,457.28,188,2.43,8.70
1765568131700,967,846,11.65,5.01,36.68,48,3174.08,66.13,72,Pulse Wireless Earbuds,2025-12-12,374.50,135,2.77,8.48
1765571731700,1015,934,10.17,5.29,24.68,54,3653.65,67.66,83,Pulse Wireless Earbuds,2025-12-12,456.97,220,2.08,8.00
1765575331700,1081,994,12.97,5.55,28.45,60,3857.95,64.30,87,Pulse Wireless Earbuds,2025-12-12,449.78,202,2.23,8.58
1765578931700,1189,1097,12.24,5.59,33.91,67,5108.59,76.25,110,Pulse Wireless Earbuds,2025-12-12,455.32,235,1.94,11.22
1765582531700,1313,1067,11.57,6.59,33.54,87,6004.18,69.01,115,Pulse Wireless Earbuds,2025-12-12,405.40,219,1.85,14.81
1765586131700,1426,1244,12.89,6.08,32.45,87,5992.20,68.88,143,Pulse Wireless Earbuds,2025-12-13,471.26,172,2.74,12.72
1765589731700,1574,1362,13.99,7.00,27.63,110,6935.78,63.05,157,Pulse Wireless Earbuds,2025-12-13,395.77,171,2.31,17.52
1765593331700,1662,1367,14.26,6.41,37.66,106,7923.00,74.75,157,Pulse Wireless Earbuds,2025-12-13,416.64,218,1.91,19.02
1765596931700,1797,1678,13.02,6.72,37.90,121,7743.92,64.00,146,Pulse Wireless Earbuds,2025-12-13,466.21,249,1.87,16.61
1765600531700,1859,1724,14.19,6.86,35.52,128,10225.98,79.89,189,Pulse Wireless Earbuds,2025-12-13,442.17,209,2.12,23.13
1765604131700,1906,1733,15.54,7.00,29.84,134,9024.23,67.34,235,Pulse Wireless Earbuds,2025-12-13,502.02,248,2.02,17.98
1765607731700,1905,1700,14.44,6.46,26.44,123,8262.61,67.18,154,Pulse Wireless Earbuds,2025-12-13,522.15,189,2.76,15.82
1765611331700,1907,1549,15.42,7.17,31.56,137,10872.06,79.36,231,Pulse Wireless Earbuds,2025-12-13,466.30,186,2.51,23.32
1765614931700,1860,1494,14.54,7.12,25.03,132,9499.54,71.97,191,Pulse Wireless Earbuds,2025-12-13,452.64,241,1.88,20.99
1765618531700,1786,1691,13.03,6.92,26.79,124,8192.75,66.07,202,Pulse Wireless Earbuds,2025-12-13,465.93,232,2.01,17.58
1765622131700,1693,1413,13.61,6.01,30.63,102,7794.85,76.42,130,Pulse Wireless Earbuds,2025-12-13,505.63,234,2.16,15.42
1765625731700,1573,1400,14.80,6.83,36.83,107,6985.79,65.29,132,Pulse Wireless Earbuds,2025-12-13,482.34,210,2.30,14.48
1765629331700,1416,1235,14.32,6.27,25.63,89,6568.83,73.81,163,Pulse Wireless Earbuds,2025-12-13,438.79,237,1.85,14.97
1765632931700,1316,1067,13.04,6.90,29.99,91,6508.90,71.53,168,Pulse Wireless Earbuds,2025-12-13,454.60,173,2.63,14.32
