ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1028,831,8.93,3.64,35.04,37,3036.96,82.08,65,Cedar Accent Chair,2025-12-12,534.11,218,2.45,5.69
1765564531700,1024,869,9.22,4.71,32.80,48,4061.96,84.62,58,Cedar Accent Chair,2025-12-12,548.96,210,2.61,7.40
1765568131700,1015,850,8.98,4.73,34.28,48,3593.78,74.87,68,Cedar Accent Chair,2025-12-12,464.48,157,2.96,7.74
1765571731700,1097,1030,10.34,4.93,32.64,54,4770.10,88.34,77,Cedar Accent Chair,2025-12-12,545.57,215,2.54,8.74
1765575331700,1174,956,10.03,4.52,35.98,53,4702.25,88.72,93,Cedar Accent Chair,2025-12-12,491.33,253,1.94,9.57
1765578931700,1274,1164,9.50,4.41,41.08,56,4895.70,87.42,68,Cedar Accent Chair,2025-12-12,461.58,174,2.65,10.61
1765582531700,1408,1227,9.67,5.07,31.27,71,5676.79,79.95,133,Cedar Accent Chair,2025-12-12,509.59,240,2.12,11.14
1765586131700,1555,1298,9.81,5.02,27.27,78,6404.62,82.11,121,Cedar Accent Chair,2025-12-13,556.76,223,2.50,11.50
1765589731700,1702,1431,10.24,4.79,31.75,81,6450.83,79.64,104,Cedar Accent Chair,2025-12-13,565.99,216,2.62,11.40
1765593331700,1797,1517,11.72,6.26,37.79,113,8902.87,78.79,181,Cedar Accent Chair,2025-12-13,584.91,307,1.91,15.22
1765596931700,1929,1758,11.19,4.81,34.81,93,7035.38,75.65,126,Cedar Accent Chair,2025-12-13,557.50,234,2.38,12.62
1765600531700,1998,1600,12.19,4.82,36.05,96,7093.45,73.89,121,Cedar Accent Chair,2025-12-13,600.88,254,2.37,11.81
1765604131700,2068,1771,11.46,6.31,37.62,131,9489.99,72.44,182,Cedar Accent Chair,2025-12-13,525.61,275,1.91,18.06
1765607731700,2063,1944,13.53,5.46,37.13,113,9014.05,79.77,148,Cedar Accent Chair,2025-12-13,590.44,314,1.88,15.27
1765611331700,2062,1897,12.78,5.10,43.78,105,8788.26,83.70,148,Cedar Accent Chair,2025-12-13,603.31,242,2.49,14.57
1765614931700,1998,1871,13.85,5.26,38.07,105,8791.94,83.73,190,Cedar Accent Chair,2025-12-13,528.96,229,2.31,16.62
1765618531700,1924,1763,12.41,4.65,38.90,89,6800.42,76.41,137,Cedar Accent Chair,2025-12-13,593.84,300,1.98,11.45
1765622131700,1795,1688,13.17,6.30,42.91,113,10088.33,89.28,149,Cedar Accent Chair,2025-12-13,578.43,243,2.38,17.44
1765625731700,1689,1597,10.55,4.91,43.52,83,6953.79,83.78,135,Cedar Accent Chair,2025-12-13,491.00,237,2.07,14.16
1765629331700,1550,1458,9.98,5.30,42.83,82,6734.84,82.13,111,Cedar Accent Chair,2025-12-13,553.70,306,1.81,12.16
1765632931700,1402,1227,9.79,5.40,28.57,76,6462.38,85.03,94,Cedar Accent Chair,2025-12-13,484.96,172,2.82,13.33
1765636531700,1291,1086,11.00,4.36,40.63,56,4419.20,78.91,78,Cedar Accent Chair,2025-12-13,466.64,193,2.42,9.47
1765640131700,1169,994,10.76,4.39,28.14,51,4472.49,87.70,89,Cedar Accent Chair,2025-12-13,547.22,249,2.20,8.17
1765643731700,1084,901,8.62,5.16,30.76,56,4102.49,73.26,90,Cedar Accent Chair,2025-12-13,537.89,238,2.26,7.63
1765647331700,1136,1014,9.02,3.99,28.93,45,3839.85,85.33,77,Cedar Accent Chair,2025-12-13,540.51,181,2.99,7.10
1765650931700,1122,1046,8.24,4.61,29.65,52,3833.57,73.72,72,Cedar Accent Chair,2025-12-13,500.44,241,2.08,7.66
1765654531700,1121,1005,8.04,4.08,34.65,46,4123.74,89.65,85,Cedar Accent Chair,2025-12-13,514.06,208,2.47,8.02
1765658131700,1197,1135,10.40,4.56,26.49,55,4146.65,75.39,99,Cedar Accent Chair,2025-12-13,451.06,204,2.21,9.19
1765661731700,1290,1099,10.63,3.79,32.99,49,4032.61,82.30,69,Cedar Accent Chair,2025-12-13,530.37,245,2.16,7.60
1765665331700,1398,1268,10.27,5.47,36.09,76,5682.07,74.76,116,Cedar Accent Chair,2025-12-13,498.38,169,2.95,11.40
1765668931700,1537,1440,11.66,5.29,35.27,81,7194.63,88.82,100,Cedar Accent Chair,2025-12-13,506.58,253,2.00,14.20
1765672531700,1678,1549,11.15,5.29,40.23,89,7956.98,89.40,167,Cedar Accent Chair,2025-12-14,574.09,226,2.54,13.86
1765676131700,1849,1743,10.68,5.34,42.03,99,8539.42,86.26,159,Cedar Accent Chair,2025-12-14,492.37,214,2.30,17.34
1765679731700,1989,1615,10.85,6.28,32.24,125,9871.72,78.97,152,Cedar Accent Chair,2025-12-14,523.06,281,1.86,18.87
1765683331700,2093,1793,13.08,5.05,43.54,106,8765.23,82.69,184,Cedar Accent Chair,2025-12-14,563.29,249,2.26,15.56
1765686931700,2208,2058,13.11,5.73,38.18,127,9302.03,73.24,180,Cedar Accent Chair,2025-12-14,572.65,290,1.97,16.24
1765690531700,2259,2124,11.70,6.21,35.97,140,11305.21,80.75,231,Cedar Accent Chair,2025-12-14,498.62,183,2.72,22.67
1765694131700,2264,2065,14.35,5.00,31.89,113,9279.02,82.12,172,Cedar Accent Chair,2025-12-14,527.02,209,2.52,17.61
1765697731700,2257,1943,12.66,4.94,37.08,111,9869.42,88.91,148,Cedar Accent Chair,2025-12-14,487.95,226,2.16,20.23
1765701331700,2179,1826,13.76,5.42,32.78,118,8615.83,73.02,214,Cedar Accent Chair,2025-12-14,537.17,282,1.90,16.04
1765704931700,2106,1968,11.73,4.63,33.94,98,7227.98,73.75,129,Cedar Accent Chair,2025-12-14,536.96,296,1.81,13.46
1765708531700,1963,1712,11.89,6.09,40.84,120,9267.42,77.23,209,Cedar Accent Chair,2025-12-14,481.43,187,2.57,19.25
1765712131700,1851,1747,12.45,5.20,31.02,96,7997.06,83.30,129,Cedar Accent Chair,2025-12-14,524.70,237,2.21,15.24
1765715731700,1670,1367,12.24,5.48,41.04,91,7088.88,77.90,164,Cedar Accent Chair,2025-12-14,463.26,239,1.94,15.30
1765719331700,1551,1349,9.87,5.64,36.82,87,7459.31,85.74,144,Cedar Accent Chair,2025-12-14,559.34,280,2.00,13.34
1765722931700,1382,1226,8.98,5.00,32.49,69,4990.55,72.33,100,Cedar Accent Chair,2025-12-14,477.14,207,2.31,10.46
1765726531700,1280,1045,9.63,5.39,40.68,69,4969.28,72.02,120,Cedar Accent Chair,2025-12-14,475.91,190,2.50,10.44
1765730131700,1166,1052,7.92,5.02,36.31,58,4907.33,84.61,105,Cedar Accent Chair,2025-12-14,458.22,251,1.83,10.71
1765733731700,1143,1043,10.04,4.83,30.11,55,3978.53,72.34,77,Cedar Accent Chair,2025-12-14,449.94,224,2.01,8.84
1765737331700,1108,972,7.88,4.69,31.62,52,4361.67,83.88,92,Cedar Accent Chair,2025-12-14,532.62,261,2.04,8.19
1765740931700,1145,968,9.54,4.09,27.21,47,4175.81,88.85,79,Cedar Accent Chair,2025-12-14,506.94,214,2.37,8.24
1765744531700,1193,1120,9.65,4.35,27.40,52,3801.60,73.11,65,Cedar Accent Chair,2025-12-14,517.69,216,2.40,7.34
1765748131700,1321,1157,8.98,5.22,26.91,69,5334.79,77.32,90,Cedar Accent Chair,2025-12-14,509.22,256,1.99,10.48
1765751731700,1432,1240,11.39,5.43,26.65,78,6679.36,85.63,102,Cedar Accent Chair,2025-12-14,451.98,184,2.46,14.78
1765755331700,1579,1410,11.20,4.26,31.89,67,5360.49,80.01,96,Cedar Accent Chair,2025-12-14,543.50,301,1.81,9.86
1765758931700,1713,1411,11.58,5.00,36.99,86,7413.96,86.21,142,Cedar Accent Chair,2025-12-15,557.03,222,2.51,13.31
1765762531700,1863,1765,11.64,5.10,38.64,95,8037.51,84.61,116,Cedar Accent Chair,2025-12-15,550.68,248,2.22,14.60
1765766131700,2030,1632,11.87,6.05,43.33,123,9554.08,77.68,170,Cedar Accent Chair,2025-12-15,475.48,220,2.16,20.09
1765769731700,2126,2015,13.81,5.36,39.31,114,8367.88,73.40,198,Cedar Accent Chair,2025-12-15,518.63,199,2.61,16.13
1765773331700,2256,1809,12.19,5.15,42.43,116,9415.33,81.17,182,Cedar Accent Chair,2025-12-15,599.16,316,1.90,15.71
1765776931700,2289,1907,13.16,6.17,29.70,141,10931.08,77.53,265,Cedar Accent Chair,2025-12-15,600.14,220,2.73,18.21
1765780531700,2327,2172,11.95,5.51,29.30,128,9809.85,76.64,164,Cedar Accent Chair,2025-12-15,490.43,267,1.84,20.00
1765784131700,2295,1966,12.98,5.99,40.70,137,11111.92,81.11,172,Cedar Accent Chair,2025-12-15,571.21,295,1.94,19.45
1765787731700,2238,1949,13.99,5.51,32.40,123,9533.07,77.50,189,Cedar Accent Chair,2025-12-15,530.07,201,2.64,17.98
1765791331700,2126,1939,12.11,6.41,41.16,136,10641.74,78.25,208,Cedar Accent Chair,2025-12-15,564.68,280,2.02,18.85
1765794931700,2002,1751,11.86,5.55,37.88,111,9918.35,89.35,158,Cedar Accent Chair,2025-12-15,515.64,251,2.05,19.24
1765798531700,1866,1746,10.61,4.55,40.58,85,7483.51,88.04,111,Cedar Accent Chair,2025-12-15,555.48,265,2.10,13.47
1765802131700,1742,1408,10.24,5.50,28.87,96,8537.89,88.94,176,Cedar Accent Chair,2025-12-15,520.33,274,1.90,16.41
1765805731700,1574,1359,9.85,4.13,33.67,65,5712.75,87.89,113,Cedar Accent Chair,2025-12-15,558.93,189,2.96,10.22
1765809331700,1418,1197,8.42,4.24,27.29,60,4512.15,75.20,86,Cedar Accent Chair,2025-12-15,557.68,280,1.99,8.09
1765812931700,1302,1093,9.84,3.81,26.65,50,4385.10,87.70,82,Cedar Accent Chair,2025-12-15,474.81,204,2.33,9.24
1765816531700,1208,1094,9.03,4.66,40.39,56,4499.15,80.34,71,Cedar Accent Chair,2025-12-15,486.65,209,2.33,9.25
1765820131700,1098,1024,10.13,4.29,28.93,47,3582.90,76.23,84,Cedar Accent Chair,2025-12-15,500.59,272,1.84,7.16
1765823731700,1078,917,9.70,4.22,26.76,46,3988.15,86.70,58,Cedar Accent Chair,2025-12-15,503.59,199,2.53,7.92
1765827331700,1073,973,10.42,4.82,28.17,52,4188.96,80.56,71,Cedar Accent Chair,2025-12-15,483.70,222,2.18,8.66
1765830931700,1156,1093,7.74,3.76,32.28,43,3453.06,80.30,61,Cedar Accent Chair,2025-12-15,501.28,229,2.19,6.89
1765834531700,1236,1038,10.26,4.27,28.11,53,4051.89,76.45,71,Cedar Accent Chair,2025-12-15,536.37,222,2.42,7.55
1765838131700,1360,1274,11.02,4.68,38.43,64,5020.07,78.44,120,Cedar Accent Chair,2025-12-15,494.58,185,2.67,10.15
1765841731700,1478,1235,11.33,4.65,38.80,69,6187.22,89.67,106,Cedar Accent Chair,2025-12-15,500.12,239,2.09,12.37
1765845331700,1642,1535,9.65,4.69,28.68,77,6755.37,87.73,129,Cedar Accent Chair,2025-12-16,550.20,221,2.49,12.28
1765848931700,1781,1658,12.42,5.20,38.39,93,6801.88,73.14,169,Cedar Accent Chair,2025-12-16,545.39,263,2.07,12.47
1765852531700,1905,1692,10.50,6.13,41.88,117,9551.56,81.64,190,Cedar Accent Chair,2025-12-16,543.18,243,2.24,17.58
1765856131700,2011,1700,13.35,4.63,31.02,93,8121.89,87.33,153,Cedar Accent Chair,2025-12-16,534.25,266,2.01,15.20
1765859731700,2130,1889,11.35,5.23,38.61,112,9476.07,84.61,173,Cedar Accent Chair,2025-12-16,583.80,229,2.55,16.23
1765863331700,2158,2010,12.26,5.44,40.52,117,8634.56,73.80,143,Cedar Accent Chair,2025-12-16,491.55,248,1.98,17.57
1765866931700,2169,1949,13.21,5.26,30.58,114,9518.45,83.50,163,Cedar Accent Chair,2025-12-16,573.47,195,2.94,16.60
1765870531700,2179,1876,13.60,5.85,35.49,127,10193.69,80.27,235,Cedar Accent Chair,2025-12-16,513.19,177,2.90,19.86
1765874131700,2129,1842,11.68,5.24,38.07,112,8522.43,76.09,169,Cedar Accent Chair,2025-12-16,553.03,281,1.97,15.41
1765877731700,2025,1808,11.94,4.86,29.23,98,7339.30,74.89,118,Cedar Accent Chair,2025-12-16,548.48,288,1.90,13.38
1765881331700,1905,1726,10.42,4.85,29.56,92,8205.95,89.20,134,Cedar Accent Chair,2025-12-16,525.43,283,1.86,15.62
1765884931700,1779,1654,10.05,5.59,37.84,99,8253.57,83.37,130,Cedar Accent Chair,2025-12-16,543.29,290,1.87,15.19
1765888531700,1637,1344,10.73,4.33,31.83,71,5512.12,77.64,106,Cedar Accent Chair,2025-12-16,552.83,292,1.89,9.97
1765892131700,1460,1322,11.46,5.42,27.80,79,6224.03,78.79,145,Cedar Accent Chair,2025-12-16,454.60,183,2.48,13.69
1765895731700,1345,1157,10.10,4.12,40.69,55,4927.58,89.59,98,Cedar Accent Chair,2025-12-16,524.85,277,1.89,9.39
1765899331700,1240,1085,8.29,3.85,39.89,48,3753.67,78.20,70,Cedar Accent Chair,2025-12-16,444.02,222,2.00,8.45
1765902931700,1123,1000,7.91,4.31,33.41,48,3984.07,83.00,68,Cedar Accent Chair,2025-12-16,470.84,257,1.83,8.46
1765906531700,985,824,10.18,4.64,40.31,46,3723.63,80.95,66,Cedar Accent Chair,2025-12-16,468.34,181,2.59,7.95
1765910131700,971,787,8.10,4.90,39.69,48,4016.21,83.67,65,Cedar Accent Chair,2025-12-16,498.35,196,2.54,8.06
1765913731700,989,902,8.41,3.95,40.29,39,3415.30,87.57,60,Cedar Accent Chair,2025-12-16,467.13,198,2.36,7.31
1765917331700,1036,864,8.79,4.81,32.50,50,4378.14,87.56,77,Cedar Accent Chair,2025-12-16,503.16,189,2.66,8.70
1765920931700,1102,1046,10.21,4.35,27.55,48,4221.86,87.96,77,Cedar Accent Chair,2025-12-16,507.09,204,2.49,8.33
1765924531700,1196,1058,10.42,3.97,36.33,47,3983.30,84.75,57,Cedar Accent Chair,2025-12-16,499.04,254,1.96,7.98
1765928131700,1339,1223,9.87,4.59,30.88,61,5018.77,82.27,87,Cedar Accent Chair,2025-12-16,527.99,268,1.97,9.51
1765931731700,1466,1295,12.39,5.03,39.91,74,5607.12,75.77,130,Cedar Accent Chair,2025-12-17,550.86,221,2.49,10.18
1765935331700,1587,1457,12.81,4.64,33.20,74,5798.79,78.36,125,Cedar Accent Chair,2025-12-17,488.00,177,2.76,11.88
1765938931700,1730,1416,10.72,6.07,36.44,105,8744.68,83.28,157,Cedar Accent Chair,2025-12-17,496.42,263,1.89,17.62
1765942531700,1826,1516,11.38,5.88,28.67,107,8711.49,81.42,174,Cedar Accent Chair,2025-12-17,512.83,258,1.99,16.99
1765946131700,1886,1519,11.72,5.18,39.53,98,8607.66,87.83,145,Cedar Accent Chair,2025-12-17,527.28,210,2.51,16.32
1765949731700,1941,1722,11.41,5.16,39.39,100,8392.72,83.93,125,Cedar Accent Chair,2025-12-17,574.92,263,2.19,14.60
1765953331700,1985,1657,12.08,5.88,44.70,117,10326.56,88.26,160,Cedar Accent Chair,2025-12-17,530.62,190,2.79,19.46
1765956931700,1948,1838,11.66,6.02,40.44,117,10080.92,86.16,155,Cedar Accent Chair,2025-12-17,576.49,226,2.55,17.49
1765960531700,1894,1649,12.45,5.03,39.69,95,7668.30,80.72,162,Cedar Accent Chair,2025-12-17,587.14,313,1.88,13.06
1765964131700,1832,1565,11.99,5.61,38.27,103,8102.39,78.66,169,Cedar Accent Chair,2025-12-17,528.49,277,1.91,15.33
1765967731700,1738,1425,12.65,5.94,38.39,103,7645.74,74.23,189,Cedar Accent Chair,2025-12-17,527.32,284,1.86,14.50
1765971331700,1591,1279,10.86,4.38,39.34,70,5671.54,81.02,113,Cedar Accent Chair,2025-12-17,538.70,202,2.67,10.53
1765974931700,1477,1194,10.58,4.27,29.21,63,5228.37,82.99,91,Cedar Accent Chair,2025-12-17,558.81,248,2.25,9.36
1765978531700,1321,1207,10.18,4.83,38.69,64,5747.14,89.80,104,Cedar Accent Chair,2025-12-17,458.50,158,2.90,12.53
1765982131700,1199,1066,10.65,4.39,39.04,53,4190.80,79.07,97,Cedar Accent Chair,2025-12-17,519.18,222,2.34,8.07
1765985731700,1118,1040,10.19,4.31,41.05,48,3670.17,76.46,77,Cedar Accent Chair,2025-12-17,523.99,255,2.05,7.00
1765989331700,1013,895,10.08,5.29,30.52,54,4752.72,88.01,77,Cedar Accent Chair,2025-12-17,506.24,258,1.96,9.39
1765992931700,922,863,9.18,3.97,37.01,37,3220.59,87.04,66,Cedar Accent Chair,2025-12-17,490.99,265,1.85,6.56
1765996531700,878,769,10.12,4.02,25.13,35,2628.78,75.11,52,Cedar Accent Chair,2025-12-17,503.67,188,2.68,5.22
1766000131700,927,754,7.58,4.98,36.72,46,3660.78,79.58,57,Cedar Accent Chair,2025-12-17,507.50,170,2.99,7.21
1766003731700,945,806,8.82,5.04,32.76,48,3614.49,75.30,90,Cedar Accent Chair,2025-12-17,449.84,168,2.68,8.04
1766007331700,1040,887,9.25,5.45,38.52,57,5107.66,89.61,86,Cedar Accent Chair,2025-12-17,473.07,205,2.31,10.80
1766010931700,1136,1025,9.03,4.38,31.39,50,4016.20,80.32,76,Cedar Accent Chair,2025-12-17,527.70,235,2.25,7.61
1766014531700,1231,1024,9.71,4.35,42.19,54,4630.35,85.75,73,Cedar Accent Chair,2025-12-17,545.88,276,1.98,8.48
1766018131700,1385,1239,10.85,4.61,32.25,64,4931.02,77.05,107,Cedar Accent Chair,2025-12-18,537.53,221,2.43,9.17
1766021731700,1502,1331,10.22,4.70,31.50,71,6091.22,85.79,124,Cedar Accent Chair,2025-12-18,486.22,170,2.86,12.53
1766025331700,1618,1493,12.16,5.33,36.98,86,6759.15,78.59,117,Cedar Accent Chair,2025-12-18,547.43,185,2.96,12.35
1766028931700,1692,1471,12.97,4.91,32.89,83,6960.87,83.87,143,Cedar Accent Chair,2025-12-18,546.35,229,2.39,12.74
1766032531700,1771,1626,12.71,6.15,35.30,109,8278.74,75.95,147,Cedar Accent Chair,2025-12-18,514.13,212,2.43,16.10
1766036131700,1842,1665,13.54,6.34,36.43,117,10216.67,87.32,176,Cedar Accent Chair,2025-12-18,513.11,188,2.73,19.91
1766039731700,1822,1707,12.67,5.97,42.84,109,8668.90,79.53,181,Cedar Accent Chair,2025-12-18,566.65,242,2.34,15.30
1766043331700,1821,1623,12.10,6.34,34.35,115,8734.12,75.95,151,Cedar Accent Chair,2025-12-18,526.63,258,2.04,16.58
1766046931700,1763,1463,13.73,4.76,43.55,84,7032.95,83.73,124,Cedar Accent Chair,2025-12-18,579.92,226,2.57,12.13
1766050531700,1700,1514,11.26,5.34,32.51,91,8102.86,89.04,112,Cedar Accent Chair,2025-12-18,522.04,190,2.75,15.52
1766054131700,1586,1447,11.46,5.34,39.19,85,7507.87,88.33,111,Cedar Accent Chair,2025-12-18,484.34,225,2.15,15.50
