ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1034,940,8.61,4.60,26.97,48,4104.19,85.50,83,Driftwood Barstool,2025-12-12,452.08,187,2.42,9.08
1765564531700,1012,914,8.69,4.45,37.00,45,3565.30,79.23,69,Driftwood Barstool,2025-12-12,547.81,222,2.47,6.51
1765568131700,1039,891,8.83,4.03,31.82,42,3268.81,77.83,56,Driftwood Barstool,2025-12-12,508.07,204,2.49,6.43
1765571731700,1092,919,9.30,5.47,27.15,60,4622.29,77.04,104,Driftwood Barstool,2025-12-12,442.14,156,2.83,10.45
1765575331700,1159,1082,8.13,4.57,34.43,53,3804.90,71.79,74,Driftwood Barstool,2025-12-12,444.29,223,1.99,8.56
1765578931700,1284,1190,10.70,4.52,36.73,58,4910.00,84.66,98,Driftwood Barstool,2025-12-12,479.09,199,2.41,10.25
1765582531700,1405,1128,10.62,4.24,32.56,60,4158.43,69.31,88,Driftwood Barstool,2025-12-12,484.30,168,2.88,8.59
1765586131700,1549,1320,10.08,4.21,35.89,65,5603.56,86.21,88,Driftwood Barstool,2025-12-13,497.54,213,2.34,11.26
1765589731700,1665,1565,10.00,5.25,40.62,87,6677.83,76.76,145,Driftwood Barstool,2025-12-13,572.38,249,2.30,11.67
1765593331700,1784,1526,12.14,4.89,43.33,87,7559.81,86.89,139,Driftwood Barstool,2025-12-13,545.06,204,2.67,13.87
1765596931700,1884,1547,12.34,5.80,37.31,109,7804.50,71.60,174,Driftwood Barstool,2025-12-13,506.26,169,3.00,15.42
1765600531700,1986,1830,12.44,5.43,44.69,108,8597.76,79.61,167,Driftwood Barstool,2025-12-13,507.76,263,1.93,16.93
1765604131700,2043,1928,13.41,5.82,42.68,119,8877.95,74.60,186,Driftwood Barstool,2025-12-13,596.35,279,2.14,14.89
1765607731700,2066,1743,13.75,5.26,33.68,109,8274.68,75.91,200,Driftwood Barstool,2025-12-13,556.48,249,2.23,14.87
1765611331700,2056,1902,14.32,5.34,40.33,110,8285.38,75.32,133,Driftwood Barstool,2025-12-13,596.07,266,2.24,13.90
1765614931700,1998,1894,13.33,5.52,35.24,110,9385.41,85.32,145,Driftwood Barstool,2025-12-13,524.36,253,2.07,17.90
1765618531700,1907,1640,12.08,5.79,30.06,110,9072.48,82.48,198,Driftwood Barstool,2025-12-13,568.54,303,1.88,15.96
1765622131700,1807,1469,11.62,4.85,33.33,88,6138.43,69.75,132,Driftwood Barstool,2025-12-13,522.63,233,2.24,11.75
1765625731700,1661,1331,11.38,5.93,36.67,98,7001.29,71.44,153,Driftwood Barstool,2025-12-13,479.40,236,2.03,14.60
1765629331700,1521,1255,11.99,4.37,39.79,66,4622.13,70.03,125,Driftwood Barstool,2025-12-13,515.03,216,2.38,8.97
1765632931700,1406,1311,11.10,5.09,31.66,72,5209.03,72.35,115,Driftwood Barstool,2025-12-13,540.49,290,1.86,9.64
1765636531700,1269,1196,10.96,5.38,35.70,68,5743.26,84.46,88,Driftwood Barstool,2025-12-13,517.72,234,2.21,11.09
1765640131700,1173,1098,8.01,4.69,39.03,55,4507.51,81.95,91,Driftwood Barstool,2025-12-13,514.24,197,2.61,8.77
1765643731700,1067,928,8.37,4.55,31.64,49,3453.76,70.48,84,Driftwood Barstool,2025-12-13,461.72,201,2.30,7.48
1765647331700,1105,913,8.94,3.68,26.09,41,3530.15,86.10,66,Driftwood Barstool,2025-12-13,510.31,210,2.43,6.92
1765650931700,1082,976,8.09,5.36,36.60,58,4679.98,80.69,105,Driftwood Barstool,2025-12-13,478.87,228,2.10,9.77
1765654531700,1128,1058,9.18,4.45,37.64,50,3916.79,78.34,82,Driftwood Barstool,2025-12-13,492.86,251,1.96,7.95
1765658131700,1184,1020,8.46,5.02,37.75,59,4273.63,72.43,98,Driftwood Barstool,2025-12-13,537.10,209,2.57,7.96
1765661731700,1247,1026,10.00,4.38,39.17,55,4685.91,85.20,96,Driftwood Barstool,2025-12-13,546.22,214,2.55,8.58
1765665331700,1401,1126,9.26,5.40,26.67,76,5890.45,77.51,97,Driftwood Barstool,2025-12-13,553.85,224,2.47,10.64
1765668931700,1536,1367,10.45,4.92,36.65,76,6017.19,79.17,102,Driftwood Barstool,2025-12-13,484.48,242,2.00,12.42
1765672531700,1669,1460,11.06,5.38,36.08,90,7763.83,86.26,148,Driftwood Barstool,2025-12-14,480.77,233,2.06,16.15
1765676131700,1816,1661,12.43,5.60,41.02,102,7530.45,73.83,151,Driftwood Barstool,2025-12-14,549.48,289,1.90,13.70
1765679731700,1959,1622,13.40,5.83,32.90,114,9240.14,81.05,162,Driftwood Barstool,2025-12-14,566.84,230,2.46,16.30
1765683331700,2100,1717,12.78,6.25,37.14,131,10523.99,80.34,220,Driftwood Barstool,2025-12-14,508.81,223,2.28,20.68
1765686931700,2182,1899,11.30,5.69,30.12,124,9445.23,76.17,189,Driftwood Barstool,2025-12-14,533.26,261,2.04,17.71
1765690531700,2212,2057,13.45,5.23,33.55,116,9795.89,84.45,167,Driftwood Barstool,2025-12-14,580.84,240,2.42,16.87
1765694131700,2236,2073,12.84,5.51,32.18,123,9735.39,79.15,204,Driftwood Barstool,2025-12-14,577.49,251,2.30,16.86
1765697731700,2235,2042,12.25,5.41,44.25,121,10385.63,85.83,192,Driftwood Barstool,2025-12-14,508.71,232,2.19,20.42
1765701331700,2192,1873,13.66,6.12,32.02,134,10918.32,81.48,205,Driftwood Barstool,2025-12-14,595.67,270,2.21,18.33
1765704931700,2095,1763,11.66,4.66,32.97,98,8078.11,82.43,164,Driftwood Barstool,2025-12-14,478.46,167,2.87,16.88
1765708531700,1974,1844,10.80,5.93,32.37,117,8419.95,71.97,149,Driftwood Barstool,2025-12-14,519.63,262,1.98,16.20
1765712131700,1807,1489,10.62,4.85,36.81,88,6712.24,76.28,135,Driftwood Barstool,2025-12-14,493.45,229,2.15,13.60
1765715731700,1682,1396,10.25,5.21,42.45,88,6402.48,72.76,157,Driftwood Barstool,2025-12-14,520.20,175,2.97,12.31
1765719331700,1524,1351,10.76,4.38,37.07,67,5001.01,74.64,100,Driftwood Barstool,2025-12-14,549.47,210,2.62,9.10
1765722931700,1379,1261,9.49,5.38,35.06,74,6132.68,82.87,135,Driftwood Barstool,2025-12-14,485.41,193,2.52,12.63
1765726531700,1267,1033,9.88,5.09,41.43,64,4842.70,75.67,82,Driftwood Barstool,2025-12-14,549.60,277,1.98,8.81
1765730131700,1166,961,8.22,4.14,38.04,48,3320.92,69.19,68,Driftwood Barstool,2025-12-14,469.79,206,2.28,7.07
1765733731700,1131,1033,9.05,3.92,34.75,44,3544.37,80.55,73,Driftwood Barstool,2025-12-14,488.68,171,2.86,7.25
1765737331700,1110,943,8.37,5.03,25.90,56,4040.63,72.15,83,Driftwood Barstool,2025-12-14,492.97,242,2.04,8.20
1765740931700,1117,1054,8.56,3.82,31.27,43,3394.05,78.93,57,Driftwood Barstool,2025-12-14,492.48,187,2.63,6.89
1765744531700,1198,965,10.22,3.71,26.16,44,3159.03,71.80,76,Driftwood Barstool,2025-12-14,500.32,171,2.93,6.31
1765748131700,1308,1143,10.16,4.65,34.29,61,5261.31,86.25,95,Driftwood Barstool,2025-12-14,514.40,259,1.99,10.23
1765751731700,1418,1160,8.91,3.91,32.23,55,4016.16,73.02,74,Driftwood Barstool,2025-12-14,450.79,162,2.78,8.91
1765755331700,1560,1402,9.03,4.72,39.57,74,6021.38,81.37,119,Driftwood Barstool,2025-12-14,520.29,178,2.92,11.57
1765758931700,1706,1412,11.86,4.72,32.73,81,6202.23,76.57,100,Driftwood Barstool,2025-12-15,501.21,259,1.94,12.37
1765762531700,1862,1519,11.51,5.57,30.95,104,7730.61,74.33,196,Driftwood Barstool,2025-12-15,468.63,187,2.51,16.50
1765766131700,2004,1755,11.08,5.38,43.14,108,7775.44,71.99,194,Driftwood Barstool,2025-12-15,577.43,234,2.47,13.47
1765769731700,2142,1797,13.00,4.85,38.30,104,7893.45,75.90,159,Driftwood Barstool,2025-12-15,544.31,274,1.99,14.50
1765773331700,2217,1944,12.58,6.30,30.94,140,10764.29,76.89,169,Driftwood Barstool,2025-12-15,532.56,258,2.06,20.21
1765776931700,2293,2079,14.19,4.84,38.87,111,9208.08,82.96,162,Driftwood Barstool,2025-12-15,489.60,198,2.47,18.81
1765780531700,2311,2125,11.71,5.96,37.48,138,10323.15,74.81,205,Driftwood Barstool,2025-12-15,525.18,187,2.81,19.66
1765784131700,2277,1890,11.86,5.00,36.08,114,8652.54,75.90,193,Driftwood Barstool,2025-12-15,589.37,295,2.00,14.68
1765787731700,2220,1971,13.80,5.21,38.13,116,8428.19,72.66,171,Driftwood Barstool,2025-12-15,592.61,281,2.11,14.22
1765791331700,2119,1850,12.33,5.20,31.28,110,8383.33,76.21,170,Driftwood Barstool,2025-12-15,580.83,278,2.09,14.43
