ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1035,901,10.00,4.32,39.98,45,3711.77,82.48,57,Juniper Throw Blanket,2025-12-12,439.90,197,2.23,8.44
1765564531700,1005,887,7.72,5.17,25.08,52,4598.21,88.43,67,Juniper Throw Blanket,2025-12-12,523.44,254,2.06,8.78
1765568131700,1030,936,9.08,4.01,40.47,41,3207.77,78.24,73,Juniper Throw Blanket,2025-12-12,490.45,202,2.43,6.54
1765571731700,1088,947,9.66,4.54,35.48,49,4429.16,90.39,77,Juniper Throw Blanket,2025-12-12,481.32,250,1.93,9.20
1765575331700,1177,995,9.59,4.15,29.00,49,3777.03,77.08,81,Juniper Throw Blanket,2025-12-12,539.63,220,2.45,7.00
1765578931700,1282,1156,8.52,5.66,39.84,73,6342.92,86.89,95,Juniper Throw Blanket,2025-12-12,537.56,275,1.95,11.80
1765582531700,1440,1208,10.97,4.08,36.64,59,5275.30,89.41,104,Juniper Throw Blanket,2025-12-12,474.36,257,1.85,11.12
1765586131700,1544,1335,9.87,4.46,42.13,69,5388.73,78.10,105,Juniper Throw Blanket,2025-12-13,579.43,274,2.11,9.30
1765589731700,1689,1505,11.39,4.82,40.31,81,7251.05,89.52,142,Juniper Throw Blanket,2025-12-13,535.37,218,2.46,13.54
1765593331700,1812,1498,12.21,6.15,32.98,111,10287.16,92.68,151,Juniper Throw Blanket,2025-12-13,474.85,229,2.07,21.66
1765596931700,1924,1666,12.85,6.24,42.19,120,9283.94,77.37,209,Juniper Throw Blanket,2025-12-13,551.72,210,2.63,16.83
1765600531700,2017,1861,11.78,5.55,29.13,112,10010.48,89.38,208,Juniper Throw Blanket,2025-12-13,517.42,281,1.84,19.35
1765604131700,2069,1915,11.36,6.26,31.50,130,11075.23,85.19,214,Juniper Throw Blanket,2025-12-13,520.02,174,2.99,21.30
1765607731700,2109,1975,12.58,5.02,40.04,106,8517.73,80.36,180,Juniper Throw Blanket,2025-12-13,549.34,292,1.88,15.51
1765611331700,2084,1688,13.83,4.97,36.97,103,7945.05,77.14,173,Juniper Throw Blanket,2025-12-13,512.64,178,2.88,15.50
1765614931700,2007,1678,13.51,4.91,41.43,99,7572.37,76.49,152,Juniper Throw Blanket,2025-12-13,585.74,273,2.15,12.93
1765618531700,1935,1745,13.79,6.12,42.73,118,9259.66,78.47,185,Juniper Throw Blanket,2025-12-13,522.11,197,2.65,17.74
1765622131700,1832,1711,12.86,5.92,36.05,108,9000.63,83.34,178,Juniper Throw Blanket,2025-12-13,565.14,304,1.86,15.93
1765625731700,1696,1484,12.36,5.39,41.90,91,8436.74,92.71,116,Juniper Throw Blanket,2025-12-13,500.86,209,2.40,16.84
1765629331700,1559,1383,10.61,5.92,38.94,92,7673.20,83.40,165,Juniper Throw Blanket,2025-12-13,527.02,232,2.27,14.56
1765632931700,1420,1343,8.95,5.09,35.04,72,6617.30,91.91,116,Juniper Throw Blanket,2025-12-13,458.41,248,1.85,14.44
1765636531700,1308,1053,11.06,4.90,31.98,64,5729.22,89.52,121,Juniper Throw Blanket,2025-12-13,529.16,290,1.82,10.83
1765640131700,1174,1044,10.25,4.81,32.51,56,4567.59,81.56,106,Juniper Throw Blanket,2025-12-13,482.87,257,1.88,9.46
1765643731700,1104,1002,7.98,4.88,34.15,54,4582.30,84.86,75,Juniper Throw Blanket,2025-12-13,452.00,164,2.76,10.14
1765647331700,1136,1025,9.42,4.17,36.23,47,3914.55,83.29,85,Juniper Throw Blanket,2025-12-13,552.31,250,2.21,7.09
1765650931700,1098,973,8.37,4.77,28.73,52,4537.77,87.26,75,Juniper Throw Blanket,2025-12-13,521.16,279,1.87,8.71
1765654531700,1135,1039,10.36,5.37,29.25,61,4933.19,80.87,109,Juniper Throw Blanket,2025-12-13,496.87,206,2.41,9.93
1765658131700,1179,1083,10.23,4.57,25.47,54,4344.36,80.45,89,Juniper Throw Blanket,2025-12-13,454.76,179,2.54,9.55
1765661731700,1295,1226,8.07,5.31,37.70,69,5315.03,77.03,104,Juniper Throw Blanket,2025-12-13,445.84,201,2.22,11.92
1765665331700,1430,1324,10.27,4.46,39.01,64,5587.53,87.31,77,Juniper Throw Blanket,2025-12-13,457.09,169,2.70,12.22
1765668931700,1565,1419,9.88,4.95,35.45,77,6803.13,88.35,95,Juniper Throw Blanket,2025-12-13,461.39,164,2.81,14.74
1765672531700,1711,1409,11.62,4.70,39.72,80,6647.04,83.09,111,Juniper Throw Blanket,2025-12-14,577.08,286,2.02,11.52
